Measure,Beat,[Superius],[Contratenor],[Tenor],[Bassus],Composer,Title,[Tenor 1],[Tenor 2],Superius,Contratenor,Tenor,Bassus
1,1.0,,,,"('1', '1')",Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
1,3.0,,,"('1', '1')","('1', '3')",Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
1,4.0,,,,"('3', '-2')",Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
2,1.0,,"('1', '1')","('1', '3')","('-2', '-2')",Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
2,2.0,,,"('3', '2')",,Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
2,2.5,,,,"('-2', '-2')",Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
2,3.0,,"('1', '2')","('2', '-4')","('-2', '-2')",Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
2,4.0,,"('2', '1')",,"('-2', '-3')",Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
3,1.0,"('1', '1')","('1', '-2')",,"('-3', '2')",Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
3,2.0,,,,"('2', '2')",Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
3,3.0,"('1', '3')",,,,Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
3,3.5,,,,"('2', '2')",Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
3,4.0,"('3', '2')",,,"('2', '2')",Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
3,4.5,,,,"('2', '-5')",Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
4,1.0,"('2', '-4')",,,,Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
4,3.0,,,"('1', '1')",,Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
5,1.0,,"('1', '1')","('1', '3')",,Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
5,2.0,,,"('3', '2')","('1', '1')",Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
5,3.0,,"('1', '3')","('2', '-4')","('1', '-2')",Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
5,4.0,,"('3', '2')",,"('-2', '-2')",Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
6,1.0,,"('2', '-3')","('-4', '8')","('-2', '-3')",Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
6,3.0,"('1', '1')","('-3', '2')","('8', '1')","('-3', '2')",Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
6,4.0,,"('2', '2')","('1', '1')","('2', '2')",Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
6,4.5,,"('2', '2')",,"('2', '2')",Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
7,1.0,"('1', '-2')","('2', '2')","('1', '-2')","('2', '2')",Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
7,1.5,,"('2', '-2')",,"('2', '2')",Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
7,2.0,"('-2', '-2')","('-2', '-2')","('-2', '-2')","('2', '2')",Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
7,2.5,,,,"('2', '2')",Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
7,3.0,"('-2', '-2')",,"('-2', '-2')","('2', '-4')",Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
7,4.0,"('-2', '2')","('-2', '-3')","('-2', '-2')","('-4', '-5')",Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
8,1.0,,"('-3', '-3')","('-2', '3')",,Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
8,2.0,"('2', '-4')",,,,Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
8,3.0,"('-4', '1')","('-3', '1')","('3', '1')",,Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
8,4.0,"('1', '1')","('1', '1')","('1', '1')",,Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
9,1.0,"('1', '3')","('1', '-2')","('1', '-2')",,Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
9,2.0,"('3', '2')","('-2', '4')","('-2', '-2')",,Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
9,3.0,"('2', '-4')","('4', '-2')","('-2', '-2')",,Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
9,4.0,,"('-2', '2')","('-2', '2')",,Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
10,2.0,,"('2', '-4')","('2', '-4')",,Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
10,3.0,,"('-4', '5')","('-4', '-2')",,Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
10,4.0,,,"('-2', '2')","('1', '1')",Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
11,1.0,,"('5', '1')",,"('1', '-2')",Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
11,1.5,,,"('2', '2')",,Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
11,2.0,,,"('2', '2')","('-2', '-2')",Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
11,2.5,,,"('2', '2')",,Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
11,3.0,,"('1', '1')","('2', '2')","('-2', '-2')",Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
11,4.0,,,"('2', '-2')","('-2', '2')",Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
12,1.0,,"('1', '-2')","('-2', '-4')",,Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
12,2.0,,"('-2', '2')",,"('2', '2')",Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
12,3.0,"('1', '1')","('2', '2')","('-4', '1')","('2', '2')",Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
12,4.0,,,"('1', '1')",,Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
12,4.5,,"('2', '2')",,"('2', '-3')",Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
13,1.0,"('1', '-2')","('2', '-2')","('1', '3')","('-3', '5')",Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
13,1.5,,"('-2', '-2')",,,Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
13,2.0,"('-2', '-2')","('-2', '2')","('3', '2')","('5', '2')",Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
13,3.0,"('-2', '-2')",,"('2', '2')","('2', '-2')",Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
13,4.0,"('-2', '2')",,"('2', '-2')","('-2', '-5')",Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
14,1.0,,,"('-2', '-2')","('-5', '5')",Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
14,3.0,,,"('-2', '1')","('5', '1')",Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
15,1.0,,,"('1', '1')","('1', '1')",Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
15,3.0,,,"('1', '-2')","('1', '-2')",Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
15,4.0,,,"('-2', '-2')","('-2', '-2')",Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
16,1.0,,,"('-2', '1')","('-2', '-2')",Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
16,1.5,,,"('1', '-2')",,Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
16,2.0,,"('1', '1')","('-2', '-2')","('-2', '2')",Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
16,2.5,,,"('-2', '2')",,Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
16,2.75,,,"('2', '1')",,Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
16,3.0,,"('1', '2')","('1', '-2')",,Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
16,4.0,,"('2', '3')",,"('2', '-3')",Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
17,1.0,,"('3', '-2')",,"('-3', '-2')",Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
17,2.0,,"('-2', '2')",,"('-2', '4')",Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
17,3.0,"('1', '1')",,,,Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
17,4.0,,"('2', '-5')","('1', '1')",,Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
18,1.0,"('1', '-2')","('-5', '3')","('1', '2')",,Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
18,2.0,"('-2', '-2')",,"('2', '3')",,Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
18,3.0,"('-2', '1')","('3', '-2')","('3', '-2')",,Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
18,3.5,"('1', '-2')",,,,Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
18,4.0,"('-2', '-2')","('-2', '-5')","('-2', '2')",,Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
18,4.5,"('-2', '2')",,,,Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
18,4.75,"('2', '1')",,,,Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
19,1.0,"('1', '-2')",,,,Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
19,2.0,,,"('2', '2')","('1', '1')",Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
19,3.0,,,"('2', '2')","('1', '-2')",Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
19,3.5,,,"('2', '-3')",,Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
19,4.0,,,"('-3', '2')","('-2', '-2')",Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
19,4.5,,,"('2', '-2')",,Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
20,1.0,,,"('-2', '-2')","('-2', '1')",Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
20,1.5,,,,"('1', '-2')",Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
20,2.0,,"('4', '2')","('-2', '2')","('-2', '-2')",Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
20,2.5,,,,"('-2', '2')",Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
20,2.75,,,,"('2', '1')",Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
20,3.0,,"('2', '2')",,"('1', '-2')",Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
20,4.0,,,"('2', '-4')",,Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
20,4.5,,"('2', '2')",,,Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
21,1.0,,"('2', '2')",,,Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
21,1.5,,"('2', '-2')",,,Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
21,2.0,"('1', '1')","('-2', '2')",,,Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
21,3.0,"('1', '2')",,,,Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
21,4.0,"('2', '3')","('2', '2')",,,Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
22,1.0,"('3', '-2')","('2', '2')",,,Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
22,1.5,,"('2', '-3')",,,Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
22,2.0,"('-2', '2')","('-3', '2')","('1', '1')",,Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
22,2.5,,"('2', '-2')",,,Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
22,3.0,,"('-2', '3')","('1', '2')",,Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
22,4.0,"('2', '-2')",,"('2', '3')",,Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
23,1.0,"('-2', '-2')","('3', '-2')","('3', '-2')",,Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
23,2.0,,"('-2', '-2')","('-2', '-2')",,Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
23,2.5,"('-2', '-2')",,,,Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
23,3.0,"('-2', '2')",,,,Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
23,3.5,"('2', '-2')","('-2', '-2')","('-2', '-2')",,Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
23,4.0,"('-2', '-2')","('-2', '-2')","('-2', '-2')",,Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
23,4.5,,"('-2', '4')","('-2', '2')",,Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
24,1.0,,"('4', '1')","('2', '2')","('1', '1')",Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
24,2.0,"('-2', '2')","('1', '1')","('2', '-2')",,Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
24,3.0,,"('1', '-2')",,"('1', '2')",Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
24,4.0,,"('-2', '-2')",,"('2', '3')",Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
25,1.0,,"('-2', '1')",,"('3', '-2')",Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
25,1.5,,"('1', '-2')",,,Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
25,2.0,,"('-2', '-2')",,"('-2', '2')",Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
25,2.5,,"('-2', '2')",,,Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
25,2.75,,"('2', '1')",,,Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
25,3.0,,"('1', '-2')",,,Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
25,4.0,,"('-2', '5')","('1', '-2')","('2', '-5')",Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
26,1.0,"('1', '1')","('5', '2')","('-2', '2')",,Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
26,2.0,,"('2', '1')","('2', '-8')",,Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
26,3.0,"('1', '2')","('1', '-2')","('-8', '4')",,Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
26,4.0,"('2', '3')","('-2', '-2')","('4', '2')",,Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
27,1.0,"('3', '-2')","('-2', '2')","('2', '2')",,Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
27,2.0,"('-2', '-2')",,"('2', '2')","('4', '2')",Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
27,3.0,,,"('2', '2')","('2', '2')",Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
27,4.0,"('-2', '3')",,"('2', '-3')","('2', '-4')",Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
28,1.0,"('3', '-2')",,"('-3', '3')",,Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
28,2.0,"('-2', '-3')","('1', '-2')","('3', '-2')",,Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
28,3.0,,"('-2', '2')","('-2', '-2')",,Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
28,3.5,"('-3', '2')","('2', '2')",,,Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
28,4.0,"('2', '2')","('2', '2')",,,Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
28,4.5,"('2', '-2')","('2', '-2')","('-2', '-2')",,Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
28,4.75,,,"('-2', '2')",,Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
29,1.0,"('-2', '-2')","('-2', '-2')","('2', '3')",,Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
29,2.0,"('-2', '-2')","('-2', '1')","('3', '-2')",,Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
29,3.0,,,"('-2', '2')",,Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
29,3.5,,"('1', '-2')",,,Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
29,4.0,"('-2', '-2')","('-2', '1')","('2', '-2')","('2', '2')",Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
30,1.0,"('-2', '-2')",,"('-2', '-2')","('2', '2')",Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
30,1.5,,"('1', '-2')",,,Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
30,2.0,,"('-2', '-2')","('-2', '-2')","('2', '2')",Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
30,3.0,,,,"('2', '2')",Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
30,3.5,,,,"('2', '2')",Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
30,4.0,,"('-2', '4')",,"('2', '2')",Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
30,4.5,,,,"('2', '-5')",Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
31,2.0,,"('4', '-2')","('4', '-2')",,Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
31,3.0,,"('-2', '-2')","('-2', '-2')",,Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
31,4.0,"('4', '-2')",,,,Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
31,4.5,,"('-2', '-2')","('-2', '-2')",,Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
32,1.0,"('-2', '-2')","('-2', '4')","('-2', '2')",,Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
32,1.5,,"('4', '-2')",,,Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
32,2.0,,"('-2', '2')","('2', '2')","('4', '1')",Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
32,2.5,"('-2', '-2')",,,,Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
32,3.0,"('-2', '-2')",,"('2', '2')","('1', '-2')",Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
32,4.0,,,,"('-2', '-2')",Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
32,4.5,,,"('2', '2')",,Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
33,1.0,"('-2', '-2')",,"('2', '-2')","('-2', '-2')",Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
33,1.5,,,"('-2', '-2')",,Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
33,2.0,"('-2', '2')",,"('-2', '2')","('-2', '2')",Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
33,2.5,"('2', '-2')",,,"('2', '-2')",Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
33,3.0,"('-2', '1')",,,"('-2', '1')",Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
34,1.0,,"('4', '-2')",,,Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
34,3.0,,"('-2', '-2')",,,Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
34,4.0,,,"('4', '-2')",,Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
34,4.5,,"('-2', '-2')",,,Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
35,1.0,,"('-2', '4')","('-2', '-2')",,Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
35,2.5,,,"('-2', '-2')",,Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
35,3.0,,,"('-2', '2')",,Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
35,4.0,,,"('2', '-2')",,Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
36,1.0,,,"('-2', '-3')",,Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
36,3.0,,,"('-3', '1')",,Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
37,1.0,,,"('1', '1')",,Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
37,3.0,,,"('1', '3')",,Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
37,4.0,,,"('3', '2')",,Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
38,1.0,,,"('2', '-4')",,Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
38,3.0,,,"('-4', '6')","('1', '1')",Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
39,1.0,,"('1', '1')","('6', '-2')","('1', '3')",Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
39,2.0,,,"('-2', '-2')","('3', '2')",Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
39,3.0,,"('1', '3')",,"('2', '-4')",Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
39,3.5,,,"('-2', '-2')",,Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
39,4.0,,"('3', '2')","('-2', '2')","('-4', '4')",Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
39,4.5,,,"('2', '-3')",,Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
40,1.0,,"('2', '-4')","('-3', '1')","('4', '-2')",Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
40,2.0,,"('-4', '4')","('1', '2')","('-2', '2')",Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
40,3.0,,"('4', '-2')","('2', '2')",,Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
40,3.5,,,,"('2', '2')",Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
40,4.0,,"('-2', '-2')",,"('2', '2')",Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
40,4.5,,,"('2', '-4')","('2', '2')",Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
41,1.0,,,,"('2', '2')",Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
41,1.5,,,,"('2', '-2')",Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
41,2.0,,"('-2', '-2')",,"('-2', '2')",Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
41,3.0,"('1', '1')","('-2', '2')",,,Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
42,1.0,"('1', '3')","('2', '2')",,,Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
42,1.5,,"('2', '-3')",,,Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
42,2.0,"('3', '2')","('-3', '2')",,,Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
42,2.5,,"('2', '-2')",,,Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
42,3.0,"('2', '-4')",,"('1', '1')",,Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
42,4.0,"('-4', '4')",,,"('1', '1')",Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
43,1.0,"('4', '-2')",,"('1', '3')","('1', '5')",Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
43,2.0,"('-2', '-2')","('-2', '-2')","('3', '2')","('5', '2')",Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
43,3.0,"('-2', '-2')",,"('2', '-4')","('2', '-4')",Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
43,4.0,"('-2', '3')","('-2', '-2')",,"('-4', '2')",Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
44,1.0,"('3', '-2')","('-2', '4')",,"('2', '-4')",Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
44,1.5,,"('4', '-2')",,,Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
44,2.0,"('-2', '-2')","('-2', '2')",,,Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
44,3.0,"('-2', '2')",,,"('-4', '1')",Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
44,4.0,,"('2', '-5')","('3', '-2')",,Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
45,1.0,"('2', '-2')","('-5', '3')","('-2', '-2')","('1', '1')",Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
45,2.0,"('-2', '1')",,,"('1', '1')",Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
45,2.5,,,"('-2', '-2')",,Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
45,3.0,,,"('-2', '-2')","('1', '3')",Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
45,3.5,"('1', '-2')",,,,Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
45,4.0,"('-2', '2')",,,"('3', '2')",Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
46,1.0,,,"('-2', '-2')","('2', '-4')",Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
46,2.0,,"('1', '1')","('-2', '6')","('-4', '-2')",Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
46,3.0,,"('1', '3')","('6', '-3')","('-2', '2')",Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
46,4.0,,"('3', '2')","('-3', '2')",,Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
47,1.0,,"('2', '-4')","('2', '2')",,Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
47,2.0,,"('-4', '2')","('2', '-3')","('2', '5')",Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
47,3.0,"('1', '1')","('2', '2')","('-3', '-2')",,Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
47,3.5,,"('2', '-3')",,,Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
47,4.0,,"('-3', '2')","('-2', '2')",,Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
47,4.5,,"('2', '2')",,,Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
48,1.0,"('1', '3')","('2', '2')","('2', '2')",,Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
48,2.0,"('3', '2')",,,,Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
48,2.5,,"('2', '-2')","('2', '-2')",,Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
48,3.0,"('2', '-4')","('-2', '-2')","('-2', '-2')",,Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
48,4.0,,"('-2', '-2')","('-2', '2')",,Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
49,2.0,,,"('2', '3')",,Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
49,3.0,,,"('3', '1')","('1', '1')",Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
49,4.0,,,"('1', '1')",,Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
50,1.0,,,,"('1', '-2')",Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
50,2.0,,,"('1', '-2')","('-2', '-2')",Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
50,3.0,,,"('-2', '-2')","('-2', '2')",Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
50,4.0,,"('1', '1')","('-2', '-2')","('2', '2')",Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
51,1.0,,"('1', '-2')","('-2', '2')",,Jean Guyon,Missa Je suis déshéritée: Kyrie,,,,,,
