,Composer,Title,Measure,Beat,Pattern,Key,CadType,Tone,CVFs,LeadingTones,Sounding,Low,RelLow,RelTone,Progress,SinceLast,ToNext,Validation,Comments
44.0,Morley,Morley_1597_188-189,12,1.0,C1t2,^C(1|3)t(1|2)x?z?$,Evaded Clausula Vera,G,tC,1.0,4.0,G3,P1,P8,0.22,16.0,20.0,,
28.0,Morley,Morley_1597_188-189,8,1.0,BC1,^BC(1|3)x?z?$,Authentic,G,TCB,1.0,3.0,G3,P1,P8,0.14,8.0,16.0,,
136.0,Morley,Morley_1597_188-189,35,1.0,C1T-2,^C(1|3)T-2x?z?$,Clausula Vera,D,CT,1.0,4.0,D4,P5,P5,0.68,2.0,16.0,,
104.0,Morley,Morley_1597_188-189,27,1.0,BC1,^BC(1|3)x?z?$,Authentic,D,CtB,1.0,4.0,D4,P5,P5,0.52,16.0,24.0,,
200.0,Morley,Morley_1597_188-189,51,1.0,C1t2,^C(1|3)t(1|2)x?z?$,Evaded Clausula Vera,G,tC,1.0,4.0,G3,P1,P8,1.0,16.0,8.0,,
184.0,Morley,Morley_1597_188-189,47,1.0,C1T-2,^C(1|3)T-2x?z?$,Clausula Vera,D,CT,1.0,4.0,D4,P5,P5,0.92,2.0,16.0,,
616.0,Morley,Morley_1597_190-193,78,1.0,BC1,^BC(1|3)x?z?$,Authentic,D,tCB,1.0,4.0,D3,P5,P5,0.7403846153846154,20.0,20.0,,
528.0,Morley,Morley_1597_190-193,67,1.0,BC1,^BC(1|3)x?z?$,Authentic,G,CTB,1.0,4.0,G2,P1,P8,0.6346153846153846,12.0,12.0,,
540.0,Morley,Morley_1597_190-193,68,3.0,C1T-2,^C(1|3)T-2x?z?$,Clausula Vera,D,CT,1.0,4.0,D3,P5,P5,0.6490384615384616,12.0,4.0,,
544.0,Morley,Morley_1597_190-193,69,1.0,c-1x,^c-(1|2)xz?$,Abandoned Authentic,,cx,-1.0,3.0,D4,P12,,0.6538461538461539,4.0,4.0,,
548.0,Morley,Morley_1597_190-193,69,3.0,T-2c-2,^T-2c-(1|2)x?z?$,Evaded Clausula Vera,,Tc,-1.0,4.0,B-2,m3,,0.6586538461538461,4.0,8.0,,
556.0,Morley,Morley_1597_190-193,70,3.0,BC1,^BC(1|3)x?z?$,Authentic,G,CTB,1.0,4.0,G2,P1,P8,0.6682692307692307,8.0,8.0,,
564.0,Morley,Morley_1597_190-193,71,3.0,BC1,^BC(1|3)x?z?$,Authentic,D,CtB,1.0,4.0,D3,P5,P5,0.6778846153846154,8.0,16.0,,
580.0,Morley,Morley_1597_190-193,73,3.0,BC1,^BC(1|3)x?z?$,Authentic,D,CBx,1.0,2.0,D3,P5,P5,0.6971153846153846,16.0,16.0,,
596.0,Morley,Morley_1597_190-193,75,3.0,T-2a,^T-2az?$,Evaded Altizans Only,,aT,-1.0,4.0,G2,P1,,0.7163461538461539,16.0,20.0,,
636.0,Morley,Morley_1597_190-193,80,3.0,C1T-2,^C(1|3)T-2x?z?$,Clausula Vera,B-,CT,1.0,4.0,B-2,m3,m3,0.7644230769230769,20.0,16.0,,
652.0,Morley,Morley_1597_190-193,82,3.0,T-1a,T-1a,,,aT,,3.0,F4,m14,,0.7836538461538461,16.0,8.0,,
660.0,Morley,Morley_1597_190-193,83,3.0,BC1,^BC(1|3)x?z?$,Authentic,B-,tCB,1.0,5.0,B-2,m3,m3,0.7932692307692307,8.0,24.0,,
684.0,Morley,Morley_1597_190-193,86,3.0,C1T-2,^C(1|3)T-2x?z?$,Clausula Vera,G,tCT,1.0,4.0,G2,P1,P8,0.8221153846153846,24.0,12.0,,
696.0,Morley,Morley_1597_190-193,88,1.0,C1T-2,^C(1|3)T-2x?z?$,Clausula Vera,D,tCT,1.0,5.0,D3,P5,P5,0.8365384615384616,12.0,16.0,,
712.0,Morley,Morley_1597_190-193,90,1.0,BC1,^BC(1|3)x?z?$,Authentic,D,CTBx,1.0,4.0,D3,P5,P5,0.8557692307692307,16.0,16.0,,
728.0,Morley,Morley_1597_190-193,92,1.0,C1T-2,^C(1|3)T-2x?z?$,Clausula Vera,C,CT,1.0,4.0,C3,P4,P4,0.875,16.0,32.0,,
760.0,Morley,Morley_1597_190-193,96,1.0,T-1a,T-1a,,,aT,,3.0,F4,m14,,0.9134615384615384,32.0,8.0,,
768.0,Morley,Morley_1597_190-193,97,1.0,BC1,^BC(1|3)x?z?$,Authentic,G,TCB,1.0,4.0,G3,P8,P8,0.9230769230769231,8.0,44.0,,
812.0,Morley,Morley_1597_190-193,102,3.0,C1T-2,^C(1|3)T-2x?z?$,Clausula Vera,B-,CQT,1.0,5.0,B-2,m3,m3,0.9759615384615384,44.0,20.0,,
516.0,Morley,Morley_1597_190-193,65,3.0,T-2c-2,^T-2c-(1|2)x?z?$,Evaded Clausula Vera,,Tc,-1.0,4.0,D3,P5,,0.6201923076923077,8.0,12.0,,
508.0,Morley,Morley_1597_190-193,64,3.0,T-1c-2,T-1c-2,,,Tc,,2.0,F4,m14,,0.6105769230769231,4.0,8.0,,
504.0,Morley,Morley_1597_190-193,64,1.0,c-2x,^c-(1|2)xz?$,Abandoned Authentic,,cx,-1.0,2.0,A4,M16,,0.6057692307692307,16.0,4.0,,
488.0,Morley,Morley_1597_190-193,62,1.0,C1T-2,^C(1|3)T-2x?z?$,Clausula Vera,D,CT,1.0,2.0,D4,P12,P5,0.5865384615384616,40.0,16.0,,
24.0,Morley,Morley_1597_190-193,4,1.0,c-1z,c-1z,,,cz,,2.0,G4,P15,,0.028846153846153848,24.0,4.0,,
28.0,Morley,Morley_1597_190-193,4,3.0,C1t2,^C(1|3)t(1|2)x?z?$,Evaded Clausula Vera,G,tC,1.0,4.0,G3,P8,P8,0.03365384615384615,4.0,20.0,,
48.0,Morley,Morley_1597_190-193,7,1.0,BC1,^BC(1|3)x?z?$,Authentic,G,CtB,1.0,5.0,G2,P1,P8,0.057692307692307696,20.0,52.0,,
100.0,Morley,Morley_1597_190-193,13,3.0,C1t2,^C(1|3)t(1|2)x?z?$,Evaded Clausula Vera,D,tC,1.0,3.0,D3,P5,P5,0.1201923076923077,52.0,24.0,,
124.0,Morley,Morley_1597_190-193,16,3.0,BC1,^BC(1|3)x?z?$,Authentic,G,CtB,1.0,4.0,G2,P1,P8,0.14903846153846154,24.0,28.0,,
152.0,Morley,Morley_1597_190-193,20,1.0,BC1,^BC(1|3)x?z?$,Authentic,G,TCB,1.0,4.0,G3,P8,P8,0.18269230769230768,28.0,28.0,,
180.0,Morley,Morley_1597_190-193,23,3.0,C1T-2,^C(1|3)T-2x?z?$,Clausula Vera,D,CT,1.0,4.0,D3,P5,P5,0.21634615384615385,28.0,20.0,,
200.0,Morley,Morley_1597_190-193,26,1.0,BC1,^BC(1|3)x?z?$,Authentic,G,zCB,1.0,3.0,G3,P8,P8,0.2403846153846154,20.0,32.0,,
232.0,Morley,Morley_1597_190-193,30,1.0,C1t1,^C(1|3)t(1|2)x?z?$,Evaded Clausula Vera,D,tC,1.0,4.0,D3,P5,P5,0.27884615384615385,32.0,16.0,,
