,Composer,Title,Measure,Beat,CadType,Tone,Evaded,LeadingTones,Low,RelLow,RelTone,Progress,SinceLast,ToNext,Validation,Comments
0,Cipriano de Rore,Quando lieta sperai,5,3.0,Authentic,A,False,1.0,A3,P8,P4,0.05389221556886228,36.0,16.0,,
1,Cipriano de Rore,Quando lieta sperai,7,3.0,Altizans Only,A,False,0.0,D3,P4,P4,0.07784431137724551,16.0,24.0,,
2,Cipriano de Rore,Quando lieta sperai,10,3.0,Authentic,A,False,1.0,A2,P1,P4,0.11377245508982035,24.0,28.0,,
3,Cipriano de Rore,Quando lieta sperai,14,1.0,Authentic,,True,-1.0,C3,m3,,0.15568862275449102,28.0,20.0,,
4,Cipriano de Rore,Quando lieta sperai,16,3.0,Clausula Vera,C,False,1.0,C3,m3,-M3,0.18562874251497005,20.0,28.0,,
5,Cipriano de Rore,Quando lieta sperai,20,1.0,Authentic,A,False,1.0,A2,P1,P4,0.2275449101796407,28.0,84.0,,
6,Cipriano de Rore,Quando lieta sperai,30,3.0,Authentic,A,False,1.0,A2,P1,P4,0.3532934131736527,84.0,28.0,,
7,Cipriano de Rore,Quando lieta sperai,34,1.0,Clausula Vera,A,False,1.0,A3,P8,P4,0.39520958083832336,28.0,28.0,,
8,Cipriano de Rore,Quando lieta sperai,37,3.0,Phrygian,E,False,1.0,E3,P5,P1,0.437125748502994,28.0,112.0,,
9,Cipriano de Rore,Quando lieta sperai,51,3.0,Authentic,A,False,1.0,A2,P1,P4,0.6047904191616766,112.0,40.0,,
10,Cipriano de Rore,Quando lieta sperai,56,3.0,Authentic,A,False,1.0,A2,P1,P4,0.6646706586826348,40.0,12.0,,
11,Cipriano de Rore,Quando lieta sperai,58,1.0,Phrygian,E,False,1.0,E3,P5,P1,0.6826347305389222,12.0,48.0,,
12,Cipriano de Rore,Quando lieta sperai,64,1.0,Clausula Vera,A,False,1.0,A3,P8,P4,0.7544910179640718,48.0,44.0,,
13,Cipriano de Rore,Quando lieta sperai,69,3.0,Clausula Vera,A,False,1.0,A3,P8,P4,0.8203592814371258,44.0,36.0,,
14,Cipriano de Rore,Quando lieta sperai,74,1.0,Clausula Vera,D,True,1.0,D4,P11,-M2,0.874251497005988,36.0,36.0,,
15,Cipriano de Rore,Quando lieta sperai,78,3.0,Phrygian,E,False,1.0,E3,P5,P1,0.9281437125748503,36.0,20.0,,
16,Cipriano de Rore,Quando lieta sperai,81,1.0,Authentic,A,False,1.0,A2,P1,P4,0.9580838323353293,20.0,24.0,,
17,Cipriano de Rore,Quando lieta sperai,84,1.0,Plagal,E,False,1.0,A2,P1,P1,0.9940119760479041,24.0,20.0,,
18,Ippolito Baccusi,Missa Quando lieta sperai:  Kyrie,18,3.0,Clausula Vera,G,True,1.0,G3,P4,M2,0.2777777777777778,140.0,20.0,,
19,Ippolito Baccusi,Missa Quando lieta sperai:  Kyrie,21,1.0,Authentic,A,False,1.0,A2,-P4,M3,0.31746031746031744,20.0,52.0,,
20,Ippolito Baccusi,Missa Quando lieta sperai:  Kyrie,26,3.0,,,,,E3,M2,,0.42063492063492064,52.0,12.0,,
21,Ippolito Baccusi,Missa Quando lieta sperai:  Kyrie,28,1.0,Authentic,A,False,1.0,A2,-P4,M3,0.4444444444444444,12.0,8.0,,
22,Ippolito Baccusi,Missa Quando lieta sperai:  Kyrie,29,1.0,Authentic,D,False,0.0,D3,P1,-m3,0.4603174603174603,8.0,44.0,,
23,Ippolito Baccusi,Missa Quando lieta sperai:  Kyrie,34,3.0,Authentic,D,False,0.0,D3,P1,-m3,0.5476190476190477,44.0,48.0,,
24,Ippolito Baccusi,Missa Quando lieta sperai:  Kyrie,40,3.0,Authentic,A,False,0.0,D3,P1,M3,0.6428571428571429,48.0,42.0,,
25,Ippolito Baccusi,Missa Quando lieta sperai:  Kyrie,44,4.0,Clausula Vera,G,False,1.0,G3,P4,M2,0.7261904761904762,42.0,24.0,,
26,Ippolito Baccusi,Missa Quando lieta sperai:  Kyrie,47,4.0,Phrygian,E,False,1.0,A2,-P4,-m2,0.7738095238095238,24.0,14.0,,
27,Ippolito Baccusi,Missa Quando lieta sperai:  Kyrie,49,3.0,Authentic,D,False,1.0,D3,P1,-m3,0.8015873015873016,14.0,24.0,,
28,Ippolito Baccusi,Missa Quando lieta sperai:  Kyrie,52,3.0,Altizans Only,A,False,0.0,D3,P1,M3,0.8492063492063492,24.0,20.0,,
29,Ippolito Baccusi,Missa Quando lieta sperai:  Kyrie,55,1.0,Authentic,A,False,1.0,A2,-P4,M3,0.8888888888888888,20.0,48.0,,
30,Ippolito Baccusi,Missa Quando lieta sperai:  Kyrie,61,1.0,Authentic,F,True,1.0,D3,P1,P1,0.9841269841269841,48.0,24.0,,
31,Ippolito Baccusi,Missa Quando lieta sperai:  Gloria,6,3.0,Phrygian,E,False,1.0,E3,M2,M2,0.07236842105263158,44.0,4.0,,
32,Ippolito Baccusi,Missa Quando lieta sperai:  Gloria,7,1.0,Clausula Vera,A,False,1.0,A3,P5,P5,0.07894736842105263,4.0,72.0,,
33,Ippolito Baccusi,Missa Quando lieta sperai:  Gloria,16,1.0,,E,,,E3,M2,M2,0.19736842105263158,72.0,32.0,,
34,Ippolito Baccusi,Missa Quando lieta sperai:  Gloria,20,1.0,Authentic,A,False,0.0,A2,-P4,P5,0.25,32.0,24.0,,
35,Ippolito Baccusi,Missa Quando lieta sperai:  Gloria,23,1.0,Phrygian,E,False,1.0,A3,P5,M2,0.2894736842105263,24.0,56.0,,
36,Ippolito Baccusi,Missa Quando lieta sperai:  Gloria,30,1.0,Clausula Vera,A,False,0.0,A3,P5,P5,0.3815789473684211,56.0,136.0,,
37,Ippolito Baccusi,Missa Quando lieta sperai:  Gloria,47,1.0,Phrygian,E,False,1.0,E3,M2,M2,0.6052631578947368,136.0,4.0,,
38,Ippolito Baccusi,Missa Quando lieta sperai:  Gloria,47,3.0,Clausula Vera,A,False,1.0,A3,P5,P5,0.6118421052631579,4.0,28.0,,
39,Ippolito Baccusi,Missa Quando lieta sperai:  Gloria,51,1.0,Authentic,A,False,1.0,A2,-P4,P5,0.6578947368421053,28.0,32.0,,
40,Ippolito Baccusi,Missa Quando lieta sperai:  Gloria,55,1.0,Authentic,C,False,1.0,C3,-M2,-M2,0.7105263157894737,32.0,44.0,,
41,Ippolito Baccusi,Missa Quando lieta sperai:  Gloria,60,3.0,Phrygian,E,False,1.0,E3,M2,M2,0.7828947368421053,44.0,44.0,,
42,Ippolito Baccusi,Missa Quando lieta sperai:  Gloria,66,1.0,Authentic,C,False,1.0,C3,-M2,-M2,0.8552631578947368,44.0,48.0,,
43,Ippolito Baccusi,Missa Quando lieta sperai:  Gloria,72,1.0,Authentic,,True,-1.0,F4,m10,,0.9342105263157895,48.0,6.0,,
44,Ippolito Baccusi,Missa Quando lieta sperai:  Gloria,72,4.0,Authentic,D,False,0.0,D3,P1,P1,0.944078947368421,6.0,2.0,,
45,Ippolito Baccusi,Missa Quando lieta sperai:  Gloria,73,1.0,Phrygian,E,False,1.0,A2,-P4,M2,0.9473684210526315,2.0,4.0,,
46,Ippolito Baccusi,Missa Quando lieta sperai:  Gloria,73,3.0,,D,,,D3,P1,P1,0.9539473684210527,4.0,44.0,,
47,Ippolito Baccusi,Missa Quando lieta sperai: Credo,3,1.0,Authentic,A,False,1.0,A3,P5,P5,0.014184397163120567,16.0,24.0,,
48,Ippolito Baccusi,Missa Quando lieta sperai: Credo,6,1.0,Authentic,A,False,1.0,A3,P5,P5,0.03546099290780142,24.0,40.0,,
49,Ippolito Baccusi,Missa Quando lieta sperai: Credo,11,1.0,,E,,,A3,P5,M2,0.07092198581560284,40.0,72.0,,
50,Ippolito Baccusi,Missa Quando lieta sperai: Credo,20,1.0,Phrygian,E,False,1.0,E4,M9,M2,0.1347517730496454,72.0,20.0,,
51,Ippolito Baccusi,Missa Quando lieta sperai: Credo,22,3.0,Clausula Vera,C,True,1.0,C3,-M2,-M2,0.1524822695035461,20.0,52.0,,
52,Ippolito Baccusi,Missa Quando lieta sperai: Credo,29,1.0,Authentic,A,False,1.0,A2,-P4,P5,0.19858156028368795,52.0,20.0,,
53,Ippolito Baccusi,Missa Quando lieta sperai: Credo,31,3.0,Authentic,,True,-1.0,F4,m10,,0.21631205673758866,20.0,28.0,,
