,Validation,Comments,Composer,Title,First_Offset,Measures_Beats,Melodic_Entry_Intervals,Offsets,Soggetti,Time_Entry_Intervals,Voices,Presentation_Type,Number_Entries,Flexed_Entries
0,,,Cipriano de Rore,Quando lieta sperai,0.0,"['1/1.0', '2/3.0']",['P1'],"[0.0, 12.0]","[('2', '-2', '2', '2')]",[12.0],"['Cantus', 'Altus']",FUGA,2.0,False
1,,,Cipriano de Rore,Quando lieta sperai,80.0,"['11/1.0', '16/4.0']",['M-2'],"[80.0, 126.0]","[('2', '2', '-2', '-2')]",[46.0],"['Quintus', 'Tenor']",FUGA,2.0,False
2,,,Cipriano de Rore,Quando lieta sperai,194.0,['25/2.0'],['m-3'],"[194.0, 194.0]","[('-2', '-2', '-2', '2')]",[0.0],"['Cantus', 'Altus']",FUGA,2.0,False
3,,,Cipriano de Rore,Quando lieta sperai,206.0,"['26/4.0', '33/3.0', '39/1.0']","['P1', 'M6']","[206.0, 260.0, 304.0]","[('-2', '-2', '-2', '-2')]","[54.0, 44.0]","['Tenor', 'Tenor', 'Cantus']",FUGA,3.0,False
4,,,Cipriano de Rore,Quando lieta sperai,335.0,"['42/4.5', '47/2.0']",['M14'],"[335.0, 370.0]","[('2', '2', '2', '-2')]",[35.0],"['Bassus', 'Cantus']",FUGA,2.0,False
5,,,Cipriano de Rore,Quando lieta sperai,452.0,"['57/3.0', '59/4.0']",['P-4'],"[452.0, 470.0]","[('-2', '-2', '-2', '-2')]",[18.0],"['Cantus', 'Tenor']",FUGA,2.0,False
6,,,Cipriano de Rore,Quando lieta sperai,466.0,"['59/2.0', '60/3.0']",['M6'],"[466.0, 476.0]","[('-2', '-2', '2', '2')]",[10.0],"['Quintus', 'Altus']",FUGA,2.0,False
7,,,Cipriano de Rore,Quando lieta sperai,510.0,"['64/4.0', '67/1.0']",['P5'],"[510.0, 528.0]","[('3', '-2', '-2', '2')]",[18.0],"['Tenor', 'Altus']",FUGA,2.0,False
8,,,Cipriano de Rore,Quando lieta sperai,542.0,"['68/4.0', '70/2.0']",['M2'],"[542.0, 554.0]","[('-2', '-3', '3', '-2')]",[12.0],"['Tenor', 'Quintus']",FUGA,2.0,False
9,,,Ippolito Baccusi,Missa Quando lieta sperai:  Kyrie,0.0,"['1/1.0', '2/2.0', '3/2.0', '4/3.0', '5/4.0']","['P1', 'P-8', 'P11', 'P-8']","[0.0, 10.0, 18.0, 28.0, 38.0]","[('2', '-2', '2', '2')]","[10.0, 8.0, 10.0, 10.0]","['Cantus', 'Quintus', 'Tenor', 'Cantus', 'Tenor']",FUGA,5.0,False
10,,,Ippolito Baccusi,Missa Quando lieta sperai:  Kyrie,10.0,"['2/2.0', '3/2.0', '5/4.0', '14/2.0', '17/3.0', '19/2.0']","['P-8', 'P4', 'P12', 'P-12', 'P4']","[10.0, 18.0, 38.0, 106.0, 132.0, 146.0]","[('-2', '-2', '2', '2')]","[8.0, 20.0, 68.0, 26.0, 14.0]","['Altus', 'Bassus', 'Bassus', 'Cantus', 'Bassus', 'Tenor']",FUGA,6.0,False
