Measure,Beat,Bassus_Quinta vox,Bassus_Tenor,Bassus_Altus,Bassus_Sexta vox,Bassus_Cantus,Quinta vox_Tenor,Quinta vox_Altus,Quinta vox_Sexta vox,Quinta vox_Cantus,Tenor_Altus,Tenor_Sexta vox,Tenor_Cantus,Altus_Sexta vox,Altus_Cantus,Sexta vox_Cantus
1,2.5,,"8_1, 8_-4, 10","10_1, 10_-4, 12","12_1, 12_-4, 15","14_1, 15_-4, 19",,,,,"3_1, 3_-2, 3","5_1, 5_-2, 6","7_1, 8_-2, 10","3_1, 3_-2, 4","5_1, 6_-2, 8","3_1, 4_1, 5"
1,3.0,,"8_-4, 10_1, 8","10_-4, 12_1, 12","12_-4, 15_1, 17","15_-4, 19_1, 19",,,,,"3_-2, 3_-3, 5","5_-2, 6_-3, 10","8_-2, 10_-3, 12","3_-2, 4_1, 6","6_-2, 8_1, 8","4_1, 5_3, 3"
2,3.0,"5_1, 5_5, 1","10_1, 10_5, 5","12_1, 12_5, 8","15_1, 15_5, 10","19_1, 19_5, 15","6_1, 6_1, 5","8_1, 8_1, 8","11_1, 11_1, 10","15_1, 15_1, 15","3_1, 3_-2, 4","6_1, 6_-2, 6","10_1, 10_-2, 11","4_1, 4_1, 3","8_1, 8_1, 8","5_1, 5_-2, 6"
6,2.0,,,,,,,"5_1, 5_-4, 8","8_1, 8_-4, 10","10_1, 10_-4, 12",,,,"4_1, 4_1, 3","6_1, 6_1, 5","3_1, 3_-2, 3"
6,2.5,,,,,,,"5_-4, 8_2, 5","8_-4, 10_2, 8","10_-4, 12_2, 10",,,,"4_1, 3_-3, 4","6_1, 5_-3, 6","3_-2, 3_-2, 3"
6,3.5,,,,,,,"5_-4, 8_4, 5","8_-4, 10_4, 8","10_-4, 12_4, 10",,,,"4_1, 3_1, 4","6_1, 5_1, 6","3_-2, 3_2, 3"
12,1.5,"4_4, 1_-2, 3","5_4, 3_-2, 6","10_4, 5_-2, 8",,"13_4, 10_-2, 11","2_Held, 3_2, 4","7_Held, 5_2, 6",,,"6_2, 3_3, 3",,"9_2, 8_3, 6",,"4_-3, 6_3, 4",
13,4.5,"6_-2, 5_-4, 8","10_-2, 10_-4, 12","10_-2, 8_-4, 10",,,"5_-2, 6_1, 5","5_-2, 4_1, 3",,,"1_2, -3_-2, -3",,,,,
16,1.5,,,,,,,,,,,,,"3_2, 3_2, 3","6_2, 5_2, 6","4_2, 3_2, 4"
16,2.0,,,,,,,,,,,,,"3_2, 3_2, 3","5_2, 6_2, 5","3_2, 4_2, 3"
