,Validation,Comments,Composer,Title,First_Offset,Measures_Beats,Melodic_Entry_Intervals,Offsets,Soggetti,Time_Entry_Intervals,Voices,Presentation_Type,Number_Entries,Flexed_Entries
0,,,"Palestrina, Giovanni Pierluigi da",Veni sponsa Christi,0.0,"['1/1.0', '2/1.0', '6/1.0', '7/1.0', '11/3.0', '14/1.0', '17/1.0']","['P-5', 'P-4', 'P-5', 'P8', 'P5', 'P-8']","[0.0, 8.0, 40.0, 48.0, 84.0, 104.0, 128.0]","[('-3', '3', '2', '-2')]","[8.0, 32.0, 8.0, 36.0, 20.0, 24.0]","['Cantus', 'Altus', 'Tenor', 'Bassus', 'Altus', 'Cantus', 'Bassus']",FUGA,7.0,False
1,,,"Palestrina, Giovanni Pierluigi da",Veni sponsa Christi,150.0,"['19/4.0', '21/4.0', '22/4.0', '25/4.0', '27/4.0', '29/4.0', '32/2.0', '35/2.0']","['P8', 'P-5', 'P-4', 'P-5', 'P8', 'P8', 'P-11']","[150.0, 166.0, 174.0, 198.0, 214.0, 230.0, 250.0, 274.0]","[('-3', '2', '2', '-2')]","[16.0, 8.0, 24.0, 16.0, 16.0, 20.0, 24.0]","['Tenor', 'Cantus', 'Altus', 'Tenor', 'Bassus', 'Altus', 'Cantus', 'Bassus']",FUGA,8.0,False
2,,,"Palestrina, Giovanni Pierluigi da",Veni sponsa Christi,298.0,"['38/2.0', '38/4.0', '42/2.0', '44/1.0', '46/2.0', '48/4.0']","['P-5', 'P-5', 'P8', 'P8', 'P-11']","[298.0, 302.0, 330.0, 344.0, 362.0, 382.0]","[('-3', '3', '-2', '-2')]","[4.0, 28.0, 14.0, 18.0, 20.0]","['Altus', 'Tenor', 'Bassus', 'Altus', 'Cantus', 'Bassus']",FUGA,6.0,False
3,,,"Palestrina, Giovanni Pierluigi da",Veni sponsa Christi,394.0,"['50/2.0', '51/4.0', '53/2.0', '55/2.0', '56/4.0', '59/1.0', '61/4.0', '62/2.0', '64/2.0']","['P5', 'P-8', 'P4', 'P5', 'P-8', 'P8', 'P-4', 'P-5']","[394.0, 406.0, 418.0, 434.0, 446.0, 464.0, 486.0, 490.0, 506.0]","[('-2', '2', '3', '-2')]","[12.0, 12.0, 16.0, 12.0, 18.0, 22.0, 4.0, 16.0]","['Altus', 'Cantus', 'Bassus', 'Tenor', 'Altus', 'Bassus', 'Cantus', 'Altus', 'Tenor']",FUGA,9.0,False
4,,,Giovanni Pierluigi da Palestrina,Missa Veni sponsa Christi: Kyrie,0.0,"['1/1.0', '2/1.0', '6/1.0', '7/1.0']","['P-5', 'P-4', 'P-5']","[0.0, 8.0, 40.0, 48.0]","[('-3', '3', '2', '-2')]","[8.0, 32.0, 8.0]","['Cantus', 'Altus', 'Tenor', 'Bassus']",ID,4.0,False
5,,,Giovanni Pierluigi da Palestrina,Missa Veni sponsa Christi: Kyrie,78.0,"['10/4.0', '12/2.0', '14/2.0', '15/3.0']","['P-4', 'P-5', 'P-4']","[78.0, 90.0, 106.0, 116.0]","[('2', '2', '2', '2')]","[12.0, 16.0, 10.0]","['Cantus', 'Altus', 'Tenor', 'Bassus']",FUGA,4.0,False
6,,,Giovanni Pierluigi da Palestrina,Missa Veni sponsa Christi: Kyrie,160.0,"['20/1.0', '24/1.0', '30/2.0', '33/1.0', '35/3.0', '39/3.0']","['P-8', 'P1', 'P4', 'P-8', 'P5']","[160.0, 192.0, 242.0, 264.0, 284.0, 316.0]","[('-3', '2', '2', '-2')]","[32.0, 50.0, 22.0, 20.0, 32.0]","['Cantus', 'Tenor', 'Bassus', 'Altus', 'Bassus', 'Bassus']",FUGA,6.0,False
7,,,Giovanni Pierluigi da Palestrina,Missa Veni sponsa Christi: Kyrie,164.0,"['20/3.0', '24/3.0', '27/2.0', '27/4.0', '30/4.0', '36/1.0', '40/2.0', '40/4.0']","['P-8', 'P8', 'P-8', 'P5', 'P4', 'P5', 'M-6']","[164.0, 196.0, 218.0, 222.0, 246.0, 288.0, 322.0, 326.0]","[('2', '2', '-2', '-3')]","[32.0, 22.0, 4.0, 24.0, 42.0, 34.0, 4.0]","['Altus', 'Bassus', 'Cantus', 'Tenor', 'Tenor', 'Altus', 'Cantus', 'Tenor']",FUGA,8.0,False
8,,,Giovanni Pierluigi da Palestrina,Missa Veni sponsa Christi: Kyrie,372.0,"['45/3.0', '47/3.0', '49/3.0', '51/4.0', '53/3.0']","['P8', 'P-8', 'P8', 'P-12']","[372.0, 388.0, 404.0, 422.0, 436.0]","[('-3', '3', '-2', '-2')]","[16.0, 16.0, 18.0, 14.0]","['Tenor', 'Cantus', 'Bassus', 'Altus', 'Bassus']",FUGA,5.0,False
9,,,Giovanni Pierluigi da Palestrina,Missa Veni sponsa Christi: Kyrie,458.0,"['56/2.0', '58/4.0', '61/3.0', '63/2.0']","['P-8', 'P-5', 'P12']","[458.0, 478.0, 500.0, 514.0]","[('-2', '2', '3', '-2')]","[20.0, 22.0, 14.0]","['Cantus', 'Tenor', 'Bassus', 'Cantus']",FUGA,4.0,False
10,,,Giovanni Pierluigi da Palestrina,Missa Veni sponsa Christi: Kyrie,510.0,"['62/4.0', '64/2.0']",['P5'],"[510.0, 522.0]","[('-2', '2', '2', '2')]",[12.0],"['Tenor', 'Altus']",FUGA,2.0,False
11,,,Giovanni Pierluigi da Palestrina,Missa Veni sponsa Christi: Gloria,0.0,"['1/1.0', '4/3.0']",['P-8'],"[0.0, 28.0]","[('-3', '3', '2', '-2')]",[28.0],"['Cantus', 'Tenor']",FUGA,2.0,False
12,,,Giovanni Pierluigi da Palestrina,Missa Veni sponsa Christi: Gloria,4.0,"['1/3.0', '5/1.0']",['P-8'],"[4.0, 32.0]","[('-3', '2', '2', '-5')]",[28.0],"['Altus', 'Bassus']",FUGA,2.0,False
13,,,Giovanni Pierluigi da Palestrina,Missa Veni sponsa Christi: Gloria,50.0,"['7/2.0', '7/4.0', '10/3.0', '12/3.0']","['P5', 'P-12', 'P8']","[50.0, 54.0, 76.0, 92.0]","[('-2', '-3', '3', '-2')]","[4.0, 22.0, 16.0]","['Altus', 'Cantus', 'Bassus', 'Altus']",FUGA,4.0,False
14,,,Giovanni Pierluigi da Palestrina,Missa Veni sponsa Christi: Gloria,236.0,"['30/3.0', '34/4.0', '35/2.0', '37/4.0', '39/2.0', '40/2.0']","['P-4', 'P5', 'P-12', 'P5', 'P8']","[236.0, 270.0, 274.0, 294.0, 306.0, 314.0]","[('-2', '2', '3', '-2')]","[34.0, 4.0, 20.0, 12.0, 8.0]","['Cantus', 'Altus', 'Cantus', 'Bassus', 'Tenor', 'Cantus']",FUGA,6.0,False
15,,,Giovanni Pierluigi da Palestrina,Missa Veni sponsa Christi: Gloria,352.0,"['44/1.0', '45/1.0', '46/1.0', '47/1.0', '54/1.0', '55/2.0']","['P8', 'P-12', 'P8', 'P-8', 'P8']","[352.0, 360.0, 368.0, 376.0, 432.0, 442.0]","[('-3', '3', '2', '-2')]","[8.0, 8.0, 8.0, 56.0, 10.0]","['Tenor', 'Cantus', 'Bassus', 'Altus', 'Bassus', 'Altus']",FUGA,6.0,False
16,,,Giovanni Pierluigi da Palestrina,Missa Veni sponsa Christi: Gloria,402.0,['50/2.0'],['M-10'],"[402.0, 402.0]","[('-3', '2', '2', '-2')]",[0.0],"['Cantus', 'Bassus']",FUGA,2.0,False
17,,,Giovanni Pierluigi da Palestrina,Missa Veni sponsa Christi: Gloria,482.0,"['60/2.0', '62/2.0']",['P1'],"[482.0, 498.0]","[('-3', '2', '2', '-2')]",[16.0],"['Altus', 'Tenor']",FUGA,2.0,False
18,,,Giovanni Pierluigi da Palestrina,Missa Veni sponsa Christi: Gloria,522.0,"['65/2.0', '68/2.0']",['P8'],"[522.0, 546.0]","[('-3', '3', '-2', '-2')]",[24.0],"['Bassus', 'Cantus']",FUGA,2.0,False
19,,,Giovanni Pierluigi da Palestrina,Missa Veni sponsa Christi: Gloria,570.0,"['71/2.0', '73/2.0', '74/1.0', '78/3.0']","['P5', 'P-8', 'P4']","[570.0, 586.0, 592.0, 628.0]","[('-2', '2', '3', '-2')]","[16.0, 6.0, 36.0]","['Tenor', 'Cantus', 'Bassus', 'Bassus']",FUGA,4.0,False
20,,,Giovanni Pierluigi da Palestrina,Missa Veni sponsa Christi: Gloria,678.0,"['84/4.0', '87/2.0']",['P-11'],"[678.0, 698.0]","[('-3', '3', '-2', '-2')]",[20.0],"['Cantus', 'Bassus']",FUGA,2.0,False
21,,,Giovanni Pierluigi da Palestrina,Missa Veni sponsa Christi: Gloria,706.0,"['88/2.0', '89/2.0', '90/2.0', '91/2.0', '94/2.0', '95/1.0', '96/2.0']","['P1', 'P-8', 'P5', 'M-9', 'P5', 'P8']","[706.0, 714.0, 722.0, 730.0, 754.0, 760.0, 770.0]","[('-2', '2', '3', '-2')]","[8.0, 8.0, 8.0, 24.0, 6.0, 10.0]","['Cantus', 'Altus', 'Bassus', 'Tenor', 'Bassus', 'Tenor', 'Cantus']",FUGA,7.0,False
22,,,Giovanni Pierluigi da Palestrina,Missa Veni sponsa Christi: Credo,0.0,"['1/1.0', '2/1.0', '6/3.0', '7/1.0', '10/1.0']","['P-5', 'P-4', 'P-5', 'P8']","[0.0, 8.0, 44.0, 48.0, 72.0]","[('-3', '3', '2', '-2')]","[8.0, 36.0, 4.0, 24.0]","['Cantus', 'Altus', 'Tenor', 'Bassus', 'Altus']",FUGA,5.0,False
23,,,Giovanni Pierluigi da Palestrina,Missa Veni sponsa Christi: Credo,94.0,"['12/4.0', '20/2.0', '28/2.0', '29/2.0', '32/2.0']","['P1', 'M-2', 'P5', 'P1']","[94.0, 154.0, 218.0, 226.0, 250.0]","[('-3', '2', '2', '-2')]","[60.0, 64.0, 8.0, 24.0]","['Altus', 'Tenor', 'Tenor', 'Cantus', 'Altus']",FUGA,5.0,False
24,,,Giovanni Pierluigi da Palestrina,Missa Veni sponsa Christi: Credo,98.0,"['13/2.0', '14/2.0', '17/2.0', '18/2.0']","['P-5', 'P-4', 'P8']","[98.0, 106.0, 130.0, 138.0]","[('-2', '2', '-2', '-2')]","[8.0, 24.0, 8.0]","['Cantus', 'Tenor', 'Bassus', 'Cantus']",ID,4.0,False
25,,,Giovanni Pierluigi da Palestrina,Missa Veni sponsa Christi: Credo,178.0,"['23/2.0', '23/4.0', '25/4.0', '26/2.0']","['P-5', 'P8', 'P-5']","[178.0, 182.0, 198.0, 202.0]","[('-3', '3', '-2', '-2')]","[4.0, 16.0, 4.0]","['Tenor', 'Bassus', 'Cantus', 'Altus']",ID,4.0,False
26,,,Giovanni Pierluigi da Palestrina,Missa Veni sponsa Christi: Credo,310.0,"['39/4.0', '40/2.0']",['P-4'],"[310.0, 314.0]","[('-2', '-2', '-2', '2')]",[4.0],"['Cantus', 'Altus']",FUGA,2.0,False
27,,,Giovanni Pierluigi da Palestrina,Missa Veni sponsa Christi: Credo,572.0,"['71/3.0', '72/3.0']",['P-5'],"[572.0, 580.0]","[('2', '-3', '2', '-3')]",[8.0],"['Tenor', 'Bassus']",FUGA,2.0,False
28,,,Giovanni Pierluigi da Palestrina,Missa Veni sponsa Christi: Credo,598.0,"['74/4.0', '75/2.0', '75/4.0']","['P-4', 'P-5']","[598.0, 602.0, 606.0]","[('-2', '-2', '-2', '-2')]","[4.0, 4.0]","['Cantus', 'Altus', 'Tenor']",PEN,3.0,False
29,,,Giovanni Pierluigi da Palestrina,Missa Veni sponsa Christi: Credo,658.0,"['82/2.0', '82/4.0']",['P4'],"[658.0, 662.0]","[('-2', '-2', '3', '2')]",[4.0],"['Altus', 'Cantus']",FUGA,2.0,False
30,,,Giovanni Pierluigi da Palestrina,Missa Veni sponsa Christi: Credo,722.0,"['90/2.0', '90/4.0', '92/2.0', '93/2.0', '94/2.0', '94/4.0', '95/2.0']","['P-5', 'P12', 'M-9', 'P-5', 'P12', 'P-4']","[722.0, 726.0, 738.0, 746.0, 754.0, 758.0, 762.0]","[('4', '2', '2', '2')]","[4.0, 12.0, 8.0, 8.0, 4.0, 4.0]","['Tenor', 'Bassus', 'Cantus', 'Tenor', 'Bassus', 'Cantus', 'Altus']",FUGA,7.0,False
