,Composer,Title,First_Offset,Measures_Beats,Melodic_Entry_Intervals,Offsets,Soggetti,Time_Entry_Intervals,Voices,Presentation_Type,Number_Entries,Flexed_Entries,Validation,Comments
0,"Manchicourt, Pierre de",Quo abiit dilectus tuus,0.0,"['1/1.0', '3/1.0', '10/1.0', '12/2.0']","['P-4', 'P-5', 'P-4']","[0.0, 16.0, 72.0, 90.0]","[('5', '-2', '2', '2'), ('4', '-2', '2', '2'), ('4', '-3', '2', '2'), ('3', '-2', '2', '2')]","[16.0, 56.0, 18.0]","['Superior', 'Contratenor', 'Tenor', 'Bassus']",FUGA,4,True,,
1,"Manchicourt, Pierre de",Quo abiit dilectus tuus,38.0,"['5/4.0', '7/2.0', '16/4.0', '18/2.0']","['P-5', 'M2', 'P4']","[38.0, 50.0, 126.0, 138.0]","[('-3', '2', '-2', '-2')]","[12.0, 76.0, 12.0]","['Superior', 'Contratenor', 'Contratenor', 'Superior']",ID,4,False,,
2,"Manchicourt, Pierre de",Quo abiit dilectus tuus,38.0,"['5/4.0', '7/4.0', '14/4.0', '16/4.0']","['P-8', 'P1', 'P5']","[38.0, 54.0, 110.0, 126.0]","[('-3', '2', '-2', '-2')]","[16.0, 56.0, 16.0]","['Superior', 'Bassus', 'Tenor', 'Contratenor']",ID,4,False,,
3,"Manchicourt, Pierre de",Quo abiit dilectus tuus,38.0,"['5/4.0', '7/4.0', '16/2.0', '18/2.0']","['P-8', 'P-5', 'P12']","[38.0, 54.0, 122.0, 138.0]","[('-3', '2', '-2', '-2')]","[16.0, 68.0, 16.0]","['Superior', 'Bassus', 'Bassus', 'Superior']",ID,4,False,,
4,"Manchicourt, Pierre de",Quo abiit dilectus tuus,38.0,"['5/4.0', '7/2.0', '7/4.0', '10/4.0', '14/4.0', '16/2.0', '16/4.0', '18/2.0', '19/2.0']","['P-5', 'P-4', 'P8', 'P-8', 'P-5', 'M9', 'P4', 'P-8']","[38.0, 50.0, 54.0, 78.0, 110.0, 122.0, 126.0, 138.0, 146.0]","[('-3', '2', '-2', '-2')]","[12.0, 4.0, 24.0, 32.0, 12.0, 4.0, 12.0, 8.0]","['Superior', 'Contratenor', 'Bassus', 'Superior', 'Tenor', 'Bassus', 'Contratenor', 'Superior', 'Tenor']",FUGA,9,False,,
5,"Manchicourt, Pierre de",Quo abiit dilectus tuus,38.0,"['5/4.0', '7/2.0', '14/4.0', '16/2.0']","['P-5', 'P-4', 'P-5']","[38.0, 50.0, 110.0, 122.0]","[('-3', '2', '-2', '-2')]","[12.0, 60.0, 12.0]","['Superior', 'Contratenor', 'Tenor', 'Bassus']",ID,4,False,,
6,"Manchicourt, Pierre de",Quo abiit dilectus tuus,50.0,"['7/2.0', '10/4.0', '14/4.0', '18/2.0']","['P5', 'P-8', 'P8']","[50.0, 78.0, 110.0, 138.0]","[('-3', '2', '-2', '-2')]","[28.0, 32.0, 28.0]","['Contratenor', 'Superior', 'Tenor', 'Superior']",ID,4,False,,
7,"Manchicourt, Pierre de",Quo abiit dilectus tuus,50.0,"['7/2.0', '7/4.0', '16/2.0', '16/4.0']","['P-4', 'P-5', 'M9']","[50.0, 54.0, 122.0, 126.0]","[('-3', '2', '-2', '-2')]","[4.0, 68.0, 4.0]","['Contratenor', 'Bassus', 'Bassus', 'Contratenor']",ID,4,False,,
8,"Manchicourt, Pierre de",Quo abiit dilectus tuus,54.0,"['7/4.0', '10/4.0', '16/2.0', '19/2.0']","['P8', 'P-12', 'P5']","[54.0, 78.0, 122.0, 146.0]","[('-3', '2', '-2', '-2')]","[24.0, 44.0, 24.0]","['Bassus', 'Superior', 'Bassus', 'Tenor']",ID,4,False,,
9,"Manchicourt, Pierre de",Quo abiit dilectus tuus,110.0,"['14/4.0', '16/2.0', '16/4.0', '18/2.0']","['P-5', 'M9', 'P4']","[110.0, 122.0, 126.0, 138.0]","[('-3', '2', '-2', '-2')]","[12.0, 4.0, 12.0]","['Tenor', 'Bassus', 'Contratenor', 'Superior']",ID,4,False,,
10,"Manchicourt, Pierre de",Quo abiit dilectus tuus,174.0,"['22/4.0', '24/2.0', '26/4.0', '28/2.0', '29/4.0']","['P5', 'P-12', 'P5', 'P5']","[174.0, 186.0, 206.0, 218.0, 230.0]","[('3', '-2', '-2', '-2'), ('2', '-2', '-2', '-2')]","[12.0, 20.0, 12.0, 12.0]","['Contratenor', 'Superior', 'Bassus', 'Tenor', 'Contratenor']",FUGA,5,True,,
11,"Manchicourt, Pierre de",Quo abiit dilectus tuus,174.0,"['22/4.0', '24/2.0', '26/4.0', '28/2.0']","['P5', 'P-12', 'P5']","[174.0, 186.0, 206.0, 218.0]","[('3', '-2', '-2', '-2'), ('2', '-2', '-2', '-2')]","[12.0, 20.0, 12.0]","['Contratenor', 'Superior', 'Bassus', 'Tenor']",ID,4,True,,
12,"Manchicourt, Pierre de",Quo abiit dilectus tuus,174.0,"['22/4.0', '24/2.0', '28/2.0', '29/4.0']","['P5', 'P-8', 'P5']","[174.0, 186.0, 218.0, 230.0]","[('3', '-2', '-2', '-2'), ('2', '-2', '-2', '-2')]","[12.0, 32.0, 12.0]","['Contratenor', 'Superior', 'Tenor', 'Contratenor']",ID,4,True,,
