,Composer,Title,Measure,Beat,CadType,Tone,Evaded,LeadingTones,Low,RelLow,RelTone,Progress,SinceLast,ToNext,Validation,Comments
0,"Lupi, Johannes",Veni speciosam,7,1.0,Authentic,G,False,0.0,G3,P5,P5,0.04477611940298507,48.0,28.0,,
1,"Lupi, Johannes",Veni speciosam,10,3.0,Authentic,F,True,1.0,D3,M2,P4,0.0708955223880597,28.0,8.0,,
2,"Lupi, Johannes",Veni speciosam,11,3.0,Clausula Vera,D,False,0.0,C4,P8,M2,0.07835820895522388,8.0,40.0,,
3,"Lupi, Johannes",Veni speciosam,16,3.0,Altizans Only,A,False,0.0,C4,P8,M6,0.11567164179104478,40.0,14.0,,
4,"Lupi, Johannes",Veni speciosam,18,2.0,Clausula Vera,C,True,1.0,A3,M6,P1,0.1287313432835821,14.0,50.0,,
5,"Lupi, Johannes",Veni speciosam,24,3.0,Clausula Vera,D,False,0.0,C4,P8,M2,0.17537313432835822,50.0,20.0,,
6,"Lupi, Johannes",Veni speciosam,27,1.0,,,,,D3,M2,,0.19402985074626866,20.0,8.0,,
7,"Lupi, Johannes",Veni speciosam,28,1.0,,G,,,G3,P5,P5,0.20149253731343283,8.0,64.0,,
8,"Lupi, Johannes",Veni speciosam,36,1.0,Phrygian,A,False,1.0,A3,M6,M6,0.26119402985074625,64.0,4.0,,
9,"Lupi, Johannes",Veni speciosam,36,3.0,Altizans Only,D,False,0.0,G3,P5,M2,0.26492537313432835,4.0,10.0,,
10,"Lupi, Johannes",Veni speciosam,37,4.0,Authentic,D,False,0.0,C4,P8,M2,0.27425373134328357,10.0,22.0,,
11,"Lupi, Johannes",Veni speciosam,40,3.0,Clausula Vera,D,False,1.0,B-3,m7,M2,0.2947761194029851,22.0,16.0,,
12,"Lupi, Johannes",Veni speciosam,42,3.0,Clausula Vera,G,False,0.0,G3,P5,P5,0.30970149253731344,16.0,56.0,,
13,"Lupi, Johannes",Veni speciosam,49,3.0,Authentic,,True,-1.0,F3,P4,,0.3619402985074627,56.0,16.0,,
14,"Lupi, Johannes",Veni speciosam,51,3.0,Authentic,G,False,1.0,G3,P5,P5,0.376865671641791,16.0,24.0,,
15,"Lupi, Johannes",Veni speciosam,54,3.0,Clausula Vera,D,False,1.0,D3,M2,M2,0.39925373134328357,24.0,12.0,,
16,"Lupi, Johannes",Veni speciosam,56,1.0,Phrygian,D,False,1.0,D3,M2,M2,0.41044776119402987,12.0,24.0,,
17,"Lupi, Johannes",Veni speciosam,59,1.0,,G,,,D4,M9,P5,0.43283582089552236,24.0,16.0,,
18,"Lupi, Johannes",Veni speciosam,61,1.0,Authentic,D,False,1.0,D3,M2,M2,0.44776119402985076,16.0,20.0,,
19,"Lupi, Johannes",Veni speciosam,63,3.0,,G,,,G3,P5,P5,0.4664179104477612,20.0,16.0,,
20,"Lupi, Johannes",Veni speciosam,65,3.0,Phrygian,D,False,1.0,G3,P5,M2,0.48134328358208955,16.0,160.0,,
21,"Lupi, Johannes",Veni speciosam,84,3.0,Clausula Vera,D,False,0.0,D3,M2,M2,0.6305970149253731,160.0,60.0,,
22,"Lupi, Johannes",Veni speciosam,92,1.0,Authentic,D,True,1.0,B-3,m7,M2,0.6865671641791045,60.0,40.0,,
23,"Lupi, Johannes",Veni speciosam,97,1.0,Clausula Vera,G,False,1.0,E-3,m3,P5,0.7238805970149254,40.0,68.0,,
24,"Lupi, Johannes",Veni speciosam,105,3.0,Authentic,D,False,0.0,D3,M2,M2,0.7873134328358209,68.0,24.0,,
25,"Lupi, Johannes",Veni speciosam,108,3.0,,,,,A3,M6,,0.8097014925373134,24.0,52.0,,
26,"Lupi, Johannes",Veni speciosam,115,1.0,,,,,G3,P5,,0.8582089552238806,52.0,16.0,,
27,"Lupi, Johannes",Veni speciosam,117,1.0,Phrygian,D,False,1.0,D3,M2,M2,0.8731343283582089,16.0,28.0,,
28,"Lupi, Johannes",Veni speciosam,120,3.0,Phrygian,E,False,1.0,C4,P8,M3,0.8992537313432836,28.0,12.0,,
29,"Lupi, Johannes",Veni speciosam,122,1.0,,C,,,A3,M6,P1,0.9104477611940298,12.0,32.0,,
30,"Lupi, Johannes",Veni speciosam,126,1.0,Clausula Vera,D,False,0.0,D3,M2,M2,0.9402985074626866,32.0,6.0,,
31,"Lupi, Johannes",Veni speciosam,126,4.0,,D,,,D3,M2,M2,0.9458955223880597,6.0,10.0,,
32,"Lupi, Johannes",Veni speciosam,128,1.0,,G,,,E-3,m3,P5,0.9552238805970149,10.0,16.0,,
33,"Lupi, Johannes",Veni speciosam,130,1.0,Authentic,G,False,1.0,G3,P5,P5,0.9701492537313433,16.0,20.0,,
34,"Lupi, Johannes",Veni speciosam,132,3.0,Authentic,C,False,0.0,C3,P1,P1,0.9888059701492538,20.0,28.0,,
35,Mathieu Sohier,Missa Vidi speciosam: Kyrie,5,2.0,Clausula Vera,C,False,0.0,C4,P8,-P5,0.0625,34.0,6.0,,
36,Mathieu Sohier,Missa Vidi speciosam: Kyrie,6,1.0,Authentic,G,False,0.0,G3,P5,P1,0.07352941176470588,6.0,36.0,,
37,Mathieu Sohier,Missa Vidi speciosam: Kyrie,10,3.0,,G,,,G3,P5,P1,0.13970588235294118,36.0,8.0,,
38,Mathieu Sohier,Missa Vidi speciosam: Kyrie,11,3.0,,,,,B-3,m7,,0.15441176470588236,8.0,32.0,,
39,Mathieu Sohier,Missa Vidi speciosam: Kyrie,15,3.0,,B-,,,G3,P5,m3,0.21323529411764705,32.0,8.0,,
40,Mathieu Sohier,Missa Vidi speciosam: Kyrie,16,3.0,Clausula Vera,G,False,0.0,E3,M3,P1,0.22794117647058823,8.0,24.0,,
41,Mathieu Sohier,Missa Vidi speciosam: Kyrie,19,3.0,Clausula Vera,D,False,0.0,D3,M2,-P4,0.27205882352941174,24.0,4.0,,
42,Mathieu Sohier,Missa Vidi speciosam: Kyrie,20,1.0,Authentic,G,False,0.0,G3,P5,P1,0.27941176470588236,4.0,97.0,,
43,Mathieu Sohier,Missa Vidi speciosam: Kyrie,31,1.5,Clausula Vera,A,True,1.0,G3,P5,M2,0.4577205882352941,97.0,83.0,,
44,Mathieu Sohier,Missa Vidi speciosam: Kyrie,41,3.0,Clausula Vera,G,True,1.0,G3,P5,P1,0.6102941176470589,83.0,4.0,,
45,Mathieu Sohier,Missa Vidi speciosam: Kyrie,42,1.0,Plagal,A,False,1.0,D3,M2,M2,0.6176470588235294,4.0,88.0,,
46,Mathieu Sohier,Missa Vidi speciosam: Kyrie,52,1.0,Authentic,,True,-1.0,F3,P4,,0.7794117647058824,88.0,8.0,,
47,Mathieu Sohier,Missa Vidi speciosam: Kyrie,53,1.0,,D,,,D3,M2,-P4,0.7941176470588235,8.0,16.0,,
48,Mathieu Sohier,Missa Vidi speciosam: Kyrie,55,1.0,,G,,,G3,P5,P1,0.8235294117647058,16.0,8.0,,
49,Mathieu Sohier,Missa Vidi speciosam: Kyrie,56,1.0,Phrygian,A,False,1.0,A3,M6,M2,0.8382352941176471,8.0,36.0,,
50,Mathieu Sohier,Missa Vidi speciosam: Kyrie,60,3.0,Authentic,G,False,0.0,E3,M3,P1,0.9044117647058824,36.0,12.0,,
51,Mathieu Sohier,Missa Vidi speciosam: Kyrie,62,1.0,,G,,,C3,P1,P1,0.9264705882352942,12.0,56.0,,
52,Mathieu Sohier,Missa Vidi speciosam: Gloria,9,1.0,Clausula Vera,D,False,1.0,D3,-P4,-P4,0.06557377049180328,64.0,4.0,,
53,Mathieu Sohier,Missa Vidi speciosam: Gloria,9,3.0,Authentic,G,False,0.0,G3,P1,P1,0.06967213114754098,4.0,48.0,,
54,Mathieu Sohier,Missa Vidi speciosam: Gloria,15,3.0,,G,,,G4,P8,P1,0.11885245901639344,48.0,16.0,,
55,Mathieu Sohier,Missa Vidi speciosam: Gloria,17,3.0,Authentic,G,False,1.0,G3,P1,P1,0.13524590163934427,16.0,52.0,,
56,Mathieu Sohier,Missa Vidi speciosam: Gloria,24,1.0,,D,,,C4,P4,-P4,0.1885245901639344,52.0,20.0,,
57,Mathieu Sohier,Missa Vidi speciosam: Gloria,26,3.0,,D,,,D3,-P4,-P4,0.20901639344262296,20.0,8.0,,
58,Mathieu Sohier,Missa Vidi speciosam: Gloria,27,3.0,Clausula Vera,,True,-1.0,G3,P1,,0.21721311475409835,8.0,32.0,,
59,Mathieu Sohier,Missa Vidi speciosam: Gloria,31,3.0,Authentic,,True,-1.0,D3,-P4,,0.25,32.0,20.0,,
60,Mathieu Sohier,Missa Vidi speciosam: Gloria,34,1.0,Clausula Vera,D,False,0.0,D4,P5,-P4,0.27049180327868855,20.0,24.0,,
61,Mathieu Sohier,Missa Vidi speciosam: Gloria,37,1.0,Clausula Vera,D,False,1.0,B-3,m3,-P4,0.29508196721311475,24.0,16.0,,
62,Mathieu Sohier,Missa Vidi speciosam: Gloria,39,1.0,Clausula Vera,G,False,0.0,G3,P1,P1,0.3114754098360656,16.0,26.0,,
63,Mathieu Sohier,Missa Vidi speciosam: Gloria,42,2.0,,F,,,A3,M2,-M2,0.33811475409836067,26.0,6.0,,
64,Mathieu Sohier,Missa Vidi speciosam: Gloria,43,1.0,,F,,,F3,-M2,-M2,0.3442622950819672,6.0,32.0,,
65,Mathieu Sohier,Missa Vidi speciosam: Gloria,47,1.0,Authentic,G,False,1.0,G3,P1,P1,0.3770491803278688,32.0,12.0,,
66,Mathieu Sohier,Missa Vidi speciosam: Gloria,48,3.0,,D,,,B-3,m3,-P4,0.38934426229508196,12.0,8.0,,
67,Mathieu Sohier,Missa Vidi speciosam: Gloria,49,3.0,Clausula Vera,F,True,1.0,D4,P5,-M2,0.3975409836065574,8.0,4.0,,
68,Mathieu Sohier,Missa Vidi speciosam: Gloria,50,1.0,Authentic,,True,-1.0,G3,P1,,0.4016393442622951,4.0,36.0,,
69,Mathieu Sohier,Missa Vidi speciosam: Gloria,54,3.0,Clausula Vera,F,False,1.0,D4,P5,-M2,0.4385245901639344,36.0,28.0,,
70,Mathieu Sohier,Missa Vidi speciosam: Gloria,58,1.0,Authentic,G,False,1.0,G3,P1,P1,0.4672131147540984,28.0,12.0,,
71,Mathieu Sohier,Missa Vidi speciosam: Gloria,59,3.0,Authentic,C,False,0.0,C3,-P5,-P5,0.47950819672131145,12.0,68.0,,
72,Mathieu Sohier,Missa Vidi speciosam: Gloria,67,1.0,Clausula Vera,D,False,1.0,D4,P5,-P4,0.5491803278688525,68.0,32.0,,
73,Mathieu Sohier,Missa Vidi speciosam: Gloria,71,1.0,Clausula Vera,G,False,1.0,G3,P1,P1,0.5819672131147541,32.0,48.0,,
74,Mathieu Sohier,Missa Vidi speciosam: Gloria,77,1.0,Clausula Vera,D,False,0.0,D4,P5,-P4,0.6311475409836066,48.0,12.0,,
75,Mathieu Sohier,Missa Vidi speciosam: Gloria,78,3.0,Authentic,G,False,0.0,G3,P1,P1,0.6434426229508197,12.0,20.0,,
76,Mathieu Sohier,Missa Vidi speciosam: Gloria,81,1.0,,F#,,,D3,-P4,-m2,0.6639344262295082,20.0,32.0,,
77,Mathieu Sohier,Missa Vidi speciosam: Gloria,85,1.0,,,,,E3,-m3,,0.6967213114754098,32.0,48.0,,
78,Mathieu Sohier,Missa Vidi speciosam: Gloria,91,1.0,Authentic,,True,-1.0,B-3,m3,,0.7459016393442623,48.0,12.0,,
79,Mathieu Sohier,Missa Vidi speciosam: Gloria,92,3.0,,G,,,E3,-m3,P1,0.7581967213114754,12.0,8.0,,
80,Mathieu Sohier,Missa Vidi speciosam: Gloria,93,3.0,Clausula Vera,G,False,0.0,G3,P1,P1,0.7663934426229508,8.0,64.0,,
81,Mathieu Sohier,Missa Vidi speciosam: Gloria,101,3.0,Clausula Vera,D,False,1.0,D4,P5,-P4,0.8319672131147541,64.0,16.0,,
82,Mathieu Sohier,Missa Vidi speciosam: Gloria,103,3.0,Clausula Vera,G,False,1.0,G3,P1,P1,0.8483606557377049,16.0,20.0,,
83,Mathieu Sohier,Missa Vidi speciosam: Gloria,106,1.0,Phrygian,A,False,1.0,A3,M2,M2,0.8688524590163934,20.0,32.0,,
84,Mathieu Sohier,Missa Vidi speciosam: Gloria,110,1.0,Clausula Vera,D,False,1.0,D3,-P4,-P4,0.9016393442622951,32.0,20.0,,
85,Mathieu Sohier,Missa Vidi speciosam: Gloria,112,3.0,,C,,,A3,M2,-P5,0.9221311475409836,20.0,60.0,,
86,Mathieu Sohier,Missa Vidi speciosam: Gloria,120,1.0,Authentic,G,False,1.0,G3,P1,P1,0.9836065573770492,60.0,32.0,,
87,Mathieu Sohier,Missa Vidi speciosam: Credo,3,3.0,Clausula Vera,D,False,0.0,D3,-P4,-P4,0.013966480446927373,20.0,4.0,,
88,Mathieu Sohier,Missa Vidi speciosam: Credo,4,1.0,Authentic,G,False,0.0,G3,P1,P1,0.01675977653631285,4.0,8.0,,
89,Mathieu Sohier,Missa Vidi speciosam: Credo,5,1.0,Clausula Vera,G,True,1.0,G3,P1,P1,0.0223463687150838,8.0,44.0,,
90,Mathieu Sohier,Missa Vidi speciosam: Credo,10,3.0,Clausula Vera,D,False,0.0,D3,-P4,-P4,0.05307262569832402,44.0,4.0,,
91,Mathieu Sohier,Missa Vidi speciosam: Credo,11,1.0,Authentic,G,False,0.0,G3,P1,P1,0.055865921787709494,4.0,32.0,,
92,Mathieu Sohier,Missa Vidi speciosam: Credo,15,1.0,Clausula Vera,G,True,1.0,G3,P1,P1,0.0782122905027933,32.0,56.0,,
93,Mathieu Sohier,Missa Vidi speciosam: Credo,22,1.0,Clausula Vera,G,False,0.0,G3,P1,P1,0.11731843575418995,56.0,60.0,,
94,Mathieu Sohier,Missa Vidi speciosam: Credo,29,3.0,Clausula Vera,D,False,0.0,B-3,m3,-P4,0.15921787709497207,60.0,28.0,,
95,Mathieu Sohier,Missa Vidi speciosam: Credo,33,1.0,Authentic,D,False,0.0,D3,-P4,-P4,0.1787709497206704,28.0,28.0,,
96,Mathieu Sohier,Missa Vidi speciosam: Credo,36,3.0,Authentic,G,False,0.0,G3,P1,P1,0.19832402234636873,28.0,8.0,,
97,Mathieu Sohier,Missa Vidi speciosam: Credo,37,3.0,,G,,,G3,P1,P1,0.20391061452513967,8.0,8.0,,
98,Mathieu Sohier,Missa Vidi speciosam: Credo,38,3.0,Authentic,D,False,0.0,D3,-P4,-P4,0.20949720670391062,8.0,8.0,,
99,Mathieu Sohier,Missa Vidi speciosam: Credo,39,3.0,,D,,,D4,P5,-P4,0.21508379888268156,8.0,8.0,,
100,Mathieu Sohier,Missa Vidi speciosam: Credo,40,3.0,Clausula Vera,D,False,0.0,D4,P5,-P4,0.2206703910614525,8.0,36.0,,
101,Mathieu Sohier,Missa Vidi speciosam: Credo,45,1.0,Clausula Vera,D,False,1.0,B-3,m3,-P4,0.24581005586592178,36.0,16.0,,
102,Mathieu Sohier,Missa Vidi speciosam: Credo,47,1.0,,G,,,G3,P1,P1,0.2569832402234637,16.0,44.0,,
103,Mathieu Sohier,Missa Vidi speciosam: Credo,52,3.0,Clausula Vera,D,False,0.0,D3,-P4,-P4,0.2877094972067039,44.0,32.0,,
104,Mathieu Sohier,Missa Vidi speciosam: Credo,56,3.0,Clausula Vera,G,False,0.0,G3,P1,P1,0.3100558659217877,32.0,82.0,,
105,Mathieu Sohier,Missa Vidi speciosam: Credo,66,4.0,Authentic,D,True,0.0,F3,-M2,-P4,0.36731843575418993,82.0,34.0,,
106,Mathieu Sohier,Missa Vidi speciosam: Credo,71,1.0,,G,,,G3,P1,P1,0.39106145251396646,34.0,80.0,,
107,Mathieu Sohier,Missa Vidi speciosam: Credo,80,1.0,Clausula Vera,D,False,1.0,D3,-P4,-P4,0.44692737430167595,80.0,28.0,,
108,Mathieu Sohier,Missa Vidi speciosam: Credo,83,3.0,Clausula Vera,B-,False,1.0,B-3,m3,m3,0.4664804469273743,28.0,36.0,,
109,Mathieu Sohier,Missa Vidi speciosam: Credo,88,1.0,Authentic,G,False,1.0,G3,P1,P1,0.49162011173184356,36.0,40.0,,
110,Mathieu Sohier,Missa Vidi speciosam: Credo,93,1.0,Clausula Vera,E,True,1.0,C4,P4,-m3,0.5195530726256983,40.0,8.0,,
111,Mathieu Sohier,Missa Vidi speciosam: Credo,94,1.0,Clausula Vera,D,False,0.0,B-3,m3,-P4,0.5251396648044693,8.0,16.0,,
112,Mathieu Sohier,Missa Vidi speciosam: Credo,96,1.0,Clausula Vera,D,False,0.0,D3,-P4,-P4,0.5363128491620112,16.0,28.0,,
113,Mathieu Sohier,Missa Vidi speciosam: Credo,99,3.0,Authentic,D,False,0.0,D3,-P4,-P4,0.5558659217877095,28.0,20.0,,
114,Mathieu Sohier,Missa Vidi speciosam: Credo,102,1.0,Authentic,G,False,1.0,G3,P1,P1,0.5698324022346368,20.0,32.0,,
115,Mathieu Sohier,Missa Vidi speciosam: Credo,106,1.0,Clausula Vera,D,False,1.0,F3,-M2,-P4,0.5921787709497207,32.0,8.0,,
116,Mathieu Sohier,Missa Vidi speciosam: Credo,107,1.0,Clausula Vera,D,False,0.0,D3,-P4,-P4,0.5977653631284916,8.0,20.0,,
117,Mathieu Sohier,Missa Vidi speciosam: Credo,109,3.0,Clausula Vera,D,False,1.0,B-3,m3,-P4,0.611731843575419,20.0,52.0,,
118,Mathieu Sohier,Missa Vidi speciosam: Credo,116,1.0,Clausula Vera,G,False,1.0,G3,P1,P1,0.6480446927374302,52.0,48.0,,
119,Mathieu Sohier,Missa Vidi speciosam: Credo,122,1.0,,D,,,C4,P4,-P4,0.6815642458100558,48.0,4.0,,
120,Mathieu Sohier,Missa Vidi speciosam: Credo,122,3.0,Authentic,,True,-1.0,A3,M2,,0.6843575418994413,4.0,60.0,,
121,Mathieu Sohier,Missa Vidi speciosam: Credo,130,1.0,Authentic,D,False,1.0,D3,-P4,-P4,0.7262569832402235,60.0,14.0,,
122,Mathieu Sohier,Missa Vidi speciosam: Credo,131,4.0,Authentic,,True,-1.0,F3,-M2,,0.7360335195530726,14.0,6.0,,
123,Mathieu Sohier,Missa Vidi speciosam: Credo,132,3.0,Clausula Vera,F,False,1.0,F3,-M2,-M2,0.7402234636871509,6.0,20.0,,
124,Mathieu Sohier,Missa Vidi speciosam: Credo,135,1.0,Clausula Vera,G,False,0.0,G3,P1,P1,0.7541899441340782,20.0,12.0,,
125,Mathieu Sohier,Missa Vidi speciosam: Credo,136,3.0,Clausula Vera,D,False,0.0,G3,P1,-P4,0.7625698324022346,12.0,80.0,,
126,Mathieu Sohier,Missa Vidi speciosam: Credo,146,3.0,Clausula Vera,C,False,0.0,C4,P4,-P5,0.8184357541899442,80.0,40.0,,
127,Mathieu Sohier,Missa Vidi speciosam: Credo,151,3.0,Clausula Vera,D,False,1.0,D3,-P4,-P4,0.8463687150837989,40.0,48.0,,
128,Mathieu Sohier,Missa Vidi speciosam: Credo,157,3.0,Clausula Vera,G,False,0.0,G3,P1,P1,0.8798882681564246,48.0,24.0,,
129,Mathieu Sohier,Missa Vidi speciosam: Credo,160,3.0,Clausula Vera,D,False,0.0,D3,-P4,-P4,0.8966480446927374,24.0,20.0,,
130,Mathieu Sohier,Missa Vidi speciosam: Credo,163,1.0,Clausula Vera,C,False,1.0,C4,P4,-P5,0.9106145251396648,20.0,76.0,,
