,index,Composer,Title,First_Offset,Measures_Beats,Melodic_Entry_Intervals,Offsets,Soggetti,Time_Entry_Intervals,Voices,Presentation_Type,Number_Entries,Flexed_Entries
0,0,"Palestrina, Giovanni Pierluigi da",Veni sponsa Christi,0.0,"['1/1.0', '2/1.0', '6/1.0', '7/1.0']","['P-5', 'P-4', 'P-5']","[0.0, 8.0, 40.0, 48.0]","['-3, 3, 2, -2', '-3, 2, 2, -2']","[8.0, 32.0, 8.0]","['Cantus', 'Altus', 'Tenor', 'Bassus']",ID,4,True
1,1,"Palestrina, Giovanni Pierluigi da",Veni sponsa Christi,0.0,"['1/1.0', '11/3.0', '21/4.0', '32/2.0']","['P-5', 'P5', 'P4']","[0.0, 84.0, 166.0, 250.0]","['-3, 3, 2, -2', '-3, 2, 2, -2']","[84.0, 82.0, 84.0]","['Cantus', 'Altus', 'Cantus', 'Cantus']",ID,4,True
2,2,"Palestrina, Giovanni Pierluigi da",Veni sponsa Christi,0.0,"['1/1.0', '7/1.0', '21/4.0', '27/4.0']","['P-12', 'P12', 'P-12']","[0.0, 48.0, 166.0, 214.0]","['-3, 3, 2, -2', '-3, 2, 2, -2']","[48.0, 118.0, 48.0]","['Cantus', 'Bassus', 'Cantus', 'Bassus']",ID,4,True
3,3,"Palestrina, Giovanni Pierluigi da",Veni sponsa Christi,0.0,"['1/1.0', '7/1.0', '19/4.0', '25/4.0']","['P-12', 'P5', 'P1']","[0.0, 48.0, 150.0, 198.0]","['-3, 3, 2, -2', '-3, 2, 2, -2']","[48.0, 102.0, 48.0]","['Cantus', 'Bassus', 'Tenor', 'Tenor']",ID,4,True
4,4,"Palestrina, Giovanni Pierluigi da",Veni sponsa Christi,0.0,"['1/1.0', '6/1.0', '22/4.0', '27/4.0']","['P-8', 'P4', 'P-8']","[0.0, 40.0, 174.0, 214.0]","['-3, 3, 2, -2', '-3, 2, 2, -2']","[40.0, 134.0, 40.0]","['Cantus', 'Tenor', 'Altus', 'Bassus']",ID,4,True
5,5,"Palestrina, Giovanni Pierluigi da",Veni sponsa Christi,0.0,"['1/1.0', '2/1.0', '21/4.0', '22/4.0']","['P-5', 'P5', 'P-5']","[0.0, 8.0, 166.0, 174.0]","['-3, 3, 2, -2', '-3, 2, 2, -2']","[8.0, 158.0, 8.0]","['Cantus', 'Altus', 'Cantus', 'Altus']",ID,4,True
6,9,"Palestrina, Giovanni Pierluigi da",Veni sponsa Christi,0.0,"['1/1.0', '2/1.0', '6/1.0', '7/1.0', '21/4.0', '22/4.0']","['P-5', 'P-4', 'P-5', 'P12', 'P-5']","[0.0, 8.0, 40.0, 48.0, 166.0, 174.0]","['-3, 3, 2, -2', '-3, 2, 2, -2']","[8.0, 32.0, 8.0, 118.0, 8.0]","['Cantus', 'Altus', 'Tenor', 'Bassus', 'Cantus', 'Altus']",ID,6,True
7,13,"Palestrina, Giovanni Pierluigi da",Veni sponsa Christi,0.0,"['1/1.0', '2/1.0', '6/1.0', '7/1.0', '11/3.0', '14/1.0', '17/1.0', '19/4.0', '21/4.0', '22/4.0', '25/4.0', '27/4.0', '29/4.0', '32/2.0', '35/2.0']","['P-5', 'P-4', 'P-5', 'P8', 'P5', 'P-8', 'P1', 'P8', 'P-5', 'P-4', 'P-5', 'P8', 'P8', 'P-11']","[0.0, 8.0, 40.0, 48.0, 84.0, 104.0, 128.0, 150.0, 166.0, 174.0, 198.0, 214.0, 230.0, 250.0, 274.0]","['-3, 3, 2, -2', '-3, 2, 2, -2']","[8.0, 32.0, 8.0, 36.0, 20.0, 24.0, 22.0, 16.0, 8.0, 24.0, 16.0, 16.0, 20.0, 24.0]","['Cantus', 'Altus', 'Tenor', 'Bassus', 'Altus', 'Cantus', 'Bassus', 'Tenor', 'Cantus', 'Altus', 'Tenor', 'Bassus', 'Altus', 'Cantus', 'Bassus']",FUGA,15,True
8,15,"Palestrina, Giovanni Pierluigi da",Veni sponsa Christi,8.0,"['2/1.0', '6/1.0', '21/4.0', '25/4.0']","['P-4', 'P8', 'P-8']","[8.0, 40.0, 166.0, 198.0]","['-3, 3, 2, -2', '-3, 2, 2, -2']","[32.0, 126.0, 32.0]","['Altus', 'Tenor', 'Cantus', 'Tenor']",ID,4,True
9,16,"Palestrina, Giovanni Pierluigi da",Veni sponsa Christi,8.0,"['2/1.0', '6/1.0', '25/4.0', '29/4.0']","['P-4', 'P1', 'P4']","[8.0, 40.0, 198.0, 230.0]","['-3, 3, 2, -2', '-3, 2, 2, -2']","[32.0, 158.0, 32.0]","['Altus', 'Tenor', 'Tenor', 'Altus']",ID,4,True
10,17,"Palestrina, Giovanni Pierluigi da",Veni sponsa Christi,8.0,"['2/1.0', '11/3.0', '25/4.0', '35/2.0']","['P1', 'P-4', 'P1']","[8.0, 84.0, 198.0, 274.0]","['-3, 3, 2, -2', '-3, 2, 2, -2']","[76.0, 114.0, 76.0]","['Altus', 'Altus', 'Tenor', 'Bassus']",ID,4,True
11,18,"Palestrina, Giovanni Pierluigi da",Veni sponsa Christi,8.0,"['2/1.0', '11/3.0', '22/4.0', '32/2.0']","['P1', 'P1', 'P8']","[8.0, 84.0, 174.0, 250.0]","['-3, 3, 2, -2', '-3, 2, 2, -2']","[76.0, 90.0, 76.0]","['Altus', 'Altus', 'Altus', 'Cantus']",ID,4,True
12,20,"Palestrina, Giovanni Pierluigi da",Veni sponsa Christi,8.0,"['2/1.0', '7/1.0', '22/4.0', '27/4.0']","['P-8', 'P8', 'P-8']","[8.0, 48.0, 174.0, 214.0]","['-3, 3, 2, -2', '-3, 2, 2, -2']","[40.0, 126.0, 40.0]","['Altus', 'Bassus', 'Altus', 'Bassus']",ID,4,True
13,25,"Palestrina, Giovanni Pierluigi da",Veni sponsa Christi,40.0,"['6/1.0', '11/3.0', '17/1.0']","['P4', 'P-4']","[40.0, 84.0, 128.0]","['-3, 3, 2, -2', '-3, 2, 2, -2']","[44.0, 44.0]","['Tenor', 'Altus', 'Bassus']",PEN,3,True
14,26,"Palestrina, Giovanni Pierluigi da",Veni sponsa Christi,40.0,"['6/1.0', '14/1.0', '21/4.0', '29/4.0']","['P8', 'P1', 'P-5']","[40.0, 104.0, 166.0, 230.0]","['-3, 3, 2, -2', '-3, 2, 2, -2']","[64.0, 62.0, 64.0]","['Tenor', 'Cantus', 'Cantus', 'Altus']",ID,4,True
15,28,"Palestrina, Giovanni Pierluigi da",Veni sponsa Christi,40.0,"['6/1.0', '14/1.0', '19/4.0', '27/4.0']","['P8', 'P-8', 'P-5']","[40.0, 104.0, 150.0, 214.0]","['-3, 3, 2, -2', '-3, 2, 2, -2']","[64.0, 46.0, 64.0]","['Tenor', 'Cantus', 'Tenor', 'Bassus']",ID,4,True
16,29,"Palestrina, Giovanni Pierluigi da",Veni sponsa Christi,40.0,"['6/1.0', '11/3.0', '29/4.0', '35/2.0']","['P4', 'P1', 'P-4']","[40.0, 84.0, 230.0, 274.0]","['-3, 3, 2, -2', '-3, 2, 2, -2']","[44.0, 146.0, 44.0]","['Tenor', 'Altus', 'Altus', 'Bassus']",ID,4,True
17,30,"Palestrina, Giovanni Pierluigi da",Veni sponsa Christi,40.0,"['6/1.0', '7/1.0', '21/4.0', '22/4.0']","['P-5', 'P12', 'P-5']","[40.0, 48.0, 166.0, 174.0]","['-3, 3, 2, -2', '-3, 2, 2, -2']","[8.0, 118.0, 8.0]","['Tenor', 'Bassus', 'Cantus', 'Altus']",ID,4,True
18,35,"Palestrina, Giovanni Pierluigi da",Veni sponsa Christi,48.0,"['7/1.0', '14/1.0', '22/4.0', '29/4.0']","['P12', 'P-5', 'P1']","[48.0, 104.0, 174.0, 230.0]","['-3, 3, 2, -2', '-3, 2, 2, -2']","[56.0, 70.0, 56.0]","['Bassus', 'Cantus', 'Altus', 'Altus']",ID,4,True
19,36,"Palestrina, Giovanni Pierluigi da",Veni sponsa Christi,48.0,"['7/1.0', '11/3.0', '27/4.0', '32/2.0']","['P8', 'P-8', 'P15']","[48.0, 84.0, 214.0, 250.0]","['-3, 3, 2, -2', '-3, 2, 2, -2']","[36.0, 130.0, 36.0]","['Bassus', 'Altus', 'Bassus', 'Cantus']",ID,4,True
20,39,"Palestrina, Giovanni Pierluigi da",Veni sponsa Christi,48.0,"['7/1.0', '17/1.0', '19/4.0', '29/4.0']","['P5', 'P1', 'P4']","[48.0, 128.0, 150.0, 230.0]","['-3, 3, 2, -2', '-3, 2, 2, -2']","[80.0, 22.0, 80.0]","['Bassus', 'Bassus', 'Tenor', 'Altus']",ID,4,True
21,41,"Palestrina, Giovanni Pierluigi da",Veni sponsa Christi,84.0,"['11/3.0', '14/1.0', '29/4.0', '32/2.0']","['P5', 'P-5', 'P8']","[84.0, 104.0, 230.0, 250.0]","['-3, 3, 2, -2', '-3, 2, 2, -2']","[20.0, 126.0, 20.0]","['Altus', 'Cantus', 'Altus', 'Cantus']",ID,4,True
22,42,"Palestrina, Giovanni Pierluigi da",Veni sponsa Christi,84.0,"['11/3.0', '17/1.0', '29/4.0', '35/2.0']","['P-4', 'P4', 'P-4']","[84.0, 128.0, 230.0, 274.0]","['-3, 3, 2, -2', '-3, 2, 2, -2']","[44.0, 102.0, 44.0]","['Altus', 'Bassus', 'Altus', 'Bassus']",ID,4,True
23,45,"Palestrina, Giovanni Pierluigi da",Veni sponsa Christi,104.0,"['14/1.0', '17/1.0', '22/4.0', '25/4.0']","['P-8', 'P4', 'P-4']","[104.0, 128.0, 174.0, 198.0]","['-3, 3, 2, -2', '-3, 2, 2, -2']","[24.0, 46.0, 24.0]","['Cantus', 'Bassus', 'Altus', 'Tenor']",ID,4,True
24,47,"Palestrina, Giovanni Pierluigi da",Veni sponsa Christi,104.0,"['14/1.0', '17/1.0', '19/4.0', '22/4.0']","['P-8', 'P1', 'P4']","[104.0, 128.0, 150.0, 174.0]","['-3, 3, 2, -2', '-3, 2, 2, -2']","[24.0, 22.0, 24.0]","['Cantus', 'Bassus', 'Tenor', 'Altus']",ID,4,True
25,48,"Palestrina, Giovanni Pierluigi da",Veni sponsa Christi,104.0,"['14/1.0', '17/1.0', '22/4.0', '25/4.0', '32/2.0', '35/2.0']","['P-8', 'P4', 'P-4', 'P11', 'P-11']","[104.0, 128.0, 174.0, 198.0, 250.0, 274.0]","['-3, 3, 2, -2', '-3, 2, 2, -2']","[24.0, 46.0, 24.0, 52.0, 24.0]","['Cantus', 'Bassus', 'Altus', 'Tenor', 'Cantus', 'Bassus']",ID,6,True
26,49,"Palestrina, Giovanni Pierluigi da",Veni sponsa Christi,104.0,"['14/1.0', '17/1.0', '19/4.0', '22/4.0', '32/2.0', '35/2.0']","['P-8', 'P1', 'P4', 'P8', 'P-11']","[104.0, 128.0, 150.0, 174.0, 250.0, 274.0]","['-3, 3, 2, -2', '-3, 2, 2, -2']","[24.0, 22.0, 24.0, 76.0, 24.0]","['Cantus', 'Bassus', 'Tenor', 'Altus', 'Cantus', 'Bassus']",ID,6,True
27,50,"Palestrina, Giovanni Pierluigi da",Veni sponsa Christi,104.0,"['14/1.0', '17/1.0', '32/2.0', '35/2.0']","['P-8', 'P11', 'P-11']","[104.0, 128.0, 250.0, 274.0]","['-3, 3, 2, -2', '-3, 2, 2, -2']","[24.0, 122.0, 24.0]","['Cantus', 'Bassus', 'Cantus', 'Bassus']",ID,4,True
28,55,"Palestrina, Giovanni Pierluigi da",Veni sponsa Christi,150.0,"['19/4.0', '22/4.0', '25/4.0']","['P4', 'P-4']","[150.0, 174.0, 198.0]","['-3, 3, 2, -2', '-3, 2, 2, -2']","[24.0, 24.0]","['Tenor', 'Altus', 'Tenor']",PEN,3,True
29,56,"Palestrina, Giovanni Pierluigi da",Veni sponsa Christi,150.0,"['19/4.0', '22/4.0', '32/2.0', '35/2.0']","['P4', 'P8', 'P-11']","[150.0, 174.0, 250.0, 274.0]","['-3, 3, 2, -2', '-3, 2, 2, -2']","[24.0, 76.0, 24.0]","['Tenor', 'Altus', 'Cantus', 'Bassus']",ID,4,True
30,57,"Palestrina, Giovanni Pierluigi da",Veni sponsa Christi,150.0,"['19/4.0', '21/4.0', '27/4.0', '29/4.0']","['P8', 'P-12', 'P8']","[150.0, 166.0, 214.0, 230.0]","['-3, 3, 2, -2', '-3, 2, 2, -2']","[16.0, 48.0, 16.0]","['Tenor', 'Cantus', 'Bassus', 'Altus']",ID,4,True
31,58,"Palestrina, Giovanni Pierluigi da",Veni sponsa Christi,150.0,"['19/4.0', '21/4.0', '25/4.0', '27/4.0']","['P8', 'P-8', 'P-5']","[150.0, 166.0, 198.0, 214.0]","['-3, 3, 2, -2', '-3, 2, 2, -2']","[16.0, 32.0, 16.0]","['Tenor', 'Cantus', 'Tenor', 'Bassus']",ID,4,True
32,63,"Palestrina, Giovanni Pierluigi da",Veni sponsa Christi,166.0,"['21/4.0', '25/4.0', '29/4.0']","['P-8', 'P4']","[166.0, 198.0, 230.0]","['-3, 3, 2, -2', '-3, 2, 2, -2']","[32.0, 32.0]","['Cantus', 'Tenor', 'Altus']",PEN,3,True
33,65,"Palestrina, Giovanni Pierluigi da",Veni sponsa Christi,174.0,"['22/4.0', '25/4.0', '32/2.0', '35/2.0']","['P-4', 'P11', 'P-11']","[174.0, 198.0, 250.0, 274.0]","['-3, 3, 2, -2', '-3, 2, 2, -2']","[24.0, 52.0, 24.0]","['Altus', 'Tenor', 'Cantus', 'Bassus']",ID,4,True
34,67,"Palestrina, Giovanni Pierluigi da",Veni sponsa Christi,198.0,"['25/4.0', '27/4.0', '29/4.0']","['P-5', 'P8']","[198.0, 214.0, 230.0]","['-3, 3, 2, -2', '-3, 2, 2, -2']","[16.0, 16.0]","['Tenor', 'Bassus', 'Altus']",PEN,3,True
35,69,"Palestrina, Giovanni Pierluigi da",Veni sponsa Christi,298.0,"['38/2.0', '42/2.0', '46/2.0']","['M-9', 'P15']","[298.0, 330.0, 362.0]","['1, 1, -3, 3']","[32.0, 32.0]","['Altus', 'Bassus', 'Cantus']",PEN,3,False
36,70,"Palestrina, Giovanni Pierluigi da",Veni sponsa Christi,298.0,"['38/2.0', '38/4.0', '40/2.0', '42/2.0', '44/1.0', '46/2.0', '48/4.0']","['P-5', 'P8', 'P-12', 'P8', 'P8', 'P-11']","[298.0, 302.0, 314.0, 330.0, 344.0, 362.0, 382.0]","['1, 1, -3, 3']","[4.0, 12.0, 16.0, 14.0, 18.0, 20.0]","['Altus', 'Tenor', 'Cantus', 'Bassus', 'Altus', 'Cantus', 'Bassus']",FUGA,7,False
37,71,"Palestrina, Giovanni Pierluigi da",Veni sponsa Christi,298.0,"['38/2.0', '40/2.0', '42/2.0']","['P4', 'P-12']","[298.0, 314.0, 330.0]","['1, 1, -3, 3']","[16.0, 16.0]","['Altus', 'Cantus', 'Bassus']",PEN,3,False
38,72,"Palestrina, Giovanni Pierluigi da",Veni sponsa Christi,394.0,"['50/2.0', '55/2.0', '56/4.0', '61/4.0']","['P1', 'P5', 'P1']","[394.0, 434.0, 446.0, 486.0]","['-2, 2, 1, 3']","[40.0, 12.0, 40.0]","['Altus', 'Tenor', 'Altus', 'Cantus']",ID,4,False
39,73,"Palestrina, Giovanni Pierluigi da",Veni sponsa Christi,394.0,"['50/2.0', '51/4.0', '55/2.0', '56/4.0']","['P5', 'P-5', 'P5']","[394.0, 406.0, 434.0, 446.0]","['-2, 2, 1, 3']","[12.0, 28.0, 12.0]","['Altus', 'Cantus', 'Tenor', 'Altus']",ID,4,False
40,74,"Palestrina, Giovanni Pierluigi da",Veni sponsa Christi,394.0,"['50/2.0', '51/4.0', '53/2.0']","['P5', 'P-8']","[394.0, 406.0, 418.0]","['-2, 2, 1, 3']","[12.0, 12.0]","['Altus', 'Cantus', 'Bassus']",PEN,3,False
41,75,"Palestrina, Giovanni Pierluigi da",Veni sponsa Christi,394.0,"['50/2.0', '51/4.0', '53/2.0', '55/2.0', '56/4.0', '59/1.0', '61/4.0', '62/2.0', '64/2.0']","['P5', 'P-8', 'P4', 'P5', 'P-8', 'P8', 'P-4', 'P-5']","[394.0, 406.0, 418.0, 434.0, 446.0, 464.0, 486.0, 490.0, 506.0]","['-2, 2, 1, 3']","[12.0, 12.0, 16.0, 12.0, 18.0, 22.0, 4.0, 16.0]","['Altus', 'Cantus', 'Bassus', 'Tenor', 'Altus', 'Bassus', 'Cantus', 'Altus', 'Tenor']",FUGA,9,False
42,76,"Palestrina, Giovanni Pierluigi da",Veni sponsa Christi,406.0,"['51/4.0', '53/2.0', '55/2.0', '56/4.0']","['P-8', 'P4', 'P5']","[406.0, 418.0, 434.0, 446.0]","['-2, 2, 1, 3']","[12.0, 16.0, 12.0]","['Cantus', 'Bassus', 'Tenor', 'Altus']",ID,4,False
43,77,"Palestrina, Giovanni Pierluigi da",Veni sponsa Christi,406.0,"['51/4.0', '56/4.0', '61/4.0']","['P1', 'P1']","[406.0, 446.0, 486.0]","['-2, 2, 1, 3']","[40.0, 40.0]","['Cantus', 'Altus', 'Cantus']",PEN,3,False
44,78,"Palestrina, Giovanni Pierluigi da",Veni sponsa Christi,418.0,"['53/2.0', '55/2.0', '62/2.0', '64/2.0']","['P4', 'M2', 'P-5']","[418.0, 434.0, 490.0, 506.0]","['-2, 2, 1, 3']","[16.0, 56.0, 16.0]","['Bassus', 'Tenor', 'Altus', 'Tenor']",ID,4,False
45,0,Giovanni Pierluigi da Palestrina,Missa Veni sponsa Christi: Kyrie,0.0,"['1/1.0', '2/1.0', '6/1.0', '7/1.0']","['P-5', 'P-4', 'P-5']","[0.0, 8.0, 40.0, 48.0]","['-3, 3, 2, -2', '-3, 2, 2, -2']","[8.0, 32.0, 8.0]","['Cantus', 'Altus', 'Tenor', 'Bassus']",ID,4,True
46,3,Giovanni Pierluigi da Palestrina,Missa Veni sponsa Christi: Kyrie,78.0,"['10/4.0', '12/2.0', '14/2.0', '15/3.0']","['P-4', 'P-5', 'P-4']","[78.0, 90.0, 106.0, 116.0]","['2, 2, 2, 2']","[12.0, 16.0, 10.0]","['Cantus', 'Altus', 'Tenor', 'Bassus']",FUGA,4,False
47,4,Giovanni Pierluigi da Palestrina,Missa Veni sponsa Christi: Kyrie,160.0,"['20/1.0', '24/1.0', '35/3.0', '39/3.0']","['P-8', 'P-5', 'P5']","[160.0, 192.0, 284.0, 316.0]","['-3, 3, 2, -2', '-3, 2, 2, -2']","[32.0, 92.0, 32.0]","['Cantus', 'Tenor', 'Bassus', 'Bassus']",ID,4,True
48,6,Giovanni Pierluigi da Palestrina,Missa Veni sponsa Christi: Kyrie,160.0,"['20/1.0', '24/1.0', '30/2.0', '33/1.0', '35/3.0', '39/3.0']","['P-8', 'P1', 'P4', 'P-8', 'P5']","[160.0, 192.0, 242.0, 264.0, 284.0, 316.0]","['-3, 3, 2, -2', '-3, 2, 2, -2']","[32.0, 50.0, 22.0, 20.0, 32.0]","['Cantus', 'Tenor', 'Bassus', 'Altus', 'Bassus', 'Bassus']",FUGA,6,True
49,7,Giovanni Pierluigi da Palestrina,Missa Veni sponsa Christi: Kyrie,164.0,"['20/3.0', '24/3.0', '27/2.0', '27/4.0', '30/4.0', '36/1.0', '40/2.0', '40/4.0']","['P-8', 'P8', 'P-8', 'P5', 'P4', 'P5', 'M-6']","[164.0, 196.0, 218.0, 222.0, 246.0, 288.0, 322.0, 326.0]","['2, 2, -2, -3']","[32.0, 22.0, 4.0, 24.0, 42.0, 34.0, 4.0]","['Altus', 'Bassus', 'Cantus', 'Tenor', 'Tenor', 'Altus', 'Cantus', 'Tenor']",FUGA,8,False
50,8,Giovanni Pierluigi da Palestrina,Missa Veni sponsa Christi: Kyrie,218.0,"['27/2.0', '27/4.0', '40/2.0', '40/4.0']","['P-8', 'P12', 'M-6']","[218.0, 222.0, 322.0, 326.0]","['2, 2, -2, -3']","[4.0, 100.0, 4.0]","['Cantus', 'Tenor', 'Cantus', 'Tenor']",ID,4,False
51,9,Giovanni Pierluigi da Palestrina,Missa Veni sponsa Christi: Kyrie,368.0,"['45/1.0', '45/3.0', '47/3.0', '49/3.0', '51/4.0', '52/2.0', '53/3.0']","['P-5', 'P8', 'P-8', 'P8', 'P-5', 'P-8']","[368.0, 372.0, 388.0, 404.0, 422.0, 426.0, 436.0]","['1, 1, -3, 3', '1, 1, -3, 2']","[4.0, 16.0, 16.0, 18.0, 4.0, 10.0]","['Altus', 'Tenor', 'Cantus', 'Bassus', 'Altus', 'Tenor', 'Bassus']",FUGA,7,True
52,10,Giovanni Pierluigi da Palestrina,Missa Veni sponsa Christi: Kyrie,368.0,"['45/1.0', '45/3.0', '51/4.0', '52/2.0']","['P-5', 'P8', 'P-5']","[368.0, 372.0, 422.0, 426.0]","['1, 1, -3, 3', '1, 1, -3, 2']","[4.0, 50.0, 4.0]","['Altus', 'Tenor', 'Altus', 'Tenor']",ID,4,True
53,12,Giovanni Pierluigi da Palestrina,Missa Veni sponsa Christi: Kyrie,372.0,"['45/3.0', '47/3.0', '49/3.0']","['P8', 'P-8']","[372.0, 388.0, 404.0]","['1, 1, -3, 3', '1, 1, -3, 2']","[16.0, 16.0]","['Tenor', 'Cantus', 'Bassus']",PEN,3,True
54,13,Giovanni Pierluigi da Palestrina,Missa Veni sponsa Christi: Kyrie,372.0,"['45/3.0', '49/3.0', '53/3.0']","['P1', 'P-5']","[372.0, 404.0, 436.0]","['1, 1, -3, 3', '1, 1, -3, 2']","[32.0, 32.0]","['Tenor', 'Bassus', 'Bassus']",PEN,3,True
55,16,Giovanni Pierluigi da Palestrina,Missa Veni sponsa Christi: Kyrie,458.0,"['56/2.0', '58/4.0', '61/3.0', '63/2.0']","['P-8', 'P-5', 'P12']","[458.0, 478.0, 500.0, 514.0]","['-2, 2, 1, 3']","[20.0, 22.0, 14.0]","['Cantus', 'Tenor', 'Bassus', 'Cantus']",FUGA,4,False
56,17,Giovanni Pierluigi da Palestrina,Missa Veni sponsa Christi: Kyrie,510.0,"['62/4.0', '64/2.0']",['P5'],"[510.0, 522.0]","['-2, 2, 2, 2']",[12.0],"['Tenor', 'Altus']",FUGA,2,False
57,0,Giovanni Pierluigi da Palestrina,Missa Veni sponsa Christi: Gloria,4.0,"['1/3.0', '5/1.0']",['P-8'],"[4.0, 32.0]","['-3, 2, 2, -5']",[28.0],"['Altus', 'Bassus']",FUGA,2,False
58,1,Giovanni Pierluigi da Palestrina,Missa Veni sponsa Christi: Gloria,50.0,"['7/2.0', '7/4.0']",['P5'],"[50.0, 54.0]","['-2, -3, 3, -2']",[4.0],"['Altus', 'Cantus']",FUGA,2,False
59,2,Giovanni Pierluigi da Palestrina,Missa Veni sponsa Christi: Gloria,76.0,"['10/3.0', '11/3.0', '12/3.0']","['M9', 'M-2']","[76.0, 84.0, 92.0]","['1, -2, -3, 3']","[8.0, 8.0]","['Bassus', 'Cantus', 'Altus']",PEN,3,False
60,4,Giovanni Pierluigi da Palestrina,Missa Veni sponsa Christi: Gloria,162.0,"['21/2.0', '22/2.0']",['P8'],"[162.0, 170.0]","['1, -3, 2, 2', '1, -3, 3, 2']",[8.0],"['Tenor', 'Cantus']",FUGA,2,True
61,5,Giovanni Pierluigi da Palestrina,Missa Veni sponsa Christi: Gloria,236.0,"['30/3.0', '37/4.0', '39/2.0', '40/2.0']","['P-11', 'P5', 'P8']","[236.0, 294.0, 306.0, 314.0]","['-2, 2, 3, -2']","[58.0, 12.0, 8.0]","['Cantus', 'Bassus', 'Tenor', 'Cantus']",FUGA,4,False
62,6,Giovanni Pierluigi da Palestrina,Missa Veni sponsa Christi: Gloria,266.0,"['34/2.0', '34/4.0', '35/2.0']","['P4', 'P5']","[266.0, 270.0, 274.0]","['1, -2, 2, 1']","[4.0, 4.0]","['Tenor', 'Altus', 'Cantus']",PEN,3,False
63,8,Giovanni Pierluigi da Palestrina,Missa Veni sponsa Christi: Gloria,352.0,"['44/1.0', '45/1.0', '46/1.0', '47/1.0']","['P8', 'P-12', 'P8']","[352.0, 360.0, 368.0, 376.0]","['1, -3, 2, 2', '1, -3, 3, 2']","[8.0, 8.0, 8.0]","['Tenor', 'Cantus', 'Bassus', 'Altus']",PEN,4,True
64,9,Giovanni Pierluigi da Palestrina,Missa Veni sponsa Christi: Gloria,352.0,"['44/1.0', '45/1.0', '46/1.0']","['P8', 'P-12']","[352.0, 360.0, 368.0]","['1, -3, 2, 2', '1, -3, 3, 2']","[8.0, 8.0]","['Tenor', 'Cantus', 'Bassus']",PEN,3,True
65,11,Giovanni Pierluigi da Palestrina,Missa Veni sponsa Christi: Gloria,352.0,"['44/1.0', '45/1.0', '46/1.0', '47/1.0', '54/1.0', '55/2.0']","['P8', 'P-12', 'P8', 'P-8', 'P8']","[352.0, 360.0, 368.0, 376.0, 432.0, 442.0]","['1, -3, 2, 2', '1, -3, 3, 2']","[8.0, 8.0, 8.0, 56.0, 10.0]","['Tenor', 'Cantus', 'Bassus', 'Altus', 'Bassus', 'Altus']",FUGA,6,True
66,13,Giovanni Pierluigi da Palestrina,Missa Veni sponsa Christi: Gloria,360.0,"['45/1.0', '46/1.0', '47/1.0']","['P-12', 'P8']","[360.0, 368.0, 376.0]","['1, -3, 2, 2', '1, -3, 3, 2']","[8.0, 8.0]","['Cantus', 'Bassus', 'Altus']",PEN,3,True
67,15,Giovanni Pierluigi da Palestrina,Missa Veni sponsa Christi: Gloria,402.0,['50/2.0'],['M-10'],"[402.0, 402.0]","['-3, 3, 2, -2', '-3, 2, 2, -2']",[0.0],"['Cantus', 'Bassus']",FUGA,2,True
68,16,Giovanni Pierluigi da Palestrina,Missa Veni sponsa Christi: Gloria,482.0,"['60/2.0', '62/2.0']",['P1'],"[482.0, 498.0]","['-3, 3, 2, -2', '-3, 2, 2, -2']",[16.0],"['Altus', 'Tenor']",FUGA,2,True
69,17,Giovanni Pierluigi da Palestrina,Missa Veni sponsa Christi: Gloria,522.0,"['65/2.0', '68/2.0']",['P8'],"[522.0, 546.0]","['1, -3, 3, -2']",[24.0],"['Bassus', 'Cantus']",FUGA,2,False
70,18,Giovanni Pierluigi da Palestrina,Missa Veni sponsa Christi: Gloria,570.0,"['71/2.0', '73/2.0', '74/1.0', '78/3.0']","['P5', 'P-8', 'P4']","[570.0, 586.0, 592.0, 628.0]","['-2, 2, 1, 3']","[16.0, 6.0, 36.0]","['Tenor', 'Cantus', 'Bassus', 'Bassus']",FUGA,4,False
71,19,Giovanni Pierluigi da Palestrina,Missa Veni sponsa Christi: Gloria,678.0,"['84/4.0', '87/2.0']",['P-11'],"[678.0, 698.0]","['1, 1, -3, 3']",[20.0],"['Cantus', 'Bassus']",FUGA,2,False
72,20,Giovanni Pierluigi da Palestrina,Missa Veni sponsa Christi: Gloria,706.0,"['88/2.0', '89/2.0', '90/2.0', '91/2.0']","['P1', 'P-8', 'P5']","[706.0, 714.0, 722.0, 730.0]","['1, -2, 2, 3']","[8.0, 8.0, 8.0]","['Cantus', 'Altus', 'Bassus', 'Tenor']",PEN,4,False
73,21,Giovanni Pierluigi da Palestrina,Missa Veni sponsa Christi: Gloria,706.0,"['88/2.0', '90/2.0', '94/2.0', '96/2.0']","['P-8', 'P-5', 'P12']","[706.0, 722.0, 754.0, 770.0]","['1, -2, 2, 3']","[16.0, 32.0, 16.0]","['Cantus', 'Bassus', 'Bassus', 'Cantus']",ID,4,False
74,22,Giovanni Pierluigi da Palestrina,Missa Veni sponsa Christi: Gloria,706.0,"['88/2.0', '89/2.0', '90/2.0', '91/2.0', '94/2.0', '95/1.0', '96/2.0']","['P1', 'P-8', 'P5', 'M-9', 'P5', 'P8']","[706.0, 714.0, 722.0, 730.0, 754.0, 760.0, 770.0]","['1, -2, 2, 3']","[8.0, 8.0, 8.0, 24.0, 6.0, 10.0]","['Cantus', 'Altus', 'Bassus', 'Tenor', 'Bassus', 'Tenor', 'Cantus']",FUGA,7,False
