,Composer,Title,Measure,Beat,CadType,Tone,Evaded,LeadingTones,Low,RelLow,RelTone,Progress,SinceLast,ToNext,Validation,Comments
0,Tomás Luis Victoria,O quam gloriosum,9,1.0,Clausula Vera,G,False,1.0,G3,m3,P1,0.13793103448275862,64.0,4.0,,
1,Tomás Luis Victoria,O quam gloriosum,9,3.0,Authentic,,True,-1.0,C3,-M3,,0.14655172413793102,4.0,12.0,,
2,Tomás Luis Victoria,O quam gloriosum,11,1.0,Clausula Vera,C,True,1.0,A3,P4,-P5,0.1724137931034483,12.0,28.0,,
3,Tomás Luis Victoria,O quam gloriosum,14,3.0,Clausula Vera,C,True,1.0,C3,-M3,-P5,0.23275862068965517,28.0,16.0,,
4,Tomás Luis Victoria,O quam gloriosum,16,3.0,Clausula Vera,G,False,1.0,G2,-M6,P1,0.2672413793103448,16.0,4.0,,
5,Tomás Luis Victoria,O quam gloriosum,17,1.0,Authentic,C,True,1.0,C3,-M3,-P5,0.27586206896551724,4.0,12.0,,
6,Tomás Luis Victoria,O quam gloriosum,18,3.0,Authentic,G,False,1.0,G2,-M6,P1,0.3017241379310345,12.0,56.0,,
7,Tomás Luis Victoria,O quam gloriosum,25,3.0,Clausula Vera,G,False,1.0,G3,m3,P1,0.4224137931034483,56.0,20.0,,
8,Tomás Luis Victoria,O quam gloriosum,28,1.0,Authentic,C,False,1.0,C3,-M3,-P5,0.46551724137931033,20.0,40.0,,
9,Tomás Luis Victoria,O quam gloriosum,33,1.0,Authentic,G,False,1.0,G3,m3,P1,0.5517241379310345,40.0,20.0,,
10,Tomás Luis Victoria,O quam gloriosum,35,3.0,Authentic,G,False,1.0,G2,-M6,P1,0.5948275862068966,20.0,28.0,,
11,Tomás Luis Victoria,O quam gloriosum,39,1.0,Clausula Vera,G,False,1.0,G2,-M6,P1,0.6551724137931034,28.0,44.0,,
12,Tomás Luis Victoria,O quam gloriosum,44,3.0,Clausula Vera,G,False,1.0,G2,-M6,P1,0.75,44.0,48.0,,
13,Tomás Luis Victoria,O quam gloriosum,50,3.0,Clausula Vera,G,True,1.0,G2,-M6,P1,0.853448275862069,48.0,16.0,,
14,Tomás Luis Victoria,O quam gloriosum,52,3.0,Authentic,G,True,1.0,E3,P1,P1,0.8879310344827587,16.0,68.0,,
15,Tomás Luis de Victoria,MIssa O quam gloriosum: Kyrie,6,1.0,Clausula Vera,C,True,1.0,C3,P4,-P5,0.13333333333333333,40.0,16.0,,
16,Tomás Luis de Victoria,MIssa O quam gloriosum: Kyrie,8,1.0,Clausula Vera,G,False,1.0,G2,P1,P1,0.18666666666666668,16.0,4.0,,
17,Tomás Luis de Victoria,MIssa O quam gloriosum: Kyrie,8,3.0,Clausula Vera,C,True,1.0,C3,P4,-P5,0.2,4.0,12.0,,
18,Tomás Luis de Victoria,MIssa O quam gloriosum: Kyrie,10,1.0,Clausula Vera,C,False,1.0,C3,P4,-P5,0.24,12.0,8.0,,
19,Tomás Luis de Victoria,MIssa O quam gloriosum: Kyrie,11,1.0,Authentic,G,False,1.0,G2,P1,P1,0.26666666666666666,8.0,44.0,,
20,Tomás Luis de Victoria,MIssa O quam gloriosum: Kyrie,16,3.0,Clausula Vera,G,True,1.0,G2,P1,P1,0.41333333333333333,44.0,16.0,,
21,Tomás Luis de Victoria,MIssa O quam gloriosum: Kyrie,18,3.0,Authentic,G,True,1.0,E3,M6,P1,0.4666666666666667,16.0,24.0,,
22,Tomás Luis de Victoria,MIssa O quam gloriosum: Kyrie,21,3.0,Authentic,G,True,1.0,E3,M6,P1,0.5466666666666666,24.0,4.0,,
23,Tomás Luis de Victoria,MIssa O quam gloriosum: Kyrie,22,1.0,Clausula Vera,D,False,1.0,D3,P5,-P4,0.56,4.0,44.0,,
24,Tomás Luis de Victoria,MIssa O quam gloriosum: Kyrie,26,1.0,Clausula Vera,G,False,1.0,G2,P1,P1,0.7066666666666667,44.0,52.0,,
25,Tomás Luis de Victoria,MIssa O quam gloriosum: Kyrie,32,3.0,Clausula Vera,G,False,1.0,G2,P1,P1,0.88,52.0,24.0,,
26,Tomás Luis de Victoria,MIssa O quam gloriosum: Kyrie,35,3.0,Clausula Vera,G,False,1.0,G2,P1,P1,0.96,24.0,12.0,,
27,Tomás Luis de Victoria,MIssa O quam gloriosum: Kyrie,37,1.0,Authentic,G,False,1.0,G2,P1,P1,1.0,12.0,16.0,,
28,Tomás Luis de Victoria,MIssa O quam gloriosum: Gloria,11,1.0,Authentic,G,True,1.0,E3,M6,P1,0.10989010989010989,80.0,8.0,,
29,Tomás Luis de Victoria,MIssa O quam gloriosum: Gloria,12,1.0,Authentic,G,True,1.0,B2,M3,P1,0.12087912087912088,8.0,8.0,,
30,Tomás Luis de Victoria,MIssa O quam gloriosum: Gloria,13,1.0,Authentic,G,True,1.0,E3,M6,P1,0.13186813186813187,8.0,8.0,,
31,Tomás Luis de Victoria,MIssa O quam gloriosum: Gloria,14,1.0,Clausula Vera,G,False,1.0,G3,P8,P1,0.14285714285714285,8.0,32.0,,
32,Tomás Luis de Victoria,MIssa O quam gloriosum: Gloria,18,1.0,Clausula Vera,C,False,1.0,C3,P4,-P5,0.18681318681318682,32.0,28.0,,
33,Tomás Luis de Victoria,MIssa O quam gloriosum: Gloria,21,3.0,Clausula Vera,D,False,1.0,D3,P5,-P4,0.22527472527472528,28.0,36.0,,
34,Tomás Luis de Victoria,MIssa O quam gloriosum: Gloria,26,1.0,Clausula Vera,G,False,1.0,G3,P8,P1,0.27472527472527475,36.0,46.0,,
35,Tomás Luis de Victoria,MIssa O quam gloriosum: Gloria,31,4.0,Authentic,F,True,1.0,A2,M2,-M2,0.33791208791208793,46.0,10.0,,
