,Bassus_SecundusTenor,Bassus_PrimusTenor,Bassus_Contratenor,Bassus_Superius,SecundusTenor_PrimusTenor,SecundusTenor_Contratenor,SecundusTenor_Superius,PrimusTenor_Contratenor,PrimusTenor_Superius,Contratenor_Superius
178.0,,,"3_-2, 5_-2, 6_-2, 8_Held, 7","5_Held, 6_-2, 8_Held, 6_-2, 10",,"1_-2, 3_-2, 4_2, 4_Held, 3","3_Held, 4_-2, 6_Held, 4_-2, 8",,,"3_Held, 4_2, 4_Held, 2_Held, 5"
179.0,,,,"6_-2, 8_Held, 6_-2, 10_-2, 11",,,"4_-2, 6_Held, 4_-2, 8_2, 7",,,"4_2, 4_Held, 2_Held, 5_2, 4"
180.0,,,,"8_Held, 6_-2, 10_-2, 11_Held, 10",,"3_-2, 4_2, 4_Held, 3_-2, 3","6_Held, 4_-2, 8_2, 7_Held, 6",,,"4_Held, 2_Held, 5_2, 4_Held, 3"
181.0,,,,,,,"4_-2, 8_2, 7_Held, 6_-2, 8",,,"2_Held, 5_2, 4_Held, 3_-2, 4"
182.0,,,,,,"4_2, 4_Held, 3_-2, 3_Held, 4","8_2, 7_Held, 6_-2, 8_Held, 7",,,"5_2, 4_Held, 3_-2, 4_-2, 6"
184.0,,,,,,"4_Held, 3_-2, 3_Held, 4_Held, 1","7_Held, 6_-2, 8_Held, 7_Held, 6",,,"4_Held, 3_-2, 4_-2, 6_2, 5"
186.0,,,,,"-3_-2, -2_Held, -3_Held, -5_Held, -4",,"6_-2, 8_Held, 7_Held, 6_Held, 5","6_Held, 5_Held, 4_-2, 6_-3, 5","8_Held, 9_-2, 10_Held, 9_-3, 10","3_-2, 4_-2, 6_2, 5_Held, 4"
187.0,,,,,,"3_-2, 3_Held, 4_Held, 1_Held, 3",,"5_Held, 4_-2, 6_-3, 5_2, 6",,"4_-2, 6_2, 5_Held, 4_-4, 6"
188.0,,,,,,,,"4_-2, 6_-3, 5_2, 6_2, 5","9_-2, 10_Held, 9_-3, 10_2, 8","6_2, 5_Held, 4_-4, 6_3, 3"
190.0,,"3_Held, 1_-2, 3_-3, 6_2, 6","8_Held, 5_-2, 8_-3, 10_2, 8","12_Held, 11_Held, 10_-2, 10_-3, 12",,,,"6_-3, 5_2, 6_2, 5_2, 3","10_Held, 9_-3, 10_2, 8_2, 7","5_Held, 4_-4, 6_3, 3_-2, 3"
191.0,,,,"11_Held, 10_-2, 10_-3, 12_2, 10",,,,,"9_-3, 10_2, 8_2, 7_2, 5","4_-4, 6_3, 3_-2, 3_Held, 4"
192.0,,"1_-2, 3_-3, 6_2, 6_2, 3","5_-2, 8_-3, 10_2, 8_2, 7","10_-2, 10_-3, 12_2, 10_2, 10",,,,"5_2, 6_2, 5_2, 3_-3, 5","10_2, 8_2, 7_2, 5_-3, 8","6_3, 3_-2, 3_Held, 4_-2, 5"
194.0,,"3_-3, 6_2, 6_2, 3_2, 1","8_-3, 10_2, 8_2, 7_Held, 6","10_-3, 12_2, 10_2, 10_2, 10",,,,"6_2, 5_2, 3_-3, 5_Held, 4","8_2, 7_2, 5_-3, 8_-2, 10","3_-2, 3_Held, 4_-2, 5_1, 6"
196.0,,"6_2, 6_2, 3_2, 1_Held, 2","10_2, 8_2, 7_Held, 6_2, 5","12_2, 10_2, 10_2, 10_-3, 12",,,,"5_2, 3_-3, 5_Held, 4_-2, 5","7_2, 5_-3, 8_-2, 10_2, 9",
198.0,"6_2, 5_2, 3_-3, 3_Held, 4","6_2, 3_2, 1_Held, 2_-3, 5","8_2, 7_Held, 6_2, 5_-3, 7","10_2, 10_2, 10_-3, 12_Held, 11","1_Held, -3_-2, -3_Held, -2_-3, 3","3_Held, 2_-2, 3_-3, 5_2, 3","5_Held, 6_-2, 8_-3, 10_2, 8","3_-3, 5_Held, 4_-2, 5_2, 4","5_-3, 8_-2, 10_2, 9_2, 8","3_Held, 4_-2, 5_1, 6_-2, 6"
200.0,"5_2, 3_-3, 3_Held, 4_-2, 6","3_2, 1_Held, 2_-3, 5_Held, 6","7_Held, 6_2, 5_-3, 7_Held, 6","10_2, 10_-3, 12_Held, 11_Held, 10","-3_-2, -3_Held, -2_-3, 3_2, 3",,"6_-2, 8_-3, 10_2, 8_Held, 7","5_Held, 4_-2, 5_2, 4_2, 3","8_-2, 10_2, 9_2, 8_2, 6","4_-2, 5_1, 6_-2, 6_Held, 5"
201.0,,,"6_2, 5_-3, 7_Held, 6_-2, 10",,,"2_-2, 3_-3, 5_2, 3_2, 5",,"4_-2, 5_2, 4_2, 3_2, 1",,"5_1, 6_-2, 6_Held, 5_4, 1"
202.0,"3_-3, 3_Held, 4_-2, 6_-2, 8","1_Held, 2_-3, 5_Held, 6_-2, 8","5_-3, 7_Held, 6_-2, 10_-2, 10","10_-3, 12_Held, 11_Held, 10_-2, 10","-3_Held, -2_-3, 3_2, 3_2, 3","3_-3, 5_2, 3_2, 5_2, 3","8_-3, 10_2, 8_Held, 7_2, 5","5_2, 4_2, 3_2, 1_2, 3","10_2, 9_2, 8_2, 6_Held, 5","6_-2, 6_Held, 5_4, 1_Held, -3"
203.0,,"2_-3, 5_Held, 6_-2, 8_-2, 5",,,"-2_-3, 3_2, 3_2, 3_2, -4",,,"4_2, 3_2, 1_2, 3_-5, 6","9_2, 8_2, 6_Held, 5_2, 3",
204.0,"3_Held, 4_-2, 6_-2, 8_2, 5",,"7_Held, 6_-2, 10_-2, 10_2, 8","12_Held, 11_Held, 10_-2, 10_Held, 8",,"5_2, 3_2, 5_2, 3_-3, 4","10_2, 8_Held, 7_2, 5_Held, 3",,"8_2, 6_Held, 5_2, 3_Held, 1",
206.0,"4_-2, 6_-2, 8_2, 5_4, 1",,"6_-2, 10_-2, 10_2, 8_Held, 7","11_Held, 10_-2, 10_Held, 8_-2, 12",,"3_2, 5_2, 3_-3, 4_Held, 3","8_Held, 7_2, 5_Held, 3_2, 5",,"6_Held, 5_2, 3_Held, 1_-5, 8","6_Held, 5_4, 1_Held, -3_-2, 3"
207.0,,,,"10_-2, 10_Held, 8_-2, 12_2, 11",,,"7_2, 5_Held, 3_2, 5_-3, 7",,,"5_4, 1_Held, -3_-2, 3_-2, 4"
208.0,"6_-2, 8_2, 5_4, 1_Held, 1",,"10_-2, 10_2, 8_Held, 7_4, 5","10_Held, 8_-2, 12_2, 11_Held, 10",,"5_2, 3_-3, 4_Held, 3_-2, 5","5_Held, 3_2, 5_-3, 7_Held, 6",,,"1_Held, -3_-2, 3_-2, 4_Held, 3"
209.0,,,,"8_-2, 12_2, 11_Held, 10_4, 8",,,"3_2, 5_-3, 7_Held, 6_-2, 8",,,"-3_-2, 3_-2, 4_Held, 3_-2, 4"
210.0,"8_2, 5_4, 1_Held, 1_Held, 5",,"10_2, 8_Held, 7_4, 5_Held, 4",,,"3_-3, 4_Held, 3_-2, 5_Held, 4","5_-3, 7_Held, 6_-2, 8_1, 8",,,"3_-2, 4_Held, 3_-2, 4_2, 4"
212.0,"5_4, 1_Held, 1_Held, 5_Held, 4",,"8_Held, 7_4, 5_Held, 4_Held, 3",,,"4_Held, 3_-2, 5_Held, 4_1, 3","7_Held, 6_-2, 8_1, 8_5, 4",,,"4_Held, 3_-2, 4_2, 4_-2, 5"
214.0,,"5_4, 3_Held, 2_Held, 3_Held, 4",,,"1_-2, 3_Held, 2_1, 3_Held, 4",,"6_-2, 8_1, 8_5, 4_-2, 5","4_Held, 3_2, 3_-2, 3_2, 1","6_2, 6_-2, 7_2, 6_2, 5","3_-2, 4_2, 4_-2, 5_-2, 6"
215.0,,,"7_4, 5_Held, 4_Held, 3_Held, 2",,,"3_-2, 5_Held, 4_1, 3_Held, 2",,"3_2, 3_-2, 3_2, 1_2, -3",,"4_2, 4_-2, 5_-2, 6_-2, 7"
216.0,"1_Held, 1_Held, 5_Held, 4_Held, 3","3_Held, 2_Held, 3_Held, 4_Held, 5","5_Held, 4_Held, 3_Held, 2_Held, 3",,"3_Held, 2_1, 3_Held, 4_Held, 5","5_Held, 4_1, 3_Held, 2_Held, 3","8_1, 8_5, 4_-2, 5_-2, 6","3_-2, 3_2, 1_2, -3_2, -3","6_-2, 7_2, 6_2, 5_2, 4","4_-2, 5_-2, 6_-2, 7_2, 6"
217.0,,,"4_Held, 3_Held, 2_Held, 3_Held, 1",,"2_1, 3_Held, 4_Held, 5_5, 1","4_1, 3_Held, 2_Held, 3_5, -5",,"3_2, 1_2, -3_2, -3_Held, -5",,"5_-2, 6_-2, 7_2, 6_-3, 8"
218.0,"1_Held, 5_Held, 4_Held, 3_Held, 2",,"3_Held, 2_Held, 3_Held, 1_Held, 5",,,"3_Held, 2_Held, 3_5, -5_Held, 1","8_5, 4_-2, 5_-2, 6_-2, 7",,,"6_-2, 7_2, 6_-3, 8_5, 4"
219.0,,,"2_Held, 3_Held, 1_Held, 5_Held, 5",,,"2_Held, 3_5, -5_Held, 1_-2, 2",,,,
220.0,,,,,,"3_5, -5_Held, 1_-2, 2_-2, 3",,,,
222.0,"5_Held, 4_Held, 3_Held, 2_Held, 3",,,,,"-5_Held, 1_-2, 2_-2, 3_-2, 4",,,,
224.0,,,,,,"1_-2, 2_-2, 3_-2, 4_2, 3",,,,
225.0,,,,,,"2_-2, 3_-2, 4_2, 3_Held, 3",,,,
226.0,,,,,"-3_-2, -2_2, 3_-2, 4_Held, 3","3_-2, 4_2, 3_Held, 3_-2, 6",,"5_5, 1_Held, 1_Held, 3_-2, 3",,
227.0,,,,,"-2_2, 3_-2, 4_Held, 3_Held, 4","4_2, 3_Held, 3_-2, 6_Held, 5",,,,
228.0,,,,,"3_-2, 4_Held, 3_Held, 4_Held, 6","3_Held, 3_-2, 6_Held, 5_Held, 6",,"1_Held, 1_Held, 3_-2, 3_2, 3",,
230.0,,,,,,"3_-2, 6_Held, 5_Held, 6_Held, 7",,"1_Held, 3_-2, 3_2, 3_Held, 4",,
232.0,,,,,,"6_Held, 5_Held, 6_Held, 7_Held, 8",,"3_-2, 3_2, 3_Held, 4_3, 3",,
234.0,,,,,,"5_Held, 6_Held, 7_Held, 8_Held, 6",,"3_2, 3_Held, 4_3, 3_Held, 1",,
236.0,,"8_Held, 10_4, 6_Held, 5_Held, 4","10_Held, 11_Held, 12_Held, 10_4, 8",,,,,"3_Held, 4_3, 3_Held, 1_-2, 3",,
237.0,,,"11_Held, 12_Held, 10_4, 8_Held, 7",,,,,"4_3, 3_Held, 1_-2, 3_-2, 4",,
238.0,,"10_4, 6_Held, 5_Held, 4_-2, 6","12_Held, 10_4, 8_Held, 7_Held, 6",,,,,"3_Held, 1_-2, 3_-2, 4_Held, 3",,
239.0,,,"10_4, 8_Held, 7_Held, 6_-2, 8",,,,,"1_-2, 3_-2, 4_Held, 3_-2, 3",,
240.0,,"6_Held, 5_Held, 4_-2, 6_2, 3","8_Held, 7_Held, 6_-2, 8_2, 5",,,,,"3_-2, 4_Held, 3_-2, 3_2, 3",,
242.0,,"5_Held, 4_-2, 6_2, 3_Held, 4",,"5_Held, 9_-2, 10_2, 9_3, 6",,,,"4_Held, 3_-2, 3_2, 3_-3, 3","1_-2, 6_2, 5_-3, 7_2, 6","-4_-2, -3_-2, 4_2, 3_-3, 5"
243.0,,,"7_Held, 6_-2, 8_2, 5_3, 3",,,,,"3_-2, 3_2, 3_-3, 3_2, 2",,"-3_-2, 4_2, 3_-3, 5_Held, 4"
244.0,"2_-2, 3_2, 5_3, 3_-2, 4","4_-2, 6_2, 3_Held, 4_3, 3",,"9_-2, 10_2, 9_3, 6_-2, 8","3_Held, 4_4, -3_Held, -2_Held, 1",,"8_4, 5_Held, 4_Held, 5_-2, 8","3_2, 3_-3, 3_2, 2_2, 1","6_2, 5_-3, 7_2, 6_2, 4",
246.0,"3_2, 5_3, 3_-2, 4_Held, 3","6_2, 3_Held, 4_3, 3_Held, 4",,"10_2, 9_3, 6_-2, 8_Held, 10","4_4, -3_Held, -2_Held, 1_Held, 2",,,"3_-3, 3_2, 2_2, 1_2, -2","5_-3, 7_2, 6_2, 4_2, 3",
248.0,"5_3, 3_-2, 4_Held, 3_-2, 4","3_Held, 4_3, 3_Held, 4_-2, 6",,"9_3, 6_-2, 8_Held, 10_-2, 11","-3_Held, -2_Held, 1_Held, 2_Held, 3",,"5_Held, 4_Held, 5_-2, 8_2, 7",,"7_2, 6_2, 4_2, 3_2, 3",
249.0,,"4_3, 3_Held, 4_-2, 6_Held, 4",,,"-2_Held, 1_Held, 2_Held, 3_Held, 1",,,,"6_2, 4_2, 3_2, 3_-3, 5",
250.0,"3_-2, 4_Held, 3_-2, 4_-2, 6","3_Held, 4_-2, 6_Held, 4_Held, 5",,"6_-2, 8_Held, 10_-2, 11_-2, 12","1_Held, 2_Held, 3_Held, 1_-2, 3",,"4_Held, 5_-2, 8_2, 7_Held, 6",,"4_2, 3_2, 3_-3, 5_2, 6",
251.0,,"4_-2, 6_Held, 4_Held, 5_-2, 6",,,"2_Held, 3_Held, 1_-2, 3_2, 3",,,,"3_2, 3_-3, 5_2, 6_2, 5",
252.0,"4_Held, 3_-2, 4_-2, 6_2, 5","6_Held, 4_Held, 5_-2, 6_-2, 8",,"8_Held, 10_-2, 11_-2, 12_2, 10","3_Held, 1_-2, 3_2, 3_Held, 1",,"5_-2, 8_2, 7_Held, 6_3, 3",,"3_-3, 5_2, 6_2, 5_-3, 6",
253.0,,"4_Held, 5_-2, 6_-2, 8_2, 5",,,"1_-2, 3_2, 3_Held, 1_3, -3",,,,"5_2, 6_2, 5_-3, 6_Held, 5",
254.0,"3_-2, 4_-2, 6_2, 5_-4, 10","5_-2, 6_-2, 8_2, 5_-4, 8","8_-2, 9_-2, 10_2, 8_-4, 10","10_-2, 11_-2, 12_2, 10_-4, 12","3_2, 3_Held, 1_3, -3_Held, -4","6_2, 5_Held, 4_3, 1_Held, -2","8_2, 7_Held, 6_3, 3_-2, 4","4_2, 3_-3, 4_Held, 3_-2, 4","6_2, 5_-3, 6_Held, 5_-2, 6","3_-2, 3_-2, 3_-2, 4_-2, 5"
255.0,"4_-2, 6_2, 5_-4, 10_2, 9","6_-2, 8_2, 5_-4, 8_2, 6","9_-2, 10_2, 8_-4, 10_2, 9","11_-2, 12_2, 10_-4, 12_2, 11",,,,,,
256.0,"6_2, 5_-4, 10_2, 9_2, 8","8_2, 5_-4, 8_2, 6_2, 6","10_2, 8_-4, 10_2, 9_2, 7","12_2, 10_-4, 12_2, 11_2, 10","3_Held, 1_3, -3_Held, -4_Held, -3","5_Held, 4_3, 1_Held, -2_Held, -3","7_Held, 6_3, 3_-2, 4_-2, 5","3_-3, 4_Held, 3_-2, 4_2, 2","5_-3, 6_Held, 5_-2, 6_2, 5",
258.0,"5_-4, 10_2, 9_2, 8_2, 7","5_-4, 8_2, 6_2, 6_2, 5","8_-4, 10_2, 9_2, 7_2, 5","10_-4, 12_2, 11_2, 10_2, 9","1_3, -3_Held, -4_Held, -3_-2, -5","4_3, 1_Held, -2_Held, -3_-2, -3",,"4_Held, 3_-2, 4_2, 2_Held, 1","6_Held, 5_-2, 6_2, 5_-4, 8","3_-2, 3_-2, 4_-2, 5_-2, 6"
260.0,"10_2, 9_2, 8_2, 7_2, 5","8_2, 6_2, 6_2, 5_2, 1","10_2, 9_2, 7_2, 5_2, 3","12_2, 11_2, 10_2, 9_2, 8","-3_Held, -4_Held, -3_-2, -5_Held, -5","1_Held, -2_Held, -3_-2, -3_-2, -2",,"3_-2, 4_2, 2_Held, 1_-4, 3","5_-2, 6_2, 5_-4, 8_1, 8",
261.0,"9_2, 8_2, 7_2, 5_2, 4","6_2, 6_2, 5_2, 1_2, -2","9_2, 7_2, 5_2, 3_2, 2","11_2, 10_2, 9_2, 8_2, 7","-4_Held, -3_-2, -5_Held, -5_-2, -4",,,"4_2, 2_Held, 1_-4, 3_1, 3",,
262.0,"8_2, 7_2, 5_2, 4_2, 3","6_2, 5_2, 1_2, -2_2, -3","7_2, 5_2, 3_2, 2_2, 1","10_2, 9_2, 8_2, 7_2, 6","-3_-2, -5_Held, -5_-2, -4_-2, 3",,,,,
263.0,"7_2, 5_2, 4_2, 3_Held, 2","5_2, 1_2, -2_2, -3_Held, 3",,,,,,,,
264.0,"5_2, 4_2, 3_Held, 2_Held, 1","1_2, -2_2, -3_Held, 3_-2, 5",,,"-5_Held, -5_-2, -4_-2, 3_2, 3",,,,,
265.0,"4_2, 3_Held, 2_Held, 1_-2, 3","-2_2, -3_Held, 3_-2, 5_2, 3",,,,,,,,
266.0,"3_Held, 2_Held, 1_-2, 3_2, -3","-3_Held, 3_-2, 5_2, 3_-3, 4",,,"-5_-2, -4_-2, 3_2, 3_-4, 5",,,,,
267.0,"2_Held, 1_-2, 3_2, -3_-3, 6",,,,"-4_-2, 3_2, 3_-4, 5_6, -3",,,,,
268.0,"1_-2, 3_2, -3_-3, 6_2, 5","3_-2, 5_2, 3_-3, 4_Held, 3",,,"3_2, 3_-4, 5_6, -3_Held, -4",,,,,
270.0,"3_2, -3_-3, 6_2, 5_Held, 4","5_2, 3_-3, 4_Held, 3_2, 3","3_2, 6_-3, 8_2, 7_Held, 6",,"3_-4, 5_6, -3_Held, -4_Held, -3","1_-4, 8_6, 3_-2, 3_-2, 4",,"-3_-2, 4_-2, 5_-2, 6_2, 5",,
272.0,"-3_-3, 6_2, 5_Held, 4_Held, 3",,"6_-3, 8_2, 7_Held, 6_-2, 8",,"5_6, -3_Held, -4_Held, -3_-2, -2","8_6, 3_-2, 3_-2, 4_2, 4",,"4_-2, 5_-2, 6_2, 5_Held, 4",,
274.0,"6_2, 5_Held, 4_Held, 3_-2, 5",,"8_2, 7_Held, 6_-2, 8_Held, 10","8_2, 7_Held, 10_-2, 11_Held, 10","-3_Held, -4_Held, -3_-2, -2_-2, 1","3_-2, 3_-2, 4_2, 4_-2, 5","3_-2, 7_-2, 8_2, 7_-2, 8",,,"1_-2, 5_2, 4_3, 1_-2, 3"
276.0,"5_Held, 4_Held, 3_-2, 5_Held, 4",,"7_Held, 6_-2, 8_Held, 10_-2, 10","7_Held, 10_-2, 11_Held, 10_-2, 12",,,,,,
278.0,"4_Held, 3_-2, 5_Held, 4_Held, 5",,"6_-2, 8_Held, 10_-2, 10_-2, 11","10_-2, 11_Held, 10_-2, 12_-2, 15",,"3_-2, 4_2, 4_-2, 5_2, 6","7_-2, 8_2, 7_-2, 8_2, 6",,,"5_2, 4_3, 1_-2, 3_Held, 5"
279.0,"3_-2, 5_Held, 4_Held, 5_Held, 6",,,,,"4_2, 4_-2, 5_2, 6_2, 5","8_2, 7_-2, 8_2, 6_2, 5",,,
280.0,"5_Held, 4_Held, 5_Held, 6_-2, 8",,"8_Held, 10_-2, 10_-2, 11_Held, 10","11_Held, 10_-2, 12_-2, 15_5, 10",,"4_-2, 5_2, 6_2, 5_2, 3","7_-2, 8_2, 6_2, 5_2, 5",,,"4_3, 1_-2, 3_Held, 5_-2, 6"
281.0,"4_Held, 5_Held, 6_-2, 8_-2, 5",,,,,"5_2, 6_2, 5_2, 3_-5, 7","8_2, 6_2, 5_2, 5_-5, 11",,,
282.0,"5_Held, 6_-2, 8_-2, 5_5, 1",,"10_-2, 10_-2, 11_Held, 10_5, 5","10_-2, 12_-2, 15_5, 10_Held, 9",,"6_2, 5_2, 3_-5, 7_Held, 6","6_2, 5_2, 5_-5, 11_Held, 10",,,"1_-2, 3_Held, 5_-2, 6_-2, 6"
283.0,"6_-2, 8_-2, 5_5, 1_Held, -2",,,,,"5_2, 3_-5, 7_Held, 6_Held, 5","5_2, 5_-5, 11_Held, 10_-2, 11",,,
284.0,"8_-2, 5_5, 1_Held, -2_Held, -3",,"10_-2, 11_Held, 10_5, 5_Held, 6",,,"3_-5, 7_Held, 6_Held, 5_-2, 6","5_-5, 11_Held, 10_-2, 11_-2, 12",,,"3_Held, 5_-2, 6_-2, 6_2, 5"
286.0,"5_5, 1_Held, -2_Held, -3_Held, -2",,,,,"7_Held, 6_Held, 5_-2, 6_-2, 8","11_Held, 10_-2, 11_-2, 12_2, 10",,,"5_-2, 6_-2, 6_2, 5_Held, 4"
287.0,,,,,,"6_Held, 5_-2, 6_-2, 8_2, 7",,,,"6_-2, 6_2, 5_Held, 4_-4, 6"
288.0,,,,,,"5_-2, 6_-2, 8_2, 7_2, 3","10_-2, 11_-2, 12_2, 10_2, 8",,,"6_2, 5_Held, 4_-4, 6_3, 5"
289.0,,,,,,"6_-2, 8_2, 7_2, 3_Held, 5","11_-2, 12_2, 10_2, 8_Held, 9",,,
290.0,,,,,"1_2, -2_2, -3_Held, 2_-2, 3","8_2, 7_2, 3_Held, 5_-2, 6","12_2, 10_2, 8_Held, 9_-2, 10","8_Held, 5_4, 4_Held, 3_-2, 3","12_Held, 11_Held, 10_4, 8_Held, 5","5_Held, 4_-4, 6_3, 5_-2, 3"
291.0,,,,,"-2_2, -3_Held, 2_-2, 3_-3, 5","7_2, 3_Held, 5_-2, 6_-3, 8","10_2, 8_Held, 9_-2, 10_-3, 12",,"11_Held, 10_4, 8_Held, 5_Held, 6","4_-4, 6_3, 5_-2, 3_Held, 4"
292.0,,,,,"-3_Held, 2_-2, 3_-3, 5_2, 4","3_Held, 5_-2, 6_-3, 8_2, 6","8_Held, 9_-2, 10_-3, 12_2, 8","5_4, 4_Held, 3_-2, 3_2, 1","10_4, 8_Held, 5_Held, 6_-2, 8","6_3, 5_-2, 3_Held, 4_-2, 6"
294.0,,,,,"2_-2, 3_-3, 5_2, 4_5, -3","5_-2, 6_-3, 8_2, 6_5, 1","9_-2, 10_-3, 12_2, 8_Held, 9","4_Held, 3_-2, 3_2, 1_3, 3","8_Held, 5_Held, 6_-2, 8_Held, 6","5_-2, 3_Held, 4_-2, 6_Held, 4"
295.0,,,,,"3_-3, 5_2, 4_5, -3_2, -3","6_-3, 8_2, 6_5, 1_2, -3","10_-3, 12_2, 8_Held, 9_5, 6",,,
295.5,,,,,"5_2, 4_5, -3_2, -3_-3, 3","8_2, 6_5, 1_2, -3_-3, 5","12_2, 8_Held, 9_5, 6_Held, 4",,,
296.0,,,,,"4_5, -3_2, -3_-3, 3_2, 1","6_5, 1_2, -3_-3, 5_2, 4","8_Held, 9_5, 6_Held, 4_2, 4","3_-2, 3_2, 1_3, 3_-2, 4","5_Held, 6_-2, 8_Held, 6_2, 6","3_Held, 4_-2, 6_Held, 4_-2, 6"
297.0,,,,,,,"9_5, 6_Held, 4_2, 4_-3, 5",,"6_-2, 8_Held, 6_2, 6_3, 3","4_-2, 6_Held, 4_-2, 6_5, 1"
298.0,,,,,"-3_2, -3_-3, 3_2, 1_3, -3","1_2, -3_-3, 5_2, 4_3, 1","6_Held, 4_2, 4_-3, 5_Held, 6","3_2, 1_3, 3_-2, 4_Held, 3","8_Held, 6_2, 6_3, 3_Held, 4","6_Held, 4_-2, 6_5, 1_Held, 2"
299.0,,,,,,,"4_2, 4_-3, 5_Held, 6_2, 6",,"6_2, 6_3, 3_Held, 4_-2, 6","4_-2, 6_5, 1_Held, 2_Held, 3"
300.0,,,,,"-3_-3, 3_2, 1_3, -3_Held, -4","-3_-3, 5_2, 4_3, 1_Held, 2","4_-3, 5_Held, 6_2, 6_Held, 7","1_3, 3_-2, 4_Held, 3_-2, 4","6_3, 3_Held, 4_-2, 6_Held, 7","6_5, 1_Held, 2_Held, 3_Held, 4"
302.0,,,,,"3_2, 1_3, -3_Held, -4_Held, -5","5_2, 4_3, 1_Held, 2_-2, 3","5_Held, 6_2, 6_Held, 7_3, 6","3_-2, 4_Held, 3_-2, 4_-2, 6","3_Held, 4_-2, 6_Held, 7_Held, 8","1_Held, 2_Held, 3_Held, 4_-2, 6"
303.0,,,,,,,"6_2, 6_Held, 7_3, 6_Held, 5",,"4_-2, 6_Held, 7_Held, 8_-2, 9","2_Held, 3_Held, 4_-2, 6_2, 5"
304.0,,,,,"1_3, -3_Held, -4_Held, -5_-2, -3","4_3, 1_Held, 2_-2, 3_-2, 4","6_Held, 7_3, 6_Held, 5_-2, 6","4_Held, 3_-2, 4_-2, 6_2, 5","6_Held, 7_Held, 8_-2, 9_-2, 10","3_Held, 4_-2, 6_2, 5_Held, 4"
305.0,,,,,,,"7_3, 6_Held, 5_-2, 6_-2, 7",,"7_Held, 8_-2, 9_-2, 10_Held, 9","4_-2, 6_2, 5_Held, 4_Held, 4"
306.0,,,,,"-3_Held, -4_Held, -5_-2, -3_-2, -5",,"6_Held, 5_-2, 6_-2, 7_Held, 6","3_-2, 4_-2, 6_2, 5_-4, 8","8_-2, 9_-2, 10_Held, 9_2, 8","6_2, 5_Held, 4_Held, 4_Held, 3"
307.0,,,,,,,,,"9_-2, 10_Held, 9_2, 8_-4, 11",
308.0,,,,,,,,,"10_Held, 9_2, 8_-4, 11_Held, 10",
309.0,,,,,,,"5_-2, 6_-2, 7_Held, 6_-2, 8",,,
318.0,,,"5_2, 6_3, 3_Held, 2_-2, 6",,,,,,,
320.0,,,"6_3, 3_Held, 2_-2, 6_-2, 7",,,,,,,
322.0,,,"3_Held, 2_-2, 6_-2, 7_Held, 6","6_Held, 7_-2, 6_-2, 8_Held, 10",,,,,,"4_-2, 6_4, 1_Held, 2_-2, 5"
324.0,,"2_-2, 3_-2, 5_Held, 3_-2, 5","2_-2, 6_-2, 7_Held, 6_-2, 8","7_-2, 6_-2, 8_Held, 10_-2, 11",,,,"1_Held, 4_2, 3_-3, 4_2, 4","6_Held, 4_2, 4_-3, 8_2, 7","6_4, 1_Held, 2_-2, 5_2, 4"
326.0,,"3_-2, 5_Held, 3_-2, 5_Held, 8","6_-2, 7_Held, 6_-2, 8_Held, 7","6_-2, 8_Held, 10_-2, 11_Held, 10",,,,"4_2, 3_-3, 4_2, 4_4, 1","4_2, 4_-3, 8_2, 7_4, 3","1_Held, 2_-2, 5_2, 4_Held, 3"
328.0,,,,,,,,"3_-3, 4_2, 4_4, 1_Held, -2","4_-3, 8_2, 7_4, 3_Held, 2","2_-2, 5_2, 4_Held, 3_-2, 4"
330.0,,,,,"3_2, 3_-3, 8_2, 7_4, 3","6_2, 6_-3, 8_Held, 7_2, 5","10_2, 9_-3, 10_2, 8_4, 5","4_2, 4_4, 1_Held, -2_Held, -3","8_2, 7_4, 3_Held, 2_-2, 3","5_2, 4_Held, 3_-2, 4_-2, 4"
332.0,,,,,"3_-3, 8_2, 7_4, 3_Held, 2","6_-3, 8_Held, 7_2, 5_4, 1","9_-3, 10_2, 8_4, 5_Held, 4","4_4, 1_Held, -2_Held, -3_-2, -3","7_4, 3_Held, 2_-2, 3_-2, 3","4_Held, 3_-2, 4_-2, 4_-2, 5"
334.0,,,,,"8_2, 7_4, 3_Held, 2_-2, 3",,"10_2, 8_4, 5_Held, 4_-2, 5",,,
336.0,,,,,"7_4, 3_Held, 2_-2, 3_-2, 3",,,,,
338.0,"8_2, 7_-3, 8_2, 6_3, 3","10_2, 8_-3, 10_2, 8_3, 6",,,"3_Held, 2_-2, 3_-2, 3_-2, 4",,,,,
340.0,"7_-3, 8_2, 6_3, 3_Held, 4",,,,,,,,,
342.0,"8_2, 6_3, 3_Held, 4_-2, 6",,"10_2, 10_3, 6_Held, 7_-2, 10",,,"3_-2, 5_-2, 4_2, 4_2, 5",,,,
344.0,"6_3, 3_Held, 4_-2, 6_-2, 8",,"10_3, 6_Held, 7_-2, 10_-2, 11",,,"5_-2, 4_2, 4_2, 5_2, 4",,,,
346.0,,,"6_Held, 7_-2, 10_-2, 11_Held, 10",,,"4_2, 4_2, 5_2, 4_Held, 3",,,,
348.0,,,"7_-2, 10_-2, 11_Held, 10_-2, 10",,,,,,,
350.0,,"3_-2, 5_Held, 3_-2, 5_Held, 8",,,,,,"8_2, 7_-3, 8_2, 6_4, 3",,
352.0,,,,,,,,"7_-3, 8_2, 6_4, 3_Held, 2",,
