,Composer,Title,First_Offset,Measures_Beats,Melodic_Entry_Intervals,Offsets,Soggetti,Time_Entry_Intervals,Voices,Presentation_Type,Number_Entries,Flexed_Entries
60,Philippe Verdelot,Ultimi miei sospiri,274.0,"['35/2.0', '38/1.0', '42/1.0', '48/4.0', '49/2.0']","['P1', 'P-5', 'm6', 'P-4']","[274.0, 296.0, 328.0, 382.0, 386.0]","[('-2', '2', '3', '-2'), ('-2', '2', '2', '-2'), ('-3', '2', '3', '-2')]","[22.0, 32.0, 54.0, 4.0]","['Altus', 'Altus', 'Tenor', 'Altus', 'Quintus']",FUGA,5,True
61,Philippe Verdelot,Ultimi miei sospiri,274.0,"['35/2.0', '38/1.0', '42/1.0', '49/2.0', '50/4.0']","['P1', 'P-5', 'm3', 'P5']","[274.0, 296.0, 328.0, 386.0, 398.0]","[('-3', '2', '2', '-2'), ('-2', '2', '3', '-2'), ('-3', '2', '3', '-2')]","[22.0, 32.0, 58.0, 12.0]","['Altus', 'Altus', 'Tenor', 'Quintus', 'Altus']",FUGA,5,True
62,Philippe Verdelot,Ultimi miei sospiri,276.0,"['35/3.0', '37/1.0', '38/2.0', '42/2.0', '50/2.0', '51/2.0']","['P1', 'M-2', 'P-5', 'P11', 'M-6']","[276.0, 288.0, 298.0, 330.0, 394.0, 402.0]","[('2', '-2', '-2', '-2'), ('3', '-2', '-2', '-2')]","[12.0, 10.0, 32.0, 64.0, 8.0]","['Quintus', 'Altus', 'Altus', 'Tenor', 'Cantus', 'Altus']",FUGA,6,True
63,Philippe Verdelot,Ultimi miei sospiri,286.0,"['36/4.0', '38/2.5', '39/2.0', '42/2.5', '43/1.0', '43/2.0', '46/2.5', '51/2.0']","['P-4', 'P4', 'P-8', 'm7', 'P-4', 'P1', 'P8']","[286.0, 299.0, 306.0, 331.0, 336.0, 338.0, 363.0, 402.0]","[('-2', '-2', '2', '2'), ('-2', '-2', '3', '2')]","[13.0, 7.0, 25.0, 5.0, 2.0, 25.0, 39.0]","['Quintus', 'Sextus', 'Altus', 'Bassus', 'Quintus', 'Tenor', 'Sextus', 'Cantus']",FUGA,8,True
64,Philippe Verdelot,Ultimi miei sospiri,330.0,"['42/2.0', '43/3.0']",['m-2'],"[330.0, 340.0]","[('3', '2', '2', '-2'), ('2', '2', '2', '-2'), ('2', '2', '2', '-3')]",[10.0],"['Altus', 'Quintus']",FUGA,2,True
65,Philippe Verdelot,Ultimi miei sospiri,344.0,"['44/1.0', '45/2.0']","['P-5', 'P8']","[344.0, 344.0, 354.0]","[('4', '-2', '-2', '4')]","[0.0, 10.0]","['Sextus', 'Bassus', 'Tenor']",FUGA,3,False
66,Philippe Verdelot,Ultimi miei sospiri,356.0,"['45/3.0', '45/4.0']",['P8'],"[356.0, 358.0]","[('-2', '-2', '4', '-5')]",[2.0],"['Bassus', 'Tenor']",FUGA,2,False
67,Philippe Verdelot,Ultimi miei sospiri,360.0,"['46/1.0', '49/4.0', '53/1.0', '53/4.0', '56/1.0', '56/3.0']","['P-5', 'P-5', 'm-3', 'P5', 'P4', 'P-4']","[360.0, 390.0, 416.0, 416.0, 422.0, 440.0, 444.0]","[('-2', '-2', '2', '-4'), ('-2', '-2', '2', '-2'), ('-2', '-3', '2', '-3'), ('-2', '-2', '2', '-3'), ('-2', '-2', '3', '-3')]","[30.0, 26.0, 0.0, 6.0, 18.0, 4.0]","['Cantus', 'Altus', 'Tenor', 'Sextus', 'Quintus', 'Cantus', 'Altus']",FUGA,7,True
68,Philippe Verdelot,Ultimi miei sospiri,360.0,"['46/1.0', '53/1.0', '53/4.0', '56/1.0', '56/3.0']","['M-9', 'm-3', 'P5', 'P4', 'P-4']","[360.0, 416.0, 416.0, 422.0, 440.0, 444.0]","[('-2', '-3', '2', '-2'), ('-2', '-2', '2', '-2'), ('-2', '-2', '2', '-3')]","[56.0, 0.0, 6.0, 18.0, 4.0]","['Cantus', 'Tenor', 'Sextus', 'Quintus', 'Cantus', 'Altus']",FUGA,6,True
69,Philippe Verdelot,Ultimi miei sospiri,363.0,"['46/2.5', '49/3.0', '50/1.0', '54/1.0', '54/3.0', '57/1.0', '57/3.0']","['m-10', 'm6', 'd-5', 'M-3', 'P5', 'P4', 'P-4']","[363.0, 388.0, 392.0, 424.0, 424.0, 428.0, 448.0, 452.0]","[('-2', '2', '-4', '2'), ('-3', '2', '-3', '2'), ('-2', '2', '-3', '3'), ('-2', '2', '-3', '2'), ('-2', '3', '-3', '2')]","[25.0, 4.0, 32.0, 0.0, 4.0, 20.0, 4.0]","['Cantus', 'Sextus', 'Altus', 'Tenor', 'Sextus', 'Quintus', 'Cantus', 'Altus']",FUGA,8,True
70,Philippe Verdelot,Ultimi miei sospiri,363.0,"['46/2.5', '49/3.0', '54/1.0', '54/3.0', '57/1.0', '57/3.0']","['m-10', 'M2', 'M-3', 'P5', 'P4', 'P-4']","[363.0, 388.0, 424.0, 424.0, 428.0, 448.0, 452.0]","[('-2', '2', '-3', '3'), ('-2', '2', '-3', '2')]","[25.0, 36.0, 0.0, 4.0, 20.0, 4.0]","['Cantus', 'Sextus', 'Tenor', 'Sextus', 'Quintus', 'Cantus', 'Altus']",FUGA,7,True
71,Philippe Verdelot,Ultimi miei sospiri,364.0,"['46/3.0', '49/4.0', '58/1.0', '66/2.5']","['M-10', 'M3', 'M-2']","[364.0, 390.0, 456.0, 523.0]","[('2', '-4', '2', '-2'), ('2', '-3', '2', '-3'), ('2', '-3', '3', '-2'), ('2', '-3', '2', '-2')]","[26.0, 66.0, 67.0]","['Cantus', 'Sextus', 'Tenor', 'Sextus']",FUGA,4,True
72,Philippe Verdelot,Ultimi miei sospiri,374.0,"['47/4.0', '49/2.0', '49/4.0', '54/4.0', '58/1.0', '66/2.5']","['M-6', 'P1', 'M2', 'M2', 'M-2']","[374.0, 386.0, 390.0, 430.0, 456.0, 523.0]","[('2', '-3', '2', '-3'), ('2', '-2', '2', '-3'), ('2', '-3', '2', '-4'), ('2', '-3', '2', '-2')]","[12.0, 4.0, 40.0, 26.0, 67.0]","['Tenor', 'Sextus', 'Sextus', 'Tenor', 'Tenor', 'Sextus']",FUGA,6,True
73,Philippe Verdelot,Ultimi miei sospiri,374.0,"['47/4.0', '48/1.0', '49/3.0']","['M-3', 'P-8']","[374.0, 376.0, 388.0]","[('-2', '2', '-2', '-3'), ('-2', '2', '-2', '-2'), ('-2', '2', '-3', '-2'), ('-2', '3', '-2', '-2'), ('-3', '2', '-2', '-2')]","[2.0, 12.0]","['Altus', 'Tenor', 'Bassus']",FUGA,3,True
74,Philippe Verdelot,Ultimi miei sospiri,374.0,"['47/4.0', '49/2.0', '54/4.0']","['M-6', 'M2']","[374.0, 386.0, 430.0]","[('2', '-2', '2', '-4'), ('2', '-2', '2', '-3'), ('2', '-3', '2', '-4')]","[12.0, 44.0]","['Tenor', 'Sextus', 'Tenor']",FUGA,3,True
75,Philippe Verdelot,Ultimi miei sospiri,374.0,"['47/4.0', '49/2.0', '49/4.0']","['M-6', 'P1']","[374.0, 386.0, 390.0]","[('2', '-2', '2', '-4'), ('2', '-3', '2', '-3'), ('2', '-2', '2', '-3')]","[12.0, 4.0]","['Tenor', 'Sextus', 'Sextus']",FUGA,3,True
76,Philippe Verdelot,Ultimi miei sospiri,378.0,"['48/2.0', '49/3.0']",['M-2'],"[378.0, 388.0]","[('2', '-2', '-2', '2'), ('2', '-2', '-3', '2'), ('2', '-3', '-2', '2'), ('2', '-2', '-2', '3')]",[10.0],"['Altus', 'Altus']",FUGA,2,True
77,Philippe Verdelot,Ultimi miei sospiri,382.0,"['48/4.0', '50/4.0']",['M2'],"[382.0, 398.0]","[('-3', '2', '2', '-2'), ('-2', '2', '2', '-2'), ('-3', '2', '2', '-3'), ('-3', '2', '3', '-2')]",[16.0],"['Altus', 'Altus']",FUGA,2,True
78,Philippe Verdelot,Ultimi miei sospiri,384.0,"['49/1.0', '49/4.0', '50/4.0', '51/1.0']","['m6', 'm-9', 'P4']","[384.0, 390.0, 398.0, 400.0]","[('2', '2', '-2', '-2'), ('2', '2', '-3', '-2')]","[6.0, 8.0, 2.0]","['Altus', 'Cantus', 'Tenor', 'Altus']",FUGA,4,True
79,Philippe Verdelot,Ultimi miei sospiri,388.0,"['49/3.0', '54/1.0', '54/3.0', '57/1.0', '57/3.0']","['M2', 'M-3', 'P5', 'P4', 'P-4']","[388.0, 424.0, 424.0, 428.0, 448.0, 452.0]","[('-2', '2', '-4', '2'), ('-2', '2', '-3', '2')]","[36.0, 0.0, 4.0, 20.0, 4.0]","['Sextus', 'Tenor', 'Sextus', 'Quintus', 'Cantus', 'Altus']",FUGA,6,True
80,Philippe Verdelot,Ultimi miei sospiri,388.0,"['49/3.0', '54/1.0', '54/3.0', '57/1.0', '57/3.0', '58/2.0']","['M2', 'M-3', 'P5', 'P4', 'P-4', 'M-2']","[388.0, 424.0, 424.0, 428.0, 448.0, 452.0, 458.0]","[('-3', '2', '-3', '2'), ('-2', '2', '-3', '2'), ('-3', '2', '-2', '2')]","[36.0, 0.0, 4.0, 20.0, 4.0, 6.0]","['Sextus', 'Tenor', 'Sextus', 'Quintus', 'Cantus', 'Altus', 'Tenor']",FUGA,7,True
81,Philippe Verdelot,Ultimi miei sospiri,388.0,"['49/3.0', '50/1.0', '54/1.0', '54/3.0', '57/1.0', '57/3.0']","['m6', 'd-5', 'M-3', 'P5', 'P4', 'P-4']","[388.0, 392.0, 424.0, 424.0, 428.0, 448.0, 452.0]","[('-2', '2', '-3', '2'), ('-2', '3', '-3', '2')]","[4.0, 32.0, 0.0, 4.0, 20.0, 4.0]","['Sextus', 'Altus', 'Tenor', 'Sextus', 'Quintus', 'Cantus', 'Altus']",FUGA,7,True
82,Philippe Verdelot,Ultimi miei sospiri,390.0,"['49/4.0', '54/4.0']",['M2'],"[390.0, 430.0]","[('2', '-2', '2', '-4'), ('2', '-3', '2', '-5'), ('2', '-3', '2', '-3'), ('2', '-3', '2', '-4')]",[40.0],"['Sextus', 'Tenor']",FUGA,2,True
83,Philippe Verdelot,Ultimi miei sospiri,394.0,"['50/2.0', '57/4.5', '65/1.0', '66/1.0', '70/1.0']","['M-2', 'm7', 'P-8', 'P4']","[394.0, 455.0, 512.0, 520.0, 552.0]","[('2', '2', '-2', '2'), ('2', '3', '-2', '2'), ('2', '2', '-3', '2'), ('2', '2', '-2', '3')]","[61.0, 57.0, 8.0, 32.0]","['Quintus', 'Tenor', 'Cantus', 'Sextus', 'Quintus']",FUGA,5,True
84,Philippe Verdelot,Ultimi miei sospiri,396.0,"['50/3.0', '54/4.0', '55/2.0', '57/4.0', '58/2.0', '60/2.0']","['m-7', 'd5', 'A4', 'A-4', 'm-6']","[396.0, 430.0, 434.0, 454.0, 458.0, 474.0]","[('3', '-3', '2', '2'), ('2', '-3', '2', '2')]","[34.0, 4.0, 20.0, 4.0, 16.0]","['Altus', 'Sextus', 'Quintus', 'Cantus', 'Altus', 'Tenor']",FUGA,6,True
85,Philippe Verdelot,Ultimi miei sospiri,432.0,"['55/1.0', '55/3.0', '58/1.0', '58/3.0', '66/1.0', '67/3.5', '70/2.0']","['P5', 'P4', 'P-4', 'm-3', 'm3', 'M2']","[432.0, 436.0, 456.0, 460.0, 520.0, 533.0, 554.0]","[('-2', '3', '2', '2'), ('-2', '2', '2', '2'), ('-3', '2', '2', '2')]","[4.0, 20.0, 4.0, 60.0, 13.0, 21.0]","['Sextus', 'Quintus', 'Cantus', 'Altus', 'Quintus', 'Altus', 'Quintus']",FUGA,7,True
86,Philippe Verdelot,Ultimi miei sospiri,434.0,"['55/2.0', '55/4.0', '58/2.0', '58/4.0', '67/1.5', '70/2.5']","['P5', 'P4', 'P-4', 'm3', 'M-2']","[434.0, 438.0, 458.0, 462.0, 529.0, 555.0]","[('2', '2', '2', '-2'), ('2', '2', '2', '-3'), ('2', '2', '2', '-4')]","[4.0, 20.0, 4.0, 67.0, 26.0]","['Sextus', 'Quintus', 'Cantus', 'Altus', 'Quintus', 'Quintus']",FUGA,6,True
87,Philippe Verdelot,Ultimi miei sospiri,434.0,"['55/2.0', '55/4.0', '58/4.0']","['P5', 'P1']","[434.0, 438.0, 462.0]","[('2', '2', '2', '-3'), ('2', '2', '2', '-4')]","[4.0, 24.0]","['Sextus', 'Quintus', 'Altus']",FUGA,3,True
88,Philippe Verdelot,Ultimi miei sospiri,445.0,"['56/3.5', '65/1.0', '67/1.0']","['P4', 'P4']","[445.0, 512.0, 528.0]","[('5', '-2', '-2', '-2'), ('4', '-2', '-2', '-2'), ('3', '-2', '-2', '-2')]","[67.0, 16.0]","['Tenor', 'Altus', 'Cantus']",FUGA,3,True
89,Philippe Verdelot,Ultimi miei sospiri,448.0,"['57/1.0', '60/4.0']",['P1'],"[448.0, 478.0]","[('2', '2', '-4', '4'), ('2', '2', '-3', '4')]",[30.0],"['Bassus', 'Tenor']",FUGA,2,True
90,Philippe Verdelot,Ultimi miei sospiri,455.0,"['57/4.5', '66/1.0', '69/4.0', '70/1.0']","['M-2', 'P4', 'P1']","[455.0, 520.0, 550.0, 552.0]","[('2', '2', '-2', '2'), ('2', '2', '-3', '2'), ('3', '2', '-3', '2')]","[65.0, 30.0, 2.0]","['Tenor', 'Sextus', 'Altus', 'Quintus']",FUGA,4,True
91,Philippe Verdelot,Ultimi miei sospiri,456.0,"['58/1.0', '65/3.0', '66/2.5']","['m7', 'P-8']","[456.0, 516.0, 523.0]","[('2', '-3', '4', '-2'), ('2', '-3', '3', '-2'), ('2', '-3', '2', '-2'), ('2', '-2', '3', '-2')]","[60.0, 7.0]","['Tenor', 'Cantus', 'Sextus']",FUGA,3,True
92,Philippe Verdelot,Ultimi miei sospiri,456.0,"['58/1.0', '66/2.5']",['M-2'],"[456.0, 523.0]","[('2', '-4', '2', '-2'), ('2', '-3', '2', '-2')]",[67.0],"['Tenor', 'Sextus']",FUGA,2,True
93,Philippe Verdelot,Ultimi miei sospiri,476.0,"['60/3.0', '64/3.0', '65/3.0', '69/3.0']","['M10', 'M-9', 'P5']","[476.0, 508.0, 516.0, 548.0]","[('-3', '2', '2', '-2'), ('-3', '2', '2', '-3'), ('-2', '2', '2', '-3')]","[32.0, 8.0, 32.0]","['Tenor', 'Cantus', 'Sextus', 'Quintus']",ID,4,True
94,Philippe Verdelot,Ultimi miei sospiri,476.0,"['60/3.0', '64/1.0', '64/3.0', '69/3.0']","['M7', 'P4', 'P-5']","[476.0, 504.0, 508.0, 548.0]","[('-3', '2', '2', '-2'), ('-2', '2', '2', '-2'), ('-3', '2', '2', '-3'), ('-3', '2', '3', '-2')]","[28.0, 4.0, 40.0]","['Tenor', 'Altus', 'Cantus', 'Quintus']",FUGA,4,True
95,Philippe Verdelot,Ultimi miei sospiri,476.0,"['60/3.0', '65/3.0', '69/3.0']","['M2', 'P5']","[476.0, 516.0, 548.0]","[('-2', '2', '2', '-2'), ('-3', '2', '2', '-3'), ('-2', '2', '2', '-3')]","[40.0, 32.0]","['Tenor', 'Sextus', 'Quintus']",FUGA,3,True
96,Philippe Verdelot,Ultimi miei sospiri,480.0,"['61/1.0', '68/4.0']",['P8'],"[480.0, 542.0]","[('2', '-3', '5', '-4'), ('2', '-3', '5', '-3')]",[62.0],"['Bassus', 'Quintus']",FUGA,2,True
97,Philippe Verdelot,Ultimi miei sospiri,488.0,"['62/1.0', '69/1.0']",['P8'],"[488.0, 544.0]","[('-3', '5', '-4', '2'), ('-3', '5', '-3', '2')]",[56.0],"['Bassus', 'Quintus']",FUGA,2,True
98,Philippe Verdelot,Ultimi miei sospiri,496.0,"['63/1.0', '68/3.5']",['m7'],"[496.0, 541.0]","[('-3', '2', '-3', '4'), ('-4', '2', '-3', '5'), ('-3', '2', '-3', '5')]",[45.0],"['Bassus', 'Quintus']",FUGA,2,True
