,Composer,Title,First_Offset,Measures_Beats,Melodic_Entry_Intervals,Offsets,Soggetti,Time_Entry_Intervals,Voices,Presentation_Type,Number_Entries,Flexed_Entries
148,Pierre de Manchicourt,Missa Quo abiit dilectus tuus: Kyrie,366.0,"['45/4.0', '46/4.0', '47/4.0']","['P-12', 'P8']","[366.0, 374.0, 382.0]","['2, -3, 5']","[8.0, 8.0]","['Superius', 'Bassus', 'Contratenor']",PEN,3,False
149,Pierre de Manchicourt,Missa Quo abiit dilectus tuus: Kyrie,416.0,"['51/1.0', '52/3.0', '54/3.0', '56/3.0', '57/4.0', '60/4.0', '61/4.0']","['P-5', 'P8', 'P5', 'P-5', 'P-4', 'P-5']","[416.0, 428.0, 444.0, 460.0, 470.0, 494.0, 502.0]","['-3, 2, 2']","[12.0, 16.0, 16.0, 10.0, 24.0, 8.0]","['Tenor', 'Bassus', 'Contratenor', 'Superius', 'Contratenor', 'Tenor', 'Bassus']",FUGA,7,False
150,Pierre de Manchicourt,Missa Quo abiit dilectus tuus: Kyrie,428.0,"['52/3.0', '54/3.0', '56/3.0']","['P8', 'P5']","[428.0, 444.0, 460.0]","['-3, 2, 2']","[16.0, 16.0]","['Bassus', 'Contratenor', 'Superius']",PEN,3,False
151,Pierre de Manchicourt,Missa Quo abiit dilectus tuus: Kyrie,428.0,"['52/3.0', '56/3.0', '57/4.0', '61/4.0']","['P12', 'P-5', 'P-8']","[428.0, 460.0, 470.0, 502.0]","['-3, 2, 2']","[32.0, 10.0, 32.0]","['Bassus', 'Superius', 'Contratenor', 'Bassus']",ID,4,False
152,Pierre de Manchicourt,Missa Quo abiit dilectus tuus: Kyrie,490.0,"['60/2.0', '63/2.0', '63/4.0', '64/3.0', '65/3.0', '67/1.0']","['P1', 'P-4', 'P-5', 'P8', 'P5']","[490.0, 514.0, 518.0, 524.0, 532.0, 544.0]","['-2, -2, -3', '-2, -2, -2']","[24.0, 4.0, 6.0, 8.0, 12.0]","['Contratenor', 'Superius', 'Tenor', 'Bassus', 'Contratenor', 'Superius']",FUGA,6,True
153,Pierre de Manchicourt,Missa Quo abiit dilectus tuus: Kyrie,562.0,"['69/2.0', '72/4.0', '75/2.0', '78/4.0']","['P5', 'P-5', 'P1']","[562.0, 590.0, 610.0, 638.0]","['3, -2, -2', '3, -2, -3']","[28.0, 20.0, 28.0]","['Bassus', 'Tenor', 'Bassus', 'Bassus']",ID,4,True
154,Pierre de Manchicourt,Missa Quo abiit dilectus tuus: Kyrie,562.0,"['69/2.0', '72/2.0', '75/2.0']","['P12', 'P-12']","[562.0, 586.0, 610.0]","['3, -2, -2', '3, -2, -3']","[24.0, 24.0]","['Bassus', 'Superius', 'Bassus']",PEN,3,True
157,Pierre de Manchicourt,Missa Quo abiit dilectus tuus: Kyrie,562.0,"['69/2.0', '72/2.0', '72/4.0', '74/4.0', '75/2.0', '76/4.0', '78/4.0']","['P12', 'P-8', 'P5', 'M-9', 'P12', 'P-12']","[562.0, 586.0, 590.0, 606.0, 610.0, 622.0, 638.0]","['3, -2, -2', '2, -2, -2']","[24.0, 4.0, 16.0, 4.0, 12.0, 16.0]","['Bassus', 'Superius', 'Tenor', 'Contratenor', 'Bassus', 'Superius', 'Bassus']",FUGA,7,True
160,Pierre de Manchicourt,Missa Quo abiit dilectus tuus: Kyrie,586.0,"['72/2.0', '72/4.0', '74/4.0', '75/2.0']","['P-8', 'P5', 'M-9']","[586.0, 590.0, 606.0, 610.0]","['3, -2, -2', '2, -2, -2']","[4.0, 16.0, 4.0]","['Superius', 'Tenor', 'Contratenor', 'Bassus']",ID,4,True
161,Pierre de Manchicourt,Missa Quo abiit dilectus tuus: Kyrie,586.0,"['72/2.0', '74/4.0', '77/2.0']","['P-4', 'M-2']","[586.0, 606.0, 626.0]","['3, -2, -2', '2, -2, -2', '3, -2, -3']","[20.0, 20.0]","['Superius', 'Contratenor', 'Contratenor']",PEN,3,True
162,Pierre de Manchicourt,Missa Quo abiit dilectus tuus: Kyrie,586.0,"['72/2.0', '72/4.0', '76/4.0', '77/2.0']","['P-8', 'P8', 'P-5']","[586.0, 590.0, 622.0, 626.0]","['3, -2, -2', '3, -2, -3']","[4.0, 32.0, 4.0]","['Superius', 'Tenor', 'Superius', 'Contratenor']",ID,4,True
165,Pierre de Manchicourt,Missa Quo abiit dilectus tuus: Kyrie,590.0,"['72/4.0', '74/4.0', '76/4.0']","['P5', 'P4']","[590.0, 606.0, 622.0]","['3, -2, -2', '2, -2, -2']","[16.0, 16.0]","['Tenor', 'Contratenor', 'Superius']",PEN,3,True
166,Pierre de Manchicourt,Missa Quo abiit dilectus tuus: Kyrie,590.0,"['72/4.0', '74/4.0', '76/4.0', '78/4.0']","['P5', 'P4', 'P-12']","[590.0, 606.0, 622.0, 638.0]","['3, -2, -2', '2, -2, -2', '3, -2, -3']","[16.0, 16.0, 16.0]","['Tenor', 'Contratenor', 'Superius', 'Bassus']",PEN,4,True
167,Pierre de Manchicourt,Missa Quo abiit dilectus tuus: Kyrie,590.0,"['72/4.0', '74/4.0', '75/2.0', '77/2.0']","['P5', 'M-9', 'P8']","[590.0, 606.0, 610.0, 626.0]","['3, -2, -2', '2, -2, -2', '3, -2, -3']","[16.0, 4.0, 16.0]","['Tenor', 'Contratenor', 'Bassus', 'Contratenor']",ID,4,True
170,Pierre de Manchicourt,Missa Quo abiit dilectus tuus: Kyrie,606.0,"['74/4.0', '75/2.0', '76/4.0', '77/2.0']","['M-9', 'P12', 'P-5']","[606.0, 610.0, 622.0, 626.0]","['3, -2, -2', '2, -2, -2', '3, -2, -3']","[4.0, 12.0, 4.0]","['Contratenor', 'Bassus', 'Superius', 'Contratenor']",ID,4,True
171,Pierre de Manchicourt,Missa Quo abiit dilectus tuus: Kyrie,606.0,"['74/4.0', '76/4.0', '78/4.0']","['P4', 'P-12']","[606.0, 622.0, 638.0]","['3, -2, -2', '2, -2, -2']","[16.0, 16.0]","['Contratenor', 'Superius', 'Bassus']",PEN,3,True
173,Pierre de Manchicourt,Missa Quo abiit dilectus tuus: Kyrie,610.0,"['75/2.0', '76/4.0', '77/2.0', '78/4.0']","['P12', 'P-5', 'P-8']","[610.0, 622.0, 626.0, 638.0]","['3, -2, -2', '2, -2, -2', '3, -2, -3']","[12.0, 4.0, 12.0]","['Bassus', 'Superius', 'Contratenor', 'Bassus']",ID,4,True
