,Composer,Title,First_Offset,Measures_Beats,Melodic_Entry_Intervals,Offsets,Soggetti,Time_Entry_Intervals,Voices,Presentation_Type,Number_Entries,Flexed_Entries,Validation,Comments
32,Tomás Luis Victoria,O quam gloriosum,220.0,"['28/3.0', '30/1.0', '31/2.0']","['P1', 'M2']","[220.0, 232.0, 242.0]","[('2', '-3', '2', '2')]","[12.0, 10.0]","['Altus', 'Altus', 'Altus']",FUGA,3,False,,
33,Tomás Luis Victoria,O quam gloriosum,244.0,"['31/3.0', '31/3.5', '31/4.0']","['M2', 'M2']","[244.0, 245.0, 246.0]","[('2', '2', '2', '2')]","[1.0, 1.0]","['Tenor', 'Tenor', 'Tenor']",PEN,3,False,,
34,Tomás Luis Victoria,O quam gloriosum,248.0,"['32/1.0', '33/3.0']",['P-8'],"[248.0, 260.0]","[('2', '2', '-2', '-5')]",[12.0],"['Tenor', 'Bassus']",FUGA,2,False,,
35,Tomás Luis Victoria,O quam gloriosum,260.0,"['33/3.0', '37/4.0', '39/3.0']","['M-7', 'M10']","[260.0, 294.0, 308.0]","[('-2', '-2', '2', '-3')]","[34.0, 14.0]","['Altus', 'Tenor', 'Cantus']",FUGA,3,False,,
36,Tomás Luis Victoria,O quam gloriosum,260.0,"['33/3.0', '35/4.0', '36/1.0', '36/1.5', '36/2.0', '36/3.0', '36/4.0', '37/1.0', '37/3.0', '38/3.0', '39/2.0', '39/3.0', '39/4.0', '40/2.0', '40/4.0', '41/3.0', '41/4.0', '42/1.0', '42/2.0', '42/3.0', '42/4.0', '43/1.0', '43/3.0', '44/3.0', '45/1.0', '45/2.0', '45/3.0', '45/3.5', '47/3.0', '48/3.0', '49/3.0', '51/2.0', '53/1.0', '53/4.0', '54/1.0', '57/1.0', '57/1.5', '57/3.0']","['m-7', 'P-5', 'P4', 'M2', 'm-3', 'M-2', 'M-3', 'P5', 'm-6', 'm14', 'P-15', 'm14', 'P-4', 'P-4', 'm3', 'm-2', 'M-2', 'P-5', 'P5', 'M-6', 'P5', 'm-6', 'm10', 'P-11', 'm14', 'm-2', 'M-2', 'M-3', 'm-2', 'm3', 'P-4', 'P-5', 'P1', 'P1', 'P5', 'P8', 'M-2', 'm-2', 'M-6', 'P-5', 'M-2', 'M7']","[260.0, 278.0, 280.0, 281.0, 282.0, 282.0, 284.0, 284.0, 286.0, 288.0, 292.0, 292.0, 300.0, 306.0, 308.0, 310.0, 314.0, 318.0, 324.0, 326.0, 328.0, 330.0, 332.0, 334.0, 336.0, 340.0, 348.0, 352.0, 352.0, 354.0, 356.0, 357.0, 372.0, 380.0, 388.0, 402.0, 416.0, 422.0, 424.0, 424.0, 448.0, 449.0, 452.0]","[('-2', '-2', '-2', '-2')]","[18.0, 2.0, 1.0, 1.0, 0.0, 2.0, 0.0, 2.0, 2.0, 4.0, 0.0, 8.0, 6.0, 2.0, 2.0, 4.0, 4.0, 6.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 4.0, 8.0, 4.0, 0.0, 2.0, 2.0, 1.0, 15.0, 8.0, 8.0, 14.0, 14.0, 6.0, 2.0, 0.0, 24.0, 1.0, 3.0]","['Cantus', 'Tenor', 'Bassus', 'Tenor', 'Altus', 'Tenor', 'Tenor', 'Bassus', 'Altus', 'Bassus', 'Cantus', 'Bassus', 'Cantus', 'Altus', 'Tenor', 'Altus', 'Altus', 'Altus', 'Bassus', 'Tenor', 'Bassus', 'Tenor', 'Bassus', 'Altus', 'Bassus', 'Cantus', 'Cantus', 'Cantus', 'Altus', 'Altus', 'Cantus', 'Altus', 'Bassus', 'Tenor', 'Bassus', 'Altus', 'Cantus', 'Cantus', 'Cantus', 'Tenor', 'Bassus', 'Bassus', 'Tenor']",FUGA,43,False,,
37,Tomás Luis Victoria,O quam gloriosum,272.0,"['35/1.0', '41/1.0']",['P1'],"[272.0, 320.0]","[('-2', '5', '-2', '-2')]",[48.0],"['Tenor', 'Tenor']",FUGA,2,False,,
38,Tomás Luis Victoria,O quam gloriosum,276.0,"['35/3.0', '41/3.0']",['P1'],"[276.0, 324.0]","[('5', '-2', '-2', '-2')]",[48.0],"['Tenor', 'Tenor']",FUGA,2,False,,
39,Tomás Luis Victoria,O quam gloriosum,276.0,"['35/3.0', '39/1.0', '42/3.0']","['P8', 'P-4', 'P4']","[276.0, 304.0, 304.0, 332.0]","[('8', '-2', '-2', '-2')]","[28.0, 0.0, 28.0]","['Bassus', 'Altus', 'Tenor', 'Altus']",ID,4,False,,
40,Tomás Luis Victoria,O quam gloriosum,302.0,['38/4.0'],['A-4'],"[302.0, 302.0]","[('2', '8', '-2', '-2')]",[0.0],"['Altus', 'Tenor']",FUGA,2,False,,
41,Tomás Luis Victoria,O quam gloriosum,321.0,"['41/1.5', '43/2.0', '46/4.0', '48/4.0', '51/2.0', '54/3.5']","['P-5', 'M2', 'P-5', 'P4', 'm7']","[321.0, 338.0, 366.0, 382.0, 402.0, 429.0]","[('-2', '-2', '2', '2')]","[17.0, 28.0, 16.0, 20.0, 27.0]","['Cantus', 'Tenor', 'Altus', 'Tenor', 'Tenor', 'Cantus']",FUGA,6,False,,
42,Tomás Luis Victoria,O quam gloriosum,323.0,"['41/2.5', '43/3.5']",['P-5'],"[323.0, 341.0]","[('-2', '2', '2', '2')]",[18.0],"['Cantus', 'Tenor']",FUGA,2,False,,
43,Tomás Luis Victoria,O quam gloriosum,323.5,"['41/2.75', '44/2.0', '44/3.0']","['d-5', 'm2']","[323.5, 346.0, 348.0]","[('2', '2', '2', '2')]","[22.5, 2.0]","['Cantus', 'Tenor', 'Tenor']",FUGA,3,False,,
44,Tomás Luis Victoria,O quam gloriosum,348.0,"['44/3.0', '44/4.0', '47/1.0', '48/1.0', '49/1.0', '52/3.0', '53/3.0']","['m-3', 'P-5', 'P1', 'P1', 'P12', 'P-8']","[348.0, 350.0, 368.0, 376.0, 384.0, 412.0, 420.0]","[('2', '2', '-2', '-2')]","[2.0, 18.0, 8.0, 8.0, 28.0, 8.0]","['Altus', 'Tenor', 'Bassus', 'Tenor', 'Bassus', 'Cantus', 'Tenor']",FUGA,7,False,,
45,Tomás Luis Victoria,O quam gloriosum,349.0,"['44/3.5', '51/3.0']",['m-7'],"[349.0, 404.0]","[('2', '2', '2', '-2')]",[55.0],"['Tenor', 'Bassus']",FUGA,2,False,,
46,Tomás Luis Victoria,O quam gloriosum,360.0,"['46/1.0', '54/2.0', '55/1.0']","['m2', 'd-5']","[360.0, 426.0, 432.0]","[('-2', '-2', '2', '-2')]","[66.0, 6.0]","['Cantus', 'Altus', 'Tenor']",FUGA,3,False,,
47,Tomás Luis Victoria,O quam gloriosum,366.0,"['46/4.0', '47/4.0', '48/4.0', '52/2.0', '53/2.0', '57/2.0']","['P1', 'P1', 'P12', 'P-8', 'M2']","[366.0, 374.0, 382.0, 410.0, 418.0, 450.0]","[('-3', '2', '2', '-2')]","[8.0, 8.0, 28.0, 8.0, 32.0]","['Bassus', 'Tenor', 'Bassus', 'Cantus', 'Tenor', 'Altus']",FUGA,6,False,,
48,Tomás Luis Victoria,O quam gloriosum,374.0,"['47/4.0', '49/4.0']",['P1'],"[374.0, 390.0]","[('-2', '-2', '2', '-5')]",[16.0],"['Bassus', 'Bassus']",FUGA,2,False,,
49,Tomás Luis Victoria,O quam gloriosum,376.0,"['48/1.0', '50/1.0', '51/1.0']","['P-8', 'P5']","[376.0, 392.0, 400.0]","[('2', '2', '-3', '-2')]","[16.0, 8.0]","['Cantus', 'Tenor', 'Cantus']",FUGA,3,False,,
50,Tomás Luis Victoria,O quam gloriosum,380.0,"['48/3.0', '50/3.0']",['P-8'],"[380.0, 396.0]","[('2', '-3', '-2', '-2')]",[16.0],"['Cantus', 'Tenor']",FUGA,2,False,,
51,Tomás Luis Victoria,O quam gloriosum,380.0,"['48/3.0', '52/1.0']",['P12'],"[380.0, 408.0]","[('8', '-3', '2', '2')]",[28.0],"['Bassus', 'Cantus']",FUGA,2,False,,
52,Tomás Luis Victoria,O quam gloriosum,384.0,"['49/1.0', '51/1.0']",['P-8'],"[384.0, 400.0]","[('-3', '-2', '-2', '2')]",[16.0],"['Cantus', 'Tenor']",FUGA,2,False,,
53,Tomás Luis Victoria,O quam gloriosum,394.0,"['50/2.0', '57/1.0']",['M-3'],"[394.0, 448.0]","[('2', '-3', '2', '2')]",[54.0],"['Cantus', 'Altus']",FUGA,2,False,,
54,Tomás Luis Victoria,O quam gloriosum,396.0,"['50/3.0', '55/4.0']",['P-4'],"[396.0, 438.0]","[('-3', '2', '2', '-3')]",[42.0],"['Cantus', 'Altus']",FUGA,2,False,,
