,Composer,Title,First_Offset,Measures_Beats,Melodic_Entry_Intervals,Offsets,Soggetti,Time_Entry_Intervals,Voices,Presentation_Type,Number_Entries,Flexed_Entries,Validation,Comments
0,Tomás Luis Victoria,O quam gloriosum,0.0,['1/1.0'],['P-4'],"[0.0, 0.0]","[('2', '2', '2', '2')]",[0.0],"['Cantus', 'Altus']",FUGA,2,False,,
1,Tomás Luis Victoria,O quam gloriosum,74.0,"['10/2.0', '11/2.0']",['P8'],"[74.0, 82.0]","[('4', '2', '2', '-2')]",[8.0],"['Bassus', 'Cantus']",FUGA,2,False,,
2,Tomás Luis Victoria,O quam gloriosum,86.0,"['11/4.0', '14/2.0', '15/2.0', '15/4.0']","['P-11', 'P5', 'P11']","[86.0, 106.0, 114.0, 118.0]","[('4', '-2', '2', '-3'), ('4', '-2', '2', '-2')]","[20.0, 8.0, 4.0]","['Altus', 'Bassus', 'Tenor', 'Cantus']",FUGA,4,True,,
3,Tomás Luis Victoria,O quam gloriosum,282.0,"['36/2.0', '37/3.0', '41/3.0', '43/3.0', '51/2.0']","['P8', 'P-12', 'P11', 'm-7']","[282.0, 292.0, 324.0, 340.0, 402.0]","[('-2', '-2', '-2', '-2')]","[10.0, 32.0, 16.0, 62.0]","['Altus', 'Cantus', 'Bassus', 'Cantus', 'Altus']",FUGA,5,False,,
4,Tomás Luis Victoria,O quam gloriosum,366.0,"['46/4.0', '47/4.0', '55/4.0', '56/4.0']","['P1', 'P5', 'P1']","[366.0, 374.0, 438.0, 446.0]","[('-3', '2', '2', '-3'), ('-3', '2', '2', '-2'), ('-3', '2', '3', '-2')]","[8.0, 64.0, 8.0]","['Bassus', 'Tenor', 'Altus', 'Tenor']",ID,4,True,,
5,Tomás Luis Victoria,O quam gloriosum,366.0,"['46/4.0', '47/4.0', '55/4.0']","['P1', 'P5']","[366.0, 374.0, 438.0]","[('-3', '2', '2', '-3'), ('-3', '2', '2', '-2')]","[8.0, 64.0]","['Bassus', 'Tenor', 'Altus']",FUGA,3,True,,
6,Tomás Luis Victoria,O quam gloriosum,366.0,"['46/4.0', '47/4.0']",['P1'],"[366.0, 374.0]","[('-3', '2', '2', '-2'), ('-3', '2', '3', '-2')]",[8.0],"['Bassus', 'Tenor']",FUGA,2,True,,
7,Tomás Luis de Victoria,MIssa O quam gloriosum: Kyrie,0.0,"['1/1.0', '3/1.0', '5/4.0', '8/4.0']","['P4', 'P-11', 'P8']","[0.0, 16.0, 38.0, 62.0]","[('4', '-2', '2', '-2'), ('4', '-2', '2', '-3')]","[16.0, 22.0, 24.0]","['Tenor', 'Altus', 'Bassus', 'Tenor']",FUGA,4,True,,
8,Tomás Luis de Victoria,MIssa O quam gloriosum: Kyrie,0.0,"['1/1.0', '3/1.0', '5/4.0', '7/2.0', '8/4.0']","['P4', 'P-11', 'P15', 'P-8']","[0.0, 16.0, 38.0, 50.0, 62.0]","[('4', '-2', '2', '-2'), ('4', '-2', '2', '-3'), ('4', '-2', '2', '-4')]","[16.0, 22.0, 12.0, 12.0]","['Tenor', 'Altus', 'Bassus', 'Cantus', 'Tenor']",FUGA,5,True,,
9,Tomás Luis de Victoria,MIssa O quam gloriosum: Kyrie,4.0,"['1/3.0', '2/4.0']",['P8'],"[4.0, 14.0]","[('4', '2', '2', '-2')]",[10.0],"['Bassus', 'Cantus']",FUGA,2,False,,
