,Composer,Title,First_Offset,Measures_Beats,Melodic_Entry_Intervals,Offsets,Soggetti,Time_Entry_Intervals,Voices,Presentation_Type,Number_Entries,Flexed_Entries,Validation,Comments
0,Josquin Des Prés,Ave Maria,0.0,"['1/1.0', '3/1.0', '5/1.0', '7/1.0']","['P-8', 'P1', 'P-8']","[0.0, 16.0, 32.0, 48.0]","[('4', '2', '2', '-3'), ('4', '2', '2', '-2')]","[16.0, 16.0, 16.0]","['[Superius]', 'Altus', 'Tenor', 'Bassus']",PEN,4,True,,
1,Josquin Des Prés,Ave Maria,0.0,"['1/1.0', '3/1.0', '5/1.0']","['P-8', 'P1']","[0.0, 16.0, 32.0]","[('4', '2', '2', '-3'), ('4', '2', '2', '-2')]","[16.0, 16.0]","['[Superius]', 'Altus', 'Tenor']",PEN,3,True,,
2,Josquin Des Prés,Ave Maria,16.0,"['3/1.0', '5/1.0', '7/1.0']","['P1', 'P-8']","[16.0, 32.0, 48.0]","[('4', '2', '2', '-3'), ('4', '2', '2', '-2')]","[16.0, 16.0]","['Altus', 'Tenor', 'Bassus']",PEN,3,True,,
3,Josquin Des Prés,Ave Maria,56.0,"['8/1.0', '10/1.0', '12/1.0', '14/1.0']","['P-8', 'P1', 'P-8']","[56.0, 72.0, 88.0, 104.0]","[('-2', '-2', '-2', '2')]","[16.0, 16.0, 16.0]","['[Superius]', 'Altus', 'Tenor', 'Bassus']",PEN,4,False,,
4,Josquin Des Prés,Ave Maria,56.0,"['8/1.0', '10/1.0', '12/1.0']","['P-8', 'P1']","[56.0, 72.0, 88.0]","[('-2', '-2', '-2', '2')]","[16.0, 16.0]","['[Superius]', 'Altus', 'Tenor']",PEN,3,False,,
5,Josquin Des Prés,Ave Maria,72.0,"['10/1.0', '12/1.0', '14/1.0']","['P1', 'P-8']","[72.0, 88.0, 104.0]","[('-2', '-2', '-2', '2')]","[16.0, 16.0]","['Altus', 'Tenor', 'Bassus']",PEN,3,False,,
6,Josquin Des Prés,Ave Maria,176.0,"['23/1.0', '28/1.0']",['P-8'],"[176.0, 216.0]","[('-3', '-2', '2', '2'), ('-2', '-3', '2', '2'), ('-2', '-2', '2', '2')]",[40.0],"['Altus', 'Bassus']",FUGA,2,True,,
7,Josquin Des Prés,Ave Maria,244.0,"['31/3.0', '35/3.0']",['P-8'],"[244.0, 276.0]","[('3', '2', '2', '2')]",[32.0],"['Altus', 'Bassus']",FUGA,2,False,,
8,Josquin Des Prés,Ave Maria,244.0,"['31/3.0', '35/3.0', '40/3.0']","['P-8', 'P1']","[244.0, 276.0, 316.0]","[('2', '2', '2', '-2'), ('2', '2', '2', '-3')]","[32.0, 40.0]","['[Superius]', 'Tenor', 'Altus']",FUGA,3,True,,
9,Josquin Des Prés,Ave Maria,316.0,['40/3.0'],['M-6'],"[316.0, 316.0]","[('2', '-2', '-2', '-2')]",[0.0],"['[Superius]', 'Tenor']",FUGA,2,False,,
10,Josquin Des Prés,Ave Maria,428.0,"['54/3.0', '55/1.0', '59/3.0', '60/1.0']","['P-5', 'P-4', 'P-5']","[428.0, 432.0, 468.0, 472.0]","[('4', '-2', '2', '2')]","[4.0, 36.0, 4.0]","['[Superius]', 'Altus', 'Tenor', 'Bassus']",ID,4,False,,
11,Josquin Des Prés,Ave Maria,508.0,"['64/3.0', '66/3.0', '67/3.0', '69/3.0']","['P-5', 'P-4', 'P-5']","[508.0, 524.0, 532.0, 548.0]","[('2', '-3', '2', '-3'), ('2', '-3', '2', '-2')]","[16.0, 8.0, 16.0]","['[Superius]', 'Altus', 'Tenor', 'Bassus']",ID,4,True,,
12,Josquin Des Prés,Ave Maria,508.0,"['64/3.0', '67/3.0', '78/1.0', '81/1.0']","['P-8', 'm7', 'P-8']","[508.0, 532.0, 616.0, 640.0]","[('2', '-3', '2', '-3'), ('2', '-3', '2', '-2')]","[24.0, 84.0, 24.0]","['[Superius]', 'Tenor', '[Superius]', 'Tenor']",ID,4,True,,
13,Josquin Des Prés,Ave Maria,508.0,"['64/3.0', '66/3.0', '67/3.0', '69/3.0', '78/1.0', '81/1.0']","['P-5', 'P-4', 'P-5', 'P11', 'P-8']","[508.0, 524.0, 532.0, 548.0, 616.0, 640.0]","[('2', '-3', '2', '-3'), ('2', '-3', '2', '-2')]","[16.0, 8.0, 16.0, 68.0, 24.0]","['[Superius]', 'Altus', 'Tenor', 'Bassus', '[Superius]', 'Tenor']",FUGA,6,True,,
14,Josquin Des Prés,Ave Maria,524.0,"['66/3.0', '69/3.0', '78/1.0', '81/1.0']","['P-8', 'P11', 'P-8']","[524.0, 548.0, 616.0, 640.0]","[('2', '-3', '2', '-3'), ('2', '-3', '2', '-2')]","[24.0, 68.0, 24.0]","['Altus', 'Bassus', '[Superius]', 'Tenor']",ID,4,True,,
15,Josquin Des Prés,Ave Maria,616.0,"['78/1.0', '81/1.0']",['P-8'],"[616.0, 640.0]","[('5', '2', '-2', '-2')]",[24.0],"['Altus', 'Bassus']",FUGA,2,False,,
16,Josquin Des Prés,Ave Maria,744.0,"['94/1.0', '98/1.0']",['P1'],"[744.0, 792.0]","[('2', '-2', '-2', '-2')]",[48.0],"['Altus', 'Altus']",FUGA,2,False,,
17,Josquin Des Prés,Ave Maria,792.0,"['98/1.0', '98/2.0']",['P-5'],"[792.0, 800.0]","[('2', '2', '-3', '3'), ('2', '2', '-3', '4')]",[8.0],"['[Superius]', 'Tenor']",FUGA,2,True,,
18,Josquin Des Prés,Ave Maria,940.0,"['111/1.0', '114/1.0', '119/1.0', '122/1.0']","['P-8', 'P8', 'P-8']","[940.0, 968.0, 1004.0, 1032.0]","[('2', '-2', '-2', '-2')]","[28.0, 36.0, 28.0]","['[Superius]', 'Tenor', '[Superius]', 'Tenor']",ID,4,False,,
19,Josquin Des Prés,Ave Maria,944.0,"['111/1.0', '119/1.0']",['P1'],"[944.0, 1008.0]","[('-2', '-2', '-2', '-2')]",[64.0],"['Altus', 'Altus']",FUGA,2,False,,
20,Josquin Des Prés,Ave Maria,972.0,"['115/1.0', '123/1.0']",['P1'],"[972.0, 1036.0]","[('-2', '-2', '-3', '5')]",[64.0],"['Bassus', 'Bassus']",FUGA,2,False,,
21,Josquin Des Prés,Ave Maria,976.0,"['115/1.0', '123/1.0', '127/1.0', '130/1.0']","['P1', 'm7', 'P-8']","[976.0, 1040.0, 1072.0, 1092.0]","[('2', '2', '2', '-2'), ('2', '2', '2', '-3')]","[64.0, 32.0, 20.0]","['Altus', 'Altus', '[Superius]', 'Tenor']",FUGA,4,True,,
22,Josquin Des Prés,Ave Maria,1070.0,"['127/2.0', '133/1.0', '137/1.0']","['M6', 'P-8']","[1070.0, 1120.0, 1148.0]","[('-2', '-2', '2', '-3'), ('-2', '-2', '2', '-2')]","[50.0, 28.0]","['Altus', '[Superius]', 'Tenor']",FUGA,3,True,,
23,Antoine de Févin,Missa Ave Maria: Kyrie,0.0,"['1/1.0', '3/3.0', '12/1.0', '14/3.0']","['P8', 'P-8', 'P8']","[0.0, 20.0, 88.0, 108.0]","[('4', '2', '2', '-2'), ('4', '2', '2', '-3')]","[20.0, 68.0, 20.0]","['Altus', 'Sup[erius]', 'Altus', 'Sup[erius]']",ID,4,True,,
24,Antoine de Févin,Missa Ave Maria: Kyrie,0.0,"['1/1.0', '3/3.0', '9/3.0', '12/1.0']","['P8', 'P-8', 'P1']","[0.0, 20.0, 68.0, 88.0]","[('4', '2', '2', '-2'), ('4', '2', '2', '-3')]","[20.0, 48.0, 20.0]","['Altus', 'Sup[erius]', 'Tenor', 'Altus']",ID,4,True,,
25,Antoine de Févin,Missa Ave Maria: Kyrie,0.0,"['1/1.0', '3/3.0', '14/3.0', '17/1.0']","['P8', 'P1', 'P-8']","[0.0, 20.0, 108.0, 128.0]","[('4', '2', '2', '-2'), ('4', '2', '2', '-3')]","[20.0, 88.0, 20.0]","['Altus', 'Sup[erius]', 'Sup[erius]', 'Tenor']",ID,4,True,,
26,Antoine de Févin,Missa Ave Maria: Kyrie,0.0,"['1/1.0', '3/3.0', '9/3.0', '10/1.0', '12/1.0', '14/3.0', '17/1.0']","['P8', 'P-8', 'P-5', 'P5', 'P8', 'P-8']","[0.0, 20.0, 68.0, 72.0, 88.0, 108.0, 128.0]","[('4', '2', '2', '-2'), ('4', '2', '2', '-3')]","[20.0, 48.0, 4.0, 16.0, 20.0, 20.0]","['Altus', 'Sup[erius]', 'Tenor', 'Bassus', 'Altus', 'Sup[erius]', 'Tenor']",FUGA,7,True,,
27,Antoine de Févin,Missa Ave Maria: Kyrie,68.0,"['9/3.0', '12/1.0', '14/3.0', '17/1.0']","['P1', 'P8', 'P-8']","[68.0, 88.0, 108.0, 128.0]","[('4', '2', '2', '-2'), ('4', '2', '2', '-3')]","[20.0, 20.0, 20.0]","['Tenor', 'Altus', 'Sup[erius]', 'Tenor']",PEN,4,True,,
