,Composer,Title,Measure,Beat,CadType,Tone,Evaded,LeadingTones,Low,RelLow,RelTone,Progress,SinceLast,ToNext,Validation,Comments
0,Roland de  Lassus,Domine Dominus noster,6,1.0,Authentic,G,False,1.0,G2,P1,P1,0.08333333333333333,40.0,80.0,,
1,Roland de  Lassus,Domine Dominus noster,16,1.0,Authentic,D,False,1.0,D3,P5,-P4,0.25,80.0,36.0,,
2,Roland de  Lassus,Domine Dominus noster,20,3.0,Authentic,B-,False,1.0,B-2,m3,m3,0.325,36.0,52.0,,
3,Roland de  Lassus,Domine Dominus noster,27,1.0,Authentic,G,False,1.0,G2,P1,P1,0.43333333333333335,52.0,176.0,,
4,Roland de  Lassus,Domine Dominus noster,49,1.0,Clausula Vera,D,False,1.0,D3,P5,-P4,0.8,176.0,36.0,,
5,Roland de  Lassus,Domine Dominus noster,53,3.0,Authentic,D,False,1.0,D3,P5,-P4,0.875,36.0,44.0,,
6,Roland de  Lassus,Domine Dominus noster,59,1.0,Authentic,G,False,1.0,G2,P1,P1,0.9666666666666667,44.0,16.0,,
7,Roland de  Lassus,Domine Dominus noster,61,1.0,Authentic,G,False,1.0,G2,P1,P1,1.0,16.0,16.0,,
8,Roland de Lassus,Missa Domine dominus noster: Kyrie,17,1.0,Authentic,D,False,1.0,D3,P5,-P4,0.6153846153846154,128.0,68.0,,
9,Roland de Lassus,Missa Domine dominus noster: Kyrie,25,3.0,Authentic,G,False,1.0,G2,P1,P1,0.9423076923076923,68.0,12.0,,
10,Roland de Lassus,Missa Domine dominus noster: Kyrie,27,1.0,Authentic,G,False,1.0,G2,P1,P1,1.0,12.0,16.0,,
11,Roland de Lassus,Missa Domine dominus noster: Gloria,6,3.0,Authentic,B-,True,1.0,B-3,m10,m3,0.11,44.0,224.0,,
12,Roland de Lassus,Missa Domine dominus noster: Gloria,34,3.0,,B-,,,B-2,m3,m3,0.67,224.0,100.0,,
13,Roland de Lassus,Missa Domine dominus noster: Gloria,47,1.0,Authentic,G,False,1.0,G2,P1,P1,0.92,100.0,20.0,,
14,Roland de Lassus,Missa Domine dominus noster: Gloria,49,3.0,Authentic,G,False,1.0,G2,P1,P1,0.97,20.0,36.0,,
15,Roland de Lassus,Missa Domine dominus noster: Credo,18,1.0,Authentic,G,False,1.0,G2,-m3,-m3,0.19101123595505617,136.0,64.0,,
16,Roland de Lassus,Missa Domine dominus noster: Credo,26,1.0,Authentic,B-,True,1.0,B-3,P8,P1,0.2808988764044944,64.0,276.0,,
17,Roland de Lassus,Missa Domine dominus noster: Credo,60,3.0,Authentic,D,False,1.0,D3,M3,-m6,0.6685393258426966,276.0,72.0,,
18,Roland de Lassus,Missa Domine dominus noster: Credo,69,3.0,Authentic,G,False,1.0,G2,-m3,-m3,0.7696629213483146,72.0,108.0,,
19,Roland de Lassus,Missa Domine dominus noster: Credo,83,1.0,Clausula Vera,B-,False,1.0,B-2,P1,P1,0.9213483146067416,108.0,80.0,,
20,Roland de Lassus,Missa Domine dominus noster: Sanctus,3,1.0,Authentic,G,False,1.0,G2,P1,P1,0.13333333333333333,16.0,20.0,,
21,Roland de Lassus,Missa Domine dominus noster: Sanctus,5,3.0,Authentic,D,False,1.0,D3,P5,-P4,0.3,20.0,20.0,,
22,Roland de Lassus,Missa Domine dominus noster: Sanctus,8,1.0,Authentic,G,False,1.0,G2,P1,P1,0.4666666666666667,20.0,88.0,,
23,Roland de Lassus,Missa Domine dominus noster: Agnus dei,11,1.0,Authentic,G,False,1.0,G2,P1,P1,1.0,80.0,24.0,,
