,Composer,Title,Measure,Beat,CadType,Tone,Evaded,LeadingTones,Low,RelLow,RelTone,Progress,SinceLast,ToNext,Validation,Comments
0,Josquin Des Prés,Benedicta es,13,3.0,Clausula Vera,G,False,1.0,G2,P1,P1,0.06684491978609626,100.0,12.0,,
1,Josquin Des Prés,Benedicta es,15,1.0,Clausula Vera,D,False,0.0,D3,P5,-P4,0.0748663101604278,12.0,8.0,,
2,Josquin Des Prés,Benedicta es,16,1.0,Clausula Vera,G,False,1.0,E3,M6,P1,0.08021390374331551,8.0,12.0,,
3,Josquin Des Prés,Benedicta es,17,3.0,Clausula Vera,G,False,0.0,G2,P1,P1,0.08823529411764706,12.0,12.0,,
4,Josquin Des Prés,Benedicta es,19,1.0,Clausula Vera,D,False,1.0,D3,P5,-P4,0.0962566844919786,12.0,8.0,,
5,Josquin Des Prés,Benedicta es,20,1.0,Authentic,G,False,1.0,G2,P1,P1,0.10160427807486631,8.0,20.0,,
6,Josquin Des Prés,Benedicta es,22,3.0,Clausula Vera,C,False,1.0,C3,P4,-P5,0.11497326203208556,20.0,8.0,,
7,Josquin Des Prés,Benedicta es,23,3.0,,F#,,,D3,P5,-m2,0.12032085561497326,8.0,24.0,,
8,Josquin Des Prés,Benedicta es,26,3.0,Clausula Vera,C,False,1.0,C3,P4,-P5,0.13636363636363635,24.0,36.0,,
9,Josquin Des Prés,Benedicta es,31,1.0,Clausula Vera,G,False,1.0,G3,P8,P1,0.16042780748663102,36.0,24.0,,
10,Josquin Des Prés,Benedicta es,34,1.0,Clausula Vera,G,False,1.0,G2,P1,P1,0.17647058823529413,24.0,24.0,,
11,Josquin Des Prés,Benedicta es,37,1.0,Clausula Vera,G,False,1.0,G2,P1,P1,0.1925133689839572,24.0,104.0,,
12,Josquin Des Prés,Benedicta es,50,1.0,Authentic,G,False,1.0,G2,P1,P1,0.2620320855614973,104.0,24.0,,
13,Josquin Des Prés,Benedicta es,53,1.0,Clausula Vera,D,True,1.0,D4,P12,-P4,0.27807486631016043,24.0,16.0,,
14,Josquin Des Prés,Benedicta es,55,1.0,Clausula Vera,G,False,1.0,G3,P8,P1,0.2887700534759358,16.0,48.0,,
15,Josquin Des Prés,Benedicta es,61,1.0,Authentic,D,True,1.0,B2,M3,-P4,0.32085561497326204,48.0,8.0,,
16,Josquin Des Prés,Benedicta es,62,1.0,Authentic,G,False,1.0,G2,P1,P1,0.32620320855614976,8.0,24.0,,
17,Josquin Des Prés,Benedicta es,65,1.0,,G,,,G2,P1,P1,0.3422459893048128,24.0,24.0,,
18,Josquin Des Prés,Benedicta es,68,1.0,Clausula Vera,G,False,1.0,G2,P1,P1,0.3582887700534759,24.0,40.0,,
19,Josquin Des Prés,Benedicta es,73,1.0,Authentic,C,False,1.0,C3,P4,-P5,0.3850267379679144,40.0,16.0,,
20,Josquin Des Prés,Benedicta es,75,1.0,Clausula Vera,G,False,1.0,G2,P1,P1,0.39572192513368987,16.0,80.0,,
21,Josquin Des Prés,Benedicta es,85,1.0,,G,,,G2,P1,P1,0.44919786096256686,80.0,20.0,,
22,Josquin Des Prés,Benedicta es,87,3.0,Clausula Vera,G,False,1.0,G2,P1,P1,0.4625668449197861,20.0,20.0,,
23,Josquin Des Prés,Benedicta es,90,1.0,Clausula Vera,G,False,1.0,G3,P8,P1,0.47593582887700536,20.0,20.0,,
24,Josquin Des Prés,Benedicta es,92,3.0,Authentic,G,False,1.0,G2,P1,P1,0.4893048128342246,20.0,204.0,,
25,Josquin Des Prés,Benedicta es,117,1.0,Clausula Vera,G,False,1.0,G3,P8,P1,0.6256684491978609,204.0,72.0,,
26,Josquin Des Prés,Benedicta es,126,1.0,Clausula Vera,G,False,1.0,G3,P8,P1,0.6737967914438503,72.0,24.0,,
27,Josquin Des Prés,Benedicta es,129,1.0,Clausula Vera,G,False,1.0,G3,P8,P1,0.6898395721925134,24.0,48.0,,
28,Josquin Des Prés,Benedicta es,135,1.0,Clausula Vera,G,False,1.0,G3,P8,P1,0.7219251336898396,48.0,228.0,,
29,Josquin Des Prés,Benedicta es,155,1.0,Authentic,D,True,0.0,F3,m7,-P4,0.8743315508021391,228.0,20.0,,
30,Josquin Des Prés,Benedicta es,157,1.0,,D,,,G2,P1,-P4,0.8877005347593583,20.0,12.0,,
31,Josquin Des Prés,Benedicta es,158,1.0,Clausula Vera,G,True,1.0,B2,M3,P1,0.8957219251336899,12.0,96.0,,
32,Josquin Des Prés,Benedicta es,168,1.0,Authentic,G,False,0.0,G2,P1,P1,0.9598930481283422,96.0,76.0,,
33,Giovanni Pierluigi da Palestrina,Missa Benedicta es: Kyrie,5,1.0,Authentic,G,False,1.0,G2,-P4,P1,0.039603960396039604,32.0,64.0,,
34,Giovanni Pierluigi da Palestrina,Missa Benedicta es: Kyrie,13,1.0,Clausula Vera,G,False,1.0,G2,-P4,P1,0.1188118811881188,64.0,24.0,,
35,Giovanni Pierluigi da Palestrina,Missa Benedicta es: Kyrie,16,1.0,Clausula Vera,D,False,0.0,D3,M2,-P4,0.1485148514851485,24.0,4.0,,
36,Giovanni Pierluigi da Palestrina,Missa Benedicta es: Kyrie,16,3.0,Authentic,G,True,1.0,C3,P1,P1,0.15346534653465346,4.0,16.0,,
37,Giovanni Pierluigi da Palestrina,Missa Benedicta es: Kyrie,18,3.0,Clausula Vera,G,False,1.0,G2,-P4,P1,0.17326732673267325,16.0,16.0,,
38,Giovanni Pierluigi da Palestrina,Missa Benedicta es: Kyrie,20,3.0,Clausula Vera,D,False,0.0,D3,M2,-P4,0.19306930693069307,16.0,4.0,,
39,Giovanni Pierluigi da Palestrina,Missa Benedicta es: Kyrie,21,1.0,Authentic,G,False,1.0,G2,-P4,P1,0.19801980198019803,4.0,24.0,,
40,Giovanni Pierluigi da Palestrina,Missa Benedicta es: Kyrie,24,1.0,Clausula Vera,G,False,0.0,G2,-P4,P1,0.22772277227722773,24.0,8.0,,
41,Giovanni Pierluigi da Palestrina,Missa Benedicta es: Kyrie,25,1.0,Clausula Vera,D,False,0.0,D3,M2,-P4,0.2376237623762376,8.0,16.0,,
42,Giovanni Pierluigi da Palestrina,Missa Benedicta es: Kyrie,27,1.0,Clausula Vera,G,False,0.0,G2,-P4,P1,0.25742574257425743,16.0,36.0,,
43,Giovanni Pierluigi da Palestrina,Missa Benedicta es: Kyrie,31,3.0,Clausula Vera,D,False,1.0,D3,M2,-P4,0.30198019801980197,36.0,16.0,,
44,Giovanni Pierluigi da Palestrina,Missa Benedicta es: Kyrie,33,3.0,Clausula Vera,G,False,1.0,G2,-P4,P1,0.3217821782178218,16.0,28.0,,
45,Giovanni Pierluigi da Palestrina,Missa Benedicta es: Kyrie,37,1.0,Authentic,G,False,1.0,G2,-P4,P1,0.3564356435643564,28.0,104.0,,
46,Giovanni Pierluigi da Palestrina,Missa Benedicta es: Kyrie,49,1.0,Authentic,C,False,1.0,C3,P1,-P5,0.48514851485148514,104.0,12.0,,
47,Giovanni Pierluigi da Palestrina,Missa Benedicta es: Kyrie,50,3.0,Clausula Vera,G,False,0.0,G2,-P4,P1,0.5,12.0,40.0,,
48,Giovanni Pierluigi da Palestrina,Missa Benedicta es: Kyrie,55,3.0,Clausula Vera,G,False,0.0,G2,-P4,P1,0.5495049504950495,40.0,16.0,,
49,Giovanni Pierluigi da Palestrina,Missa Benedicta es: Kyrie,57,3.0,Authentic,,True,-1.0,C3,P1,,0.5693069306930693,16.0,12.0,,
50,Giovanni Pierluigi da Palestrina,Missa Benedicta es: Kyrie,59,1.0,Clausula Vera,G,False,0.0,G2,-P4,P1,0.5841584158415841,12.0,120.0,,
51,Giovanni Pierluigi da Palestrina,Missa Benedicta es: Kyrie,73,1.0,Authentic,D,False,0.0,D3,M2,-P4,0.7326732673267327,120.0,6.0,,
52,Giovanni Pierluigi da Palestrina,Missa Benedicta es: Kyrie,73,4.0,Authentic,D,False,0.0,D3,M2,-P4,0.7400990099009901,6.0,26.0,,
53,Giovanni Pierluigi da Palestrina,Missa Benedicta es: Kyrie,77,1.0,Authentic,G,False,1.0,G2,-P4,P1,0.7722772277227723,26.0,28.0,,
54,Giovanni Pierluigi da Palestrina,Missa Benedicta es: Kyrie,80,3.0,Clausula Vera,G,False,1.0,G2,-P4,P1,0.806930693069307,28.0,20.0,,
