Measure	Beat	Offset	4_3	4_2	4_1	3_2	3_1	2_1	Composer	Title	figures	figures_combined
12	3.0	92.0	3	8	5	6	3	5	Pierre Sandrin	Doulce memoire	385	['385', '484', '584', '583', '838', '583', '358', '583', '573', '563', '353', '363']
12	4.0	94.0	4	8	4	5	8	4	Pierre Sandrin	Doulce memoire	484	['484', '584', '583', '838', '583', '358', '583', '573', '563', '353', '363', '573']
13	1.0	96.0	5	8	4	4	7	4	Pierre Sandrin	Doulce memoire	584	['584', '583', '838', '583', '358', '583', '573', '563', '353', '363', '573', '883']
13	2.0	98.0	5	8	3	4	6	3	Pierre Sandrin	Doulce memoire	583	['583', '838', '583', '358', '583', '573', '563', '353', '363', '573', '883', '373']
13	3.0	100.0	8	3	8	3	8	6	Pierre Sandrin	Doulce memoire	838	['838', '583', '358', '583', '573', '563', '353', '363', '573', '883', '373', '363']
14	1.0	108.0	5	8	3	4	6	3	Pierre Sandrin	Doulce memoire	583	['583', '358', '583', '573', '563', '353', '363', '573', '883', '373', '363', '583']
14	3.0	112.0	3	5	8	3	6	4	Pierre Sandrin	Doulce memoire	358	['358', '583', '573', '563', '353', '363', '573', '883', '373', '363', '583', '385']
15	1.0	116.0	5	8	3	4	6	3	Pierre Sandrin	Doulce memoire	583	['583', '573', '563', '353', '363', '573', '883', '373', '363', '583', '385', '853']
15	2.5	119.0	5	7	3	3	6	4	Pierre Sandrin	Doulce memoire	573	['573', '563', '353', '363', '573', '883', '373', '363', '583', '385', '853', '583']
15	2.75	119.5	5	6	3	2	6	5	Pierre Sandrin	Doulce memoire	563	['563', '353', '363', '573', '883', '373', '363', '583', '385', '853', '583', '353']
15	3.0	120.0	3	5	3	3	8	6	Pierre Sandrin	Doulce memoire	353	['353', '363', '573', '883', '373', '363', '583', '385', '853', '583', '353', '583']
15	4.0	122.0	3	6	3	4	8	5	Pierre Sandrin	Doulce memoire	363	['363', '573', '883', '373', '363', '583', '385', '853', '583', '353', '583', '358']
16	1.0	124.0	5	7	3	3	6	4	Pierre Sandrin	Doulce memoire	573	['573', '883', '373', '363', '583', '385', '853', '583', '353', '583', '358', '363']
16	2.0	126.0	8	8	3	1	3	3	Pierre Sandrin	Doulce memoire	883	['883', '373', '363', '583', '385', '853', '583', '353', '583', '358', '363', '584']
16	3.0	128.0	3	7	3	5	8	4	Pierre Sandrin	Doulce memoire	373	['373', '363', '583', '385', '853', '583', '353', '583', '358', '363', '584', '583']
16	4.0	130.0	3	6	3	4	8	5	Pierre Sandrin	Doulce memoire	363	['363', '583', '385', '853', '583', '353', '583', '358', '363', '584', '583', '835']
17	1.0	132.0	5	8	3	4	6	3	Pierre Sandrin	Doulce memoire	583	['583', '385', '853', '583', '353', '583', '358', '363', '584', '583', '835', '584']
17	3.0	136.0	3	8	5	3	3	5	Pierre Sandrin	Doulce memoire	385	['385', '853', '583', '353', '583', '358', '363', '584', '583', '835', '584', '583']
18	1.0	140.0	8	5	3	4	3	6	Pierre Sandrin	Doulce memoire	853	['853', '583', '353', '583', '358', '363', '584', '583', '835', '584', '583', '838']
18	4.0	146.0	5	8	3	4	6	3	Pierre Sandrin	Doulce memoire	583	['583', '353', '583', '358', '363', '584', '583', '835', '584', '583', '838', '535']
19	1.0	148.0	3	5	3	3	8	6	Pierre Sandrin	Doulce memoire	353	['353', '583', '358', '363', '584', '583', '835', '584', '583', '838', '535', '358']
19	2.0	150.0	5	8	3	4	6	3	Pierre Sandrin	Doulce memoire	583	['583', '358', '363', '584', '583', '835', '584', '583', '838', '535', '358', '835']
19	3.0	152.0	3	5	8	3	6	4	Pierre Sandrin	Doulce memoire	358	['358', '363', '584', '583', '835', '584', '583', '838', '535', '358', '835', '458']
19	4.0	154.0	3	6	3	4	8	5	Pierre Sandrin	Doulce memoire	363	['363', '584', '583', '835', '584', '583', '838', '535', '358', '835', '458', '358']
20	1.0	156.0	5	8	4	4	7	4	Pierre Sandrin	Doulce memoire	584	['584', '583', '835', '584', '583', '838', '535', '358', '835', '458', '358', '833']
20	1.5	157.0	5	8	3	4	6	3	Pierre Sandrin	Doulce memoire	583	['583', '835', '584', '583', '838', '535', '358', '835', '458', '358', '833', '583']
