Measure	Beat	Offset	4_3	4_2	4_1	3_2	3_1	2_1	Composer	Title	figures	figures_combined
48	2.5	395.0	5	3	4	3	7	2	Roland de Lassus	Missa Doulce memoire: Kyrie	534	['534', '835', '247', '358', '584', '583', '838', '835', '836', '358', '836', '583']
48	3.0	396.0	8	3	5	3	5	3	Roland de Lassus	Missa Doulce memoire: Kyrie	835	['835', '247', '358', '584', '583', '838', '835', '836', '358', '836', '583', '835']
48	4.0	398.0	2	4	7	3	6	4	Roland de Lassus	Missa Doulce memoire: Kyrie	247	['247', '358', '584', '583', '838', '835', '836', '358', '836', '583', '835', '584']
48	4.5	399.0	3	5	8	3	6	4	Roland de Lassus	Missa Doulce memoire: Kyrie	358	['358', '584', '583', '838', '835', '836', '358', '836', '583', '835', '584', '583']
49	1.0	400.0	5	8	4	4	7	4	Roland de Lassus	Missa Doulce memoire: Kyrie	584	['584', '583', '838', '835', '836', '358', '836', '583', '835', '584', '583', '353']
49	2.0	402.0	5	8	3	4	6	3	Roland de Lassus	Missa Doulce memoire: Kyrie	583	['583', '838', '835', '836', '358', '836', '583', '835', '584', '583', '353', '583']
49	3.0	404.0	8	3	8	3	8	6	Roland de Lassus	Missa Doulce memoire: Kyrie	838	['838', '835', '836', '358', '836', '583', '835', '584', '583', '353', '583', '835']
49	4.0	406.0	8	3	5	3	5	3	Roland de Lassus	Missa Doulce memoire: Kyrie	835	['835', '836', '358', '836', '583', '835', '584', '583', '353', '583', '835', '583']
50	2.0	410.0	8	3	6	3	6	4	Roland de Lassus	Missa Doulce memoire: Kyrie	836	['836', '358', '836', '583', '835', '584', '583', '353', '583', '835', '583', '835']
50	3.0	412.0	3	5	8	3	6	4	Roland de Lassus	Missa Doulce memoire: Kyrie	358	['358', '836', '583', '835', '584', '583', '353', '583', '835', '583', '835', '353']
51	2.0	418.0	8	3	6	3	6	4	Roland de Lassus	Missa Doulce memoire: Kyrie	836	['836', '583', '835', '584', '583', '353', '583', '835', '583', '835', '353', '363']
51	3.0	420.0	5	8	3	4	6	3	Roland de Lassus	Missa Doulce memoire: Kyrie	583	['583', '835', '584', '583', '353', '583', '835', '583', '835', '353', '363', '583']
51	4.0	422.0	8	3	5	3	5	3	Roland de Lassus	Missa Doulce memoire: Kyrie	835	['835', '584', '583', '353', '583', '835', '583', '835', '353', '363', '583', '313']
52	1.0	424.0	5	8	4	4	7	4	Roland de Lassus	Missa Doulce memoire: Kyrie	584	['584', '583', '353', '583', '835', '583', '835', '353', '363', '583', '313', '323']
52	2.0	426.0	5	8	3	4	6	3	Roland de Lassus	Missa Doulce memoire: Kyrie	583	['583', '353', '583', '835', '583', '835', '353', '363', '583', '313', '323', '133']
52	3.0	428.0	3	5	3	3	8	6	Roland de Lassus	Missa Doulce memoire: Kyrie	353	['353', '583', '835', '583', '835', '353', '363', '583', '313', '323', '133', '353']
52	4.0	430.0	5	8	3	4	6	3	Roland de Lassus	Missa Doulce memoire: Kyrie	583	['583', '835', '583', '835', '353', '363', '583', '313', '323', '133', '353', '584']
53	2.0	434.0	8	3	5	3	5	3	Roland de Lassus	Missa Doulce memoire: Kyrie	835	['835', '583', '835', '353', '363', '583', '313', '323', '133', '353', '584', '583']
53	3.0	436.0	5	8	3	4	6	3	Roland de Lassus	Missa Doulce memoire: Kyrie	583	['583', '835', '353', '363', '583', '313', '323', '133', '353', '584', '583', '835']
53	4.0	438.0	8	3	5	3	5	3	Roland de Lassus	Missa Doulce memoire: Kyrie	835	['835', '353', '363', '583', '313', '323', '133', '353', '584', '583', '835', '584']
54	1.0	440.0	3	5	3	3	8	6	Roland de Lassus	Missa Doulce memoire: Kyrie	353	['353', '363', '583', '313', '323', '133', '353', '584', '583', '835', '584', '583']
54	2.0	442.0	3	6	3	4	8	5	Roland de Lassus	Missa Doulce memoire: Kyrie	363	['363', '583', '313', '323', '133', '353', '584', '583', '835', '584', '583', '358']
54	3.0	444.0	5	8	3	4	6	3	Roland de Lassus	Missa Doulce memoire: Kyrie	583	['583', '313', '323', '133', '353', '584', '583', '835', '584', '583', '358', '357']
54	4.0	446.0	3	1	3	3	5	3	Roland de Lassus	Missa Doulce memoire: Kyrie	313	['313', '323', '133', '353', '584', '583', '835', '584', '583', '358', '357', '356']
54	4.5	447.0	3	2	3	4	5	2	Roland de Lassus	Missa Doulce memoire: Kyrie	323	['323', '133', '353', '584', '583', '835', '584', '583', '358', '357', '356', '035']
55	1.0	448.0	1	3	3	3	3	8	Roland de Lassus	Missa Doulce memoire: Kyrie	133	['133', '353', '584', '583', '835', '584', '583', '358', '357', '356', '035', '583']
55	2.0	450.0	3	5	3	3	8	6	Roland de Lassus	Missa Doulce memoire: Kyrie	353	['353', '584', '583', '835', '584', '583', '358', '357', '356', '035', '583', '352']
55	3.0	452.0	5	8	4	4	7	4	Roland de Lassus	Missa Doulce memoire: Kyrie	584	['584', '583', '835', '584', '583', '358', '357', '356', '035', '583', '352', '358']
55	3.5	453.0	5	8	3	4	6	3	Roland de Lassus	Missa Doulce memoire: Kyrie	583	['583', '835', '584', '583', '358', '357', '356', '035', '583', '352', '358', '835']
55	4.0	454.0	8	3	5	3	5	3	Roland de Lassus	Missa Doulce memoire: Kyrie	835	['835', '584', '583', '358', '357', '356', '035', '583', '352', '358', '835', '584']
56	1.0	456.0	5	8	4	4	7	4	Roland de Lassus	Missa Doulce memoire: Kyrie	584	['584', '583', '358', '357', '356', '035', '583', '352', '358', '835', '584', '583']
56	2.0	458.0	5	8	3	4	6	3	Roland de Lassus	Missa Doulce memoire: Kyrie	583	['583', '358', '357', '356', '035', '583', '352', '358', '835', '584', '583', '035']
56	3.0	460.0	3	5	8	3	6	4	Roland de Lassus	Missa Doulce memoire: Kyrie	358	['358', '357', '356', '035', '583', '352', '358', '835', '584', '583', '035', '358']
56	4.5	463.0	3	5	7	3	5	3	Roland de Lassus	Missa Doulce memoire: Kyrie	357	['357', '356', '035', '583', '352', '358', '835', '584', '583', '035', '358', '247']
56	4.75	463.5	3	5	6	3	4	2	Roland de Lassus	Missa Doulce memoire: Kyrie	356	['356', '035', '583', '352', '358', '835', '584', '583', '035', '358', '247', '836']
57	1.0	464.0	0	3	5	0	0	3	Roland de Lassus	Missa Doulce memoire: Kyrie	035	['035', '583', '352', '358', '835', '584', '583', '035', '358', '247', '836', '735']
57	2.0	466.0	5	8	3	4	6	3	Roland de Lassus	Missa Doulce memoire: Kyrie	583	['583', '352', '358', '835', '584', '583', '035', '358', '247', '836', '735', '583']
57	3.0	468.0	3	5	2	3	7	5	Roland de Lassus	Missa Doulce memoire: Kyrie	352	['352', '358', '835', '584', '583', '035', '358', '247', '836', '735', '583', '584']
57	3.5	469.0	3	5	8	3	6	4	Roland de Lassus	Missa Doulce memoire: Kyrie	358	['358', '835', '584', '583', '035', '358', '247', '836', '735', '583', '584', '835']
57	4.0	470.0	8	3	5	3	5	3	Roland de Lassus	Missa Doulce memoire: Kyrie	835	['835', '584', '583', '035', '358', '247', '836', '735', '583', '584', '835', '684']
58	1.0	472.0	5	8	4	4	7	4	Roland de Lassus	Missa Doulce memoire: Kyrie	584	['584', '583', '035', '358', '247', '836', '735', '583', '584', '835', '684', '583']
58	2.0	474.0	5	8	3	4	6	3	Roland de Lassus	Missa Doulce memoire: Kyrie	583	['583', '035', '358', '247', '836', '735', '583', '584', '835', '684', '583', '838']
58	3.0	476.0	0	0	0	3	5	3	Roland de Lassus	Missa Doulce memoire: Kyrie	035	['035', '358', '247', '836', '735', '583', '584', '835', '684', '583', '838', '833']
58	4.0	478.0	3	5	8	3	6	4	Roland de Lassus	Missa Doulce memoire: Kyrie	358	['358', '247', '836', '735', '583', '584', '835', '684', '583', '838', '833', '823']
59	1.5	481.0	2	4	7	3	6	4	Roland de Lassus	Missa Doulce memoire: Kyrie	247	['247', '836', '735', '583', '584', '835', '684', '583', '838', '833', '823', '038']
59	2.0	482.0	8	3	6	3	6	4	Roland de Lassus	Missa Doulce memoire: Kyrie	836	['836', '735', '583', '584', '835', '684', '583', '838', '833', '823', '038', '047']
59	2.5	483.0	7	3	5	4	6	3	Roland de Lassus	Missa Doulce memoire: Kyrie	735	['735', '583', '584', '835', '684', '583', '838', '833', '823', '038', '047', '583']
59	3.0	484.0	5	8	3	4	6	3	Roland de Lassus	Missa Doulce memoire: Kyrie	583	['583', '584', '835', '684', '583', '838', '833', '823', '038', '047', '583', '472']
59	3.5	485.0	5	8	4	4	7	4	Roland de Lassus	Missa Doulce memoire: Kyrie	584	['584', '835', '684', '583', '838', '833', '823', '038', '047', '583', '472', '388']
59	4.0	486.0	8	3	5	3	5	3	Roland de Lassus	Missa Doulce memoire: Kyrie	835	['835', '684', '583', '838', '833', '823', '038', '047', '583', '472', '388', '287']
60	1.0	488.0	6	8	4	3	6	4	Roland de Lassus	Missa Doulce memoire: Kyrie	684	['684', '583', '838', '833', '823', '038', '047', '583', '472', '388', '287', '386']
60	2.0	490.0	5	8	3	4	6	3	Roland de Lassus	Missa Doulce memoire: Kyrie	583	['583', '838', '833', '823', '038', '047', '583', '472', '388', '287', '386', '385']
60	3.0	492.0	8	3	8	3	8	6	Roland de Lassus	Missa Doulce memoire: Kyrie	838	['838', '833', '823', '038', '047', '583', '472', '388', '287', '386', '385', '852']
60	4.0	494.0	8	3	3	3	3	8	Roland de Lassus	Missa Doulce memoire: Kyrie	833	['833', '823', '038', '047', '583', '472', '388', '287', '386', '385', '852', '854']
60	4.5	495.0	8	2	3	2	3	2	Roland de Lassus	Missa Doulce memoire: Kyrie	823	['823', '038', '047', '583', '472', '388', '287', '386', '385', '852', '854', '835']
61	1.0	496.0	0	0	0	3	8	3	Roland de Lassus	Missa Doulce memoire: Kyrie	038	['038', '047', '583', '472', '388', '287', '386', '385', '852', '854', '835', '735']
61	1.5	497.0	0	0	0	4	7	3	Roland de Lassus	Missa Doulce memoire: Kyrie	047	['047', '583', '472', '388', '287', '386', '385', '852', '854', '835', '735', '584']
61	2.0	498.0	5	8	3	5	6	3	Roland de Lassus	Missa Doulce memoire: Kyrie	583	['583', '472', '388', '287', '386', '385', '852', '854', '835', '735', '584', '553']
61	2.5	499.0	4	7	2	5	6	3	Roland de Lassus	Missa Doulce memoire: Kyrie	472	['472', '388', '287', '386', '385', '852', '854', '835', '735', '584', '553', '138']
61	3.0	500.0	3	8	8	3	6	8	Roland de Lassus	Missa Doulce memoire: Kyrie	388	['388', '287', '386', '385', '852', '854', '835', '735', '584', '553', '138', '538']
61	3.5	501.0	2	8	7	2	6	7	Roland de Lassus	Missa Doulce memoire: Kyrie	287	['287', '386', '385', '852', '854', '835', '735', '584', '553', '138', '538', '053']
61	4.0	502.0	3	8	6	3	4	6	Roland de Lassus	Missa Doulce memoire: Kyrie	386	['386', '385', '852', '854', '835', '735', '584', '553', '138', '538', '053', '853']
61	4.5	503.0	3	8	5	3	3	5	Roland de Lassus	Missa Doulce memoire: Kyrie	385	['385', '852', '854', '835', '735', '584', '553', '138', '538', '053', '853', '252']
62	1.0	504.0	8	5	2	4	2	5	Roland de Lassus	Missa Doulce memoire: Kyrie	852	['852', '854', '835', '735', '584', '553', '138', '538', '053', '853', '252', '358']
62	1.5	505.0	8	5	4	4	4	7	Roland de Lassus	Missa Doulce memoire: Kyrie	854	['854', '835', '735', '584', '553', '138', '538', '053', '853', '252', '358', '257']
62	2.0	506.0	8	3	5	3	5	3	Roland de Lassus	Missa Doulce memoire: Kyrie	835	['835', '735', '584', '553', '138', '538', '053', '853', '252', '358', '257', '836']
62	2.5	507.0	7	3	5	4	6	3	Roland de Lassus	Missa Doulce memoire: Kyrie	735	['735', '584', '553', '138', '538', '053', '853', '252', '358', '257', '836', '735']
62	3.0	508.0	5	8	4	4	7	4	Roland de Lassus	Missa Doulce memoire: Kyrie	584	['584', '553', '138', '538', '053', '853', '252', '358', '257', '836', '735', '583']
62	4.0	510.0	5	5	3	8	6	3	Roland de Lassus	Missa Doulce memoire: Kyrie	553	['553', '138', '538', '053', '853', '252', '358', '257', '836', '735', '583', '482']
63	1.0	512.0	1	3	8	3	8	3	Roland de Lassus	Missa Doulce memoire: Kyrie	138	['138', '538', '053', '853', '252', '358', '257', '836', '735', '583', '482', '583']
63	2.0	514.0	5	3	8	6	4	6	Roland de Lassus	Missa Doulce memoire: Kyrie	538	['538', '053', '853', '252', '358', '257', '836', '735', '583', '482', '583', '458']
63	3.0	516.0	0	0	0	5	3	6	Roland de Lassus	Missa Doulce memoire: Kyrie	053	['053', '853', '252', '358', '257', '836', '735', '583', '482', '583', '458', '358']
63	4.0	518.0	8	5	3	5	3	6	Roland de Lassus	Missa Doulce memoire: Kyrie	853	['853', '252', '358', '257', '836', '735', '583', '482', '583', '458', '358', '835']
63	4.5	519.0	2	5	2	4	8	5	Roland de Lassus	Missa Doulce memoire: Kyrie	252	['252', '358', '257', '836', '735', '583', '482', '583', '458', '358', '835', '834']
64	1.0	520.0	3	5	8	3	6	4	Roland de Lassus	Missa Doulce memoire: Kyrie	358	['358', '257', '836', '735', '583', '482', '583', '458', '358', '835', '834', '833']
64	1.5	521.0	2	5	7	4	6	3	Roland de Lassus	Missa Doulce memoire: Kyrie	257	['257', '836', '735', '583', '482', '583', '458', '358', '835', '834', '833', '732']
64	2.0	522.0	8	3	6	3	6	4	Roland de Lassus	Missa Doulce memoire: Kyrie	836	['836', '735', '583', '482', '583', '458', '358', '835', '834', '833', '732', '053']
64	2.5	523.0	7	3	5	4	6	3	Roland de Lassus	Missa Doulce memoire: Kyrie	735	['735', '583', '482', '583', '458', '358', '835', '834', '833', '732', '053', '043']
64	3.0	524.0	5	8	3	4	6	3	Roland de Lassus	Missa Doulce memoire: Kyrie	583	['583', '482', '583', '458', '358', '835', '834', '833', '732', '053', '043', '355']
64	3.5	525.0	4	8	2	5	6	2	Roland de Lassus	Missa Doulce memoire: Kyrie	482	['482', '583', '458', '358', '835', '834', '833', '732', '053', '043', '355', '454']
64	4.0	526.0	5	8	3	4	6	3	Roland de Lassus	Missa Doulce memoire: Kyrie	583	['583', '458', '358', '835', '834', '833', '732', '053', '043', '355', '454', '583']
65	1.0	528.0	4	5	8	2	5	4	Roland de Lassus	Missa Doulce memoire: Kyrie	458	['458', '358', '835', '834', '833', '732', '053', '043', '355', '454', '583', '582']
65	2.0	530.0	3	5	8	3	6	4	Roland de Lassus	Missa Doulce memoire: Kyrie	358	['358', '835', '834', '833', '732', '053', '043', '355', '454', '583', '582', '358']
65	3.0	532.0	8	3	5	3	5	3	Roland de Lassus	Missa Doulce memoire: Kyrie	835	['835', '834', '833', '732', '053', '043', '355', '454', '583', '582', '358', '836']
65	3.5	533.0	8	3	4	3	4	2	Roland de Lassus	Missa Doulce memoire: Kyrie	834	['834', '833', '732', '053', '043', '355', '454', '583', '582', '358', '836', '835']
65	4.0	534.0	8	3	3	3	3	8	Roland de Lassus	Missa Doulce memoire: Kyrie	833	['833', '732', '053', '043', '355', '454', '583', '582', '358', '836', '835', '735']
65	4.5	535.0	7	3	2	4	3	7	Roland de Lassus	Missa Doulce memoire: Kyrie	732	['732', '053', '043', '355', '454', '583', '582', '358', '836', '835', '735', '584']
66	1.0	536.0	0	0	0	5	3	6	Roland de Lassus	Missa Doulce memoire: Kyrie	053	['053', '043', '355', '454', '583', '582', '358', '836', '835', '735', '584', '583']
66	1.5	537.0	0	0	0	4	3	7	Roland de Lassus	Missa Doulce memoire: Kyrie	043	['043', '355', '454', '583', '582', '358', '836', '835', '735', '584', '583', '158']
1	1.0	0.0	1	5	8	5	8	4	Roland de Lassus	Missa Doulce memoire: Gloria	158	['158', '583', '835', '358', '583', '358', '583', '835', '583', '835', '583', '358']
1	3.0	4.0	5	8	3	4	6	3	Roland de Lassus	Missa Doulce memoire: Gloria	583	['583', '835', '358', '583', '358', '583', '835', '583', '835', '583', '358', '835']
1	4.0	6.0	8	3	5	3	5	3	Roland de Lassus	Missa Doulce memoire: Gloria	835	['835', '358', '583', '358', '583', '835', '583', '835', '583', '358', '835', '355']
2	3.0	12.0	3	5	8	3	6	4	Roland de Lassus	Missa Doulce memoire: Gloria	358	['358', '583', '358', '583', '835', '583', '835', '583', '358', '835', '355', '360']
2	4.0	14.0	5	8	3	4	6	3	Roland de Lassus	Missa Doulce memoire: Gloria	583	['583', '358', '583', '835', '583', '835', '583', '358', '835', '355', '360', '363']
3	1.0	16.0	3	5	8	3	6	4	Roland de Lassus	Missa Doulce memoire: Gloria	358	['358', '583', '835', '583', '835', '583', '358', '835', '355', '360', '363', '584']
3	3.0	20.0	5	8	3	4	6	3	Roland de Lassus	Missa Doulce memoire: Gloria	583	['583', '835', '583', '835', '583', '358', '835', '355', '360', '363', '584', '583']
3	4.0	22.0	8	3	5	3	5	3	Roland de Lassus	Missa Doulce memoire: Gloria	835	['835', '583', '835', '583', '358', '835', '355', '360', '363', '584', '583', '353']
4	1.0	24.0	5	8	3	4	6	3	Roland de Lassus	Missa Doulce memoire: Gloria	583	['583', '835', '583', '358', '835', '355', '360', '363', '584', '583', '353', '358']
4	2.0	26.0	8	3	5	3	5	3	Roland de Lassus	Missa Doulce memoire: Gloria	835	['835', '583', '358', '835', '355', '360', '363', '584', '583', '353', '358', '583']
4	3.0	28.0	5	8	3	4	6	3	Roland de Lassus	Missa Doulce memoire: Gloria	583	['583', '358', '835', '355', '360', '363', '584', '583', '353', '358', '583', '358']
4	4.0	30.0	3	5	8	3	6	4	Roland de Lassus	Missa Doulce memoire: Gloria	358	['358', '835', '355', '360', '363', '584', '583', '353', '358', '583', '358', '583']
5	1.0	32.0	8	3	5	3	5	3	Roland de Lassus	Missa Doulce memoire: Gloria	835	['835', '355', '360', '363', '584', '583', '353', '358', '583', '358', '583', '363']
5	2.0	34.0	3	5	5	3	3	1	Roland de Lassus	Missa Doulce memoire: Gloria	355	['355', '360', '363', '584', '583', '353', '358', '583', '358', '583', '363', '584']
5	3.0	36.0	3	6	0	4	0	0	Roland de Lassus	Missa Doulce memoire: Gloria	360	['360', '363', '584', '583', '353', '358', '583', '358', '583', '363', '584', '583']
5	4.0	38.0	3	6	3	4	8	5	Roland de Lassus	Missa Doulce memoire: Gloria	363	['363', '584', '583', '353', '358', '583', '358', '583', '363', '584', '583', '582']
6	1.0	40.0	5	8	4	4	7	4	Roland de Lassus	Missa Doulce memoire: Gloria	584	['584', '583', '353', '358', '583', '358', '583', '363', '584', '583', '582', '583']
6	2.0	42.0	5	8	3	4	6	3	Roland de Lassus	Missa Doulce memoire: Gloria	583	['583', '353', '358', '583', '358', '583', '363', '584', '583', '582', '583', '835']
6	3.0	44.0	3	5	3	3	8	6	Roland de Lassus	Missa Doulce memoire: Gloria	353	['353', '358', '583', '358', '583', '363', '584', '583', '582', '583', '835', '358']
6	4.0	46.0	3	5	8	3	6	4	Roland de Lassus	Missa Doulce memoire: Gloria	358	['358', '583', '358', '583', '363', '584', '583', '582', '583', '835', '358', '835']
7	1.0	48.0	5	8	3	4	6	3	Roland de Lassus	Missa Doulce memoire: Gloria	583	['583', '358', '583', '363', '584', '583', '582', '583', '835', '358', '835', '583']
7	2.0	50.0	3	5	8	3	6	4	Roland de Lassus	Missa Doulce memoire: Gloria	358	['358', '583', '363', '584', '583', '582', '583', '835', '358', '835', '583', '835']
7	3.0	52.0	5	8	3	4	6	3	Roland de Lassus	Missa Doulce memoire: Gloria	583	['583', '363', '584', '583', '582', '583', '835', '358', '835', '583', '835', '583']
7	4.0	54.0	3	6	3	4	8	5	Roland de Lassus	Missa Doulce memoire: Gloria	363	['363', '584', '583', '582', '583', '835', '358', '835', '583', '835', '583', '835']
8	1.0	56.0	5	8	4	4	7	4	Roland de Lassus	Missa Doulce memoire: Gloria	584	['584', '583', '582', '583', '835', '358', '835', '583', '835', '583', '835', '358']
8	1.5	57.0	5	8	3	4	6	3	Roland de Lassus	Missa Doulce memoire: Gloria	583	['583', '582', '583', '835', '358', '835', '583', '835', '583', '835', '358', '835']
8	1.75	57.5	5	8	2	4	5	2	Roland de Lassus	Missa Doulce memoire: Gloria	582	['582', '583', '835', '358', '835', '583', '835', '583', '835', '358', '835', '358']
8	2.0	58.0	5	8	3	4	6	3	Roland de Lassus	Missa Doulce memoire: Gloria	583	['583', '835', '358', '835', '583', '835', '583', '835', '358', '835', '358', '583']
8	3.0	60.0	8	3	5	3	5	3	Roland de Lassus	Missa Doulce memoire: Gloria	835	['835', '358', '835', '583', '835', '583', '835', '358', '835', '358', '583', '358']
9	3.0	68.0	3	5	8	3	6	4	Roland de Lassus	Missa Doulce memoire: Gloria	358	['358', '835', '583', '835', '583', '835', '358', '835', '358', '583', '358', '362']
9	4.0	70.0	8	3	5	3	5	3	Roland de Lassus	Missa Doulce memoire: Gloria	835	['835', '583', '835', '583', '835', '358', '835', '358', '583', '358', '362', '383']
10	1.0	72.0	5	8	3	4	6	3	Roland de Lassus	Missa Doulce memoire: Gloria	583	['583', '835', '583', '835', '358', '835', '358', '583', '358', '362', '383', '324']
10	2.0	74.0	8	3	5	3	5	3	Roland de Lassus	Missa Doulce memoire: Gloria	835	['835', '583', '835', '358', '835', '358', '583', '358', '362', '383', '324', '533']
10	3.0	76.0	5	8	3	4	6	3	Roland de Lassus	Missa Doulce memoire: Gloria	583	['583', '835', '358', '835', '358', '583', '358', '362', '383', '324', '533', '523']
10	4.0	78.0	8	3	5	3	5	3	Roland de Lassus	Missa Doulce memoire: Gloria	835	['835', '358', '835', '358', '583', '358', '362', '383', '324', '533', '523', '368']
11	1.0	80.0	3	5	8	3	6	4	Roland de Lassus	Missa Doulce memoire: Gloria	358	['358', '835', '358', '583', '358', '362', '383', '324', '533', '523', '368', '573']
11	2.0	82.0	8	3	5	3	5	3	Roland de Lassus	Missa Doulce memoire: Gloria	835	['835', '358', '583', '358', '362', '383', '324', '533', '523', '368', '573', '363']
11	3.0	84.0	3	5	8	3	6	4	Roland de Lassus	Missa Doulce memoire: Gloria	358	['358', '583', '358', '362', '383', '324', '533', '523', '368', '573', '363', '583']
12	1.0	88.0	5	8	3	4	6	3	Roland de Lassus	Missa Doulce memoire: Gloria	583	['583', '358', '362', '383', '324', '533', '523', '368', '573', '363', '583', '835']
13	1.0	96.0	3	5	8	3	6	4	Roland de Lassus	Missa Doulce memoire: Gloria	358	['358', '362', '383', '324', '533', '523', '368', '573', '363', '583', '835', '583']
13	1.5	97.0	3	6	2	4	7	4	Roland de Lassus	Missa Doulce memoire: Gloria	362	['362', '383', '324', '533', '523', '368', '573', '363', '583', '835', '583', '835']
13	2.0	98.0	3	8	3	6	8	3	Roland de Lassus	Missa Doulce memoire: Gloria	383	['383', '324', '533', '523', '368', '573', '363', '583', '835', '583', '835', '538']
13	2.5	99.0	3	2	4	7	2	3	Roland de Lassus	Missa Doulce memoire: Gloria	324	['324', '533', '523', '368', '573', '363', '583', '835', '583', '835', '538', '853']
13	3.0	100.0	5	3	3	6	6	1	Roland de Lassus	Missa Doulce memoire: Gloria	533	['533', '523', '368', '573', '363', '583', '835', '583', '835', '538', '853', '368']
13	3.5	101.0	5	2	3	5	6	2	Roland de Lassus	Missa Doulce memoire: Gloria	523	['523', '368', '573', '363', '583', '835', '583', '835', '538', '853', '368', '837']
13	4.0	102.0	3	6	8	4	6	3	Roland de Lassus	Missa Doulce memoire: Gloria	368	['368', '573', '363', '583', '835', '583', '835', '538', '853', '368', '837', '836']
14	1.0	104.0	5	7	3	3	6	4	Roland de Lassus	Missa Doulce memoire: Gloria	573	['573', '363', '583', '835', '583', '835', '538', '853', '368', '837', '836', '725']
14	2.0	106.0	3	6	3	4	8	5	Roland de Lassus	Missa Doulce memoire: Gloria	363	['363', '583', '835', '583', '835', '538', '853', '368', '837', '836', '725', '584']
14	3.0	108.0	5	8	3	4	6	3	Roland de Lassus	Missa Doulce memoire: Gloria	583	['583', '835', '583', '835', '538', '853', '368', '837', '836', '725', '584', '583']
14	4.0	110.0	8	3	5	3	5	3	Roland de Lassus	Missa Doulce memoire: Gloria	835	['835', '583', '835', '538', '853', '368', '837', '836', '725', '584', '583', '838']
15	3.0	116.0	5	8	3	4	6	3	Roland de Lassus	Missa Doulce memoire: Gloria	583	['583', '835', '538', '853', '368', '837', '836', '725', '584', '583', '838', '138']
16	1.0	120.0	8	3	5	3	5	3	Roland de Lassus	Missa Doulce memoire: Gloria	835	['835', '538', '853', '368', '837', '836', '725', '584', '583', '838', '138', '050']
16	2.0	122.0	5	3	8	6	4	6	Roland de Lassus	Missa Doulce memoire: Gloria	538	['538', '853', '368', '837', '836', '725', '584', '583', '838', '138', '050', '060']
16	3.0	124.0	8	5	3	5	3	6	Roland de Lassus	Missa Doulce memoire: Gloria	853	['853', '368', '837', '836', '725', '584', '583', '838', '138', '050', '060', '050']
16	4.0	126.0	3	6	8	4	6	3	Roland de Lassus	Missa Doulce memoire: Gloria	368	['368', '837', '836', '725', '584', '583', '838', '138', '050', '060', '050', '080']
17	1.0	128.0	8	3	7	3	7	5	Roland de Lassus	Missa Doulce memoire: Gloria	837	['837', '836', '725', '584', '583', '838', '138', '050', '060', '050', '080', '030']
17	1.5	129.0	8	3	6	3	6	4	Roland de Lassus	Missa Doulce memoire: Gloria	836	['836', '725', '584', '583', '838', '138', '050', '060', '050', '080', '030', '050']
17	2.5	131.0	7	2	5	3	6	4	Roland de Lassus	Missa Doulce memoire: Gloria	725	['725', '584', '583', '838', '138', '050', '060', '050', '080', '030', '050', '060']
17	3.0	132.0	5	8	4	4	7	4	Roland de Lassus	Missa Doulce memoire: Gloria	584	['584', '583', '838', '138', '050', '060', '050', '080', '030', '050', '060', '030']
17	4.0	134.0	5	8	3	4	6	3	Roland de Lassus	Missa Doulce memoire: Gloria	583	['583', '838', '138', '050', '060', '050', '080', '030', '050', '060', '030', '050']
18	1.0	136.0	8	3	8	3	8	6	Roland de Lassus	Missa Doulce memoire: Gloria	838	['838', '138', '050', '060', '050', '080', '030', '050', '060', '030', '050', '060']
18	2.0	138.0	1	3	8	3	8	6	Roland de Lassus	Missa Doulce memoire: Gloria	138	['138', '050', '060', '050', '080', '030', '050', '060', '030', '050', '060', '070']
18	3.0	140.0	0	5	0	0	0	0	Roland de Lassus	Missa Doulce memoire: Gloria	050	['050', '060', '050', '080', '030', '050', '060', '030', '050', '060', '070', '060']
19	1.0	144.0	0	6	0	0	0	0	Roland de Lassus	Missa Doulce memoire: Gloria	060	['060', '050', '080', '030', '050', '060', '030', '050', '060', '070', '060', '080']
19	2.0	146.0	0	5	0	0	0	0	Roland de Lassus	Missa Doulce memoire: Gloria	050	['050', '080', '030', '050', '060', '030', '050', '060', '070', '060', '080', '583']
19	3.0	148.0	0	8	0	0	0	0	Roland de Lassus	Missa Doulce memoire: Gloria	080	['080', '030', '050', '060', '030', '050', '060', '070', '060', '080', '583', '358']
19	4.0	150.0	0	3	0	0	0	0	Roland de Lassus	Missa Doulce memoire: Gloria	030	['030', '050', '060', '030', '050', '060', '070', '060', '080', '583', '358', '835']
20	1.0	152.0	0	5	0	0	0	0	Roland de Lassus	Missa Doulce memoire: Gloria	050	['050', '060', '030', '050', '060', '070', '060', '080', '583', '358', '835', '358']
20	2.0	154.0	0	6	0	0	0	0	Roland de Lassus	Missa Doulce memoire: Gloria	060	['060', '030', '050', '060', '070', '060', '080', '583', '358', '835', '358', '583']
20	3.0	156.0	0	3	0	0	0	0	Roland de Lassus	Missa Doulce memoire: Gloria	030	['030', '050', '060', '070', '060', '080', '583', '358', '835', '358', '583', '835']
20	4.0	158.0	0	5	0	0	0	0	Roland de Lassus	Missa Doulce memoire: Gloria	050	['050', '060', '070', '060', '080', '583', '358', '835', '358', '583', '835', '583']
20	4.5	159.0	0	6	0	0	0	0	Roland de Lassus	Missa Doulce memoire: Gloria	060	['060', '070', '060', '080', '583', '358', '835', '358', '583', '835', '583', '350']
