Measure,Beat,[Cantus],[Altus],[Quintus],[Tenor],[Bassus],Composer,Title,Ténor
1,1.0,,"('-3', '-3', '5')",,,,Claudio Merulo,Missa Susanne un jour: Kyrie,
1,3.0,"('3', '2', '2')","('-3', '5', '2')",,,,Claudio Merulo,Missa Susanne un jour: Kyrie,
1,4.0,,"('5', '2', '2')",,,,Claudio Merulo,Missa Susanne un jour: Kyrie,
2,1.0,"('2', '2', '1')",,,,,Claudio Merulo,Missa Susanne un jour: Kyrie,
2,2.0,,,"('-3', '-3', '5')",,,Claudio Merulo,Missa Susanne un jour: Kyrie,
2,3.0,,,"('-3', '5', '-2')",,,Claudio Merulo,Missa Susanne un jour: Kyrie,
2,4.0,"('2', '1', '-5')",,"('5', '-2', '-3')",,,Claudio Merulo,Missa Susanne un jour: Kyrie,
3,1.0,,,"('-2', '-3', '2')",,,Claudio Merulo,Missa Susanne un jour: Kyrie,
3,2.0,,,,"('3', '2', '2')",,Claudio Merulo,Missa Susanne un jour: Kyrie,
3,3.0,,,"('-3', '2', '-2')","('2', '2', '-5')",,Claudio Merulo,Missa Susanne un jour: Kyrie,
3,4.0,,,,,"('-3', '-3', '5')",Claudio Merulo,Missa Susanne un jour: Kyrie,
4,1.0,,,,,"('-3', '5', '-3')",Claudio Merulo,Missa Susanne un jour: Kyrie,
4,2.0,,"('3', '2', '2')",,"('2', '-5', '5')","('5', '-3', '-2')",Claudio Merulo,Missa Susanne un jour: Kyrie,
4,3.0,,"('2', '2', '1')",,"('-5', '5', '-2')",,Claudio Merulo,Missa Susanne un jour: Kyrie,
4,4.0,"('-3', '-3', '5')",,,"('5', '-2', '-2')",,Claudio Merulo,Missa Susanne un jour: Kyrie,
5,1.0,"('-3', '5', '-3')",,,"('-2', '-2', '-2')",,Claudio Merulo,Missa Susanne un jour: Kyrie,
5,2.0,"('5', '-3', '3')","('2', '1', '-5')","('-2', '2', '-4')","('-2', '-2', '-2')",,Claudio Merulo,Missa Susanne un jour: Kyrie,
5,3.0,"('-3', '3', '1')","('1', '-5', '8')",,"('-2', '-2', '3')",,Claudio Merulo,Missa Susanne un jour: Kyrie,
5,4.0,,,"('2', '-4', '-2')","('-2', '3', '-3')",,Claudio Merulo,Missa Susanne un jour: Kyrie,
6,1.0,"('3', '1', '2')",,"('-4', '-2', '2')","('3', '-3', '2')",,Claudio Merulo,Missa Susanne un jour: Kyrie,
6,2.0,"('1', '2', '2')","('-5', '8', '-2')","('-2', '2', '3')",,,Claudio Merulo,Missa Susanne un jour: Kyrie,
6,3.0,"('2', '2', '-3')","('8', '-2', '3')",,,,Claudio Merulo,Missa Susanne un jour: Kyrie,
6,4.0,"('2', '-3', '-2')","('-2', '3', '1')","('2', '3', '1')",,,Claudio Merulo,Missa Susanne un jour: Kyrie,
7,1.0,"('-3', '-2', '-2')","('3', '1', '-2')","('3', '1', '-3')",,,Claudio Merulo,Missa Susanne un jour: Kyrie,
7,2.0,"('-2', '-2', '-2')","('1', '-2', '-3')","('1', '-3', '1')",,,Claudio Merulo,Missa Susanne un jour: Kyrie,
7,3.0,"('-2', '-2', '1')","('-2', '-3', '2')","('-3', '1', '-2')",,,Claudio Merulo,Missa Susanne un jour: Kyrie,
7,4.0,,,,,"('1', '2', '2')",Claudio Merulo,Missa Susanne un jour: Kyrie,
8,1.0,,,"('1', '-2', '2')",,"('2', '2', '-5')",Claudio Merulo,Missa Susanne un jour: Kyrie,
8,2.0,,,,,"('2', '-5', '1')",Claudio Merulo,Missa Susanne un jour: Kyrie,
8,3.0,,,,,"('-5', '1', '4')",Claudio Merulo,Missa Susanne un jour: Kyrie,
8,4.0,,,,"('1', '1', '2')",,Claudio Merulo,Missa Susanne un jour: Kyrie,
9,1.0,,,,"('1', '2', '-2')","('1', '4', '-2')",Claudio Merulo,Missa Susanne un jour: Kyrie,
9,2.0,,,,"('2', '-2', '6')","('4', '-2', '-3')",Claudio Merulo,Missa Susanne un jour: Kyrie,
9,3.0,,,,"('-2', '6', '-2')","('-2', '-3', '1')",Claudio Merulo,Missa Susanne un jour: Kyrie,
9,4.0,,"('1', '1', '2')",,"('6', '-2', '-2')","('-3', '1', '4')",Claudio Merulo,Missa Susanne un jour: Kyrie,
10,1.0,,"('1', '2', '-2')",,"('-2', '-2', '3')","('1', '4', '-4')",Claudio Merulo,Missa Susanne un jour: Kyrie,
10,2.0,,"('2', '-2', '-2')","('1', '1', '-3')",,"('4', '-4', '2')",Claudio Merulo,Missa Susanne un jour: Kyrie,
10,2.5,,,,"('-2', '3', '-2')",,Claudio Merulo,Missa Susanne un jour: Kyrie,
10,3.0,,"('-2', '-2', '-2')","('1', '-3', '3')","('3', '-2', '-2')","('-4', '2', '-4')",Claudio Merulo,Missa Susanne un jour: Kyrie,
10,4.0,,"('-2', '-2', '4')","('-3', '3', '-5')",,,Claudio Merulo,Missa Susanne un jour: Kyrie,
11,1.0,,"('-2', '4', '-2')","('3', '-5', '2')",,,Claudio Merulo,Missa Susanne un jour: Kyrie,
11,2.0,"('1', '1', '-3')","('4', '-2', '-2')","('-5', '2', '2')",,,Claudio Merulo,Missa Susanne un jour: Kyrie,
11,3.0,"('1', '-3', '3')","('-2', '-2', '1')",,,,Claudio Merulo,Missa Susanne un jour: Kyrie,
11,4.0,"('-3', '3', '-2')",,,"('1', '1', '2')","('1', '1', '-3')",Claudio Merulo,Missa Susanne un jour: Kyrie,
11,4.5,,"('-2', '1', '-2')",,,,Claudio Merulo,Missa Susanne un jour: Kyrie,
12,1.0,"('3', '-2', '-2')","('1', '-2', '1')",,"('1', '2', '-2')","('1', '-3', '-4')",Claudio Merulo,Missa Susanne un jour: Kyrie,
12,2.0,"('-2', '-2', '1')",,,"('2', '-2', '-2')","('-3', '-4', '5')",Claudio Merulo,Missa Susanne un jour: Kyrie,
12,3.0,"('-2', '1', '-2')","('-2', '1', '-3')",,"('-2', '-2', '-2')","('-4', '5', '-5')",Claudio Merulo,Missa Susanne un jour: Kyrie,
12,3.5,"('1', '-2', '-2')",,,,,Claudio Merulo,Missa Susanne un jour: Kyrie,
12,4.0,"('-2', '-2', '2')",,,"('-2', '-2', '-4')",,Claudio Merulo,Missa Susanne un jour: Kyrie,
13,1.0,,,,"('-2', '-4', '2')",,Claudio Merulo,Missa Susanne un jour: Kyrie,
13,1.5,"('-2', '2', '2')",,,,,Claudio Merulo,Missa Susanne un jour: Kyrie,
13,2.0,,,"('1', '1', '-3')",,,Claudio Merulo,Missa Susanne un jour: Kyrie,
13,3.0,,,"('1', '-3', '2')","('-4', '2', '2')",,Claudio Merulo,Missa Susanne un jour: Kyrie,
13,4.0,,,"('-3', '2', '-2')","('2', '2', '2')",,Claudio Merulo,Missa Susanne un jour: Kyrie,
14,1.0,,,,"('2', '2', '2')",,Claudio Merulo,Missa Susanne un jour: Kyrie,
14,2.0,,"('1', '1', '-2')",,,"('1', '1', '3')",Claudio Merulo,Missa Susanne un jour: Kyrie,
14,2.5,,,,"('2', '2', '2')",,Claudio Merulo,Missa Susanne un jour: Kyrie,
14,3.0,,"('1', '-2', '2')",,"('2', '2', '-2')","('1', '3', '-3')",Claudio Merulo,Missa Susanne un jour: Kyrie,
14,3.5,,,,"('2', '-2', '2')",,Claudio Merulo,Missa Susanne un jour: Kyrie,
14,4.0,"('1', '1', '-2')","('-2', '2', '2')",,"('-2', '2', '2')","('3', '-3', '-4')",Claudio Merulo,Missa Susanne un jour: Kyrie,
15,1.0,"('1', '-2', '2')","('2', '2', '-5')",,,"('-3', '-4', '4')",Claudio Merulo,Missa Susanne un jour: Kyrie,
15,1.5,,,,"('2', '2', '2')",,Claudio Merulo,Missa Susanne un jour: Kyrie,
15,2.0,"('-2', '2', '-3')","('2', '-5', '2')","('3', '-3', '2')","('2', '2', '2')","('-4', '4', '-5')",Claudio Merulo,Missa Susanne un jour: Kyrie,
15,2.5,,,,"('2', '2', '-2')",,Claudio Merulo,Missa Susanne un jour: Kyrie,
15,3.0,"('2', '-3', '5')","('-5', '2', '3')","('-3', '2', '-2')","('2', '-2', '-2')","('4', '-5', '1')",Claudio Merulo,Missa Susanne un jour: Kyrie,
15,4.0,"('-3', '5', '-3')","('2', '3', '-2')","('2', '-2', '-2')","('-2', '-2', '-2')","('-5', '1', '2')",Claudio Merulo,Missa Susanne un jour: Kyrie,
16,1.0,,"('3', '-2', '2')","('-2', '-2', '1')",,"('1', '2', '4')",Claudio Merulo,Missa Susanne un jour: Kyrie,
16,1.5,,,,"('-2', '-2', '1')",,Claudio Merulo,Missa Susanne un jour: Kyrie,
16,2.0,,"('-2', '2', '2')",,,,Claudio Merulo,Missa Susanne un jour: Kyrie,
16,2.5,,,"('-2', '1', '-2')",,,Claudio Merulo,Missa Susanne un jour: Kyrie,
16,4.0,,"('2', '2', '2')",,,,Claudio Merulo,Missa Susanne un jour: Kyrie,
17,1.0,,"('2', '2', '1')",,,,Claudio Merulo,Missa Susanne un jour: Kyrie,
18,1.0,,"('2', '1', '-2')",,,,Claudio Merulo,Missa Susanne un jour: Kyrie,
18,3.0,,"('1', '-2', '-3')",,,,Claudio Merulo,Missa Susanne un jour: Kyrie,
18,4.0,,"('-2', '-3', '2')",,,,Claudio Merulo,Missa Susanne un jour: Kyrie,
19,1.0,,,"('2', '1', '-2')",,,Claudio Merulo,Missa Susanne un jour: Kyrie,
19,3.0,,,"('1', '-2', '-3')",,,Claudio Merulo,Missa Susanne un jour: Kyrie,
19,4.0,,,"('-2', '-3', '2')",,,Claudio Merulo,Missa Susanne un jour: Kyrie,
20,1.0,"('2', '1', '-2')",,"('-3', '2', '-4')",,,Claudio Merulo,Missa Susanne un jour: Kyrie,
20,2.0,,"('2', '2', '1')","('2', '-4', '8')",,,Claudio Merulo,Missa Susanne un jour: Kyrie,
20,3.0,"('1', '-2', '-5')",,"('-4', '8', '1')",,,Claudio Merulo,Missa Susanne un jour: Kyrie,
20,4.0,"('-2', '-5', '2')","('2', '1', '-3')",,,,Claudio Merulo,Missa Susanne un jour: Kyrie,
21,1.0,"('-5', '2', '2')","('1', '-3', '2')","('8', '1', '-2')","('2', '1', '-2')",,Claudio Merulo,Missa Susanne un jour: Kyrie,
21,2.0,"('2', '2', '2')",,,,,Claudio Merulo,Missa Susanne un jour: Kyrie,
21,3.0,,,"('1', '-2', '-2')","('1', '-2', '-2')",,Claudio Merulo,Missa Susanne un jour: Kyrie,
21,3.5,"('2', '2', '2')",,,,,Claudio Merulo,Missa Susanne un jour: Kyrie,
21,4.0,"('2', '2', '-4')",,"('-2', '-2', '2')",,,Claudio Merulo,Missa Susanne un jour: Kyrie,
21,4.5,"('2', '-4', '1')",,,,,Claudio Merulo,Missa Susanne un jour: Kyrie,
22,1.0,"('-4', '1', '1')",,,,,Claudio Merulo,Missa Susanne un jour: Kyrie,
22,2.0,"('1', '1', '4')",,"('-2', '2', '2')",,,Claudio Merulo,Missa Susanne un jour: Kyrie,
22,3.0,"('1', '4', '1')",,"('2', '2', '2')",,"('2', '1', '-2')",Claudio Merulo,Missa Susanne un jour: Kyrie,
22,4.0,"('4', '1', '-2')",,,,,Claudio Merulo,Missa Susanne un jour: Kyrie,
23,1.0,"('1', '-2', '2')",,,,"('1', '-2', '-5')",Claudio Merulo,Missa Susanne un jour: Kyrie,
23,2.0,"('-2', '2', '-4')",,,"('2', '2', '1')","('-2', '-5', '1')",Claudio Merulo,Missa Susanne un jour: Kyrie,
23,3.0,,,,"('2', '1', '2')","('-5', '1', '1')",Claudio Merulo,Missa Susanne un jour: Kyrie,
23,4.0,,,,,"('1', '1', '4')",Claudio Merulo,Missa Susanne un jour: Kyrie,
24,1.0,,,,,"('1', '4', '-4')",Claudio Merulo,Missa Susanne un jour: Kyrie,
24,2.0,,"('2', '1', '-2')","('2', '2', '1')",,,Claudio Merulo,Missa Susanne un jour: Kyrie,
24,3.0,,"('1', '-2', '-5')",,,,Claudio Merulo,Missa Susanne un jour: Kyrie,
24,4.0,,"('-2', '-5', '2')","('2', '1', '-3')",,,Claudio Merulo,Missa Susanne un jour: Kyrie,
25,1.0,,"('-5', '2', '2')","('1', '-3', '2')",,,Claudio Merulo,Missa Susanne un jour: Kyrie,
25,2.0,"('1', '1', '-2')","('2', '2', '2')",,"('2', '1', '-2')",,Claudio Merulo,Missa Susanne un jour: Kyrie,
25,3.0,"('1', '-2', '1')",,,"('1', '-2', '4')",,Claudio Merulo,Missa Susanne un jour: Kyrie,
25,3.5,,"('2', '2', '2')",,,,Claudio Merulo,Missa Susanne un jour: Kyrie,
25,4.0,"('-2', '1', '2')","('2', '2', '-2')",,,,Claudio Merulo,Missa Susanne un jour: Kyrie,
25,4.5,,"('2', '-2', '-2')",,,,Claudio Merulo,Missa Susanne un jour: Kyrie,
26,1.0,"('1', '2', '-3')","('-2', '-2', '1')",,,,Claudio Merulo,Missa Susanne un jour: Kyrie,
26,2.0,"('2', '-3', '1')",,,,"('2', '1', '-3')",Claudio Merulo,Missa Susanne un jour: Kyrie,
26,2.5,,"('-2', '1', '2')",,,,Claudio Merulo,Missa Susanne un jour: Kyrie,
26,3.0,"('-3', '1', '1')","('1', '2', '-2')",,,"('1', '-3', '2')",Claudio Merulo,Missa Susanne un jour: Kyrie,
26,4.0,"('1', '1', '-2')","('2', '-2', '-2')","('1', '1', '-2')",,"('-3', '2', '-5')",Claudio Merulo,Missa Susanne un jour: Kyrie,
27,1.0,"('1', '-2', '1')","('-2', '-2', '-2')","('1', '-2', '1')",,"('2', '-5', '1')",Claudio Merulo,Missa Susanne un jour: Kyrie,
27,2.0,,,"('-2', '1', '2')",,,Claudio Merulo,Missa Susanne un jour: Kyrie,
27,3.0,,,"('1', '2', '3')",,"('-5', '1', '-2')",Claudio Merulo,Missa Susanne un jour: Kyrie,
27,4.0,,,"('2', '3', '-2')","('2', '-3', '2')",,Claudio Merulo,Missa Susanne un jour: Kyrie,
28,1.0,,,"('3', '-2', '-2')","('-3', '2', '2')","('1', '-2', '2')",Claudio Merulo,Missa Susanne un jour: Kyrie,
28,2.0,,,"('-2', '-2', '-2')","('2', '2', '-2')","('-2', '2', '5')",Claudio Merulo,Missa Susanne un jour: Kyrie,
28,3.0,,,"('-2', '-2', '2')",,"('2', '5', '-5')",Claudio Merulo,Missa Susanne un jour: Kyrie,
28,4.0,,"('-4', '2', '1')",,,"('5', '-5', '4')",Claudio Merulo,Missa Susanne un jour: Kyrie,
29,1.0,,,,,"('-5', '4', '-5')",Claudio Merulo,Missa Susanne un jour: Kyrie,
29,2.0,"('1', '2', '3')","('2', '1', '2')",,,,Claudio Merulo,Missa Susanne un jour: Kyrie,
29,3.0,,"('1', '2', '-3')",,,"('4', '-5', '2')",Claudio Merulo,Missa Susanne un jour: Kyrie,
29,4.0,"('2', '3', '-2')","('2', '-3', '-2')",,"('-3', '2', '-2')",,Claudio Merulo,Missa Susanne un jour: Kyrie,
30,1.0,"('3', '-2', '-4')",,,,"('-5', '2', '4')",Claudio Merulo,Missa Susanne un jour: Kyrie,
30,2.0,"('-2', '-4', '5')",,"('2', '3', '-2')","('2', '-2', '-2')",,Claudio Merulo,Missa Susanne un jour: Kyrie,
30,3.0,"('-4', '5', '-4')",,"('3', '-2', '2')","('-2', '-2', '4')","('2', '4', '-5')",Claudio Merulo,Missa Susanne un jour: Kyrie,
30,4.0,"('5', '-4', '2')",,"('-2', '2', '1')",,,Claudio Merulo,Missa Susanne un jour: Kyrie,
30,4.5,,,,"('-2', '4', '-5')",,Claudio Merulo,Missa Susanne un jour: Kyrie,
31,1.0,,,,"('4', '-5', '4')","('4', '-5', '5')",Claudio Merulo,Missa Susanne un jour: Kyrie,
31,2.0,,,,"('-5', '4', '-4')",,Claudio Merulo,Missa Susanne un jour: Kyrie,
31,3.0,,,,,"('-5', '5', '1')",Claudio Merulo,Missa Susanne un jour: Kyrie,
31,4.0,,"('2', '-2', '6')",,"('4', '-4', '2')",,Claudio Merulo,Missa Susanne un jour: Kyrie,
32,1.0,,"('-2', '6', '-2')",,"('-4', '2', '2')","('5', '1', '-4')",Claudio Merulo,Missa Susanne un jour: Kyrie,
32,2.0,"('2', '1', '1')",,,"('2', '2', '2')",,Claudio Merulo,Missa Susanne un jour: Kyrie,
32,2.5,,,,"('2', '2', '2')",,Claudio Merulo,Missa Susanne un jour: Kyrie,
32,3.0,"('1', '1', '-4')","('6', '-2', '-5')",,"('2', '2', '1')","('1', '-4', '4')",Claudio Merulo,Missa Susanne un jour: Kyrie,
32,4.0,"('1', '-4', '2')","('-2', '-5', '4')","('-2', '2', '-4')",,"('-4', '4', '2')",Claudio Merulo,Missa Susanne un jour: Kyrie,
33,1.0,"('-4', '2', '-4')","('-5', '4', '-2')",,,"('4', '2', '2')",Claudio Merulo,Missa Susanne un jour: Kyrie,
33,2.0,"('2', '-4', '8')",,"('2', '-4', '1')",,,Claudio Merulo,Missa Susanne un jour: Kyrie,
33,3.0,"('-4', '8', '-2')","('4', '-2', '4')","('-4', '1', '-2')",,"('2', '2', '-4')",Claudio Merulo,Missa Susanne un jour: Kyrie,
33,4.0,,"('-2', '4', '-2')",,,,Claudio Merulo,Missa Susanne un jour: Kyrie,
33,4.5,,,,,"('2', '-4', '-4')",Claudio Merulo,Missa Susanne un jour: Kyrie,
34,1.0,,"('4', '-2', '-2')",,,"('-4', '-4', '4')",Claudio Merulo,Missa Susanne un jour: Kyrie,
34,2.0,"('8', '-2', '2')","('-2', '-2', '4')",,,,Claudio Merulo,Missa Susanne un jour: Kyrie,
34,3.0,,,,,"('-4', '4', '-2')",Claudio Merulo,Missa Susanne un jour: Kyrie,
34,4.0,"('-2', '2', '-4')","('-2', '4', '-2')",,"('-4', '2', '3')",,Claudio Merulo,Missa Susanne un jour: Kyrie,
35,1.0,,"('4', '-2', '-2')",,,"('4', '-2', '-2')",Claudio Merulo,Missa Susanne un jour: Kyrie,
35,2.0,"('2', '-4', '4')","('-2', '-2', '-2')","('-3', '4', '-5')","('2', '3', '-2')",,Claudio Merulo,Missa Susanne un jour: Kyrie,
35,2.5,,"('-2', '-2', '2')",,,,Claudio Merulo,Missa Susanne un jour: Kyrie,
35,3.0,"('-4', '4', '-2')","('-2', '2', '-5')",,"('3', '-2', '2')","('-2', '-2', '-2')",Claudio Merulo,Missa Susanne un jour: Kyrie,
35,3.5,,"('2', '-5', '4')",,,,Claudio Merulo,Missa Susanne un jour: Kyrie,
35,4.0,"('4', '-2', '-2')",,"('4', '-5', '8')","('-2', '2', '2')",,Claudio Merulo,Missa Susanne un jour: Kyrie,
35,4.5,,,,,"('-2', '-2', '-2')",Claudio Merulo,Missa Susanne un jour: Kyrie,
36,1.0,"('-2', '-2', '-2')",,"('-5', '8', '-5')",,"('-2', '-2', '2')",Claudio Merulo,Missa Susanne un jour: Kyrie,
36,2.0,,,,"('2', '2', '2')",,Claudio Merulo,Missa Susanne un jour: Kyrie,
36,3.0,"('-2', '-2', '-2')",,"('8', '-5', '2')","('2', '2', '-2')","('-2', '2', '5')",Claudio Merulo,Missa Susanne un jour: Kyrie,
36,4.0,"('-2', '-2', '2')",,"('-5', '2', '2')","('2', '-2', '-3')","('2', '5', '-2')",Claudio Merulo,Missa Susanne un jour: Kyrie,
37,1.0,"('-2', '2', '2')",,,"('-2', '-3', '-3')","('5', '-2', '2')",Claudio Merulo,Missa Susanne un jour: Kyrie,
37,2.0,,"('3', '-2', '-2')","('2', '2', '-2')",,,Claudio Merulo,Missa Susanne un jour: Kyrie,
37,3.0,"('2', '2', '1')",,"('2', '-2', '1')","('-3', '-3', '2')","('-2', '2', '-4')",Claudio Merulo,Missa Susanne un jour: Kyrie,
37,4.0,,"('-2', '-2', '-2')",,"('-3', '2', '2')",,Claudio Merulo,Missa Susanne un jour: Kyrie,
38,1.0,,,,"('2', '2', '-2')",,Claudio Merulo,Missa Susanne un jour: Kyrie,
38,2.0,,"('-2', '-2', '3')",,,,Claudio Merulo,Missa Susanne un jour: Kyrie,
38,3.0,,"('-2', '3', '1')",,,,Claudio Merulo,Missa Susanne un jour: Kyrie,
39,1.0,,"('3', '1', '1')",,,,Claudio Merulo,Missa Susanne un jour: Kyrie,
40,1.0,,"('1', '1', '2')",,,,Claudio Merulo,Missa Susanne un jour: Kyrie,
40,3.0,,"('1', '2', '-2')","('1', '1', '2')",,,Claudio Merulo,Missa Susanne un jour: Kyrie,
40,4.0,,"('2', '-2', '-2')",,,,Claudio Merulo,Missa Susanne un jour: Kyrie,
41,1.0,,"('-2', '-2', '-2')","('1', '2', '-2')",,,Claudio Merulo,Missa Susanne un jour: Kyrie,
41,2.0,,"('-2', '-2', '2')","('2', '-2', '-2')",,,Claudio Merulo,Missa Susanne un jour: Kyrie,
41,3.0,,"('-2', '2', '2')","('-2', '-2', '-2')",,,Claudio Merulo,Missa Susanne un jour: Kyrie,
41,4.0,,"('2', '2', '2')","('-2', '-2', '-3')",,,Claudio Merulo,Missa Susanne un jour: Kyrie,
42,1.0,,"('2', '2', '1')","('-2', '-3', '3')",,,Claudio Merulo,Missa Susanne un jour: Kyrie,
42,2.0,,"('2', '1', '-4')",,,,Claudio Merulo,Missa Susanne un jour: Kyrie,
42,3.0,"('1', '1', '2')","('1', '-4', '4')","('-3', '3', '-3')",,,Claudio Merulo,Missa Susanne un jour: Kyrie,
42,4.0,,"('-4', '4', '-3')","('3', '-3', '4')",,,Claudio Merulo,Missa Susanne un jour: Kyrie,
43,1.0,"('1', '2', '-2')","('4', '-3', '2')","('-3', '4', '-2')",,,Claudio Merulo,Missa Susanne un jour: Kyrie,
43,2.0,"('2', '-2', '-2')","('-3', '2', '2')",,,,Claudio Merulo,Missa Susanne un jour: Kyrie,
43,2.5,,,"('4', '-2', '5')",,,Claudio Merulo,Missa Susanne un jour: Kyrie,
43,3.0,"('-2', '-2', '-2')","('2', '2', '-2')","('-2', '5', '-5')",,,Claudio Merulo,Missa Susanne un jour: Kyrie,
43,3.5,,"('2', '-2', '-2')",,,,Claudio Merulo,Missa Susanne un jour: Kyrie,
43,4.0,,"('-2', '-2', '2')","('5', '-5', '1')",,,Claudio Merulo,Missa Susanne un jour: Kyrie,
44,1.0,,,"('-5', '1', '-4')",,,Claudio Merulo,Missa Susanne un jour: Kyrie,
44,1.5,,"('-2', '2', '2')",,,,Claudio Merulo,Missa Susanne un jour: Kyrie,
44,1.75,,"('2', '2', '-4')",,,,Claudio Merulo,Missa Susanne un jour: Kyrie,
44,2.0,,"('2', '-4', '1')",,,,Claudio Merulo,Missa Susanne un jour: Kyrie,
44,3.0,,"('-4', '1', '1')","('1', '-4', '4')",,,Claudio Merulo,Missa Susanne un jour: Kyrie,
44,4.0,,"('1', '1', '2')","('-4', '4', '-3')","('1', '1', '2')","('1', '1', '4')",Claudio Merulo,Missa Susanne un jour: Kyrie,
45,1.0,,"('1', '2', '-2')","('4', '-3', '2')","('1', '2', '-2')","('1', '4', '-4')",Claudio Merulo,Missa Susanne un jour: Kyrie,
45,2.0,,"('2', '-2', '1')","('-3', '2', '2')","('2', '-2', '-2')","('4', '-4', '5')",Claudio Merulo,Missa Susanne un jour: Kyrie,
45,3.0,,"('-2', '1', '-3')","('2', '2', '-2')","('-2', '-2', '-2')","('-4', '5', '-5')",Claudio Merulo,Missa Susanne un jour: Kyrie,
45,3.5,,,"('2', '-2', '-2')",,,Claudio Merulo,Missa Susanne un jour: Kyrie,
45,4.0,,"('1', '-3', '6')","('-2', '-2', '2')","('-2', '-2', '5')",,Claudio Merulo,Missa Susanne un jour: Kyrie,
46,1.0,,"('-3', '6', '1')",,"('-2', '5', '1')",,Claudio Merulo,Missa Susanne un jour: Kyrie,
46,1.5,,,"('-2', '2', '2')",,,Claudio Merulo,Missa Susanne un jour: Kyrie,
46,3.0,,"('6', '1', '1')",,"('5', '1', '1')",,Claudio Merulo,Missa Susanne un jour: Kyrie,
46,4.0,"('1', '1', '-2')","('1', '1', '-2')",,"('1', '1', '-8')",,Claudio Merulo,Missa Susanne un jour: Kyrie,
47,1.0,"('1', '-2', '-2')","('1', '-2', '-2')",,"('1', '-8', '2')",,Claudio Merulo,Missa Susanne un jour: Kyrie,
47,2.0,"('-2', '-2', '-2')","('-2', '-2', '-2')",,"('-8', '2', '5')",,Claudio Merulo,Missa Susanne un jour: Kyrie,
47,3.0,"('-2', '-2', '-2')","('-2', '-2', '4')",,"('2', '5', '2')",,Claudio Merulo,Missa Susanne un jour: Kyrie,
47,4.0,"('-2', '-2', '4')","('-2', '4', '-2')",,"('5', '2', '-3')",,Claudio Merulo,Missa Susanne un jour: Kyrie,
48,1.0,"('-2', '4', '-2')","('4', '-2', '-2')",,"('2', '-3', '2')",,Claudio Merulo,Missa Susanne un jour: Kyrie,
48,2.0,"('4', '-2', '-2')","('-2', '-2', '1')",,"('-3', '2', '-5')",,Claudio Merulo,Missa Susanne un jour: Kyrie,
48,3.0,"('-2', '-2', '-2')","('-2', '1', '-2')",,"('2', '-5', '8')",,Claudio Merulo,Missa Susanne un jour: Kyrie,
48,3.5,,"('1', '-2', '2')",,,,Claudio Merulo,Missa Susanne un jour: Kyrie,
48,4.0,,"('-2', '2', '3')",,,,Claudio Merulo,Missa Susanne un jour: Kyrie,
49,1.0,,,,"('-5', '8', '-2')",,Claudio Merulo,Missa Susanne un jour: Kyrie,
49,2.0,,"('2', '3', '1')",,,,Claudio Merulo,Missa Susanne un jour: Kyrie,
49,3.0,,"('3', '1', '1')",,"('8', '-2', '1')",,Claudio Merulo,Missa Susanne un jour: Kyrie,
49,4.0,,"('1', '1', '-2')","('1', '1', '-2')","('-2', '1', '-3')","('3', '1', '-4')",Claudio Merulo,Missa Susanne un jour: Kyrie,
50,1.0,,"('1', '-2', '-2')","('1', '-2', '-2')","('1', '-3', '-3')","('1', '-4', '2')",Claudio Merulo,Missa Susanne un jour: Kyrie,
50,2.0,,"('-2', '-2', '-2')","('-2', '-2', '-2')",,"('-4', '2', '-4')",Claudio Merulo,Missa Susanne un jour: Kyrie,
50,3.0,,"('-2', '-2', '4')","('-2', '-2', '-2')","('-3', '-3', '4')","('2', '-4', '2')",Claudio Merulo,Missa Susanne un jour: Kyrie,
50,4.0,,"('-2', '4', '-2')","('-2', '-2', '4')","('-3', '4', '-2')","('-4', '2', '-3')",Claudio Merulo,Missa Susanne un jour: Kyrie,
51,1.0,,"('4', '-2', '-2')","('-2', '4', '-2')",,"('2', '-3', '1')",Claudio Merulo,Missa Susanne un jour: Kyrie,
51,2.0,,"('-2', '-2', '1')","('4', '-2', '-2')","('4', '-2', '1')","('-3', '1', '2')",Claudio Merulo,Missa Susanne un jour: Kyrie,
51,3.0,,"('-2', '1', '-2')","('-2', '-2', '1')","('-2', '1', '-5')","('1', '2', '4')",Claudio Merulo,Missa Susanne un jour: Kyrie,
51,3.5,,"('1', '-2', '2')",,,,Claudio Merulo,Missa Susanne un jour: Kyrie,
51,4.0,,"('-2', '2', '1')",,,,Claudio Merulo,Missa Susanne un jour: Kyrie,
51,4.5,,,"('-2', '1', '2')",,,Claudio Merulo,Missa Susanne un jour: Kyrie,
52,1.0,,,"('1', '2', '2')","('1', '-5', '5')",,Claudio Merulo,Missa Susanne un jour: Kyrie,
52,2.0,,"('2', '1', '3')","('2', '2', '2')",,,Claudio Merulo,Missa Susanne un jour: Kyrie,
52,3.0,,"('1', '3', '1')",,,,Claudio Merulo,Missa Susanne un jour: Kyrie,
52,4.0,,"('3', '1', '-4')",,"('-5', '5', '1')",,Claudio Merulo,Missa Susanne un jour: Kyrie,
53,1.0,,"('1', '-4', '2')",,"('5', '1', '1')",,Claudio Merulo,Missa Susanne un jour: Kyrie,
53,2.0,"('3', '1', '-4')","('-4', '2', '2')",,"('1', '1', '-2')","('3', '1', '-4')",Claudio Merulo,Missa Susanne un jour: Kyrie,
