,Composer,Title,Measure,Beat,CadType,Tone,Evaded,LeadingTones,Low,RelLow,RelTone,Progress,SinceLast,ToNext,Validation,Comments
0,Annibale Padovano,"Domina, a lingua dolosa",21,1.0,Authentic,G,False,1.0,G2,-M9,-M2,0.1932367149758454,160.0,160.0,,
1,Annibale Padovano,"Domina, a lingua dolosa",37,1.0,,C,,,C3,-M6,-M6,0.3864734299516908,160.0,24.0,,
2,Annibale Padovano,"Domina, a lingua dolosa",39,1.0,Authentic,A,False,1.0,A2,-P8,P1,0.41545893719806765,24.0,24.0,,
3,Annibale Padovano,"Domina, a lingua dolosa",41,1.0,Authentic,A,False,1.0,A3,P1,P1,0.4444444444444444,24.0,88.0,,
4,Annibale Padovano,"Domina, a lingua dolosa",52,1.0,Clausula Vera,A,False,1.0,A2,-P8,P1,0.5507246376811594,88.0,12.0,,
5,Annibale Padovano,"Domina, a lingua dolosa",53,3.0,Phrygian,E,False,1.0,E4,P5,-P4,0.5652173913043478,12.0,12.0,,
6,Annibale Padovano,"Domina, a lingua dolosa",55,1.0,,A,,,A2,-P8,P1,0.5797101449275363,12.0,20.0,,
7,Annibale Padovano,"Domina, a lingua dolosa",57,3.0,Authentic,A,False,1.0,A3,P1,P1,0.6038647342995169,20.0,20.0,,
8,Annibale Padovano,"Domina, a lingua dolosa",60,1.0,Authentic,A,False,1.0,A2,-P8,P1,0.6280193236714976,20.0,44.0,,
9,Annibale Padovano,"Domina, a lingua dolosa",65,3.0,Clausula Vera,G,False,0.0,G3,-M2,-M2,0.6811594202898551,44.0,4.0,,
10,Annibale Padovano,"Domina, a lingua dolosa",66,1.0,Authentic,C,False,1.0,C3,-M6,-M6,0.6859903381642513,4.0,20.0,,
11,Annibale Padovano,"Domina, a lingua dolosa",68,3.0,Authentic,,True,-1.0,A2,-P8,,0.7101449275362319,20.0,8.0,,
12,Annibale Padovano,"Domina, a lingua dolosa",69,3.0,Authentic,A,False,1.0,A3,P1,P1,0.7198067632850241,8.0,60.0,,
13,Annibale Padovano,"Domina, a lingua dolosa",77,1.0,Authentic,C,False,1.0,C4,m3,-M6,0.7922705314009661,60.0,96.0,,
14,Annibale Padovano,"Domina, a lingua dolosa",85,1.0,Authentic,C,False,1.0,C3,-M6,-M6,0.9082125603864735,96.0,24.0,,
15,Annibale Padovano,"Domina, a lingua dolosa",87,1.0,Authentic,A,False,1.0,A2,-P8,P1,0.9371980676328503,24.0,24.0,,
16,Annibale Padovano,"Domina, a lingua dolosa",89,1.0,Authentic,A,False,1.0,A3,P1,P1,0.966183574879227,24.0,44.0,,
17,Annibale Padovano,"MIssa Domina, a lingua dolosa: Kyrie",22,1.0,,A,,,A3,P1,P1,0.23595505617977527,168.0,16.0,,
18,Annibale Padovano,"MIssa Domina, a lingua dolosa: Kyrie",24,1.0,Authentic,A,False,1.0,A2,-P8,P1,0.25842696629213485,16.0,48.0,,
19,Annibale Padovano,"MIssa Domina, a lingua dolosa: Kyrie",30,1.0,Clausula Vera,A,False,1.0,A2,-P8,P1,0.3258426966292135,48.0,12.0,,
20,Annibale Padovano,"MIssa Domina, a lingua dolosa: Kyrie",31,3.0,Phrygian,E,False,1.0,E4,P5,-P4,0.34269662921348315,12.0,12.0,,
21,Annibale Padovano,"MIssa Domina, a lingua dolosa: Kyrie",33,1.0,,A,,,A2,-P8,P1,0.3595505617977528,12.0,20.0,,
22,Annibale Padovano,"MIssa Domina, a lingua dolosa: Kyrie",35,3.0,Clausula Vera,A,False,1.0,A3,P1,P1,0.38764044943820225,20.0,20.0,,
23,Annibale Padovano,"MIssa Domina, a lingua dolosa: Kyrie",38,1.0,Authentic,A,False,1.0,A2,-P8,P1,0.4157303370786517,20.0,22.0,,
24,Annibale Padovano,"MIssa Domina, a lingua dolosa: Kyrie",40,4.0,Clausula Vera,G,True,1.0,G3,-M2,-M2,0.44662921348314605,22.0,10.0,,
25,Annibale Padovano,"MIssa Domina, a lingua dolosa: Kyrie",42,1.0,Clausula Vera,G,False,1.0,G3,-M2,-M2,0.4606741573033708,10.0,4.0,,
26,Annibale Padovano,"MIssa Domina, a lingua dolosa: Kyrie",42,3.0,Authentic,C,False,1.0,C3,-M6,-M6,0.46629213483146065,4.0,20.0,,
27,Annibale Padovano,"MIssa Domina, a lingua dolosa: Kyrie",45,1.0,Authentic,,True,-1.0,A2,-P8,,0.4943820224719101,20.0,8.0,,
28,Annibale Padovano,"MIssa Domina, a lingua dolosa: Kyrie",46,1.0,Authentic,A,False,1.0,A3,P1,P1,0.5056179775280899,8.0,12.0,,
29,Annibale Padovano,"MIssa Domina, a lingua dolosa: Kyrie",47,3.0,Clausula Vera,D,True,1.0,D3,-P5,-P5,0.5224719101123596,12.0,52.0,,
30,Annibale Padovano,"MIssa Domina, a lingua dolosa: Kyrie",54,1.0,Phrygian,A,False,1.0,A3,P1,P1,0.5955056179775281,52.0,18.0,,
31,Annibale Padovano,"MIssa Domina, a lingua dolosa: Kyrie",56,2.0,Authentic,A,False,1.0,A2,-P8,P1,0.6207865168539326,18.0,42.0,,
32,Annibale Padovano,"MIssa Domina, a lingua dolosa: Kyrie",61,3.0,Authentic,A,False,1.0,A2,-P8,P1,0.6797752808988764,42.0,60.0,,
33,Annibale Padovano,"MIssa Domina, a lingua dolosa: Kyrie",69,1.0,Authentic,C,False,1.0,C4,m3,-M6,0.7640449438202247,60.0,96.0,,
34,Annibale Padovano,"MIssa Domina, a lingua dolosa: Kyrie",77,1.0,,C,,,C3,-M6,-M6,0.898876404494382,96.0,24.0,,
35,Annibale Padovano,"MIssa Domina, a lingua dolosa: Kyrie",79,1.0,Authentic,A,False,1.0,A2,-P8,P1,0.9325842696629213,24.0,24.0,,
36,Annibale Padovano,"MIssa Domina, a lingua dolosa: Kyrie",81,1.0,Authentic,A,False,1.0,A3,P1,P1,0.9662921348314607,24.0,40.0,,
