Measure	Beat	Offset	figures
142	3.0	1180.0	583
143	1.0	1184.0	835
143	4.0	1190.0	358
144	1.0	1192.0	583
144	3.0	1196.0	835
145	1.0	1200.0	000
145	3.0	1204.0	583
146	1.0	1208.0	358
146	2.0	1210.0	583
146	3.0	1212.0	358
147	1.0	1216.0	583
147	3.0	1220.0	835
148	2.0	1226.0	583
148	3.0	1228.0	835
149	1.0	1232.0	583
149	3.0	1236.0	853
150	1.0	1240.0	538
150	1.5	1241.0	532
150	2.0	1242.0	533
150	2.5	1243.0	534
150	3.0	1244.0	835
150	4.0	1246.0	358
151	1.0	1248.0	584
151	2.0	1250.0	583
151	3.0	1252.0	838
151	4.0	1254.0	538
152	3.0	1260.0	053
152	4.0	1262.0	853
152	4.5	1263.0	852
153	1.0	1264.0	853
153	1.5	1265.0	854
153	2.0	1266.0	385
153	2.5	1267.0	383
153	3.0	1268.0	853
153	3.5	1269.0	854
153	4.0	1270.0	835
153	4.5	1271.0	735
154	1.0	1272.0	584
154	2.0	1274.0	583
154	3.0	1276.0	838
154	4.0	1278.0	833
154	4.5	1279.0	823
155	1.0	1280.0	038
155	1.5	1281.0	047
155	2.0	1282.0	583
155	2.5	1283.0	472
1	1.0	0.0	058
1	2.5	3.0	052
1	3.0	4.0	583
1	3.5	5.0	584
1	4.0	6.0	583
1	4.5	7.0	472
2	1.0	8.0	358
2	2.0	10.0	583
2	3.0	12.0	358
3	1.0	16.0	583
3	3.0	20.0	058
4	1.0	24.0	853
4	2.5	27.0	854
4	3.0	28.0	603
4	4.0	30.0	638
4	4.5	31.0	527
5	1.0	32.0	335
5	2.0	34.0	453
5	2.5	35.0	363
5	3.0	36.0	584
5	4.0	38.0	583
6	1.0	40.0	838
6	2.0	42.0	358
6	3.0	44.0	583
6	4.0	46.0	358
6	4.5	47.0	357
7	1.0	48.0	853
7	2.0	50.0	835
7	3.0	52.0	583
7	3.5	53.0	483
7	4.0	54.0	358
7	4.5	55.0	362
8	1.0	56.0	583
8	2.0	58.0	835
8	3.0	60.0	458
8	4.0	62.0	358
9	1.0	64.0	583
9	3.0	68.0	353
10	1.0	72.0	583
11	3.0	84.0	835
11	3.5	85.0	724
11	4.0	86.0	683
11	4.5	87.0	572
12	1.0	88.0	358
12	2.0	90.0	583
12	3.0	92.0	636
12	4.0	94.0	853
13	1.0	96.0	385
13	2.0	98.0	484
13	3.0	100.0	584
13	4.0	102.0	583
14	1.0	104.0	858
14	2.0	106.0	853
15	1.0	112.0	355
15	3.0	116.0	583
16	3.0	124.0	835
16	3.5	125.0	724
16	4.0	126.0	683
16	4.5	127.0	572
17	1.0	128.0	358
17	2.0	130.0	583
17	3.0	132.0	636
17	4.0	134.0	853
18	1.0	136.0	385
18	2.0	138.0	684
18	3.0	140.0	584
18	4.0	142.0	583
19	1.0	144.0	838
20	1.0	152.0	583
21	1.0	160.0	358
21	3.0	164.0	583
21	4.5	167.0	472
22	1.0	168.0	358
22	1.5	169.0	352
22	2.0	170.0	363
22	3.0	172.0	583
22	4.0	174.0	836
23	1.0	176.0	355
23	1.5	177.0	354
23	2.0	178.0	353
23	2.5	179.0	352
23	3.0	180.0	353
23	4.0	182.0	363
24	1.0	184.0	583
25	1.0	200.0	358
26	1.0	208.0	583
27	1.0	216.0	358
27	3.0	220.0	373
27	4.0	222.0	363
27	4.5	223.0	353
28	1.0	224.0	363
28	3.0	228.0	583
29	1.0	232.0	835
30	1.0	240.0	458
30	2.0	242.0	358
30	2.5	243.0	258
30	3.0	244.0	358
31	1.0	248.0	835
31	2.0	250.0	358
31	3.5	253.0	583
32	1.0	256.0	358
32	3.0	260.0	583
32	4.0	262.0	835
33	1.5	265.0	538
33	3.0	268.0	485
33	4.0	270.0	385
34	1.0	272.0	853
34	2.0	274.0	583
34	3.5	277.0	358
34	4.0	278.0	835
35	1.0	280.0	583
35	2.0	282.0	684
35	3.0	284.0	584
35	4.0	286.0	583
36	1.0	288.0	158
37	1.0	304.0	000
38	3.0	316.0	003
38	3.5	317.0	004
38	4.0	318.0	005
38	4.5	319.0	004
39	1.0	320.0	003
39	1.5	321.0	002
39	2.0	322.0	008
39	2.5	323.0	007
39	3.0	324.0	005
39	3.5	325.0	004
39	4.0	326.0	005
39	4.5	327.0	006
40	1.0	328.0	036
40	2.0	330.0	035
40	2.5	331.0	034
40	3.0	332.0	035
40	4.0	334.0	038
41	1.0	336.0	083
41	3.0	340.0	535
41	4.0	342.0	583
41	4.5	343.0	582
42	1.0	344.0	853
42	1.5	345.0	854
42	2.0	346.0	385
42	2.5	347.0	383
42	3.0	348.0	853
42	3.5	349.0	854
42	4.0	350.0	835
42	4.5	351.0	735
43	1.0	352.0	584
43	1.5	353.0	484
43	2.0	354.0	583
43	3.0	356.0	838
43	4.0	358.0	848
43	4.333333333333343	1076/3	858
44	1.0	360.0	003
44	1.5	361.0	002
44	2.0	362.0	083
44	2.5	363.0	082
44	3.0	364.0	083
44	3.5	365.0	073
44	4.0	366.0	053
44	4.5	367.0	063
45	1.0	368.0	068
45	2.0	370.0	058
45	2.5	371.0	057
45	3.0	372.0	045
45	4.0	374.0	035
46	1.0	376.0	083
46	2.0	378.0	035
46	3.0	380.0	583
46	3.5	381.0	582
46	4.0	382.0	583
46	4.5	383.0	484
47	1.0	384.0	355
47	1.5	385.0	255
47	2.0	386.0	355
47	3.0	388.0	583
47	4.5	391.0	573
48	1.0	392.0	458
48	1.5	393.0	448
48	2.0	394.0	358
48	3.0	396.0	835
48	3.5	397.0	834
48	4.0	398.0	583
49	1.0	400.0	035
49	2.0	402.0	835
49	2.5	403.0	845
49	3.0	404.0	358
49	4.0	406.0	368
50	1.0	408.0	836
50	2.0	410.0	835
50	2.5	411.0	735
50	3.0	412.0	584
50	4.0	414.0	583
51	1.0	416.0	358
51	1.5	417.0	352
51	2.0	418.0	583
51	2.5	419.0	522
51	3.0	420.0	538
51	3.5	421.0	527
51	4.0	422.0	386
51	4.5	423.0	375
52	1.0	424.0	853
52	1.5	425.0	854
52	2.0	426.0	835
52	2.5	427.0	735
52	3.0	428.0	584
52	4.0	430.0	583
53	1.0	432.0	158
54	1.0	448.0	000
55	1.0	456.0	005
55	3.0	460.0	006
56	1.0	464.0	005
56	3.0	468.0	003
57	1.0	472.0	001
57	3.0	476.0	003
58	1.0	480.0	005
58	3.0	484.0	083
59	1.0	488.0	063
59	3.0	492.0	053
60	1.0	496.0	035
60	3.0	500.0	030
61	1.0	504.0	053
61	3.0	508.0	085
62	1.0	512.0	053
62	3.0	516.0	038
62	4.0	518.0	027
63	1.0	520.0	086
63	2.0	522.0	075
63	3.0	524.0	053
63	4.0	526.0	052
64	1.0	528.0	083
64	2.0	530.0	072
64	3.0	532.0	035
64	4.0	534.0	025
65	1.0	536.0	053
65	3.0	540.0	083
65	4.0	542.0	084
66	1.0	544.0	053
66	2.0	546.0	033
66	3.0	548.0	054
66	4.0	550.0	053
66	4.5	551.0	052
67	1.0	552.0	053
67	3.0	556.0	088
68	1.0	560.0	033
68	3.0	564.0	053
69	1.0	568.0	050
69	2.0	570.0	080
69	3.0	572.0	060
69	4.0	574.0	030
70	3.0	580.0	050
71	1.0	584.0	080
71	3.0	588.0	033
72	4.0	598.0	063
73	1.0	600.0	043
73	2.0	602.0	033
73	3.0	604.0	053
74	2.0	610.0	038
75	1.0	616.0	003
75	3.0	620.0	038
76	3.0	628.0	035
76	4.0	630.0	083
77	1.0	632.0	058
77	2.0	634.0	038
77	3.0	636.0	035
78	1.0	640.0	038
78	3.0	644.0	053
79	1.0	648.0	038
79	3.0	652.0	035
1	1.0	0.0	158
1	3.0	4.0	583
2	1.0	8.0	358
2	3.0	12.0	835
3	1.0	16.0	583
3	3.0	20.0	835
4	1.0	24.0	583
4	3.0	28.0	035
5	1.0	32.0	135
5	3.0	36.0	583
6	3.0	44.0	835
7	3.0	52.0	583
8	2.0	58.0	383
8	3.0	60.0	583
9	1.0	64.0	835
9	1.5	65.0	724
9	2.0	66.0	683
9	2.5	67.0	572
9	3.0	68.0	358
9	4.0	70.0	583
10	1.0	72.0	636
10	2.0	74.0	853
10	3.0	76.0	385
10	4.0	78.0	684
11	1.0	80.0	584
11	2.0	82.0	583
11	3.0	84.0	838
12	1.0	88.0	583
12	3.0	92.0	358
13	1.0	96.0	583
13	2.5	99.0	572
13	2.75	99.5	562
13	3.0	100.0	358
13	3.5	101.0	342
13	4.0	102.0	353
13	4.5	103.0	363
14	1.0	104.0	583
14	2.0	106.0	836
14	3.0	108.0	355
14	4.0	110.0	364
14	4.5	111.0	363
15	1.0	112.0	583
15	3.0	116.0	350
15	4.0	118.0	358
16	1.0	120.0	835
16	2.0	122.0	583
16	3.0	124.0	358
17	1.0	128.0	830
17	2.0	130.0	368
17	3.0	132.0	583
17	4.0	134.0	835
18	1.0	136.0	583
18	2.0	138.0	835
18	2.5	139.0	825
18	3.0	140.0	350
18	4.0	142.0	835
19	1.0	144.0	583
19	1.5	145.0	358
19	2.0	146.0	583
19	3.0	148.0	358
19	4.0	150.0	385
20	1.0	152.0	350
20	2.0	154.0	835
20	3.0	156.0	583
20	4.0	158.0	838
21	1.0	160.0	355
21	3.0	164.0	380
21	4.0	166.0	153
22	1.0	168.0	385
22	2.0	170.0	638
22	3.0	172.0	833
22	3.5	173.0	732
22	4.0	174.0	385
