,Composer,Title,Measure,Beat,CadType,Tone,Evaded,LeadingTones,Low,RelLow,RelTone,Progress,SinceLast,ToNext,Validation,Comments
0,Philippe Verdelot,Ultimi miei sospiri,6,1.0,Phrygian,A,False,1.0,D3,P5,P5,0.07042253521126761,40.0,56.0,,
1,Philippe Verdelot,Ultimi miei sospiri,13,1.0,Authentic,D,False,1.0,D3,P5,P1,0.16901408450704225,56.0,24.0,,
2,Philippe Verdelot,Ultimi miei sospiri,16,1.0,Clausula Vera,G,False,1.0,G2,P1,P4,0.2112676056338028,24.0,40.0,,
3,Philippe Verdelot,Ultimi miei sospiri,21,1.0,Phrygian,A,False,1.0,D3,P5,P5,0.28169014084507044,40.0,56.0,,
4,Philippe Verdelot,Ultimi miei sospiri,28,1.0,Authentic,D,False,1.0,D3,P5,P1,0.38028169014084506,56.0,24.0,,
5,Philippe Verdelot,Ultimi miei sospiri,31,1.0,Clausula Vera,G,False,1.0,G2,P1,P4,0.4225352112676056,24.0,8.0,,
6,Philippe Verdelot,Ultimi miei sospiri,32,1.0,Authentic,G,False,1.0,G2,P1,P4,0.43661971830985913,8.0,20.0,,
7,Philippe Verdelot,Ultimi miei sospiri,34,3.0,,D,,,D3,P5,P1,0.47183098591549294,20.0,12.0,,
8,Philippe Verdelot,Ultimi miei sospiri,36,1.0,Clausula Vera,D,False,1.0,D3,P5,P1,0.49295774647887325,12.0,32.0,,
9,Philippe Verdelot,Ultimi miei sospiri,40,1.0,Clausula Vera,D,False,1.0,D3,P5,P1,0.5492957746478874,32.0,32.0,,
10,Philippe Verdelot,Ultimi miei sospiri,44,1.0,Authentic,G,False,1.0,G2,P1,P4,0.6056338028169014,32.0,64.0,,
11,Philippe Verdelot,Ultimi miei sospiri,52,1.0,Authentic,G,False,1.0,G2,P1,P4,0.7183098591549296,64.0,136.0,,
12,Philippe Verdelot,Ultimi miei sospiri,69,1.0,Authentic,G,False,1.0,G2,P1,P4,0.9577464788732394,136.0,24.0,,
13,Philippe Verdelot,Ultimi miei sospiri,72,1.0,Plagal,D,False,1.0,G2,P1,P1,1.0,24.0,16.0,,
14,Annibale Padovano,MIssa Ultimi mieie sospiri: Kyrie,6,1.0,Phrygian,A,False,1.0,D3,P5,P5,0.043859649122807015,40.0,32.0,,
15,Annibale Padovano,MIssa Ultimi mieie sospiri: Kyrie,10,1.0,Clausula Vera,D,False,1.0,D3,P5,P1,0.07894736842105263,32.0,8.0,,
16,Annibale Padovano,MIssa Ultimi mieie sospiri: Kyrie,11,1.0,Authentic,G,False,1.0,G3,P8,P4,0.08771929824561403,8.0,12.0,,
17,Annibale Padovano,MIssa Ultimi mieie sospiri: Kyrie,12,3.0,Clausula Vera,D,False,1.0,D3,P5,P1,0.10087719298245613,12.0,12.0,,
18,Annibale Padovano,MIssa Ultimi mieie sospiri: Kyrie,14,1.0,Authentic,D,False,0.0,D3,P5,P1,0.11403508771929824,12.0,24.0,,
19,Annibale Padovano,MIssa Ultimi mieie sospiri: Kyrie,17,1.0,Clausula Vera,G,False,1.0,G2,P1,P4,0.14035087719298245,24.0,8.0,,
20,Annibale Padovano,MIssa Ultimi mieie sospiri: Kyrie,18,1.0,Authentic,G,False,1.0,G2,P1,P4,0.14912280701754385,8.0,32.0,,
21,Annibale Padovano,MIssa Ultimi mieie sospiri: Kyrie,22,1.0,Phrygian,A,False,1.0,D3,P5,P5,0.18421052631578946,32.0,24.0,,
22,Annibale Padovano,MIssa Ultimi mieie sospiri: Kyrie,25,1.0,Phrygian,A,False,1.0,A2,M2,P5,0.21052631578947367,24.0,32.0,,
23,Annibale Padovano,MIssa Ultimi mieie sospiri: Kyrie,29,1.0,Authentic,D,False,1.0,D3,P5,P1,0.24561403508771928,32.0,72.0,,
24,Annibale Padovano,MIssa Ultimi mieie sospiri: Kyrie,38,1.0,Authentic,,True,-1.0,G2,P1,,0.32456140350877194,72.0,8.0,,
25,Annibale Padovano,MIssa Ultimi mieie sospiri: Kyrie,39,1.0,Authentic,G,False,1.0,G2,P1,P4,0.3333333333333333,8.0,80.0,,
26,Annibale Padovano,MIssa Ultimi mieie sospiri: Kyrie,49,1.0,Clausula Vera,B-,False,1.0,B-2,m3,m6,0.42105263157894735,80.0,32.0,,
27,Annibale Padovano,MIssa Ultimi mieie sospiri: Kyrie,53,1.0,Authentic,G,False,1.0,G2,P1,P4,0.45614035087719296,32.0,72.0,,
28,Annibale Padovano,MIssa Ultimi mieie sospiri: Kyrie,62,1.0,Authentic,D,True,1.0,B-3,m10,P1,0.5350877192982456,72.0,24.0,,
29,Annibale Padovano,MIssa Ultimi mieie sospiri: Kyrie,65,1.0,Clausula Vera,D,False,1.0,D3,P5,P1,0.5614035087719298,24.0,56.0,,
30,Annibale Padovano,MIssa Ultimi mieie sospiri: Kyrie,72,1.0,Phrygian,A,False,1.0,A2,M2,P5,0.6228070175438597,56.0,48.0,,
31,Annibale Padovano,MIssa Ultimi mieie sospiri: Kyrie,78,1.0,,D,,,D4,P12,P1,0.6754385964912281,48.0,20.0,,
32,Annibale Padovano,MIssa Ultimi mieie sospiri: Kyrie,80,3.0,Clausula Vera,D,True,1.0,D3,P5,P1,0.6973684210526315,20.0,36.0,,
33,Annibale Padovano,MIssa Ultimi mieie sospiri: Kyrie,85,1.0,Authentic,G,False,1.0,G2,P1,P4,0.7368421052631579,36.0,28.0,,
