,piece_title,pattern_matched,predicted_type,voice_list,measure_beat_list,time_intervals,entry_intervals,start_offset
23,Quo abiit dilectus tuus,"(1, 2, -2, 4)",Fuga,"['Superior', 'Tenor']","['44/1.0', '48/3.0']",[36.],['P-8'],344.0
24,Quo abiit dilectus tuus,"(1, -2, -2, -2)",Fuga,"['Superior', 'Contratenor', 'Tenor', 'Bassus', 'Superior', 'Bassus', 'Tenor']","['45/2.0', '46/4.0', '49/4.0', '51/2.0', '53/2.0', '54/2.0', '54/4.0']",[12. 24. 12. 16.  8.  4.],"['P-5', 'P-4', 'P-5', 'P12', 'P-8', 'P4']",354.0
25,Quo abiit dilectus tuus,"(2, 2, -2, -2)",Fuga,"['Superior', 'Tenor', 'Superior']","['47/2.5', '51/4.5', '54/4.5']",[36. 24.],"['P-8', 'P5']",371.0
26,Quo abiit dilectus tuus,"(-2, -2, 2, 2)",Fuga,"['Superior', 'Contratenor']","['54/1.0', '58/2.0']",[34.],['m-2'],424.0
27,Quo abiit dilectus tuus,"(-2, 2, 2, 2)",Fuga,"['Superior', 'Contratenor']","['54/2.0', '58/3.0']",[34.],['M-2'],426.0
28,Quo abiit dilectus tuus,"(2, -2, -2, -2)",Fuga,"['Superior', 'Contratenor', 'Bassus']","['55/1.0', '66/3.0', '68/3.0']",[92. 16.],"['m-2', 'P-8']",432.0
29,Quo abiit dilectus tuus,"(-3, 2, -3, 2)",Fuga,"['Bassus', 'Bassus']","['55/4.0', '56/1.0']",[2.],['m-2'],438.0
30,Quo abiit dilectus tuus,"(2, -3, 2, 2)",Fuga,"['Bassus', 'Tenor']","['56/2.0', '57/4.0']",[12.],['P5'],442.0
31,Quo abiit dilectus tuus,"(-3, 2, 2, -3)",Fuga,"['Bassus', 'Tenor', 'Superior']","['56/3.0', '58/1.0', '60/4.0']",[12. 22.],"['P5', 'm7']",444.0
32,Quo abiit dilectus tuus,"(4, 2, 2, -3)",Fuga,"['Contratenor', 'Superior', 'Tenor', 'Bassus', 'Contratenor', 'Superior', 'Tenor']","['56/4.0', '58/2.0', '60/4.0', '61/4.0', '63/2.0', '64/2.0', '65/4.0']",[12. 20.  8. 12.  8. 12.],"['P5', 'P-8', 'P-5', 'P5', 'P8', 'P-8']",446.0
