,Composer,Title,First_Offset,Measures_Beats,Melodic_Entry_Intervals,Offsets,Soggetti,Time_Entry_Intervals,Voices,Presentation_Type,Number_Entries,Flexed_Entries,Validation,Comments
0,"Palestrina, Giovanni Pierluigi da",Veni sponsa Christi,0.0,"['1/1.0', '2/1.0', '21/4.0', '22/4.0']","['P-5', 'P5', 'P-5']","[0.0, 8.0, 166.0, 174.0]","[('-3', '3', '2', '-2'), ('-3', '2', '2', '-2'), ('-2', '2', '2', '-2')]","[8.0, 158.0, 8.0]","['Cantus', 'Altus', 'Cantus', 'Altus']",ID,4,True,,
1,"Palestrina, Giovanni Pierluigi da",Veni sponsa Christi,0.0,"['1/1.0', '6/1.0', '22/4.0', '27/4.0']","['P-8', 'P4', 'P-8']","[0.0, 40.0, 174.0, 214.0]","[('-3', '3', '2', '-2'), ('-3', '2', '2', '-2'), ('-2', '2', '2', '-2')]","[40.0, 134.0, 40.0]","['Cantus', 'Tenor', 'Altus', 'Bassus']",ID,4,True,,
2,"Palestrina, Giovanni Pierluigi da",Veni sponsa Christi,0.0,"['1/1.0', '2/1.0', '6/1.0', '7/1.0']","['P-5', 'P-4', 'P-5']","[0.0, 8.0, 40.0, 48.0]","[('-3', '3', '2', '-2'), ('-3', '2', '2', '-2'), ('-2', '2', '2', '-2')]","[8.0, 32.0, 8.0]","['Cantus', 'Altus', 'Tenor', 'Bassus']",ID,4,True,,
3,"Palestrina, Giovanni Pierluigi da",Veni sponsa Christi,0.0,"['1/1.0', '11/3.0', '21/4.0', '32/2.0']","['P-5', 'P5', 'P4']","[0.0, 84.0, 166.0, 250.0]","[('-3', '3', '2', '-2'), ('-3', '2', '2', '-2'), ('-2', '2', '2', '-2')]","[84.0, 82.0, 84.0]","['Cantus', 'Altus', 'Cantus', 'Cantus']",ID,4,True,,
4,"Palestrina, Giovanni Pierluigi da",Veni sponsa Christi,0.0,"['1/1.0', '7/1.0', '19/4.0', '25/4.0']","['P-12', 'P5', 'P1']","[0.0, 48.0, 150.0, 198.0]","[('-3', '3', '2', '-2'), ('-3', '2', '2', '-2'), ('-2', '2', '2', '-2')]","[48.0, 102.0, 48.0]","['Cantus', 'Bassus', 'Tenor', 'Tenor']",ID,4,True,,
5,"Palestrina, Giovanni Pierluigi da",Veni sponsa Christi,0.0,"['1/1.0', '7/1.0', '21/4.0', '27/4.0']","['P-12', 'P12', 'P-12']","[0.0, 48.0, 166.0, 214.0]","[('-3', '3', '2', '-2'), ('-3', '2', '2', '-2'), ('-2', '2', '2', '-2')]","[48.0, 118.0, 48.0]","['Cantus', 'Bassus', 'Cantus', 'Bassus']",ID,4,True,,
6,"Palestrina, Giovanni Pierluigi da",Veni sponsa Christi,0.0,"['1/1.0', '2/1.0', '6/1.0', '7/1.0', '11/3.0', '14/1.0', '17/1.0', '19/4.0', '21/4.0', '22/4.0', '25/4.0', '27/4.0', '29/4.0', '32/2.0', '35/2.0']","['P-5', 'P-4', 'P-5', 'P8', 'P5', 'P-8', 'P1', 'P8', 'P-5', 'P-4', 'P-5', 'P8', 'P8', 'P-11']","[0.0, 8.0, 40.0, 48.0, 84.0, 104.0, 128.0, 150.0, 166.0, 174.0, 198.0, 214.0, 230.0, 250.0, 274.0]","[('-3', '3', '2', '-2'), ('-3', '2', '2', '-2'), ('-2', '2', '2', '-2')]","[8.0, 32.0, 8.0, 36.0, 20.0, 24.0, 22.0, 16.0, 8.0, 24.0, 16.0, 16.0, 20.0, 24.0]","['Cantus', 'Altus', 'Tenor', 'Bassus', 'Altus', 'Cantus', 'Bassus', 'Tenor', 'Cantus', 'Altus', 'Tenor', 'Bassus', 'Altus', 'Cantus', 'Bassus']",FUGA,15,True,,
7,"Palestrina, Giovanni Pierluigi da",Veni sponsa Christi,8.0,"['2/1.0', '7/1.0', '22/4.0', '27/4.0']","['P-8', 'P8', 'P-8']","[8.0, 48.0, 174.0, 214.0]","[('-3', '3', '2', '-2'), ('-3', '2', '2', '-2'), ('-2', '2', '2', '-2')]","[40.0, 126.0, 40.0]","['Altus', 'Bassus', 'Altus', 'Bassus']",ID,4,True,,
8,"Palestrina, Giovanni Pierluigi da",Veni sponsa Christi,8.0,"['2/1.0', '6/1.0', '21/4.0', '25/4.0']","['P-4', 'P8', 'P-8']","[8.0, 40.0, 166.0, 198.0]","[('-3', '3', '2', '-2'), ('-3', '2', '2', '-2'), ('-2', '2', '2', '-2')]","[32.0, 126.0, 32.0]","['Altus', 'Tenor', 'Cantus', 'Tenor']",ID,4,True,,
9,"Palestrina, Giovanni Pierluigi da",Veni sponsa Christi,8.0,"['2/1.0', '6/1.0', '25/4.0', '29/4.0']","['P-4', 'P1', 'P4']","[8.0, 40.0, 198.0, 230.0]","[('-3', '3', '2', '-2'), ('-3', '2', '2', '-2'), ('-2', '2', '2', '-2')]","[32.0, 158.0, 32.0]","['Altus', 'Tenor', 'Tenor', 'Altus']",ID,4,True,,
10,"Palestrina, Giovanni Pierluigi da",Veni sponsa Christi,8.0,"['2/1.0', '11/3.0', '22/4.0', '32/2.0']","['P1', 'P1', 'P8']","[8.0, 84.0, 174.0, 250.0]","[('-3', '3', '2', '-2'), ('-3', '2', '2', '-2'), ('-2', '2', '2', '-2')]","[76.0, 90.0, 76.0]","['Altus', 'Altus', 'Altus', 'Cantus']",ID,4,True,,
