,Composer,Title,First_Offset,Measures_Beats,Melodic_Entry_Intervals,Offsets,Soggetti,Time_Entry_Intervals,Voices,Presentation_Type,Number_Entries,Flexed_Entries,Validation,Comments
0,Pierre Sandrin,Doulce memoire,0.0,"['1/1.0', '7/3.0', '11/1.0']","['M-2', 'P5']","[0.0, 52.0, 80.0]","[('-2', '-2', '-2', '-2')]","[52.0, 28.0]","['[Tenor]', 'Bassus', '[Tenor]']",FUGA,3,False,,
1,Pierre Sandrin,Doulce memoire,22.0,"['3/4.0', '4/1.0', '4/3.0']","['P-8', 'P5']","[22.0, 24.0, 28.0]","[('3', '2', '2', '-3')]","[2.0, 4.0]","['[Superius]', 'Bassus', '[Contratenor]']",FUGA,3,False,,
2,Pierre Sandrin,Doulce memoire,24.0,"['4/1.0', '7/3.0', '7/4.0', '11/3.0', '12/2.0', '14/1.0']","['m-3', 'P4', 'M-3', 'P8', 'm-7']","[24.0, 52.0, 54.0, 84.0, 90.0, 108.0]","[('-2', '-2', '-2', '2')]","[28.0, 2.0, 30.0, 6.0, 18.0]","['[Tenor]', '[Tenor]', '[Contratenor]', '[Tenor]', '[Superius]', '[Contratenor]']",FUGA,6,False,,
3,Pierre Sandrin,Doulce memoire,24.0,"['4/1.0', '4/3.0']",['P-8'],"[24.0, 28.0]","[('2', '2', '-3', '-2')]",[4.0],"['[Superius]', 'Bassus']",FUGA,2,False,,
4,Pierre Sandrin,Doulce memoire,32.0,"['5/1.0', '7/3.5', '15/2.5', '15/4.0']","['m-3', 'm3', 'm-2']","[32.0, 53.0, 119.0, 122.0]","[('-2', '-2', '2', '-2')]","[21.0, 66.0, 3.0]","['[Tenor]', '[Tenor]', '[Contratenor]', '[Contratenor]']",FUGA,4,False,,
5,Pierre Sandrin,Doulce memoire,34.0,"['5/2.0', '12/4.0']",['P1'],"[34.0, 94.0]","[('-2', '2', '-3', '2')]",[60.0],"['[Superius]', '[Superius]']",FUGA,2,False,,
6,Pierre Sandrin,Doulce memoire,34.0,"['5/2.0', '7/4.0']",['M-3'],"[34.0, 54.0]","[('-2', '2', '-2', '2')]",[20.0],"['[Tenor]', '[Tenor]']",FUGA,2,False,,
7,Pierre Sandrin,Doulce memoire,35.0,"['5/2.5', '12/4.0']",['P1'],"[35.0, 94.0]","[('2', '-2', '2', '-2')]",[59.0],"['[Tenor]', '[Tenor]']",FUGA,2,False,,
8,Pierre Sandrin,Doulce memoire,40.0,"['6/1.0', '6/3.0', '9/3.0', '13/1.0']","['P4', 'M-2', 'P1']","[40.0, 44.0, 68.0, 100.0]","[('2', '-2', '-2', '-2')]","[4.0, 24.0, 32.0]","['[Tenor]', '[Contratenor]', '[Tenor]', '[Contratenor]']",FUGA,4,False,,
9,Pierre Sandrin,Doulce memoire,44.0,"['6/3.0', '12/6.0']",['A2'],"[44.0, 98.0]","[('2', '-3', '2', '-2')]",[54.0],"['[Superius]', '[Superius]']",FUGA,2,False,,
10,Pierre Sandrin,Doulce memoire,68.0,"['9/3.0', '13/1.0']",['P-5'],"[68.0, 100.0]","[('2', '-2', '-3', '2')]",[32.0],"['[Contratenor]', '[Tenor]']",FUGA,2,False,,
11,Pierre Sandrin,Doulce memoire,72.0,"['10/1.0', '15/1.0', '23/2.0']","['P1', 'm-10', 'P12']","[72.0, 116.0, 116.0, 182.0]","[('-2', '-3', '2', '-2')]","[44.0, 0.0, 66.0]","['[Contratenor]', '[Superius]', 'Bassus', '[Superius]']",FUGA,4,False,,
12,Pierre Sandrin,Doulce memoire,84.0,"['11/3.0', '13/1.0']",['P4'],"[84.0, 100.0]","[('-3', '2', '-2', '-2')]",[16.0],"['[Contratenor]', '[Superius]']",FUGA,2,False,,
13,Pierre Sandrin,Doulce memoire,86.0,"['11/4.0', '18/4.0']",['M-2'],"[86.0, 146.0]","[('2', '3', '-2', '-2')]",[60.0],"['[Superius]', '[Superius]']",FUGA,2,False,,
14,Pierre Sandrin,Doulce memoire,88.0,"['12/1.0', '19/2.0']",['P5'],"[88.0, 150.0]","[('-2', '2', '2', '-2')]",[62.0],"['[Tenor]', '[Contratenor]']",FUGA,2,False,,
15,Pierre Sandrin,Doulce memoire,92.0,"['12/3.0', '19/4.0']",['P1'],"[92.0, 154.0]","[('-2', '-2', '2', '-3')]",[62.0],"['[Superius]', '[Superius]']",FUGA,2,False,,
16,Pierre Sandrin,Doulce memoire,108.0,"['14/1.0', '22/4.0']",['d-4'],"[108.0, 178.0]","[('2', '-2', '-2', '-3')]",[70.0],"['[Superius]', '[Tenor]']",FUGA,2,False,,
17,Pierre Sandrin,Doulce memoire,119.5,"['15/2.75', '22/2.0', '31/1.0', '39/1.0', '41/1.0', '47/2.0', '50/4.0', '54/3.0']","['d5', 'm-3', 'P-4', 'P1', 'M-2', 'M9', 'M-3', 'm-7']","[119.5, 174.0, 174.0, 244.0, 308.0, 328.0, 386.0, 414.0, 444.0]","[('-2', '2', '-2', '-2')]","[54.5, 0.0, 70.0, 64.0, 20.0, 58.0, 28.0, 30.0]","['[Contratenor]', '[Contratenor]', '[Tenor]', '[Tenor]', '[Tenor]', '[Tenor]', '[Superius]', '[Superius]', '[Tenor]']",FUGA,9,False,,
18,Pierre Sandrin,Doulce memoire,124.0,['16/1.0'],['M-10'],"[124.0, 124.0]","[('-3', '2', '-2', '3')]",[0.0],"['[Superius]', 'Bassus']",FUGA,2,False,,
19,Pierre Sandrin,Doulce memoire,126.0,['16/2.0'],['m-10'],"[126.0, 126.0]","[('2', '-2', '3', '2')]",[0.0],"['[Superius]', 'Bassus']",FUGA,2,False,,
20,Pierre Sandrin,Doulce memoire,128.0,"['16/3.0', '18/4.0']","['m-10', 'm7']","[128.0, 128.0, 146.0]","[('-2', '3', '2', '2')]","[0.0, 18.0]","['[Superius]', 'Bassus', '[Tenor]']",FUGA,3,False,,
21,Pierre Sandrin,Doulce memoire,132.0,['17/1.0'],['m-10'],"[132.0, 132.0]","[('3', '2', '2', '3')]",[0.0],"['[Superius]', 'Bassus']",FUGA,2,False,,
22,Pierre Sandrin,Doulce memoire,136.0,"['17/3.0', '18/1.0']",['M-10'],"[136.0, 140.0]","[('2', '2', '3', '-2')]",[4.0],"['[Superius]', 'Bassus']",FUGA,2,False,,
23,Pierre Sandrin,Doulce memoire,136.0,"['17/3.0', '20/2.0']",['M2'],"[136.0, 158.0]","[('-3', '-2', '3', '2')]",[22.0],"['[Tenor]', '[Tenor]']",FUGA,2,False,,
24,Pierre Sandrin,Doulce memoire,146.0,"['18/4.0', '20/3.0']",['M2'],"[146.0, 160.0]","[('-3', '4', '-2', '2')]",[14.0],"['[Contratenor]', '[Contratenor]']",FUGA,2,False,,
25,Pierre Sandrin,Doulce memoire,148.0,"['19/1.0', '23/1.0']",['m9'],"[148.0, 180.0]","[('3', '-2', '-3', '2')]",[32.0],"['Bassus', '[Superius]']",FUGA,2,False,,
26,Pierre Sandrin,Doulce memoire,172.0,['22/1.0'],['M-3'],"[172.0, 172.0]","[('2', '-2', '2', '-2')]",[0.0],"['[Contratenor]', '[Tenor]']",FUGA,2,False,,
27,Pierre Sandrin,Doulce memoire,176.0,"['22/3.0', '27/1.0', '31/1.5', '35/1.0', '39/1.5', '45/1.5', '48/3.0', '54/3.0', '54/4.0', '57/1.0']","['m2', 'm-7', 'm7', 'm-7', 'M10', 'M-3', 'm-3', 'M-7', 'M3']","[176.0, 212.0, 245.0, 276.0, 309.0, 369.0, 396.0, 444.0, 446.0, 468.0]","[('2', '-2', '-2', '-2')]","[36.0, 33.0, 31.0, 33.0, 60.0, 27.0, 48.0, 2.0, 22.0]","['[Contratenor]', '[Contratenor]', '[Tenor]', '[Contratenor]', '[Tenor]', '[Superius]', '[Superius]', '[Superius]', '[Tenor]', '[Tenor]']",FUGA,10,False,,
28,Pierre Sandrin,Doulce memoire,180.0,"['23/1.0', '28/1.0', '28/2.5', '28/3.0', '28/4.0', '30/1.0', '30/2.0', '30/2.5', '30/3.5', '30/4.0', '30/4.5', '31/1.0', '31/1.5', '31/2.0', '36/1.0', '36/2.5', '36/3.0', '36/4.0', '38/1.0', '38/2.0', '38/2.5', '38/3.5', '38/4.0', '38/4.5', '39/1.0', '39/1.5', '39/2.0']","['M2', 'M-2', 'm-2', 'P1', 'M-3', 'P8', 'm-9', 'P8', 'M-2', 'M-2', 'M-2', 'm-2', 'P-5', 'm7', 'M-2', 'm-2', 'P1', 'M-3', 'P8', 'm-9', 'P8', 'M-2', 'M-2', 'M-2', 'm-2', 'P-5']","[180.0, 220.0, 223.0, 224.0, 226.0, 236.0, 238.0, 239.0, 241.0, 242.0, 243.0, 244.0, 245.0, 246.0, 284.0, 287.0, 288.0, 290.0, 300.0, 302.0, 303.0, 305.0, 306.0, 307.0, 308.0, 309.0, 310.0]","[('-2', '-2', '-2', '-2')]","[40.0, 3.0, 1.0, 2.0, 10.0, 2.0, 1.0, 2.0, 1.0, 1.0, 1.0, 1.0, 1.0, 38.0, 3.0, 1.0, 2.0, 10.0, 2.0, 1.0, 2.0, 1.0, 1.0, 1.0, 1.0, 1.0]","['[Contratenor]', '[Contratenor]', '[Contratenor]', '[Contratenor]', '[Tenor]', '[Contratenor]', '[Superius]', '[Contratenor]', '[Superius]', '[Superius]', '[Superius]', '[Superius]', '[Superius]', '[Tenor]', '[Contratenor]', '[Contratenor]', '[Contratenor]', '[Tenor]', '[Contratenor]', '[Superius]', '[Contratenor]', '[Superius]', '[Superius]', '[Superius]', '[Superius]', '[Superius]', '[Tenor]']",FUGA,27,False,,
29,Pierre Sandrin,Doulce memoire,183.0,"['23/2.5', '30/3.0', '38/3.0', '45/2.0', '48/4.0', '54/4.0', '55/1.0', '57/3.0', '63/4.0', '67/2.0', '74/3.0', '78/1.0']","['P-5', 'm3', 'm-3', 'm3', 'P8', 'm-3', 'M-3', 'm-7', 'm3', 'M9', 'm-3', 'P-4', 'M-3', 'M2', 'P-5']","[183.0, 240.0, 240.0, 304.0, 304.0, 370.0, 398.0, 446.0, 448.0, 472.0, 522.0, 550.0, 550.0, 550.0, 604.0, 632.0]","[('-2', '-2', '-2', '2')]","[57.0, 0.0, 64.0, 0.0, 66.0, 28.0, 48.0, 2.0, 24.0, 50.0, 28.0, 0.0, 0.0, 54.0, 28.0]","['[Contratenor]', '[Contratenor]', '[Tenor]', '[Contratenor]', '[Tenor]', '[Superius]', '[Superius]', '[Superius]', '[Tenor]', '[Tenor]', '[Superius]', '[Superius]', '[Contratenor]', '[Tenor]', '[Tenor]', '[Tenor]']",FUGA,16,False,,
30,Pierre Sandrin,Doulce memoire,196.0,"['25/1.0', '33/1.0']",['P1'],"[196.0, 260.0]","[('4', '-2', '-2', '-4')]",[64.0],"['[Tenor]', '[Tenor]']",FUGA,2,False,,
31,Pierre Sandrin,Doulce memoire,198.0,"['25/2.0', '25/3.0', '25/3.5', '33/2.0', '33/3.0', '33/3.5']","['m2', 'M2', 'm-3', 'm2', 'M2']","[198.0, 200.0, 201.0, 262.0, 264.0, 265.0]","[('2', '2', '2', '2')]","[2.0, 1.0, 61.0, 2.0, 1.0]","['[Superius]', '[Superius]', '[Superius]', '[Superius]', '[Superius]', '[Superius]']",FUGA,6,False,,
32,Pierre Sandrin,Doulce memoire,200.0,"['25/3.0', '32/1.0']",['P1'],"[200.0, 252.0]","[('8', '-3', '2', '-2')]",[52.0],"['[Contratenor]', '[Contratenor]']",FUGA,2,False,,
33,Pierre Sandrin,Doulce memoire,200.0,"['25/3.0', '33/3.0']",['P1'],"[200.0, 264.0]","[('-2', '-2', '5', '-5')]",[64.0],"['Bassus', 'Bassus']",FUGA,2,False,,
