,Composer,Title,First_Offset,Measures_Beats,Melodic_Entry_Intervals,Offsets,Soggetti,Time_Entry_Intervals,Voices,Presentation_Type,Number_Entries,Flexed_Entries,Validation,Comments
0,"Lupi, Johannes",Veni speciosam,0.0,"['1/1.0', '2/3.0', '5/1.0', '6/3.0', '9/2.0', '10/1.0']","['P-4', 'P-5', 'P-4', 'P4', 'P8']","[0.0, 12.0, 32.0, 44.0, 66.0, 72.0]","[('5', '-2', '2', '3'), ('4', '-2', '2', '3')]","[12.0, 20.0, 12.0, 22.0, 6.0]","['Superius', 'Contratenor', 'PrimusTenor', 'Bassus', 'SecundusTenor', 'Superius']",FUGA,6,True,,
1,"Lupi, Johannes",Veni speciosam,0.0,"['1/1.0', '2/3.0', '5/1.0', '6/3.0']","['P-4', 'P-5', 'P-4']","[0.0, 12.0, 32.0, 44.0]","[('5', '-2', '2', '3'), ('4', '-2', '2', '3')]","[12.0, 20.0, 12.0]","['Superius', 'Contratenor', 'PrimusTenor', 'Bassus']",ID,4,True,,
2,"Lupi, Johannes",Veni speciosam,94.0,"['12/4.0', '16/4.0']",['P4'],"[94.0, 126.0]","[('-3', '2', '2', '-2')]",[32.0],"['Bassus', 'Bassus']",FUGA,2,False,,
3,"Lupi, Johannes",Veni speciosam,138.0,"['18/2.0', '21/2.0', '24/2.0']","['M9', 'M-9']","[138.0, 162.0, 186.0]","[('-2', '-3', '2', '2'), ('-2', '-3', '3', '2')]","[24.0, 24.0]","['PrimusTenor', 'Superius', 'PrimusTenor']",PEN,3,True,,
4,"Lupi, Johannes",Veni speciosam,138.0,"['18/2.0', '18/4.0', '20/4.0', '21/2.0']","['P-4', 'P8', 'P5']","[138.0, 142.0, 158.0, 162.0]","[('-2', '-3', '2', '2'), ('-2', '-3', '3', '2')]","[4.0, 16.0, 4.0]","['PrimusTenor', 'Bassus', 'Contratenor', 'Superius']",ID,4,True,,
5,"Lupi, Johannes",Veni speciosam,138.0,"['18/2.0', '18/4.0', '24/2.0', '24/4.0']","['P-4', 'P4', 'P-4']","[138.0, 142.0, 186.0, 190.0]","[('-2', '-3', '2', '2'), ('-2', '-3', '3', '2')]","[4.0, 44.0, 4.0]","['PrimusTenor', 'Bassus', 'PrimusTenor', 'Bassus']",ID,4,True,,
6,"Lupi, Johannes",Veni speciosam,138.0,"['18/2.0', '19/4.0', '24/2.0', '25/4.0']","['P1', 'P1', 'P1']","[138.0, 150.0, 186.0, 198.0]","[('-2', '-3', '2', '2'), ('-2', '-3', '3', '2')]","[12.0, 36.0, 12.0]","['PrimusTenor', 'SecundusTenor', 'PrimusTenor', 'SecundusTenor']",ID,4,True,,
7,"Lupi, Johannes",Veni speciosam,138.0,"['18/2.0', '19/4.0', '21/2.0']","['P1', 'M9']","[138.0, 150.0, 162.0]","[('-2', '-3', '2', '2'), ('-2', '-3', '3', '2')]","[12.0, 12.0]","['PrimusTenor', 'SecundusTenor', 'Superius']",PEN,3,True,,
8,"Lupi, Johannes",Veni speciosam,138.0,"['18/2.0', '18/4.0', '19/4.0', '20/4.0', '21/2.0', '24/2.0', '24/4.0', '25/4.0']","['P-4', 'P4', 'P5', 'P5', 'M-9', 'P-4', 'P4']","[138.0, 142.0, 150.0, 158.0, 162.0, 186.0, 190.0, 198.0]","[('-2', '-3', '2', '2'), ('-2', '-3', '3', '2')]","[4.0, 8.0, 8.0, 4.0, 24.0, 4.0, 8.0]","['PrimusTenor', 'Bassus', 'SecundusTenor', 'Contratenor', 'Superius', 'PrimusTenor', 'Bassus', 'SecundusTenor']",FUGA,8,True,,
9,"Lupi, Johannes",Veni speciosam,142.0,"['18/4.0', '19/4.0', '20/4.0']","['P4', 'P5']","[142.0, 150.0, 158.0]","[('-2', '-3', '2', '2'), ('-2', '-3', '3', '2')]","[8.0, 8.0]","['Bassus', 'SecundusTenor', 'Contratenor']",PEN,3,True,,
10,"Lupi, Johannes",Veni speciosam,142.0,"['18/4.0', '19/4.0', '24/4.0', '25/4.0']","['P4', 'P-4', 'P4']","[142.0, 150.0, 190.0, 198.0]","[('-2', '-3', '2', '2'), ('-2', '-3', '3', '2')]","[8.0, 40.0, 8.0]","['Bassus', 'SecundusTenor', 'Bassus', 'SecundusTenor']",ID,4,True,,
11,"Lupi, Johannes",Veni speciosam,150.0,"['19/4.0', '21/2.0', '24/2.0', '25/4.0']","['M9', 'M-9', 'P1']","[150.0, 162.0, 186.0, 198.0]","[('-2', '-3', '2', '2'), ('-2', '-3', '3', '2')]","[12.0, 24.0, 12.0]","['SecundusTenor', 'Superius', 'PrimusTenor', 'SecundusTenor']",ID,4,True,,
12,"Lupi, Johannes",Veni speciosam,150.0,"['19/4.0', '20/4.0', '24/4.0', '25/4.0']","['P5', 'P-8', 'P4']","[150.0, 158.0, 190.0, 198.0]","[('-2', '-3', '2', '2'), ('-2', '-3', '3', '2')]","[8.0, 32.0, 8.0]","['SecundusTenor', 'Contratenor', 'Bassus', 'SecundusTenor']",ID,4,True,,
13,"Lupi, Johannes",Veni speciosam,158.0,"['20/4.0', '21/2.0', '24/2.0', '24/4.0']","['P5', 'M-9', 'P-4']","[158.0, 162.0, 186.0, 190.0]","[('-2', '-3', '2', '2'), ('-2', '-3', '3', '2')]","[4.0, 24.0, 4.0]","['Contratenor', 'Superius', 'PrimusTenor', 'Bassus']",ID,4,True,,
14,"Lupi, Johannes",Veni speciosam,226.0,"['29/2.0', '31/2.0', '35/2.0', '37/2.0']","['P5', 'P5', 'P-8']","[226.0, 242.0, 274.0, 290.0]","[('5', '-2', '2', '3'), ('4', '-2', '2', '3')]","[16.0, 32.0, 16.0]","['PrimusTenor', 'Superius', 'Superius', 'PrimusTenor']",ID,4,True,,
15,"Lupi, Johannes",Veni speciosam,226.0,"['29/2.0', '30/3.0', '31/2.0', '31/3.0', '34/4.0', '35/2.0', '37/2.0']","['P-4', 'P8', 'P-4', 'P4', 'P5', 'P-8']","[226.0, 236.0, 242.0, 244.0, 270.0, 274.0, 290.0]","[('5', '-2', '2', '3'), ('4', '-2', '2', '3')]","[10.0, 6.0, 2.0, 26.0, 4.0, 16.0]","['PrimusTenor', 'Bassus', 'Superius', 'SecundusTenor', 'Contratenor', 'Superius', 'PrimusTenor']",FUGA,7,True,,
16,"Lupi, Johannes",Veni speciosam,314.0,"['40/2.0', '41/2.0', '42/2.0']","['P8', 'P-8']","[314.0, 322.0, 330.0]","[('2', '-3', '2', '3'), ('2', '-3', '2', '4')]","[8.0, 8.0]","['Bassus', 'Superius', 'SecundusTenor']",PEN,3,True,,
17,"Lupi, Johannes",Veni speciosam,314.0,"['40/2.0', '43/2.0', '46/2.0']","['P-5', 'P8']","[314.0, 338.0, 362.0]","[('2', '-3', '2', '3'), ('2', '-3', '2', '4')]","[24.0, 24.0]","['Bassus', 'Bassus', 'SecundusTenor']",PEN,3,True,,
18,"Lupi, Johannes",Veni speciosam,314.0,"['40/2.0', '41/2.0', '42/2.0', '43/2.0']","['P8', 'P-8', 'P-5']","[314.0, 322.0, 330.0, 338.0]","[('2', '-3', '2', '3'), ('2', '-3', '2', '4')]","[8.0, 8.0, 8.0]","['Bassus', 'Superius', 'SecundusTenor', 'Bassus']",PEN,4,True,,
19,"Lupi, Johannes",Veni speciosam,314.0,"['40/2.0', '41/2.0', '43/4.0', '44/4.0']","['P8', 'A-4', 'm-6']","[314.0, 322.0, 342.0, 350.0]","[('2', '-3', '2', '3'), ('2', '-3', '2', '4')]","[8.0, 20.0, 8.0]","['Bassus', 'Superius', 'Contratenor', 'PrimusTenor']",ID,4,True,,
20,"Lupi, Johannes",Veni speciosam,314.0,"['40/2.0', '41/2.0', '45/2.0', '46/2.0']","['P8', 'P4', 'P-8']","[314.0, 322.0, 354.0, 362.0]","[('2', '-3', '2', '3'), ('2', '-3', '2', '4')]","[8.0, 32.0, 8.0]","['Bassus', 'Superius', 'Superius', 'SecundusTenor']",ID,4,True,,
21,"Lupi, Johannes",Veni speciosam,314.0,"['40/2.0', '42/2.0', '43/2.0', '45/2.0']","['P1', 'P-5', 'P15']","[314.0, 330.0, 338.0, 354.0]","[('2', '-3', '2', '3'), ('2', '-3', '2', '4')]","[16.0, 8.0, 16.0]","['Bassus', 'SecundusTenor', 'Bassus', 'Superius']",ID,4,True,,
22,"Lupi, Johannes",Veni speciosam,314.0,"['40/2.0', '41/2.0', '41/3.0', '42/2.0', '43/2.0', '43/4.0', '44/4.0', '45/2.0', '46/2.0']","['P8', 'P-5', 'P-4', 'P-5', 'm9', 'm-6', 'P12', 'P-8']","[314.0, 322.0, 324.0, 330.0, 338.0, 342.0, 350.0, 354.0, 362.0]","[('2', '-3', '2', '3'), ('2', '-3', '2', '4')]","[8.0, 2.0, 6.0, 8.0, 4.0, 8.0, 4.0, 8.0]","['Bassus', 'Superius', 'PrimusTenor', 'SecundusTenor', 'Bassus', 'Contratenor', 'PrimusTenor', 'Superius', 'SecundusTenor']",FUGA,9,True,,
23,"Lupi, Johannes",Veni speciosam,322.0,"['41/2.0', '42/2.0', '43/4.0', '44/4.0']","['P-8', 'd5', 'm-6']","[322.0, 330.0, 342.0, 350.0]","[('2', '-3', '2', '3'), ('2', '-3', '2', '4')]","[8.0, 12.0, 8.0]","['Superius', 'SecundusTenor', 'Contratenor', 'PrimusTenor']",ID,4,True,,
24,"Lupi, Johannes",Veni speciosam,322.0,"['41/2.0', '42/2.0', '43/2.0']","['P-8', 'P-5']","[322.0, 330.0, 338.0]","[('2', '-3', '2', '3'), ('2', '-3', '2', '4')]","[8.0, 8.0]","['Superius', 'SecundusTenor', 'Bassus']",PEN,3,True,,
25,"Lupi, Johannes",Veni speciosam,322.0,"['41/2.0', '43/2.0', '45/2.0']","['P-12', 'P15']","[322.0, 338.0, 354.0]","[('2', '-3', '2', '3'), ('2', '-3', '2', '4')]","[16.0, 16.0]","['Superius', 'Bassus', 'Superius']",PEN,3,True,,
