,CadType,Evaded,LeadingTones,Low,RelLow,Tone,RelTone,TSig,Measure,Beat,Progress,SinceLast,ToNext,Composer,Title
0,Clausula Vera,False,0.0,D3,-P4,D,-P4,4/2,4,3.0,0.11864406779661017,28.0,6.0,Pierre Colin,Missa Confitemini: Kyrie
1,Authentic,True,-1.0,D3,-P4,,,4/2,5,2.0,0.1440677966101695,6.0,6.0,Pierre Colin,Missa Confitemini: Kyrie
2,Authentic,False,0.0,D3,-P4,D,-P4,4/2,6,1.0,0.1694915254237288,6.0,16.0,Pierre Colin,Missa Confitemini: Kyrie
3,Authentic,False,0.0,B-3,m3,D,-P4,4/2,8,1.0,0.23728813559322035,16.0,16.0,Pierre Colin,Missa Confitemini: Kyrie
4,Authentic,False,1.0,G3,P1,G,P1,8/2,10,1.0,0.3050847457627119,16.0,40.0,Pierre Colin,Missa Confitemini: Kyrie
5,Clausula Vera,True,-1.0,D3,-P4,,,4/2,14,1.0,0.4745762711864407,40.0,2.0,Pierre Colin,Missa Confitemini: Kyrie
6,Authentic,False,0.0,D3,-P4,D,-P4,4/2,14,2.0,0.4830508474576271,2.0,14.0,Pierre Colin,Missa Confitemini: Kyrie
7,Authentic,False,0.0,G3,P1,G,P1,4/2,16,1.0,0.5423728813559322,14.0,8.0,Pierre Colin,Missa Confitemini: Kyrie
8,Clausula Vera,False,0.0,G3,P1,G,P1,4/2,17,1.0,0.576271186440678,8.0,8.0,Pierre Colin,Missa Confitemini: Kyrie
9,Authentic,False,0.0,D3,-P4,D,-P4,4/2,18,1.0,0.6101694915254238,8.0,48.0,Pierre Colin,Missa Confitemini: Kyrie
10,Clausula Vera,False,1.0,G3,P1,G,P1,4/2,23,1.0,0.8135593220338984,48.0,16.0,Pierre Colin,Missa Confitemini: Kyrie
11,Clausula Vera,False,0.0,G3,P1,G,P1,4/2,25,1.0,0.8813559322033898,16.0,28.0,Pierre Colin,Missa Confitemini: Kyrie
12,Authentic,False,1.0,G3,P1,G,P1,10/2,28,3.0,1.0,28.0,16.0,Pierre Colin,Missa Confitemini: Kyrie
13,,,,G3,P1,G,P1,4/2,6,3.0,0.0658682634730539,44.0,60.0,Pierre Colin,Missa Confitemini: Gloria
14,Authentic,False,1.0,G3,P1,G,P1,4/2,14,1.0,0.15568862275449102,60.0,92.0,Pierre Colin,Missa Confitemini: Gloria
15,Clausula Vera,False,1.0,G3,P1,G,P1,4/2,25,3.0,0.2934131736526946,92.0,40.0,Pierre Colin,Missa Confitemini: Gloria
16,Clausula Vera,False,1.0,B-3,m3,B-,m3,4/2,30,3.0,0.3532934131736527,40.0,28.0,Pierre Colin,Missa Confitemini: Gloria
17,Clausula Vera,False,1.0,D3,-P4,D,-P4,4/2,34,1.0,0.39520958083832336,28.0,16.0,Pierre Colin,Missa Confitemini: Gloria
18,Authentic,False,1.0,G3,P1,G,P1,4/2,36,1.0,0.41916167664670656,16.0,26.0,Pierre Colin,Missa Confitemini: Gloria
19,,,,A3,M2,C#,-d5,4/2,39,2.0,0.45808383233532934,26.0,2.0,Pierre Colin,Missa Confitemini: Gloria
20,Clausula Vera,False,1.0,D3,-P4,D,-P4,4/2,39,3.0,0.46107784431137727,2.0,28.0,Pierre Colin,Missa Confitemini: Gloria
21,Clausula Vera,True,1.0,G3,P1,G,P1,4/2,43,1.0,0.5029940119760479,28.0,32.0,Pierre Colin,Missa Confitemini: Gloria
22,Authentic,False,1.0,G3,P1,G,P1,4/2,47,1.0,0.5508982035928144,32.0,44.0,Pierre Colin,Missa Confitemini: Gloria
23,Authentic,False,1.0,D4,P5,D,-P4,3/1,53,1.0,0.6167664670658682,44.0,120.0,Pierre Colin,Missa Confitemini: Gloria
24,Clausula Vera,False,1.0,G3,P1,D,-P4,2/1,64,1.0,0.7964071856287425,120.0,16.0,Pierre Colin,Missa Confitemini: Gloria
25,Clausula Vera,False,1.0,D3,-P4,D,-P4,2/1,66,1.0,0.8203592814371258,16.0,32.0,Pierre Colin,Missa Confitemini: Gloria
26,Clausula Vera,False,1.0,G3,P1,G,P1,10/2,70,3.0,0.8682634730538922,32.0,36.0,Pierre Colin,Missa Confitemini: Gloria
27,,,,E3,-m3,A,M2,4/2,73,1.0,0.9221556886227545,36.0,14.0,Pierre Colin,Missa Confitemini: Gloria
28,Authentic,True,-1.0,A3,M2,,,4/2,75,2.0,0.9431137724550899,14.0,6.0,Pierre Colin,Missa Confitemini: Gloria
29,Clausula Vera,False,0.0,G3,P1,D,-P4,4/2,76,1.0,0.9520958083832335,6.0,16.0,Pierre Colin,Missa Confitemini: Gloria
30,Authentic,False,0.0,G3,P1,D,-P4,4/2,78,1.0,0.9760479041916168,16.0,2.0,Pierre Colin,Missa Confitemini: Gloria
31,,,,C3,-P5,F,-M2,4/2,78,2.0,0.9790419161676647,2.0,14.0,Pierre Colin,Missa Confitemini: Gloria
32,Clausula Vera,False,1.0,G3,P1,G,P1,8/2,80,1.0,1.0,14.0,16.0,Pierre Colin,Missa Confitemini: Gloria
33,Authentic,False,1.0,D3,-P4,D,-P4,4/2,6,1.0,0.03773584905660377,40.0,20.0,Pierre Colin,Missa Confitemini: Credo
34,Clausula Vera,True,1.0,D3,-P4,D,-P4,4/2,8,3.0,0.05660377358490566,20.0,44.0,Pierre Colin,Missa Confitemini: Credo
35,Clausula Vera,False,1.0,D4,P5,D,-P4,4/2,14,1.0,0.09811320754716982,44.0,28.0,Pierre Colin,Missa Confitemini: Credo
36,Authentic,False,1.0,G3,P1,G,P1,4/2,17,3.0,0.12452830188679245,28.0,40.0,Pierre Colin,Missa Confitemini: Credo
37,Clausula Vera,False,1.0,B-3,m3,B-,m3,4/2,22,3.0,0.16226415094339622,40.0,48.0,Pierre Colin,Missa Confitemini: Credo
38,Authentic,False,1.0,B-2,-M6,B-,m3,4/2,28,3.0,0.20754716981132076,48.0,36.0,Pierre Colin,Missa Confitemini: Credo
39,Clausula Vera,False,1.0,D3,-P4,D,-P4,4/2,33,1.0,0.24150943396226415,36.0,24.0,Pierre Colin,Missa Confitemini: Credo
40,,,,G3,P1,G,P1,4/2,36,1.0,0.2641509433962264,24.0,24.0,Pierre Colin,Missa Confitemini: Credo
41,,,,E4,M6,G,P1,4/2,39,1.0,0.28679245283018867,24.0,4.0,Pierre Colin,Missa Confitemini: Credo
42,Clausula Vera,False,1.0,D4,P5,D,-P4,4/2,39,3.0,0.29056603773584905,4.0,16.0,Pierre Colin,Missa Confitemini: Credo
43,Clausula Vera,False,1.0,B-3,m3,D,-P4,4/2,41,3.0,0.30566037735849055,16.0,20.0,Pierre Colin,Missa Confitemini: Credo
44,Authentic,False,1.0,G3,P1,G,P1,4/2,44,1.0,0.32452830188679244,20.0,32.0,Pierre Colin,Missa Confitemini: Credo
45,,,,A3,M2,A,M2,4/2,48,1.0,0.35471698113207545,32.0,44.0,Pierre Colin,Missa Confitemini: Credo
46,Authentic,False,1.0,D3,-P4,D,-P4,4/2,53,3.0,0.39622641509433965,44.0,28.0,Pierre Colin,Missa Confitemini: Credo
47,Clausula Vera,True,1.0,G4,P8,G,P1,4/2,57,1.0,0.4226415094339623,28.0,84.0,Pierre Colin,Missa Confitemini: Credo
48,Clausula Vera,False,1.0,D3,-P4,D,-P4,4/2,67,3.0,0.5018867924528302,84.0,20.0,Pierre Colin,Missa Confitemini: Credo
49,Clausula Vera,False,1.0,D4,P5,D,-P4,4/2,70,1.0,0.5207547169811321,20.0,20.0,Pierre Colin,Missa Confitemini: Credo
50,Clausula Vera,False,1.0,D3,-P4,D,-P4,4/2,72,3.0,0.539622641509434,20.0,84.0,Pierre Colin,Missa Confitemini: Credo
51,Clausula Vera,False,1.0,B-2,-M6,B-,m3,4/2,83,1.0,0.6188679245283019,84.0,24.0,Pierre Colin,Missa Confitemini: Credo
52,Authentic,False,1.0,G3,P1,G,P1,4/2,86,1.0,0.6415094339622641,24.0,48.0,Pierre Colin,Missa Confitemini: Credo
53,,,,D3,-P4,A,M2,4/2,92,1.0,0.6867924528301886,48.0,52.0,Pierre Colin,Missa Confitemini: Credo
54,Clausula Vera,False,1.0,D4,P5,D,-P4,4/2,98,3.0,0.7358490566037735,52.0,32.0,Pierre Colin,Missa Confitemini: Credo
55,,,,B-2,-M6,B-,m3,4/2,102,3.0,0.7660377358490567,32.0,32.0,Pierre Colin,Missa Confitemini: Credo
56,Clausula Vera,False,1.0,D3,-P4,D,-P4,4/2,106,3.0,0.7962264150943397,32.0,152.0,Pierre Colin,Missa Confitemini: Credo
57,Clausula Vera,False,1.0,G3,P1,G,P1,2/1,121,1.0,0.939622641509434,152.0,64.0,Pierre Colin,Missa Confitemini: Credo
58,Clausula Vera,False,1.0,G3,P1,G,P1,8/2,129,1.0,1.0,64.0,16.0,Pierre Colin,Missa Confitemini: Credo
59,Clausula Vera,False,1.0,G3,P1,D,-P4,4/2,6,1.0,0.050505050505050504,40.0,32.0,Pierre Colin,Missa Confitemini: Sanctus
60,Clausula Vera,False,1.0,D3,-P4,D,-P4,4/2,10,1.0,0.09090909090909091,32.0,12.0,Pierre Colin,Missa Confitemini: Sanctus
61,Authentic,False,1.0,D3,-P4,D,-P4,4/2,11,3.0,0.10606060606060606,12.0,12.0,Pierre Colin,Missa Confitemini: Sanctus
62,Authentic,False,1.0,G3,P1,G,P1,4/2,13,1.0,0.12121212121212122,12.0,28.0,Pierre Colin,Missa Confitemini: Sanctus
63,,,,D3,-P4,D,-P4,4/2,16,3.0,0.15656565656565657,28.0,20.0,Pierre Colin,Missa Confitemini: Sanctus
64,Authentic,False,1.0,G3,P1,G,P1,4/2,19,1.0,0.18181818181818182,20.0,20.0,Pierre Colin,Missa Confitemini: Sanctus
65,Clausula Vera,False,1.0,B-3,m3,D,-P4,4/2,21,3.0,0.20707070707070707,20.0,32.0,Pierre Colin,Missa Confitemini: Sanctus
66,Phrygian,False,1.0,A3,M2,A,M2,4/2,25,3.0,0.2474747474747475,32.0,8.0,Pierre Colin,Missa Confitemini: Sanctus
67,Clausula Vera,False,1.0,F3,-M2,F,-M2,4/2,26,3.0,0.25757575757575757,8.0,12.0,Pierre Colin,Missa Confitemini: Sanctus
68,Authentic,False,1.0,D3,-P4,D,-P4,4/2,28,1.0,0.2727272727272727,12.0,12.0,Pierre Colin,Missa Confitemini: Sanctus
69,Clausula Vera,False,1.0,D3,-P4,D,-P4,4/2,29,3.0,0.2878787878787879,12.0,40.0,Pierre Colin,Missa Confitemini: Sanctus
70,Authentic,False,1.0,G3,P1,G,P1,10/2,34,3.0,0.3383838383838384,40.0,56.0,Pierre Colin,Missa Confitemini: Sanctus
71,Clausula Vera,False,1.0,F3,-M2,F,-M2,4/2,40,1.0,0.4090909090909091,56.0,16.0,Pierre Colin,Missa Confitemini: Sanctus
72,Authentic,False,1.0,B-2,-M6,B-,m3,4/2,42,1.0,0.4292929292929293,16.0,12.0,Pierre Colin,Missa Confitemini: Sanctus
73,Clausula Vera,False,0.0,D3,-P4,D,-P4,4/2,43,3.0,0.4444444444444444,12.0,4.0,Pierre Colin,Missa Confitemini: Sanctus
74,Authentic,False,1.0,G3,P1,G,P1,3/1,44,1.0,0.4494949494949495,4.0,48.0,Pierre Colin,Missa Confitemini: Sanctus
75,Clausula Vera,False,1.0,B-3,m3,D,-P4,3/1,48,1.0,0.51010101010101,48.0,52.0,Pierre Colin,Missa Confitemini: Sanctus
76,Clausula Vera,False,0.0,G3,P1,G,P1,3/1,52,1.0,0.5757575757575758,52.0,120.0,Pierre Colin,Missa Confitemini: Sanctus
77,Authentic,False,0.0,G3,P1,G,P1,2/1,63,2.0,0.7272727272727273,120.0,22.0,Pierre Colin,Missa Confitemini: Sanctus
78,Clausula Vera,True,-1.0,A3,M2,,,2/1,66,1.5,0.7550505050505051,22.0,6.0,Pierre Colin,Missa Confitemini: Sanctus
79,Clausula Vera,False,1.0,G3,P1,G,P1,2/1,67,1.0,0.7626262626262627,6.0,20.0,Pierre Colin,Missa Confitemini: Sanctus
80,Authentic,False,0.0,G3,P1,G,P1,2/1,69,2.0,0.7878787878787878,20.0,36.0,Pierre Colin,Missa Confitemini: Sanctus
81,Authentic,False,1.0,G3,P1,G,P1,2/1,74,1.0,0.8333333333333334,36.0,28.0,Pierre Colin,Missa Confitemini: Sanctus
82,Authentic,False,0.0,G3,P1,G,P1,2/1,77,2.0,0.8686868686868687,28.0,44.0,Pierre Colin,Missa Confitemini: Sanctus
83,Authentic,False,0.0,G3,P1,G,P1,2/1,83,1.0,0.9242424242424242,44.0,36.0,Pierre Colin,Missa Confitemini: Sanctus
84,Authentic,False,0.0,G3,P1,G,P1,2/1,87,2.0,0.9696969696969697,36.0,44.0,Pierre Colin,Missa Confitemini: Sanctus
85,Phrygian,False,1.0,F3,-M2,A,M2,4/2,4,1.0,0.09230769230769231,24.0,8.0,Pierre Colin,Missa Confitemini: Agnus Dei
86,,,,E3,-m3,E,-m3,4/2,5,1.0,0.12307692307692308,8.0,4.0,Pierre Colin,Missa Confitemini: Agnus Dei
87,Clausula Vera,False,0.0,D3,-P4,D,-P4,4/2,5,3.0,0.13846153846153847,4.0,24.0,Pierre Colin,Missa Confitemini: Agnus Dei
88,Clausula Vera,False,1.0,F3,-M2,D,-P4,4/2,8,3.0,0.23076923076923078,24.0,24.0,Pierre Colin,Missa Confitemini: Agnus Dei
89,Authentic,False,0.0,G3,P1,G,P1,4/2,11,3.0,0.3230769230769231,24.0,17.0,Pierre Colin,Missa Confitemini: Agnus Dei
90,Clausula Vera,True,-1.0,F3,-M2,,,4/2,13,3.5,0.38846153846153847,17.0,7.0,Pierre Colin,Missa Confitemini: Agnus Dei
91,,,,G3,P1,G,P1,4/2,14,3.0,0.4153846153846154,7.0,20.0,Pierre Colin,Missa Confitemini: Agnus Dei
92,Authentic,False,0.0,D3,-P4,D,-P4,4/2,17,1.0,0.49230769230769234,20.0,16.0,Pierre Colin,Missa Confitemini: Agnus Dei
93,Authentic,False,1.0,G3,P1,G,P1,4/2,19,1.0,0.5538461538461539,16.0,24.0,Pierre Colin,Missa Confitemini: Agnus Dei
94,Clausula Vera,False,1.0,D4,P5,D,-P4,4/2,22,1.0,0.6461538461538462,24.0,28.0,Pierre Colin,Missa Confitemini: Agnus Dei
95,Clausula Vera,False,1.0,D3,-P4,D,-P4,4/2,25,3.0,0.7538461538461538,28.0,24.0,Pierre Colin,Missa Confitemini: Agnus Dei
96,Authentic,False,1.0,B-2,-M6,B-,m3,4/2,28,3.0,0.8461538461538461,24.0,16.0,Pierre Colin,Missa Confitemini: Agnus Dei
97,Clausula Vera,False,1.0,D4,P5,D,-P4,4/2,30,3.0,0.9076923076923077,16.0,24.0,Pierre Colin,Missa Confitemini: Agnus Dei
98,Authentic,False,1.0,G3,P1,G,P1,10/2,33,3.0,1.0,24.0,16.0,Pierre Colin,Missa Confitemini: Agnus Dei
99,Clausula Vera,False,0.0,C4,P8,C,-P5,4/2,5,2.0,0.0625,34.0,6.0,Mathieu Sohier,Missa Vidi speciosam: Kyrie
100,Authentic,False,0.0,G3,P5,G,P1,4/2,6,1.0,0.07352941176470588,6.0,36.0,Mathieu Sohier,Missa Vidi speciosam: Kyrie
101,,,,G3,P5,G,P1,4/2,10,3.0,0.13970588235294118,36.0,8.0,Mathieu Sohier,Missa Vidi speciosam: Kyrie
102,,,,B-3,m7,,,4/2,11,3.0,0.15441176470588236,8.0,20.0,Mathieu Sohier,Missa Vidi speciosam: Kyrie
103,Clausula Vera,True,-1.0,D3,M2,,,4/2,14,1.0,0.19117647058823528,20.0,12.0,Mathieu Sohier,Missa Vidi speciosam: Kyrie
104,,,,G3,P5,B-,m3,4/2,15,3.0,0.21323529411764705,12.0,8.0,Mathieu Sohier,Missa Vidi speciosam: Kyrie
105,Clausula Vera,False,0.0,E3,M3,G,P1,4/2,16,3.0,0.22794117647058823,8.0,24.0,Mathieu Sohier,Missa Vidi speciosam: Kyrie
106,Clausula Vera,False,0.0,D3,M2,D,-P4,4/2,19,3.0,0.27205882352941174,24.0,4.0,Mathieu Sohier,Missa Vidi speciosam: Kyrie
107,Authentic,False,0.0,G3,P5,G,P1,4/2,20,1.0,0.27941176470588236,4.0,97.0,Mathieu Sohier,Missa Vidi speciosam: Kyrie
108,Clausula Vera,True,1.0,G3,P5,A,M2,4/2,31,1.5,0.4577205882352941,97.0,83.0,Mathieu Sohier,Missa Vidi speciosam: Kyrie
109,Clausula Vera,True,1.0,G3,P5,G,P1,4/2,41,3.0,0.6102941176470589,83.0,4.0,Mathieu Sohier,Missa Vidi speciosam: Kyrie
110,Plagal,False,1.0,D3,M2,A,M2,8/2,42,1.0,0.6176470588235294,4.0,56.0,Mathieu Sohier,Missa Vidi speciosam: Kyrie
111,,,,F3,P4,,,4/2,48,1.0,0.7205882352941176,56.0,40.0,Mathieu Sohier,Missa Vidi speciosam: Kyrie
112,,,,D3,M2,D,-P4,4/2,53,1.0,0.7941176470588235,40.0,16.0,Mathieu Sohier,Missa Vidi speciosam: Kyrie
113,Clausula Vera,False,0.0,G3,P5,G,P1,4/2,55,1.0,0.8235294117647058,16.0,8.0,Mathieu Sohier,Missa Vidi speciosam: Kyrie
114,Phrygian,False,1.0,A3,M6,A,M2,4/2,56,1.0,0.8382352941176471,8.0,36.0,Mathieu Sohier,Missa Vidi speciosam: Kyrie
115,Authentic,False,0.0,E3,M3,G,P1,4/2,60,3.0,0.9044117647058824,36.0,12.0,Mathieu Sohier,Missa Vidi speciosam: Kyrie
116,,,,C3,P1,G,P1,4/2,62,1.0,0.9264705882352942,12.0,56.0,Mathieu Sohier,Missa Vidi speciosam: Kyrie
117,Clausula Vera,True,-1.0,E3,-m3,,,4/2,8,3.0,0.06147540983606557,60.0,4.0,Mathieu Sohier,Missa Vidi speciosam: Gloria
118,Clausula Vera,False,1.0,D3,-P4,D,-P4,4/2,9,1.0,0.06557377049180328,4.0,4.0,Mathieu Sohier,Missa Vidi speciosam: Gloria
119,Authentic,False,0.0,G3,P1,G,P1,4/2,9,3.0,0.06967213114754098,4.0,64.0,Mathieu Sohier,Missa Vidi speciosam: Gloria
120,Authentic,False,1.0,G3,P1,G,P1,4/2,17,3.0,0.13524590163934427,64.0,52.0,Mathieu Sohier,Missa Vidi speciosam: Gloria
121,,,,C4,P4,D,-P4,4/2,24,1.0,0.1885245901639344,52.0,20.0,Mathieu Sohier,Missa Vidi speciosam: Gloria
122,Clausula Vera,False,1.0,D3,-P4,D,-P4,4/2,26,3.0,0.20901639344262296,20.0,8.0,Mathieu Sohier,Missa Vidi speciosam: Gloria
123,Clausula Vera,True,-1.0,G3,P1,,,4/2,27,3.0,0.21721311475409835,8.0,32.0,Mathieu Sohier,Missa Vidi speciosam: Gloria
124,Authentic,True,-1.0,D3,-P4,,,4/2,31,3.0,0.25,32.0,20.0,Mathieu Sohier,Missa Vidi speciosam: Gloria
125,Clausula Vera,False,0.0,D4,P5,D,-P4,4/2,34,1.0,0.27049180327868855,20.0,24.0,Mathieu Sohier,Missa Vidi speciosam: Gloria
126,Clausula Vera,False,1.0,B-3,m3,D,-P4,4/2,37,1.0,0.29508196721311475,24.0,16.0,Mathieu Sohier,Missa Vidi speciosam: Gloria
127,Clausula Vera,False,0.0,G3,P1,G,P1,4/2,39,1.0,0.3114754098360656,16.0,8.0,Mathieu Sohier,Missa Vidi speciosam: Gloria
128,Clausula Vera,True,-1.0,D4,P5,,,4/2,40,1.0,0.319672131147541,8.0,4.0,Mathieu Sohier,Missa Vidi speciosam: Gloria
129,Clausula Vera,True,-1.0,B-3,m3,,,4/2,40,3.0,0.3237704918032787,4.0,14.0,Mathieu Sohier,Missa Vidi speciosam: Gloria
130,,,,A3,M2,F,-M2,4/2,42,2.0,0.33811475409836067,14.0,6.0,Mathieu Sohier,Missa Vidi speciosam: Gloria
131,Clausula Vera,False,1.0,F3,-M2,F,-M2,4/2,43,1.0,0.3442622950819672,6.0,32.0,Mathieu Sohier,Missa Vidi speciosam: Gloria
132,Authentic,False,1.0,G3,P1,G,P1,4/2,47,1.0,0.3770491803278688,32.0,12.0,Mathieu Sohier,Missa Vidi speciosam: Gloria
133,,,,B-3,m3,D,-P4,4/2,48,3.0,0.38934426229508196,12.0,8.0,Mathieu Sohier,Missa Vidi speciosam: Gloria
134,Clausula Vera,True,1.0,D4,P5,F,-M2,4/2,49,3.0,0.3975409836065574,8.0,2.0,Mathieu Sohier,Missa Vidi speciosam: Gloria
135,Clausula Vera,True,-1.0,D4,P5,,,4/2,49,4.0,0.39959016393442626,2.0,2.0,Mathieu Sohier,Missa Vidi speciosam: Gloria
136,Authentic,True,-1.0,G3,P1,,,4/2,50,1.0,0.4016393442622951,2.0,36.0,Mathieu Sohier,Missa Vidi speciosam: Gloria
137,Clausula Vera,False,1.0,D4,P5,F,-M2,4/2,54,3.0,0.4385245901639344,36.0,22.0,Mathieu Sohier,Missa Vidi speciosam: Gloria
138,Clausula Vera,True,-1.0,E3,-m3,,,4/2,57,2.0,0.4610655737704918,22.0,6.0,Mathieu Sohier,Missa Vidi speciosam: Gloria
139,Authentic,False,1.0,G3,P1,G,P1,4/2,58,1.0,0.4672131147540984,6.0,12.0,Mathieu Sohier,Missa Vidi speciosam: Gloria
140,Authentic,False,0.0,C3,-P5,C,-P5,4/2,59,3.0,0.47950819672131145,12.0,68.0,Mathieu Sohier,Missa Vidi speciosam: Gloria
141,Clausula Vera,False,1.0,D4,P5,D,-P4,4/2,67,1.0,0.5491803278688525,68.0,32.0,Mathieu Sohier,Missa Vidi speciosam: Gloria
142,Clausula Vera,False,1.0,G3,P1,G,P1,4/2,71,1.0,0.5819672131147541,32.0,48.0,Mathieu Sohier,Missa Vidi speciosam: Gloria
143,Clausula Vera,False,0.0,D4,P5,D,-P4,4/2,77,1.0,0.6311475409836066,48.0,12.0,Mathieu Sohier,Missa Vidi speciosam: Gloria
144,Authentic,False,0.0,G3,P1,G,P1,4/2,78,3.0,0.6434426229508197,12.0,20.0,Mathieu Sohier,Missa Vidi speciosam: Gloria
145,,,,D3,-P4,F#,-m2,4/2,81,1.0,0.6639344262295082,20.0,32.0,Mathieu Sohier,Missa Vidi speciosam: Gloria
146,,,,E3,-m3,,,4/2,85,1.0,0.6967213114754098,32.0,32.0,Mathieu Sohier,Missa Vidi speciosam: Gloria
147,Clausula Vera,True,-1.0,B-3,m3,,,4/2,89,1.0,0.7295081967213115,32.0,16.0,Mathieu Sohier,Missa Vidi speciosam: Gloria
148,Authentic,True,-1.0,B-3,m3,,,4/2,91,1.0,0.7459016393442623,16.0,12.0,Mathieu Sohier,Missa Vidi speciosam: Gloria
149,Authentic,True,1.0,E3,-m3,G,P1,4/2,92,3.0,0.7581967213114754,12.0,8.0,Mathieu Sohier,Missa Vidi speciosam: Gloria
150,Clausula Vera,False,0.0,G3,P1,G,P1,4/2,93,3.0,0.7663934426229508,8.0,64.0,Mathieu Sohier,Missa Vidi speciosam: Gloria
151,Clausula Vera,False,1.0,D4,P5,D,-P4,4/2,101,3.0,0.8319672131147541,64.0,16.0,Mathieu Sohier,Missa Vidi speciosam: Gloria
152,Clausula Vera,False,1.0,G3,P1,G,P1,4/2,103,3.0,0.8483606557377049,16.0,20.0,Mathieu Sohier,Missa Vidi speciosam: Gloria
153,Phrygian,False,1.0,A3,M2,A,M2,4/2,106,1.0,0.8688524590163934,20.0,32.0,Mathieu Sohier,Missa Vidi speciosam: Gloria
154,Clausula Vera,False,1.0,D3,-P4,D,-P4,4/2,110,1.0,0.9016393442622951,32.0,20.0,Mathieu Sohier,Missa Vidi speciosam: Gloria
155,,,,A3,M2,C,-P5,4/2,112,3.0,0.9221311475409836,20.0,60.0,Mathieu Sohier,Missa Vidi speciosam: Gloria
156,Authentic,False,1.0,G3,P1,G,P1,4/2,120,1.0,0.9836065573770492,60.0,32.0,Mathieu Sohier,Missa Vidi speciosam: Gloria
157,Clausula Vera,False,0.0,D3,-P4,D,-P4,4/2,3,3.0,0.013966480446927373,20.0,4.0,Mathieu Sohier,Missa Vidi speciosam: Credo
158,Authentic,False,0.0,G3,P1,G,P1,4/2,4,1.0,0.01675977653631285,4.0,8.0,Mathieu Sohier,Missa Vidi speciosam: Credo
159,Clausula Vera,True,1.0,G3,P1,G,P1,4/2,5,1.0,0.0223463687150838,8.0,44.0,Mathieu Sohier,Missa Vidi speciosam: Credo
160,Clausula Vera,False,0.0,D3,-P4,D,-P4,4/2,10,3.0,0.05307262569832402,44.0,4.0,Mathieu Sohier,Missa Vidi speciosam: Credo
161,Authentic,False,0.0,G3,P1,G,P1,4/2,11,1.0,0.055865921787709494,4.0,32.0,Mathieu Sohier,Missa Vidi speciosam: Credo
162,Clausula Vera,True,1.0,G3,P1,G,P1,4/2,15,1.0,0.0782122905027933,32.0,56.0,Mathieu Sohier,Missa Vidi speciosam: Credo
163,,,,G3,P1,G,P1,4/2,22,1.0,0.11731843575418995,56.0,60.0,Mathieu Sohier,Missa Vidi speciosam: Credo
164,Clausula Vera,False,0.0,B-3,m3,D,-P4,4/2,29,3.0,0.15921787709497207,60.0,28.0,Mathieu Sohier,Missa Vidi speciosam: Credo
165,Authentic,False,0.0,D3,-P4,D,-P4,4/2,33,1.0,0.1787709497206704,28.0,28.0,Mathieu Sohier,Missa Vidi speciosam: Credo
166,Authentic,False,0.0,G3,P1,G,P1,4/2,36,3.0,0.19832402234636873,28.0,8.0,Mathieu Sohier,Missa Vidi speciosam: Credo
167,,,,G3,P1,G,P1,4/2,37,3.0,0.20391061452513967,8.0,8.0,Mathieu Sohier,Missa Vidi speciosam: Credo
168,Authentic,False,0.0,D3,-P4,D,-P4,4/2,38,3.0,0.20949720670391062,8.0,8.0,Mathieu Sohier,Missa Vidi speciosam: Credo
169,Clausula Vera,True,1.0,D4,P5,D,-P4,4/2,39,3.0,0.21508379888268156,8.0,8.0,Mathieu Sohier,Missa Vidi speciosam: Credo
170,Clausula Vera,False,0.0,D4,P5,D,-P4,4/2,40,3.0,0.2206703910614525,8.0,36.0,Mathieu Sohier,Missa Vidi speciosam: Credo
171,Clausula Vera,False,1.0,B-3,m3,D,-P4,4/2,45,1.0,0.24581005586592178,36.0,16.0,Mathieu Sohier,Missa Vidi speciosam: Credo
172,,,,G3,P1,G,P1,4/2,47,1.0,0.2569832402234637,16.0,44.0,Mathieu Sohier,Missa Vidi speciosam: Credo
173,Clausula Vera,False,0.0,D3,-P4,D,-P4,4/2,52,3.0,0.2877094972067039,44.0,32.0,Mathieu Sohier,Missa Vidi speciosam: Credo
174,Clausula Vera,False,0.0,G3,P1,G,P1,4/2,56,3.0,0.3100558659217877,32.0,82.0,Mathieu Sohier,Missa Vidi speciosam: Credo
175,Authentic,True,0.0,F3,-M2,D,-P4,4/2,66,4.0,0.36731843575418993,82.0,34.0,Mathieu Sohier,Missa Vidi speciosam: Credo
176,,,,G3,P1,G,P1,4/2,71,1.0,0.39106145251396646,34.0,80.0,Mathieu Sohier,Missa Vidi speciosam: Credo
177,Clausula Vera,False,1.0,D3,-P4,D,-P4,4/2,80,1.0,0.44692737430167595,80.0,28.0,Mathieu Sohier,Missa Vidi speciosam: Credo
178,Clausula Vera,False,1.0,B-3,m3,B-,m3,4/2,83,3.0,0.4664804469273743,28.0,36.0,Mathieu Sohier,Missa Vidi speciosam: Credo
179,Authentic,False,1.0,G3,P1,G,P1,4/2,88,1.0,0.49162011173184356,36.0,40.0,Mathieu Sohier,Missa Vidi speciosam: Credo
180,Clausula Vera,True,1.0,C4,P4,E,-m3,4/2,93,1.0,0.5195530726256983,40.0,8.0,Mathieu Sohier,Missa Vidi speciosam: Credo
181,Clausula Vera,False,0.0,B-3,m3,D,-P4,4/2,94,1.0,0.5251396648044693,8.0,16.0,Mathieu Sohier,Missa Vidi speciosam: Credo
