,Validation,Comments,Composer,Title,First_Offset,Measures_Beats,Melodic_Entry_Intervals,Offsets,Soggetti,Time_Entry_Intervals,Voices,Presentation_Type,Number_Entries,Flexed_Entries
0,,,"Lassus, Roland de",Susanne un jour,0.0,"['1/1.0', '5/1.0']",['P-11'],"[0.0, 32.0]","[('3', '2', '2', '-5')]",[32.0],"['Superius', 'Bassus']",FUGA,2.0,False
1,,,"Lassus, Roland de",Susanne un jour,46.0,"['6/4.0', '8/4.0']",['P-5'],"[46.0, 62.0]","[('2', '-2', '-2', '-2')]",[16.0],"['Contratenor', 'Tenor']",FUGA,2.0,False
2,,,"Lassus, Roland de",Susanne un jour,154.0,"['20/2.0', '22/2.0']",['P-5'],"[154.0, 170.0]","[('2', '-2', '-2', '-2')]",[16.0],"['Contratenor', 'QuintaPars']",FUGA,2.0,False
3,,,"Lassus, Roland de",Susanne un jour,366.0,"['46/4.0', '48/4.0']",['P-8'],"[366.0, 382.0]","[('2', '-2', '-2', '-2')]",[16.0],"['Superius', 'Tenor']",FUGA,2.0,False
4,,,"Lassus, Roland de",Susanne un jour,398.0,"['50/4.0', '53/3.0']",['P-8'],"[398.0, 420.0]","[('-2', '-2', '-2', '-2')]",[22.0],"['Superius', 'Tenor']",FUGA,2.0,False
5,,,Pere Riquet,Missa Susanne un jour: Kyrie,0.0,"['1/1.0', '3/1.0', '5/4.0', '9/4.0']","['P-8', 'P1', 'P1']","[0.0, 16.0, 38.0, 70.0]","[('3', '-2', '-2', '-2')]","[16.0, 22.0, 32.0]","['[Altus]', '[Bassus]', '[Bassus]', '[Tenor]']",FUGA,4.0,False
6,,,Pere Riquet,Missa Susanne un jour: Kyrie,136.0,"['17/1.0', '18/2.0', '19/4.0']","['P15', 'P-15']","[136.0, 146.0, 158.0]","[('4', '-2', '-3', '2')]","[10.0, 12.0]","['[Bassus]', '[Superius] ', '[Bassus]']",FUGA,3.0,False
7,,,Pere Riquet,Missa Susanne un jour: Gloria,22.0,"['3/4.0', '10/3.0']",['P1'],"[22.0, 76.0]","[('-2', '-2', '-2', '2')]",[54.0],"['[Superius]', '[Superius]']",FUGA,2.0,False
8,,,Pere Riquet,Missa Susanne un jour: Gloria,88.0,"['12/1.0', '15/1.0']",['P1'],"[88.0, 112.0]","[('-2', '-2', '-2', '-2')]",[24.0],"['[Bassus]', '[Tenor]']",FUGA,2.0,False
9,,,Pere Riquet,Missa Susanne un jour: Gloria,290.0,"['37/2.0', '39/4.0']",['P1'],"[290.0, 310.0]","[('3', '2', '2', '-3')]",[20.0],"['[Bassus]', '[Tenor]']",FUGA,2.0,False
10,,,Pere Riquet,Missa Susanne un jour: Gloria,298.0,"['38/2.0', '42/4.0']",['P-8'],"[298.0, 334.0]","[('3', '2', '2', '2')]",[36.0],"['[Altus]', '[Bassus]']",FUGA,2.0,False
11,,,Pere Riquet,Missa Susanne un jour: Gloria,362.0,"['46/2.0', '50/2.0']",['P1'],"[362.0, 394.0]","[('-2', '-2', '-2', '-3')]",[32.0],"['[Tenor]', '[Bassus]']",FUGA,2.0,False
12,,,Pere Riquet,Missa Susanne un jour: Gloria,370.0,"['47/2.0', '51/4.0']",['P1'],"[370.0, 406.0]","[('-2', '-2', '-2', '-2')]",[36.0],"['[Superius]', '[Superius]']",FUGA,2.0,False
