,Composer,Title,Measure,Beat,CadType,Tone,Evaded,LeadingTones,Low,RelLow,RelTone,Progress,SinceLast,ToNext,Validation,Comments
0,Josquin Des Prés,Praeter rerum,9,1.0,Clausula Vera,G,False,1.0,G2,-m6,P1,0.0594059405940594,96.0,168.0,,
1,Josquin Des Prés,Praeter rerum,23,1.0,Authentic,B-,True,1.0,G2,-m6,m3,0.16336633663366337,168.0,88.0,,
2,Josquin Des Prés,Praeter rerum,30,2.0,Clausula Vera,C,False,0.0,C3,-m3,-P5,0.21782178217821782,88.0,24.0,,
3,Josquin Des Prés,Praeter rerum,32,2.0,Phrygian,D,False,1.0,D3,-m2,-P4,0.23267326732673269,24.0,32.0,,
4,Josquin Des Prés,Praeter rerum,35,1.0,Phrygian,D,False,1.0,D3,-m2,-P4,0.2524752475247525,32.0,48.0,,
5,Josquin Des Prés,Praeter rerum,39,1.0,Clausula Vera,G,False,1.0,G2,-m6,P1,0.28217821782178215,48.0,60.0,,
6,Josquin Des Prés,Praeter rerum,44,1.0,Clausula Vera,C,False,0.0,C4,M6,-P5,0.3193069306930693,60.0,132.0,,
7,Josquin Des Prés,Praeter rerum,55,1.0,,,,,G2,-m6,,0.400990099009901,132.0,24.0,,
8,Josquin Des Prés,Praeter rerum,57,1.0,Clausula Vera,G,False,0.0,G2,-m6,P1,0.4158415841584158,24.0,48.0,,
9,Josquin Des Prés,Praeter rerum,62,1.0,Clausula Vera,G,False,1.0,G3,M3,P1,0.44554455445544555,48.0,164.0,,
10,Josquin Des Prés,Praeter rerum,82,1.0,Clausula Vera,G,False,0.0,F3,M2,P1,0.5470297029702971,164.0,76.0,,
11,Josquin Des Prés,Praeter rerum,92,1.0,Clausula Vera,G,False,0.0,G2,-m6,P1,0.594059405940594,76.0,32.0,,
12,Josquin Des Prés,Praeter rerum,96,1.0,Clausula Vera,G,False,0.0,G2,-m6,P1,0.6138613861386139,32.0,64.0,,
13,Josquin Des Prés,Praeter rerum,104,1.0,Phrygian,D,False,1.0,D3,-m2,-P4,0.6534653465346535,64.0,48.0,,
14,Josquin Des Prés,Praeter rerum,110,1.0,,F#,,,D3,-m2,-m2,0.6831683168316832,48.0,432.0,,
15,Josquin Des Prés,Praeter rerum,146,2.0,Authentic,G,True,0.0,E-3,P1,P1,0.9504950495049505,432.0,96.0,,
16,Cipriano de Rore,MIssa Praeter rerum: Kyrie,8,3.0,Authentic,C,False,0.0,C3,P4,-P5,0.06637168141592921,60.0,16.0,,
17,Cipriano de Rore,MIssa Praeter rerum: Kyrie,10,3.0,Authentic,B-,False,1.0,B-2,m3,m3,0.084070796460177,16.0,20.0,,
18,Cipriano de Rore,MIssa Praeter rerum: Kyrie,13,1.0,Clausula Vera,G,False,1.0,G2,P1,P1,0.10619469026548672,20.0,40.0,,
19,Cipriano de Rore,MIssa Praeter rerum: Kyrie,18,1.0,Phrygian,D,False,1.0,G3,P8,-P4,0.1504424778761062,40.0,34.0,,
20,Cipriano de Rore,MIssa Praeter rerum: Kyrie,22,2.0,Authentic,,True,-1.0,G2,P1,,0.18805309734513273,34.0,22.0,,
21,Cipriano de Rore,MIssa Praeter rerum: Kyrie,25,1.0,Phrygian,A,False,1.0,A2,M2,M2,0.21238938053097345,22.0,56.0,,
