,Validation,Comments,Composer,Title,First_Offset,Measures_Beats,Melodic_Entry_Intervals,Offsets,Soggetti,Time_Entry_Intervals,Voices,Presentation_Type,Number_Entries,Flexed_Entries
0,,,Guillaume Le Heurteur,Congratulamini mihi,22.0,"['3/4.0', '5/2.0', '8/2.0']","['P1', 'P-8']","[22.0, 34.0, 58.0]","[('3', '-2', '-2', '-2')]","[12.0, 24.0]","['Superius 2', 'Superius 1', 'Tenor']",FUGA,3.0,False
1,,,Guillaume Le Heurteur,Congratulamini mihi,86.0,"['11/4.0', '13/4.0', '15/2.0', '17/2.0', '18/2.0', '18/4.0', '20/4.0']","['P-4', 'P-5', 'P5', 'm2', 'm-6', 'P5']","[86.0, 102.0, 114.0, 130.0, 138.0, 142.0, 158.0]","[('-2', '2', '2', '2')]","[16.0, 12.0, 16.0, 8.0, 4.0, 16.0]","['Superius 2', 'Superius 1', 'Tenor', 'Superius 1', 'Superius 2', 'Altus', 'Superius 2']",FUGA,7.0,False
2,,,Guillaume Le Heurteur,Congratulamini mihi,90.0,"['12/2.0', '15/4.0', '19/2.0']","['P-8', 'P1']","[90.0, 118.0, 146.0]","[('2', '2', '2', '2')]","[28.0, 28.0]","['Altus', 'Bassus', 'Bassus']",PEN,3.0,False
3,,,Guillaume Le Heurteur,Congratulamini mihi,198.0,"['25/4.0', '26/2.0', '29/2.0', '32/2.0']","['P-8', 'P8', 'P1']","[198.0, 202.0, 226.0, 250.0]","[('-4', '4', '2', '2')]","[4.0, 24.0, 24.0]","['Superius 2', 'Tenor', 'Superius 1', 'Superius 1']",FUGA,4.0,False
4,,,Guillaume Le Heurteur,Congratulamini mihi,214.0,"['27/4.0', '30/2.0']",['P8'],"[214.0, 234.0]","[('-5', '4', '2', '2')]",[20.0],"['Bassus', 'Altus']",FUGA,2.0,False
5,,,Guillaume Le Heurteur,Congratulamini mihi,262.0,"['33/4.0', '35/4.0', '40/2.0']","['P1', 'P12']","[262.0, 278.0, 314.0]","[('-2', '-3', '2', '2')]","[16.0, 36.0]","['Tenor', 'Bassus', 'Superius 1']",FUGA,3.0,False
6,,,Guillaume Le Heurteur,Congratulamini mihi,306.0,"['39/2.0', '41/2.0']",['P8'],"[306.0, 322.0]","[('5', '-2', '-2', '-2')]",[16.0],"['Tenor', 'Superius 2']",FUGA,2.0,False
7,,,Guillaume Le Heurteur,Congratulamini mihi,340.0,"['43/3.0', '44/3.0', '45/4.0', '46/1.0', '47/1.0', '48/1.0']","['P-5', 'P8', 'P5', 'P1', 'P-5']","[340.0, 348.0, 358.0, 360.0, 368.0, 376.0]","[('-2', '-3', '2', '-2')]","[8.0, 10.0, 2.0, 8.0, 8.0]","['Tenor', 'Bassus', 'Altus', 'Superius 1', 'Superius 2', 'Altus']",FUGA,6.0,False
8,,,Guillaume Le Heurteur,Congratulamini mihi,394.0,"['50/2.0', '50/3.0', '51/3.0', '54/2.0', '54/4.0', '56/1.0', '57/2.0']","['P-5', 'P8', 'P-4', 'P8', 'P-12', 'P8']","[394.0, 396.0, 404.0, 426.0, 430.0, 440.0, 450.0]","[('4', '-2', '-2', '-2')]","[2.0, 8.0, 22.0, 4.0, 10.0, 10.0]","['Tenor', 'Bassus', 'Superius 1', 'Altus', 'Superius 2', 'Bassus', 'Superius 1']",FUGA,7.0,False
9,,,Guillaume Le Heurteur,Congratulamini mihi,440.0,"['56/1.0', '62/4.0']",['P5'],"[440.0, 494.0]","[('-2', '-2', '-2', '-2')]",[54.0],"['Tenor', 'Superius 1']",FUGA,2.0,False
10,,,Guillaume Le Heurteur,Congratulamini mihi,478.0,"['60/4.0', '61/4.0', '63/2.0', '64/4.0', '65/2.0', '66/4.0']","['P-8', 'P8', 'P1', 'P-8', 'P8']","[478.0, 486.0, 498.0, 510.0, 514.0, 526.0]","[('4', '-2', '2', '2')]","[8.0, 12.0, 12.0, 4.0, 12.0]","['Superius 1', 'Tenor', 'Superius 2', 'Superius 1', 'Tenor', 'Superius 2']",FUGA,6.0,False
11,,,Guillaume Le Heurteur,Congratulamini mihi,584.0,"['74/1.0', '74/3.0', '76/2.0', '81/1.0', '81/3.0']","['P-8', 'P5', 'P-5', 'P-8']","[584.0, 588.0, 602.0, 640.0, 644.0]","[('3', '3', '-2', '-2')]","[4.0, 14.0, 38.0, 4.0]","['Superius 2', 'Altus', 'Superius 1', 'Tenor', 'Bassus']",FUGA,5.0,False
12,,,Guillaume Le Heurteur,Congratulamini mihi,678.0,"['85/4.0', '86/4.0', '91/4.0']","['P-5', 'P-4']","[678.0, 686.0, 726.0]","[('4', '-4', '2', '-2')]","[8.0, 40.0]","['Superius 2', 'Superius 1', 'Tenor']",FUGA,3.0,False
13,,,Guillaume Le Heurteur,Congratulamini mihi,738.0,"['93/2.0', '94/2.0', '97/2.0']","['P-11', 'P11']","[738.0, 746.0, 770.0]","[('-2', '-2', '-2', '2')]","[8.0, 24.0]","['Superius 2', 'Altus', 'Superius 1']",FUGA,3.0,False
14,,,Guillaume Le Heurteur,Congratulamini mihi,774.0,"['97/4.0', '98/4.0', '101/2.0', '108/4.0']","['P5', 'P4', 'P1']","[774.0, 782.0, 802.0, 862.0]","[('2', '2', '2', '2')]","[8.0, 20.0, 60.0]","['Bassus', 'Tenor', 'Altus', 'Altus']",FUGA,4.0,False
15,,,Guillaume Le Heurteur,Congratulamini mihi,818.0,"['103/2.0', '104/2.0']",['P1'],"[818.0, 826.0]","[('4', '2', '2', '2')]",[8.0],"['Superius 2', 'Superius 1']",FUGA,2.0,False
16,,,Guillaume Le Heurteur,Congratulamini mihi,854.0,"['107/4.0', '110/4.0']",['P1'],"[854.0, 878.0]","[('-2', '-2', '-2', '-5')]",[24.0],"['Bassus', 'Bassus']",FUGA,2.0,False
17,,,Guillaume Le Heurteur,Congratulamini mihi,870.0,"['109/4.0', '112/2.0']",['P-8'],"[870.0, 890.0]","[('-2', '-2', '-2', '-2')]",[20.0],"['Superius 2', 'Altus']",FUGA,2.0,False
18,,,Guillaume Le Heurteur,Congratulamini mihi,882.0,"['111/2.0', '119/2.0']",['P5'],"[882.0, 946.0]","[('2', '-2', '2', '2')]",[64.0],"['Tenor', 'Superius 1']",FUGA,2.0,False
19,,,Guillaume Le Heurteur,Congratulamini mihi,890.0,"['112/2.0', '115/2.0', '116/2.0', '116/4.0', '117/3.0', '118/2.0']","['M-10', 'P11', 'P-4', 'P-5', 'P-4']","[890.0, 914.0, 922.0, 926.0, 932.0, 938.0]","[('2', '2', '2', '-2')]","[24.0, 8.0, 4.0, 6.0, 6.0]","['Superius 1', 'Bassus', 'Superius 2', 'Superius 1', 'Altus', 'Tenor']",FUGA,6.0,False
20,,,Guillaume Le Heurteur,Congratulamini mihi,910.0,"['114/4.0', '122/2.0']",['P5'],"[910.0, 970.0]","[('2', '2', '2', '-3')]",[60.0],"['Tenor', 'Superius 1']",FUGA,2.0,False
21,,,Guillaume Le Heurteur,Congratulamini mihi,998.0,"['125/4.0', '126/4.0', '128/4.0', '129/4.0', '132/4.0']","['P-4', 'P11', 'P5', 'P-12']","[998.0, 1006.0, 1022.0, 1030.0, 1054.0]","[('-2', '-2', '-2', '2')]","[8.0, 16.0, 8.0, 24.0]","['Tenor', 'Bassus', 'Superius 1', 'Superius 2', 'Bassus']",FUGA,5.0,False
22,,,Guillaume Le Heurteur,Congratulamini mihi,1058.0,"['133/2.0', '136/4.0', '137/4.0', '139/2.0', '140/4.0', '141/2.0', '142/4.0']","['P8', 'P-8', 'P8', 'P1', 'P-8', 'P8']","[1058.0, 1086.0, 1094.0, 1106.0, 1118.0, 1122.0, 1134.0]","[('4', '-2', '2', '2')]","[28.0, 8.0, 12.0, 12.0, 4.0, 12.0]","['Tenor', 'Superius 2', 'Tenor', 'Superius 1', 'Superius 2', 'Tenor', 'Superius 1']",FUGA,7.0,False
23,,,Francisco Guerrero,Missa Congratulamini mihi: Kyrie,0.0,"['1/1.0', '3/1.0', '6/1.0', '8/2.0', '11/1.0', '12/4.0', '18/4.0', '26/2.0']","['P-5', 'P-4', 'P-5', 'P12', 'P-8', 'P8', 'P1']","[0.0, 16.0, 40.0, 58.0, 80.0, 94.0, 142.0, 202.0]","[('4', '2', '2', '-3')]","[16.0, 24.0, 18.0, 22.0, 14.0, 48.0, 60.0]","['Superius 1Âº', 'Altus', 'Tenor', 'Bassus', 'Superius 2Âº', 'Tenor', 'Superius 2Âº', 'Superius 2Âº']",FUGA,8.0,False
24,,,Francisco Guerrero,Missa Congratulamini mihi: Kyrie,114.0,"['15/2.0', '17/2.0']",['M2'],"[114.0, 130.0]","[('4', '-2', '-2', '-2')]",[16.0],"['Superius 2Âº', 'Superius 1Âº']",FUGA,2.0,False
25,,,Francisco Guerrero,Missa Congratulamini mihi: Kyrie,134.0,"['17/4.0', '25/3.0']",['P-8'],"[134.0, 196.0]","[('4', '2', '2', '2')]",[62.0],"['Altus', 'Bassus']",FUGA,2.0,False
26,,,Francisco Guerrero,Missa Congratulamini mihi: Kyrie,158.0,"['20/4.0', '22/2.0', '23/4.0']","['P5', 'P5']","[158.0, 170.0, 182.0]","[('2', '-2', '-3', '2')]","[12.0, 12.0]","['Bassus', 'Tenor', 'Superius 2Âº']",PEN,3.0,False
27,,,Francisco Guerrero,Missa Congratulamini mihi: Kyrie,250.0,"['32/2.0', '32/3.0', '33/4.0', '38/3.0', '39/2.0', '41/2.0', '43/1.0']","['P-5', 'P8', 'M2', 'P-12', 'M2', 'M-6']","[250.0, 252.0, 262.0, 300.0, 306.0, 322.0, 336.0]","[('2', '2', '2', '-2')]","[2.0, 10.0, 38.0, 6.0, 16.0, 14.0]","['Superius 2Âº', 'Altus', 'Superius 1Âº', 'Superius 2Âº', 'Bassus', 'Tenor', 'Bassus']",FUGA,7.0,False
28,,,Francisco Guerrero,Missa Congratulamini mihi: Kyrie,314.0,"['40/2.0', '43/4.0', '46/4.0', '48/2.0', '49/4.0', '50/2.0', '51/4.0']","['m-3', 'M-3', 'P5', 'P-4', 'P-5', 'P5']","[314.0, 342.0, 366.0, 378.0, 390.0, 394.0, 406.0]","[('-2', '-2', '-2', '-2')]","[28.0, 24.0, 12.0, 12.0, 4.0, 12.0]","['Altus', 'Altus', 'Bassus', 'Tenor', 'Altus', 'Bassus', 'Tenor']",FUGA,7.0,False
29,,,Francisco Guerrero,Missa Congratulamini mihi: Kyrie,422.0,"['53/4.0', '55/2.0', '56/4.0', '58/2.0', '59/3.0']","['P1', 'P1', 'P5', 'P-8']","[422.0, 434.0, 446.0, 458.0, 468.0]","[('2', '2', '2', '-3')]","[12.0, 12.0, 12.0, 10.0]","['Bassus', 'Tenor', 'Bassus', 'Tenor', 'Bassus']",FUGA,5.0,False
30,,,Francisco Guerrero,Missa Congratulamini mihi: Kyrie,426.0,"['54/2.0', '55/4.0', '57/2.0']","['P8', 'P1']","[426.0, 438.0, 450.0]","[('2', '-3', '3', '-2')]","[12.0, 12.0]","['Altus', 'Superius 1Âº', 'Superius 2Âº']",PEN,3.0,False
31,,,Francisco Guerrero,Missa Congratulamini mihi: Kyrie,496.0,"['63/1.0', '65/1.0', '68/2.0', '70/4.0', '72/4.0']","['P-5', 'P8', 'm-7', 'P-5']","[496.0, 512.0, 538.0, 558.0, 574.0]","[('4', '-2', '-2', '3')]","[16.0, 26.0, 20.0, 16.0]","['Tenor', 'Bassus', 'Superius 1Âº', 'Tenor', 'Bassus']",FUGA,5.0,False
32,,,Francisco Guerrero,Missa Congratulamini mihi: Kyrie,498.0,"['63/2.0', '65/2.0', '67/1.0']","['P-5', 'P1']","[498.0, 514.0, 528.0]","[('-3', '3', '2', '-2')]","[16.0, 14.0]","['Superius 1Âº', 'Superius 2Âº', 'Altus']",FUGA,3.0,False
33,,,Francisco Guerrero,Missa Congratulamini mihi: Kyrie,606.0,"['76/4.0', '77/2.0', '77/4.0', '79/2.0', '80/2.0', '81/1.0', '82/1.0', '82/4.0', '88/4.0']","['P4', 'P5', 'P-12', 'M9', 'P4', 'P-11', 'P-5', 'P15']","[606.0, 610.0, 614.0, 626.0, 634.0, 640.0, 648.0, 654.0, 702.0]","[('-2', '-2', '-2', '3')]","[4.0, 4.0, 12.0, 8.0, 6.0, 8.0, 6.0, 48.0]","['Tenor', 'Superius 2Âº', 'Superius 1Âº', 'Bassus', 'Superius 2Âº', 'Superius 1Âº', 'Tenor', 'Bassus', 'Superius 1Âº']",FUGA,9.0,False
34,,,Francisco Guerrero,Missa Congratulamini mihi: Gloria,0.0,"['1/1.0', '6/3.0']",['P-8'],"[0.0, 44.0]","[('4', '2', '2', '-3')]",[44.0],"['Superius 1Âº', 'Tenor']",FUGA,2.0,False
35,,,Francisco Guerrero,Missa Congratulamini mihi: Gloria,4.0,"['1/3.0', '7/1.0']",['P-8'],"[4.0, 48.0]","[('4', '-2', '4', '-2')]",[44.0],"['Altus', 'Bassus']",FUGA,2.0,False
36,,,Francisco Guerrero,Missa Congratulamini mihi: Gloria,94.0,"['12/4.0', '13/3.0']",['P8'],"[94.0, 100.0]","[('4', '-2', '-2', '3')]",[6.0],"['Tenor', 'Superius 2Âº']",FUGA,2.0,False
37,,,Francisco Guerrero,Missa Congratulamini mihi: Gloria,134.0,"['17/4.0', '19/2.0']",['P-8'],"[134.0, 146.0]","[('4', '2', '2', '-3')]",[12.0],"['Superius 1Âº', 'Tenor']",FUGA,2.0,False
38,,,Francisco Guerrero,Missa Congratulamini mihi: Gloria,178.0,"['23/2.0', '24/2.0', '24/4.0', '25/4.0']","['P8', 'P-5', 'P8']","[178.0, 186.0, 190.0, 198.0]","[('2', '2', '2', '-2')]","[8.0, 4.0, 8.0]","['Bassus', 'Superius 2Âº', 'Tenor', 'Superius 1Âº']",ID,4.0,False
39,,,Francisco Guerrero,Missa Congratulamini mihi: Gloria,214.0,"['27/4.0', '28/4.0', '29/3.0', '30/4.0', '31/3.0']","['P8', 'P-8', 'P-5', 'P8']","[214.0, 222.0, 228.0, 238.0, 244.0]","[('2', '-5', '2', '2')]","[8.0, 6.0, 10.0, 6.0]","['Bassus', 'Superius 1Âº', 'Tenor', 'Bassus', 'Altus']",FUGA,5.0,False
40,,,Francisco Guerrero,Missa Congratulamini mihi: Gloria,392.0,"['50/1.0', '52/1.0', '54/1.0']","['P-5', 'P5']","[392.0, 408.0, 424.0]","[('-3', '3', '2', '-2')]","[16.0, 16.0]","['Superius 1Âº', 'Altus', 'Superius 2Âº']",PEN,3.0,False
41,,,Francisco Guerrero,Missa Congratulamini mihi: Gloria,466.0,"['59/2.0', '60/2.0']",['P8'],"[466.0, 474.0]","[('-2', '-3', '3', '-2')]",[8.0],"['Altus', 'Superius 2Âº']",FUGA,2.0,False
42,,,Francisco Guerrero,Missa Congratulamini mihi: Gloria,502.0,"['63/4.0', '64/2.0', '65/3.0', '67/2.0']","['P-5', 'P-5', 'P8']","[502.0, 506.0, 516.0, 530.0]","[('2', '2', '2', '-2')]","[4.0, 10.0, 14.0]","['Superius 1Âº', 'Superius 2Âº', 'Altus', 'Superius 1Âº']",FUGA,4.0,False
