PIECE ID,PHRASE ID,Phrase Start,Phrase Stop,Text,Rhyme,Column7,Column8,Column9,Column10,Column11,Column12
DC0101,1,,,Qui souhaitez avoir tout le plaisir,a,,,,,,
DC0101,2,,,Qu'un amy peult vouloir honnestement,b,,,,,,
DC0101,3,,,Prenez exemple à mon chaste desir,a,,,,,,
DC0101,4,,,Et vous mirez en mon contentement.,b,,,,,,
DC0101,5,,,Mais qui vouldroit audacieusement,b,,,,,,
DC0101,6,,,"Voler au ciel, ou mon amour se tient",c,,,,,,
DC0101,7,,,"On luy diroit, aymez humainement.",b,,,,,,
DC0101,8,,,C'est au soleil que la lune appartient.,c,,,,,,
DC0102,1,,,"Venons au poinct ma dame s'il vous plaist,",a,,,,,,
DC0102,2,,,Il en est temps sans plus tant marchander.,b,,,,,,
DC0102,3,,,Le doy je prendre ou le vous demander ?,b,,,,,,
DC0102,4,,,"Dictes l'ouy, car le non me desplaist.",a,,,,,,
DC0102,5,,,Or faictes donc s'il vous plaist mon bel amy,c,,,,,,
DC0102,6,,,L'ouy valoir et le non se retire.,d,,,,,,
DC0102,7,,,"Vous souffrez mal, et moy un grand martyre",d,,,,,,
DC0102,8,,,C'est couardise que nous sert d'ennemy.,c,,,,,,
DC0103,1,,,"O combien je suis suis fortuné,",a,,,,,,
DC0103,2,,,De servir maistresse si belle,b,,,,,,
DC0103,3,,,Pourquoy ne m'est predestiné,a,,,,,,
DC0103,4,,,Le bien que son mary a d'elle.,b,,,,,,
DC0103,5,,,Elle est doulce et luy rebelle.,b,,,,,,
DC0103,6,,,"N'est ce pas grande cruauté,",c,,,,,,
DC0103,7,,,Qu'elle vit en peine telle,b,,,,,,
DC0103,8,,,Sans secourir ma loyauté ?,c,,,,,,
DC0104,1,,,"Cherchant amour, Hymen vint apparoistre",a,,,,,,
DC0104,2,,,"Devant mes yeulx avecques chasteté,",b,,,,,,
DC0104,3,,,"Disant amy, pour donner à cognoistre",a,,,,,,
DC0104,4,,,De vraye amour le seure fermeté.,b,,,,,,
DC0104,5,,,En Cupido ne te tient arresté.,b,,,,,,
DC0104,6,,,Une sans plus de loyauté munie,c,,,,,,
DC0104,7,,,Aymer tu doibs de chaste volunté,b,,,,,,
DC0104,8,,,Pour à jamais mener heureuse vie.,c,,,,,,
DC0105,1,,,"Cest œil mignon, ce visage poly,",a,,,,,,
DC0105,2,,,"Ce corps bien faict, ceste tant bonne grace,",b,,,,,,
DC0105,3,,,"Cest entretien et devis tant joly,",a,,,,,,
DC0105,4,,,Las que font ilz en ceste terre basse ?,b,,,,,,
DC0105,5,,,Que c'est qu'ilz font ? Chascun d'entr'eulx pourchasse,b,,,,,,
DC0105,6,,,"Un serviteur, pour servir à la belle.",c,,,,,,
DC0105,7,,,Mais je sçay bien qu'elle leur est cruelle.,c,,,,,,
DC0105,8,,,Et les chassant m'a dict qu'elle dira :,d,,,,,,
DC0105,9,,,"Retirez vous, j'ay un amy fidele,",c,,,,,,
DC0105,10,,,Mieulx que nous tous luy seul me servira.,d,,,,,,
DC0106,1,,,"L'enfant Amour n'a plus son arc estrange,",a,,,,,,
DC0106,2,,,Dont il blessoit d’hommes et cueurs et testes.,b,,,,,,
DC0106,3,,,"Avec celuy de Diane a faict change,",a,,,,,,
DC0106,4,,,Dont elle alloit aux champs faire les questes.,b,,,,,,
DC0106,5,,,"Ilz ont changé, n’en faictes plus d’enquestes,",b,,,,,,
DC0106,6,,,Et si on dict : « A quoy le cognois-tu ? »,c,,,,,,
DC0106,7,,,Je voy qu’Amour chasse souvent aux bestes,b,,,,,,
DC0106,8,,,Et qu’elle attainct les hommes de vertu.,c,,,,,,
DC0107,1,,,La volunté si longtemps endormie,a,,,,,,
DC0107,2,,,S'esveillera si j'ay ce que je pense,b,,,,,,
DC0107,3,,,"Je sens au cœur que la flamme amortie,",a,,,,,,
DC0107,4,,,"Ou feu couvert rend sa chaleur plus forte,",b,,,,,,
DC0107,5,,,"La descouvrant la mienne ensevelie,",a,,,,,,
DC0107,6,,,Vive sera pour n'estre jamais morte.,b,,,,,,
DC0108,1,,,"Vive sera pour jamais n'estre morte,",a,,,,,,
DC0108,2,,,"Dans le secret d’un plus hault souvenir,",b,,,,,,
DC0108,3,,,Bruslant tousjours par plus subtile sorte,a,,,,,,
DC0108,4,,,L’affection de mon bien advenir.,b,,,,,,
DC0108,5,,,"Ce qu’advenant, je pourray devenir",b,,,,,,
DC0108,6,,,"Le seul content de moy et de m’amye,",c,,,,,,
DC0108,7,,,En resveillant pour plustost parvenir,b,,,,,,
DC0108,8,,,La volonté si longtemps endormie.,c,,,,,,
DC0109,1,,,"Mars et Amour font ensemble alliance,",a,,,,,,
DC0109,2,,,Et ont changé de puissances et armes.,b,,,,,,
DC0109,3,,,"Mars a quitté sa tant cruelle lance,",a,,,,,,
DC0109,4,,,Dont se servoit aux mortelles allarmes.,b,,,,,,
DC0109,5,,,"Ilz sont tous deux de volunté si fermes,",b,,,,,,
DC0109,6,,,Que l'un ne peult rien sans l'autre entreprendre.,c,,,,,,
DC0109,7,,,"Quand l'arc d'Amour le fier Mars vient destendre,",c,,,,,,
DC0109,8,,,Du premier coup il rend l'homme amoureux.,d,,,,,,
DC0109,9,,,"Et quand Amour vient pour la picque prendre,",c,,,,,,
DC0109,10,,,Tout fait mourir en tourment langoureux.,d,,,,,,
DC0110,1,,,"Si la promesse m'est tenue,",a,,,,,,
DC0110,2,,,"Et en femme gist loyauté,",b,,,,,,
DC0110,3,,,J'auray ma part en sa beaulté.,b,,,,,,
DC0110,4,,,Mon cœur l'a pour soy retenue.,a,,,,,,
DC0111,1,,,L'autre jour jouer m'alloye parmy ces champs.,a,,,,,,
DC0111,2,,,En mon chemin rencontray un verd gallant,b,,,,,,
DC0111,3,,,"Il hurte à moy, et moy à luy.",c,,,,,,
DC0111,4,,,"Il fut plus fort, il m'abatit, maugré mes dentz",d,,,,,,
DC0111,5,,,Maudict soit ce moais garson qui bat les gens.,e,,,,,,
DC0112,1,,,"Comme l'aymant par sa vertu latente,",a,,,,,,
DC0112,2,,,"Attrait le fer, vostre œil attire et tente,",a,,,,,,
DC0112,3,,,Mon cœur navré qui partout le veult suyvre.,b,,,,,,
DC0112,4,,,"Prenez le corps, car sans cœur ne peult vivre.",b,,,,,,
DC0112,5,,,"Tout est à vous, si vous estes contente.",a,,,,,,
DC0113,1,,,"Helas mon cœur n'as tu pas trop grand tort,",a,,,,,,
DC0113,2,,,De m'avoir faict et causé tel oultrage ?,b,,,,,,
DC0113,3,,,Veu que tu es la fenestre et l'aport,a,,,,,,
DC0113,4,,,Dont l'on reçoit tout bien et avantage.,b,,,,,,
DC0113,5,,,"Mal cognoissois ce cuyde mon courage,",b,,,,,,
DC0113,6,,,En me donnant le mal sans allegeance.,c,,,,,,
DC0113,7,,,"J'aymasse mieulx veu mon grief et dommage,",b,,,,,,
DC0113,8,,,N'en avoir eu jamais la cognoissance.,c,,,,,,
DC0114,1,,,Trop justement je forme une complainte,a,,,,,,
DC0114,2,,,Contre l'effort de l'ingrate fortune,b,,,,,,
DC0114,3,,,Que celle là que j'ayme n'est attainte,a,,,,,,
DC0114,4,,,Du mesme feu d'amour qui m'importune.,b,,,,,,
DC0114,5,,,O si j'avoye jouyssance opportune,b,,,,,,
DC0114,6,,,"Selon l'effect que merite la peine,",c,,,,,,
DC0114,7,,,Onques amant ne receut telle estreine.,c,,,,,,
DC0114,8,,,Mais au rebours d'amoureuse faveur,d,,,,,,
DC0114,9,,,Elle me paist ceste seconde Heleine,c,,,,,,
DC0114,10,,,De cruauté et de toute rigueur.,d,,,,,,
DC0115,1,,,Quelle prison au monde est plus cruelle,a,,,,,,
DC0115,2,,,Pour deux amans qu'une bien longue absence ?,c,,,,,,
DC0115,3,,,Quelle douleur peult estre plus mortelle,a,,,,,,
DC0115,4,,,Que de n'avoir de son mal allegeance ?,b,,,,,,
DC0115,5,,,Adieu amour monstrez vostre puissance,b,,,,,,
DC0115,6,,,Convertissez par honneste moyen,c,,,,,,
DC0115,7,,,Dueil et regrés en seure jouyssance,b,,,,,,
DC0115,8,,,Pour faire à deux amans un pareil bien.,c,,,,,,
DC0116,1,,,"Maistre Ambrelin, confesseur de nonettes ,",a,,,,,,
DC0116,2,,,Fin crocheteur de leurs pechez couvertz,b,,,,,,
DC0116,3,,,"Confessa tant l'une des plus jeunettes,",a,,,,,,
DC0116,4,,,Qu'a son plaisir la feit mettre a l'envers.,b,,,,,,
DC0116,5,,,Leurs petis jeuz tant furent descouvertz,b,,,,,,
DC0116,6,,,Qu'a leur abbesse on compta tout le faict.,c,,,,,,
DC0116,7,,,Comment dit ell' meschant vilain infect,c,,,,,,
DC0116,8,,,As tu osé luy faire un tel oultrage ?,d,,,,,,
DC0116,9,,,"Que pleust à dieu que tu le m'eusse faict,",c,,,,,,
DC0116,10,,,Et qu'ell' n'eut point perdu son pucelage.,d,,,,,,
DC0117,1,,,Qu'est-ce que fait celui qui se marie ?,a,,,,,,
DC0117,2,,,Pour estre serf de franchise il s'estrange.,b,,,,,,
DC0117,3,,,Que fait il plus ? En mesnage se lie,a,,,,,,
DC0117,4,,,Ou sont des maulx à change et à rechange.,b,,,,,,
DC0117,5,,,"Sa femme apres s'il luy dit rien se venge,",c,,,,,,
DC0117,6,,,"A caqueter tic tac, Puis luy vient dire",d,,,,,,
DC0117,7,,,Me fault cecy cela. Mais c'est le pire,d,,,,,,
DC0117,8,,,Que remuer luy fault droit son bagage,e,,,,,,
DC0117,9,,,"Et s'il y fault, il tombe en ce martyre,",d,,,,,,
DC0117,10,,,D'estre jaloux subject au coquage.,e,,,,,,
DC0118,1,,,"Vrais amateurs du plaisir de Venus,",a,,,,,,
DC0118,2,,,"Qui pour neuf fois ne vous faictes que rire,",b,,,,,,
DC0118,3,,,"Puis qu'à ce poinct estes si bien venus,",a,,,,,,
DC0118,4,,,On doibt de vous tout bien et honneur dire.,b,,,,,,
DC0118,5,,,Les ennuieux toutefois à mesdire,b,,,,,,
DC0118,6,,,"Pas ne fauldront, car ilz n'ont le courage",c,,,,,,
DC0118,7,,,"D'en faire autant, à si gentil ouvrage",c,,,,,,
DC0118,8,,,Besongnez donc et de jour et de nuict.,d,,,,,,
DC0118,9,,,"Vous les ferez tous vifz crever de rage,",c,,,,,,
DC0118,10,,,Si de neuf fois venez à dix huict.,d,,,,,,
DC0119,1,,,J'ay d'un costé l'honneur tant estimé,a,,,,,,
DC0119,2,,,"Devant les yeulx, lequel je vueil avoir.",b,,,,,,
DC0119,3,,,J'ay d'autre part un amy tant aymé,a,,,,,,
DC0119,4,,,Dedans mon cœur que je n'ay le povoir,b,,,,,,
DC0119,5,,,"De l'en oster, et si ne les puis voir",b,,,,,,
DC0119,6,,,"Tous deux en moy, dont fort je me tourmente.",c,,,,,,
DC0119,7,,,Las je ne sçay duquel me rendre absente.,c,,,,,,
DC0119,8,,,"Car l'un m'est doulx et si pres de mon cœur,",d,,,,,,
DC0119,9,,,L'autre un chascun si tresfort il contente,c,,,,,,
DC0119,10,,,Qu'encontre moy ce croy sera vainqueur.,d,,,,,,
DC0120,1,,,Si je me plains ce n'est sans apparence.,a,,,,,,
DC0120,2,,,Ayant du mal trop plus que ne puis dire.,b,,,,,,
DC0120,3,,,Si mon malheur mettoye en evidence.,a,,,,,,
DC0120,4,,,Beaucoup plus grand s'etiroye mon martyre.,b,,,,,,
DC0120,5,,,"Fort le nier est ce que je desire,",b,,,,,,
DC0120,6,,,Ne voulant point le plus faire apparoir.,c,,,,,,
DC0120,7,,,Mais chascun jour mon mal si fort empire.,b,,,,,,
DC0120,8,,,Que sans le dire mort le fera sçavoir.,c,,,,,,
DC0121,1,,,"Mauldict soit il qui jamays aymera,",a,,,,,,
DC0121,2,,,Tant je m'en suis mal trouvé jusqu'icy,b,,,,,,
DC0121,3,,,Ce fatal dieu dit que pis me fera.,a,,,,,,
DC0121,4,,,J'ay bien conclu de tenir bon aussi.,b,,,,,,
DC0121,5,,,Quelle pitié d'avoir usé ainsi,b,,,,,,
DC0121,6,,,"Mes jours sujectz au vouloir d'un' amye,",b,,,,,,
DC0121,7,,,Qu'amour faisoit ma plus grand' ennemye ?,b,,,,,,
DC0121,8,,,En sa rigueur j'auray gaigné tel poinct,c,,,,,,
DC0121,9,,,"De liberté, que si jour de ma vie",b,,,,,,
DC0121,10,,,"Elle me veult, je ne la vouldray point.",c,,,,,,
DC0122,1,,,Amour et mort par trop grand avantage,a,,,,,,
DC0122,2,,,Prendront de moy si cruelle vengeance,b,,,,,,
DC0122,3,,,"Qu'impossible est y faire resistence,",b,,,,,,
DC0122,4,,,"Si ne changez, madame, de courage",a,,,,,,
DC0122,5,,,"Appaisant l'un, l'autre n'aura pour gage",a,,,,,,
DC0122,6,,,Que ce que doibt nature luy laisser.,c,,,,,,
DC0122,7,,,Vous leur povez commander de cesser,c,,,,,,
DC0122,8,,,"A l'un tousjours, à l'autre pour un temps.",d,,,,,,
DC0122,9,,,Mais si voulez du bien que je pretens,d,,,,,,
DC0122,10,,,"M'ottroyer part digne de la poursuyte,",e,,,,,,
DC0122,11,,,L'amour fera noz deux espritz contens.,d,,,,,,
DC0122,12,,,Et par despit la mort prendra la fuyte.,e,,,,,,
DC0123,1,,,Puisque fortune mal apprinse,a,,,,,,
DC0123,2,,,"A mis sur moy sa destinée,",b,,,,,,
DC0123,3,,,"Jamais je n'iray à l'eglise,",c,,,,,,
DC0123,4,,,Car j'ay esté deschevillée.,a,,,,,,
DC0123,5,,,Allant le trot,d,,,,,,
DC0123,6,,,Tournant le pas,e,,,,,,
DC0123,7,,,Criant par trop,d,,,,,,
DC0123,8,,,"Et sans compas,",e,,,,,,
DC0123,9,,,"Las messire Jehan, vous serrez trop.",d,,,,,,
DC0124,1,,,Je sens l'affection     qui à moy se vient rendre,a/b,,,,,,
DC0124,2,,,D'une perfection     pour me vouloir surprendre.,a/b,,,,,,
DC0124,3,,,"Dont l'honneste maintien     d'une si bonne grace,",c/d,,,,,,
DC0124,4,,,En plus haut lieu qu'au mien     pourroit bien trouver place.,c/d,,,,,,
DC0124,5,,,Mais ceste cognoissance     du bien de ma franchise,e/f,,,,,,
DC0124,6,,,Me sert d'experience    pour n'estre jamais prinse.,e/f,,,,,,
DC0124,7,,,"Aymant trop mieulx cest heur     de garder liberté,",g/h,,,,,,
DC0124,8,,,Que d'avoir serviteur     qui ne tient loyauté.,g/h,,,,,,
DC0124,9,,,Car je n'ay nul desir     du bien qu'il en advienne.,i/j,,,,,,
DC0124,10,,,"Le plus de mon desir,     c'est d'estre toute mienne.",i/j,,,,,,
DC0125,1,,,Si ton plus grand desir     n'est sinon d'estre tienne,a/b,,,,,,
DC0125,2,,,Ce me sera plaisir     que tu ne sois point mienne.,a/b,,,,,,
DC0125,3,,,"Car de moy j'ayme mieulx     d'amour quitte l'office,",c/d,,,,,,
DC0125,4,,,Que me voir ennuyeux     en offrant mon service.,c/d,,,,,,
DC0125,5,,,"Joinct que ma liberté     ne m'est moins aymable,",e/f,,,,,,
DC0125,6,,,Que toute ta beaulté     pourroit estre estimable.,e/f,,,,,,
DC0125,7,,,"Mais si par trop d'oubly     d'un' offre tant heureuse,",g/h,,,,,,
DC0125,8,,,Tu avois estably     d'un autre estre amoureuse,g/h,,,,,,
DC0125,9,,,Lors ta legereté     te rendra detestable :,e/f,,,,,,
DC0125,10,,,Et moy ma fermeté     envers tous honorable.,e/f,,,,,,
DC0125,11,,,"Sans que l'affection     qu'au premier t'estoit deue,",i/j,,,,,,
DC0125,12,,,Autre qu'en fiction     par moy te soit rendue.,i/j,,,,,,
DC0201,1,,,"Je me veulx tant à son vouloir offrir,",a,,,,,,
DC0201,2,,,Que je ne quiers remede à ma douleur :,b,,,,,,
DC0201,3,,,"Sachant qu'elle a plaisir me veoir souffrir,",a,,,,,,
DC0201,4,,,Souffrir mes doulx et mon mal j'estime heur.,b,,,,,,
DC0202,1,,,"Vous me changez pour un aultre, madame,",c,,,,,,
DC0202,2,,,Qui ne vous peult servir que pour un temps.,a,,,,,,
DC0202,3,,,"Ne faisant cas des maulvais propos d'ame,",b,,,,,,
DC0202,4,,,Ne des languartz de vous trop cacquetants,c,,,,,,
DC0202,5,,,Vous scavez bien (las) depuis quand j'estends,c,,,,,,
DC0202,6,,,Tous mes espritz à vous faire service :,d,,,,,,
DC0202,7,,,Et si suis seur (tant bien mon faict j'entends),c,,,,,,
DC0202,8,,,Que vous n'avez veu en vostre serf vice.,d,,,,,,
DC0203,1,,,"Un gros prieur son petit filz baisoit,",a,,,,,,
DC0203,2,,,Et mignardoit au matin en sa couche.,b,,,,,,
DC0203,3,,,"Tandis roustir sa perdrix on faisoit,",a,,,,,,
DC0203,4,,,"Se leve, crache, esmeutit, et se mouche.",b,,,,,,
DC0203,5,,,"La perdrix vint au sel de brocque en bouche,",b,,,,,,
DC0203,6,,,"La devora bien sçavoit la sçience,",c,,,,,,
DC0203,7,,,"Puis quant il eut prins sur sa conscience,",c,,,,,,
DC0203,8,,,Broc de vin blanc du meilleur qu'on eslise.,d,,,,,,
DC0203,9,,,"Mon Dieu dit il donne moy patience,",c,,,,,,
DC0203,10,,,Qu'on a de mal pour servir Saincte Eglise.,d,,,,,,
DC0204,1,,,"Si la beaulté doit perir en peu d'heure,",a,,,,,,
DC0204,2,,,Faictes m'en donc durant que vous l'avez.,b,,,,,,
DC0204,3,,,Ou si elle dure helas vous ne debvez,a,,,,,,
DC0204,4,,,Craindre a donner un bien qui nous demeure.,b,,,,,,
DC0205,1,,,"Un fin mary voyant sa chambriere,",a,,,,,,
DC0205,2,,,"Belle de corps, et propre à soustenir,",b,,,,,,
DC0205,3,,,Quelque grand faiz en la chambre derriere,a,,,,,,
DC0205,4,,,Monta dessus puis soudain veit venir,b,,,,,,
DC0205,5,,,"Sa femme oyant le bruit qui dit hola,",c,,,,,,
DC0205,6,,,Qui vous à mis tous deux en ce poinct la ?,c,,,,,,
DC0205,7,,,"Estce l'amour qu'avez en moy enclose,",d,,,,,,
DC0205,8,,,Ha mon mary je ferois bien cela.,c,,,,,,
DC0205,9,,,Et ma chambriere eut bien faict aultre chose.,d,,,,,,
DC0206,1,,,Ma mere veult que je file,a,,,,,,
DC0206,2,,,"Et si j'ay si grand mal au bra,",b,,,,,,
DC0206,3,,,"Ma coquile me fretille,",a,,,,,,
DC0206,4,,,J'aymerois mieulx faire cela.,b,,,,,,
DC0206,5,,,"L'aultre jour il m'advisa,",b,,,,,,
DC0206,6,,,D'apprendre une œuvre à l'esguile :,c,,,,,,
DC0206,7,,,"Trois point cousi tout d'une esguile,",c,,,,,,
DC0206,8,,,A la quatriesme elle ploya.,b,,,,,,
DC0207,1,,,"Joye, et santé, ma damoyselle,",a,,,,,,
DC0207,2,,,"De la belle fille qu'avez faict,",b,,,,,,
DC0207,3,,,"L’on en veit oncques de si belle,",a,,,,,,
DC0207,4,,,"Joye, et santé, ma damoyselle :",a,,,,,,
DC0207,5,,,Blonde l'avez en beauté telle,a,,,,,,
DC0207,6,,,Que le seigneur Dieu la parfaict.,b,,,,,,
DC0207,7,,,"Joye, et santé, ma damoyselle,",a,,,,,,
DC0207,8,,,De la belle fille qu'avez faict.,b,,,,,,
DC0208,1,,,"Jouons beau jeu tout en riant,",a,,,,,,
DC0208,2,,,Et si faisons chere lie.,b,,,,,,
DC0208,3,,,Et si beuvons ce vin friand,a,,,,,,
DC0208,4,,,Laissant toute melancholie.,b,,,,,,
DC0208,5,,,Mais en beuvant soyons dehet,c,,,,,,
DC0208,6,,,"Chantant la chansonnette,",d,,,,,,
DC0208,7,,,Rossignolant comme un oyselet,c,,,,,,
DC0208,8,,,Gergonnant comme un sansonnet,d,,,,,,
DC0208,9,,,Disant par amourette,d,,,,,,
DC0208,10,,,Jouons beau jeu en cortinette.,d,,,,,,
DC0209,1,,,"Dire me fault par desespoir contrainct,",a,,,,,,
DC0209,2,,,Plustost adieu que tel mal endurer,b,,,,,,
DC0209,3,,,"Car mon malheur ce pourroit empirer,",b,,,,,,
DC0209,4,,,Pour la douleur qui vif à mort me poingt.,a,,,,,,
DC0210,1,,,"Or my doint Dieu bonne adventure,",a,,,,,,
DC0210,2,,,Et a tous loyaulx amoureux:,b,,,,,,
DC0210,3,,,Car je m'en voys bien douloureulx,b,,,,,,
DC0210,4,,,Le plus qu'oncques feust creature.,a,,,,,,
DC0211,1,,,"Ho le meschant qui a ployé,",a,,,,,,
DC0211,2,,,Et rebouché comme un mastin.,b,,,,,,
DC0211,3,,,"Ho le vilain qui soit noyé,",a,,,,,,
DC0211,4,,,"Le jouet de frère Martin,",b,,,,,,
DC0211,5,,,"Qu'on n'en parle soir ne matin,",b,,,,,,
DC0211,6,,,"C'est faict il est devenu rosse,",c,,,,,,
DC0211,7,,,Et ne vault plus en bon latin,b,,,,,,
DC0211,8,,,Qu'à servir L'abbesse de crosse.,c,,,,,,
DC0212,1,,,"Au feu d'amour, qui ne se peult estaindre,",a,,,,,,
DC0212,2,,,"Brusle mon coeur quasi mort estandu,",b,,,,,,
DC0212,3,,,Et n'ha moyen touteffois de se plaindre :,a,,,,,,
DC0212,4,,,Ayant le bien tel qu'il a pretendu.,b,,,,,,
DC0212,5,,,"Helas Amour, quand ton arc fust tendu,",b,,,,,,
DC0212,6,,,"Mieulx eust vallu que du coup fusse morte,",c,,,,,,
DC0212,7,,,"Au feu ardant, un peu d'eau respandu,",b,,,,,,
DC0212,8,,,N'estaint le feu : mais rend chaleur plus forte.,c,,,,,,
DC0213,1,,,"Cupido pour ses appetitz,",a,,,,,,
DC0213,2,,,Vers des mouches à miel alla.,b,,,,,,
DC0213,3,,,Qui cuydoit oyselletz petits :,a,,,,,,
DC0213,4,,,Et moult entour d'elles volla,b,,,,,,
DC0213,5,,,"D'elles est mors il crye hala,",b,,,,,,
DC0213,6,,,Sa mère entend dont vient la plainte :,c,,,,,,
DC0213,7,,,"Sa mignard dit elle voila,",b,,,,,,
DC0213,8,,,Vous faictes bien de pire attaincte.,c,,,,,,
DC0214,1,,,"Puis que malheur me tient rigueur,",a,,,,,,
DC0214,2,,,Et seul sçavez mon indigence.,b,,,,,,
DC0214,3,,,"Pour donner ordre à ma langueur,",a,,,,,,
DC0214,4,,,Secourez moy en diligence.,b,,,,,,
DC0214,5,,,"Helas ayez intelligence,",b,,,,,,
DC0214,6,,,Du mal que j'ay par amytié.,c,,,,,,
DC0214,7,,,"Un patient prent allegeance,",b,,,,,,
DC0214,8,,,Quand son amy en a pitié.,c,,,,,,
DC0215,1,,,"Dieu doint le bon jour à m'amye,",a,,,,,,
DC0215,2,,,"Que ne veis puis hier au soir,",b,,,,,,
DC0215,3,,,"Or ne soyez plus endormye,",a,,,,,,
DC0215,4,,,"C'est vostre amy qui vous vient voir,",b,,,,,,
DC0215,5,,,"Voyez comme il faict son devoir,",b,,,,,,
DC0215,6,,,"Pour vous faire son cœur congnoistre,",c,,,,,,
DC0215,7,,,S'il avoit autant de pouvoir,b,,,,,,
DC0215,8,,,Sur tous voirriez son feu paroistre.,c,,,,,,
DC0216,1,,,"Allons aux champs sur la verdure,",a,,,,,,
DC0216,2,,,Passer le temps joyeusement.,b,,,,,,
DC0216,3,,,Ce pendant que le beau temps dure,a,,,,,,
DC0216,4,,,Il n'est que vivre plaisamment.,b,,,,,,
DC0216,5,,,"Allons y doncq, hastivement,",b,,,,,,
DC0216,6,,,"Allons chanter, gaudir, et rire,",c,,,,,,
DC0216,7,,,"Myeulx vault s'esbatre gayement,",b,,,,,,
DC0216,8,,,Qu'employer sa langue à mesdire.,c,,,,,,
DC0217,1,,,"Ce friant oeil qui tousjours estincelle,",a,,,,,,
DC0217,2,,,"Et de costé à demy nous regarde,",b,,,,,,
DC0217,3,,,"Un dard bruslant secretement nous celle,",a,,,,,,
DC0217,4,,,Du quel noz coeurs à l'impourveu il darde.,b,,,,,,
DC0217,5,,,"Plus on se tient contre lui sur sa garde,",b,,,,,,
DC0217,6,,,"Plus il penettre, et plus fort il martyre.",c,,,,,,
DC0217,7,,,"Mais si un coup son regard il retire,",c,,,,,,
DC0217,8,,,Au coeur navré mort langoureuse est seure.,d,,,,,,
DC0217,9,,,Car il peult bien du mesme dard qu'il tyre,c,,,,,,
DC0217,10,,,"Blesser à mort, et guarir la blessure.",d,,,,,,
DC0218,1,,,Je souffre passion D'une amour forte.,a,,,,,,
DC0218,2,,,"Mais mon affection Me reconforte,",a,,,,,,
DC0218,3,,,"Amour par son pouvoir, Mon coeur tourmente,",b,,,,,,
DC0218,4,,,"De jouir j'ay espoir, Qui me contente.",b,,,,,,
DC0218,5,,,"L'envie sans pitié Toujours nuysante,",b,,,,,,
DC0218,6,,,Veult rompre l'amityé : Mais elle augmente.,b,,,,,,
DC0218,7,,,Ceux qui ont faict effort A la destruire,c,,,,,,
DC0218,8,,,"L'ont fait croistre plus fort Luy voulant nuyre,",c,,,,,,
DC0218,9,,,"Parquoy le mesdisant Se peult bien taire,",d,,,,,,
DC0218,10,,,Car il est suffisant Pour la deffaire.,d,,,,,,
DC0219,1,,,"Si pour t'avoir tant loyaument,",a,,,,,,
DC0219,2,,,"Aymée de faict, et pencée.",b,,,,,,
DC0219,3,,,"Tu as de douleur, et tourment,",a,,,,,,
DC0219,4,,,Mon amitié recompencée.,b,,,,,,
DC0219,5,,,"Doibz je mauldire la journée,",b,,,,,,
DC0219,6,,,"Que commença nostre amityé,",c,,,,,,
DC0219,7,,,"Ou t'appeller infortunée,",b,,,,,,
DC0219,8,,,Digne de toute inimitié.,c,,,,,,
DC0220,1,,,"Qui souhaittez d'avoir tout le plaisir,",a,,,,,,
DC0220,2,,,Qu'un amy peult avoir honnestement,b,,,,,,
DC0220,3,,,"Prenez exemple à mon chaste desir,",a,,,,,,
DC0220,4,,,"Et vous mirez en mon contentement,",b,,,,,,
DC0220,5,,,"Mais qui vouldroit audacieusement,",b,,,,,,
DC0220,6,,,"Voller au ciel, ou mon amour se tient,",c,,,,,,
DC0220,7,,,"On luy diroit aymez humainement,",b,,,,,,
DC0220,8,,,"C'est au Soleil, que la Lune appartient.",c,,,,,,
DC0221,1,,,"Qu'est-il besoing cercher toutes les nuictz,",a,,,,,,
DC0221,2,,,"Ce que l'on veult, et l'on ne peult avoir,",b,,,,,,
DC0221,3,,,"Laisse moy plaindre en mes maulx, et ennuys",a,,,,,,
DC0221,4,,,"Et ne me faictz ta rigueur percevoir,",b,,,,,,
DC0221,5,,,"Est il possible helas, que puisse voir,",b,,,,,,
DC0221,6,,,"Un coeur souffrir pour toy si grand martyre,",c,,,,,,
DC0221,7,,,Sans du remede aultrement le pourvoir :,b,,,,,,
DC0221,8,,,Ton long tarder par trop mon mal empire.,c,,,,,,
DC0222,1,,,Margot s'endormit sur un lict,a,,,,,,
DC0222,2,,,Une nuit toute descouverte :,b,,,,,,
DC0222,3,,,"Robin sans dire mot saillit,",a,,,,,,
DC0222,4,,,"Sur le lit, et la recouverte :",b,,,,,,
DC0222,5,,,"Il trouva sa lanterne ouverte,",b,,,,,,
DC0222,6,,,Mist sa chandelle au plus perfond :,c,,,,,,
DC0222,7,,,Robin ta chandelle se fond :,c,,,,,,
DC0222,8,,,"Non faict dist il, c'est une goutte,",d,,,,,,
DC0222,9,,,"En l'allumant elle degoutte,",d,,,,,,
DC0222,10,,,Qui faict ta chandelle fumer.,e,,,,,,
DC0222,11,,,Vien Robin quant on ne voit goutte,e,,,,,,
DC0222,12,,,Souvent ta chandelle allumer.,f,,,,,,
DC0223,1,,,"La terre, l'eau, l'air, le feu, et les cieulx,",a,,,,,,
DC0223,2,,,"Tous les espritz, et supreme archetippe,",b,,,,,,
DC0223,3,,,"Font nuict et jour un accord gracieulx,",a,,,,,,
DC0223,4,,,Que tout discord son contraire dissipe.,b,,,,,,
